"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BDM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BDM_vs_BD"
5.796925,13.0835125,252.237629006425,1.49196616664266e-15,1.1078531065866e-11,23.4806638371433,"IFIT1_HUMAN",34,-313.608123336017,2.81344121207302e-17,1.98162396327166e-13,-5.796925,"Up in BD",12.7029787545784,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",5.796925
5.756525,14.4048625,232.370966599225,2.70273995263869e-15,1.1078531065866e-11,23.2821087173755,"MX1_HUMAN",43,-292.579081665701,4.83440830268764e-17,1.98162396327166e-13,-5.756525,"Up in BD",12.7029787545784,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",5.756525
5.8836,13.324925,212.115157480219,5.2322119061548e-15,1.42978910688857e-11,23.0334273943228,"IFIT2_HUMAN",29,-241.022630356362,2.19242234871718e-16,5.99115947159448e-13,-5.8836,"Up in BD",12.2224891202842,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN",5.8836
3.06899999999999,14.946225,141.672245012581,9.72986845479709e-14,1.32942435987378e-10,21.5421902759261,"STAT1_HUMAN",41,-190.647387431292,1.36474772534271e-15,2.79705046308989e-12,-3.06899999999999,"Up in BD",11.5532996982178,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN",3.06899999999999
5.44267499999999,13.3568375,163.093414454583,3.50974311242317e-14,7.19321850891129e-11,22.137565049501,"IFIT3_HUMAN",30,-180.571177726366,2.08428872859386e-15,3.41739979940249e-12,-5.44267499999999,"Up in BD",11.4663042103972,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN",5.44267499999999
3.75368,11.827135,143.146331320603,9.02722546208585e-14,1.32942435987378e-10,21.5887285763322,"OAS1_HUMAN",20,-149.293167209615,9.18619795180706e-15,1.25514084681524e-11,-3.75368,"Up in BD",10.901307536683,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN",3.75368
3.0096,13.31635,101.333762738747,1.10099192901867e-12,7.90960928948882e-10,19.8084943339161,"RIGI_HUMAN",56,-122.08527528515,4.40971041066728e-14,4.79513514752535e-11,-3.0096,"Up in BD",10.3191991480351,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN",3.0096
2.83599,11.32058,102.383758062031,1.02182288144143e-12,7.90960928948882e-10,19.8680344820748,"SLFN5_HUMAN",37,-120.88649254187,4.76234869739838e-14,4.79513514752535e-11,-2.83599,"Up in BD",10.3191991480351,"SLFN5","Schlafen family member 5","SLFN5_HUMAN",2.83599
4.009755,10.4552725,110.557025500835,5.86006562229996e-13,6.00510224645188e-10,20.2998775497338,"CMPK2_HUMAN",26,-119.342826051201,5.26423717098416e-14,4.79513514752535e-11,-4.009755,"Up in BD",10.3191991480351,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN",4.009755
2.2397,12.167675,90.4578416561966,2.50436332150728e-12,1.57929003920898e-09,19.1293359702909,"SAMH1_HUMAN",38,-111.538870341139,8.91869843442649e-14,6.62054790762083e-11,-2.2397,"Up in BD",10.1791060674471,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN",2.2397
