logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,BM1_vs_B1,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
-0.0,,,,,,CXL11_HUMAN,0,,,,0.0,Non-significant,,CXCL11,C-X-C motif chemokine 11,CXL11_HUMAN,O14625
-0.0,,,,,,PTPRC_HUMAN,0,,,,0.0,Non-significant,,PTPRC,Receptor-type tyrosine-protein phosphatase C,PTPRC_HUMAN,P08575
-0.0,,,,,,IFI6_HUMAN,0,,,,0.0,Non-significant,,IFI6,Interferon alpha-inducible protein 6,IFI6_HUMAN,P09912
-0.0,,,,,,SHDAG_HDVD3;LHDAG_HDVD3,0,,,,0.0,Non-significant,,,Small delta antigen;Large delta antigen,SHDAG_HDVD3;LHDAG_HDVD3,P0C6L3;P29996
-0.0,,,,,,MX2_HUMAN,0,,,,0.0,Non-significant,,MX2,Interferon-induced GTP-binding protein Mx2,MX2_HUMAN,P20592
-0.0,,,,,,IFI27_HUMAN,0,,,,0.0,Non-significant,,IFI27,"Interferon alpha-inducible protein 27, mitochondrial",IFI27_HUMAN,P40305
-0.0,,,,,,HTRA3_HUMAN,0,,,,0.0,Non-significant,,HTRA3,Serine protease HTRA3,HTRA3_HUMAN,P83110
-0.0,,,,,,PKP1_HUMAN,0,,,,0.0,Non-significant,,PKP1,Plakophilin-1,PKP1_HUMAN,Q13835
-0.0,,,,,,PGFRL_HUMAN,0,,,,0.0,Non-significant,,PDGFRL,Platelet-derived growth factor receptor-like protein,PGFRL_HUMAN,Q15198
-0.0,,,,,,QPCT_HUMAN,0,,,,0.0,Non-significant,,QPCT,Glutaminyl-peptide cyclotransferase,QPCT_HUMAN,Q16769
-0.0,,,,,,LN28B_HUMAN,0,,,,0.0,Non-significant,,LIN28B,Protein lin-28 homolog B,LN28B_HUMAN,Q6ZN17
-0.0,,,,,,ESPNL_HUMAN,0,,,,0.0,Non-significant,,ESPNL,Espin-like protein,ESPNL_HUMAN,Q6ZVH7
-0.0,,,,,,SAM9L_HUMAN,0,,,,0.0,Non-significant,,SAMD9L,Sterile alpha motif domain-containing protein 9-like,SAM9L_HUMAN,Q8IVG5
-0.0,,,,,,S15A3_HUMAN,0,,,,0.0,Non-significant,,SLC15A3,Solute carrier family 15 member 3,S15A3_HUMAN,Q8IY34
-0.0,,,,,,GSDMB_HUMAN,0,,,,0.0,Non-significant,,GSDMB,Gasdermin-B,GSDMB_HUMAN,Q8TAX9
-0.0,,,,,,RSAD2_HUMAN,0,,,,0.0,Non-significant,,RSAD2,S-adenosylmethionine-dependent nucleotide dehydratase RSAD2,RSAD2_HUMAN,Q8WXG1
-0.0,,,,,,ARI3A_HUMAN,0,,,,0.0,Non-significant,,ARID3A,AT-rich interactive domain-containing protein 3A,ARI3A_HUMAN,Q99856
-0.0,,,,,,B2L14_HUMAN,0,,,,0.0,Non-significant,,BCL2L14,Apoptosis facilitator Bcl-2-like protein 14,B2L14_HUMAN,Q9BZR8
-0.0,,,,,,SP110_HUMAN,0,,,,0.0,Non-significant,,SP110,Sp110 nuclear body protein,SP110_HUMAN,Q9HB58
