"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM2_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
5.338925,13.8457375,214.627868189623,6.47502376622936e-15,5.30822448355483e-11,21.5910521293742,"MX1_HUMAN",43,269.572945647693,2.09452138814634e-16,1.71708863400237e-12,5.338925,"Up in D",11.7652072865137,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
4.2265,12.798525,190.226087781125,1.53779242760937e-14,6.30341116077082e-11,21.3311138348528,"IFIT1_HUMAN",34,242.957892550294,4.6148043725361e-16,1.89160831230255e-12,4.2265,"Up in D",11.7231687862303,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
3.705775,12.7429125,139.33063094505,1.43197302998815e-13,3.91310496661428e-10,20.4251005668914,"IFIT2_HUMAN",29,160.820896312422,1.06106530543854e-14,2.89953779132838e-11,3.705775,"Up in D",10.5376712264714,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
2.59925,14.615225,102.940136507638,1.25262317402828e-12,1.66314460968829e-09,19.1785005028266,"STAT1_HUMAN",41,127.593327505932,6.15739182558216e-14,1.24612722739085e-10,2.59925,"Up in D",9.90443761471295,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-1.847525,14.8610375,-87.4164396580687,4.03944822487295e-12,3.31153965475085e-09,18.3534907009051,"FIBA_HUMAN",43,-121.841861764932,8.74115958607693e-14,1.24612722739085e-10,-1.847525,"Up in BM2",9.90443761471295,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
2.320425,13.0813125,93.5072202262218,2.49349722416365e-12,2.5552112804617e-09,18.7058229084906,"RIGI_HUMAN",56,121.162863808112,9.12022854884741e-14,1.24612722739085e-10,2.320425,"Up in D",9.90443761471295,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
3.703325,13.0173375,105.51403305853,1.0495084621249e-12,1.66314460968829e-09,19.2940923610756,"IFIT3_HUMAN",30,115.999324482546,1.26964712342047e-13,1.48693815968586e-10,3.703325,"Up in D",9.82770709298824,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
2.085905,10.2036225,82.8951629537668,5.90877380384193e-12,4.40364796762692e-09,18.0639308844725,"HELZ2_HUMAN",117,111.526682687634,1.71158112817407e-13,1.70768906778479e-10,2.085905,"Up in D",9.76759120181921,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
4.37889,11.94568,102.318930171618,1.30813255690603e-12,1.66314460968829e-09,19.1497995702434,"OAS2_HUMAN",31,110.19769070366,1.87475013540658e-13,1.70768906778479e-10,4.37889,"Up in D",9.76759120181921,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
3.2912,11.7714,101.152547302017,1.42010396045597e-12,1.66314460968829e-09,19.0950390253147,"OAS1_HUMAN",20,105.948784510065,2.52725610926491e-13,2.07184455837537e-10,3.2912,"Up in D",9.6836428309597,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-1.6588,14.906375,-70.6504576457583,1.8557112414926e-11,1.26776006314636e-08,17.1339609300385,"FINC_HUMAN",120,-100.597919022121,3.74621826777345e-13,2.79195430538243e-10,-1.6588,"Up in BM2",9.55409169388651,"FN1","Fibronectin","FINC_HUMAN"
-2.1275,11.7304,-68.4529514318198,2.32672449293845e-11,1.42553014233865e-08,16.9404196948283,"TSP1_HUMAN",50,-80.0835226795005,2.11689982025163e-12,1.27878065779946e-09,-2.1275,"Up in BM2",8.89320394127311,"THBS1","Thrombospondin-1","TSP1_HUMAN"
1.679175,11.8170625,65.55383104186,3.17152807574284e-11,1.73334581099599e-08,16.6705502759631,"SAMH1_HUMAN",38,79.9382553526833,2.1462809064218e-12,1.27878065779946e-09,1.679175,"Up in D",8.89320394127311,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
3.270345,10.7380025,88.7579417343654,3.62202522742283e-12,3.2992625349347e-09,18.4346359789872,"ISG20_HUMAN",11,79.7431695044897,2.1864667008317e-12,1.27878065779946e-09,3.270345,"Up in D",8.89320394127311,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-1.76452499999999,15.1824125,-68.021597709192,2.43442571270323e-11,1.42553014233865e-08,16.9013402413688,"FIBG_HUMAN",29,-79.0343855291953,2.33980359441228e-12,1.27878065779946e-09,-1.76452499999999,"Up in BM2",8.89320394127311,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-1.568075,14.5732875,-63.327056660187,4.06148989218873e-11,1.95859377271548e-08,16.4512019975769,"FIBB_HUMAN",38,-78.3364771311123,2.50278062437459e-12,1.28236222241393e-09,-1.568075,"Up in BM2",8.89198928450827,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
2.191975,11.5468875,64.4367416308324,3.58668277862961e-11,1.83772658870034e-08,16.5618749027561,"DDX60_HUMAN",75,74.741247699699,3.57528527602189e-12,1.72412874663691e-09,2.191975,"Up in D",8.76343030703435,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
4.04515,14.468225,62.2764336309855,4.57804851943637e-11,2.08504676457441e-08,16.3438384331955,"ISG15_HUMAN",15,63.2526822708692,1.26874280862068e-11,5.77841863615129e-09,4.04515,"Up in D",8.23819099748934,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
