"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0044282","GO:0044282","small molecule catabolic process","28/133","373/18860",0.0750670241286863,10.6448426696769,15.8550416948129,4.88935880893279e-21,8.89374367344874e-18,7.46270555047636e-18,"1806/26007/51733/10840/7498/6342/64577/6470/229/875/127/383/2582/23498/2326/10841/3939/131669/152926/6718/66002/32/1036/27165/4051/8529/5105/51302",28,"Downres_DEq_MS_B1_vs_BDM"
"GO:0016053","GO:0016053","organic acid biosynthetic process","26/133","342/18860",0.0760233918128655,10.7804599217342,15.3824791964871,1.05868801278576e-19,9.62876747628647e-17,8.0794611502071e-17,"1806/51733/1109/2944/6342/635/64577/5313/6470/875/116519/1491/23498/2326/23743/26227/4522/1582/6718/1571/32/1036/27165/1559/1558/51302",26,"Downres_DEq_MS_B1_vs_BDM"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","25/133","339/18860",0.0737463126843658,10.4575598287755,14.8080467232546,1.20241689392634e-18,7.29065443350671e-16,6.11755963576559e-16,"1806/51733/1109/2944/6342/635/64577/5313/6470/875/116519/1491/23498/23743/26227/4522/1582/6718/1571/32/1036/27165/1559/1558/51302",25,"Downres_DEq_MS_B1_vs_BDM"
"GO:0006520","GO:0006520","amino acid metabolic process","22/133","286/18860",0.0769230769230769,10.908039329092,14.2288258268988,7.03860338820563e-17,3.20080489078651e-14,2.6857828718153e-14,"1806/51733/122622/27232/143941/635/64577/6470/875/383/1644/1491/23498/443/10841/131669/23743/26227/4522/152926/1036/27165",22,"Downres_DEq_MS_B1_vs_BDM"
"GO:0120254","GO:0120254","olefinic compound metabolic process","18/133","169/18860",0.106508875739645,15.1034390710504,15.5204087835965,1.80672778596402e-16,6.57287568533712e-14,5.51527429399544e-14,"1109/6342/126/130/64577/125/127/2053/124/66002/1571/1559/4051/1558/8529/1557/1549/1548",18,"Downres_DEq_MS_B1_vs_BDM"
"GO:0016054","GO:0016054","organic acid catabolic process","20/133","248/18860",0.0806451612903226,11.4358476837254,13.9414548215379,8.10685028619293e-16,2.10662295294071e-13,1.76765908495936e-13,"10840/6342/64577/6470/875/383/23498/2326/10841/3939/131669/152926/6718/66002/32/1036/27165/4051/8529/5105",20,"Downres_DEq_MS_B1_vs_BDM"
"GO:0046395","GO:0046395","carboxylic acid catabolic process","20/133","248/18860",0.0806451612903226,11.4358476837254,13.9414548215379,8.10685028619293e-16,2.10662295294071e-13,1.76765908495936e-13,"10840/6342/64577/6470/875/383/23498/2326/10841/3939/131669/152926/6718/66002/32/1036/27165/4051/8529/5105",20,"Downres_DEq_MS_B1_vs_BDM"
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","18/133","207/18860",0.0869565217391304,12.3308270676692,13.8141282751226,6.65581527663979e-15,1.51336599852597e-12,1.26985949356943e-12,"122622/27232/143941/635/64577/6470/875/383/1491/23498/443/10841/131669/23743/26227/4522/1036/27165",18,"Downres_DEq_MS_B1_vs_BDM"
"GO:0170033","GO:0170033","L-amino acid metabolic process","17/133","177/18860",0.096045197740113,13.6196423261544,14.2154763714831,7.48877412012355e-15,1.5135644582783e-12,1.27002602037183e-12,"122622/27232/143941/635/64577/6470/875/383/23498/443/10841/131669/23743/26227/4522/1036/27165",17,"Downres_DEq_MS_B1_vs_BDM"
"GO:0170039","GO:0170039","proteinogenic amino acid metabolic process","16/133","175/18860",0.0914285714285714,12.9649838882922,13.4009515452918,1.0545176715554e-13,1.91816764455928e-11,1.60952697237404e-11,"122622/27232/143941/635/6470/875/383/23498/443/10841/131669/23743/26227/4522/1036/27165",16,"Downres_DEq_MS_B1_vs_BDM"
"GO:0019373","GO:0019373","epoxygenase P450 pathway","8/133","18/18860",0.444444444444444,63.0242272347536,22.1863142643098,2.03851356144867e-13,3.3709601529774e-11,2.82855948717758e-11,"66002/1571/1559/1558/8529/1557/1549/1548",8,"Downres_DEq_MS_B1_vs_BDM"
"GO:0033559","GO:0033559","unsaturated fatty acid metabolic process","13/133","121/18860",0.107438016528926,15.235195426583,13.2383530427567,3.02099473899598e-12,4.57932452519474e-10,3.84249330837208e-10,"1109/2944/6342/3248/66002/1571/1559/4051/1558/8529/1557/1549/1548",13,"Downres_DEq_MS_B1_vs_BDM"
"GO:0006805","GO:0006805","xenobiotic metabolic process","13/133","135/18860",0.0962962962962963,13.6552492341966,12.4359142620792,1.23945885042352e-11,1.73428896070799e-09,1.45523508754178e-09,"316/2944/2326/6580/66002/1571/1559/10864/1558/8529/1557/1549/1548",13,"Downres_DEq_MS_B1_vs_BDM"
"GO:0006631","GO:0006631","fatty acid metabolic process","20/133","421/18860",0.0475059382422803,6.73655635525869,10.0317032254586,1.63225776683906e-11,2.12076919848589e-09,1.77952914429822e-09,"1109/134526/2944/6342/3248/127/116519/2326/66002/1571/32/1559/5163/4051/1558/8529/1557/5105/1549/1548",20,"Downres_DEq_MS_B1_vs_BDM"
"GO:0008652","GO:0008652","amino acid biosynthetic process","10/133","71/18860",0.140845070422535,19.9724663772106,13.4974640212369,6.92393294317886e-11,8.39642268242823e-09,7.04540545095393e-09,"1806/51733/635/6470/875/1491/23743/26227/4522/27165",10,"Downres_DEq_MS_B1_vs_BDM"
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","8/133","35/18860",0.228571428571429,32.4124597207304,15.675432055643,9.91662120428342e-11,1.12739587316197e-08,9.45993470145457e-09,"27232/635/875/1491/2326/23743/4522/1036",8,"Downres_DEq_MS_B1_vs_BDM"
