"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0016053","GO:0016053","organic acid biosynthetic process","40/321","342/18860",0.116959064327485,6.87180047730958,14.4196924383864,4.32934531904307e-22,1.40833603228471e-18,1.22725546780874e-18,"1806/2194/3992/64577/51733/9415/5313/5053/6319/1109/570/130013/2944/6470/116519/635/1491/26227/2752/2628/9420/80270/1576/2326/32/1559/11057/6718/1571/27165/51302/1544/157506/1558/1036/341/344/1579/4282/10998",40,"Downres_DEq_MS_B2_vs_BD"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","39/321","339/18860",0.115044247787611,6.75929754914123,14.0801033961645,2.69579261991469e-21,4.38470669629124e-18,3.82093132917382e-18,"1806/2194/3992/64577/51733/9415/5313/5053/6319/1109/570/130013/2944/6470/116519/635/1491/26227/2752/2628/9420/80270/1576/32/1559/11057/6718/1571/27165/51302/1544/157506/1558/1036/341/344/1579/4282/10998",39,"Downres_DEq_MS_B2_vs_BD"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","28/321","237/18860",0.118143459915612,6.94138833024436,12.1117245254665,7.21502178225236e-16,7.82348861922231e-13,6.81756268758091e-13,"2194/3992/64577/9415/5313/6319/1109/570/130013/2944/116519/2628/9420/80270/1576/32/1559/11057/6718/1571/51302/1544/157506/1558/341/344/4282/10998",28,"Downres_DEq_MS_B2_vs_BD"
"GO:0006631","GO:0006631","fatty acid metabolic process","35/321","421/18860",0.0831353919239905,4.8845280114843,10.6066763603758,8.97153532148945e-15,7.2961011002013e-12,6.35798542651871e-12,"2194/134526/3992/80724/9415/6319/1109/570/3248/2944/116519/1562/55198/1576/2326/32/1559/1548/11057/1571/5163/2329/5264/5165/1557/1544/1558/57678/341/344/1579/4282/10998/1555/1549",35,"Downres_DEq_MS_B2_vs_BD"
"GO:0006720","GO:0006720","isoprenoid metabolic process","20/321","121/18860",0.165289256198347,9.71138745140444,12.6495624604696,1.72156710251785e-14,1.12005155689811e-11,9.76037938332749e-12,"64577/4047/57107/2222/1109/126/1562/125/130/2224/1576/1559/1571/3422/5264/1557/1544/157506/1558/8630",20,"Downres_DEq_MS_B2_vs_BD"
"GO:0008202","GO:0008202","steroid metabolic process","31/321","345/18860",0.0898550724637681,5.27933541017653,10.5558378657966,4.10292828832994e-14,2.22447095365622e-11,1.9384536632408e-11,"4047/2222/1109/570/116519/9420/80270/2224/2638/1576/1559/1595/1548/6718/1571/3422/7366/51302/1557/1544/7108/6716/1558/2330/1601/20/341/51171/8630/10998/1555",31,"Downres_DEq_MS_B2_vs_BD"
"GO:0019373","GO:0019373","epoxygenase P450 pathway","10/321","18/18860",0.555555555555556,32.6410522672205,17.6722711007169,6.88246458929282e-14,3.19837961556708e-11,2.78713941939332e-11,"1562/1559/1548/1571/1557/1544/1558/1579/1555/1549",10,"Downres_DEq_MS_B2_vs_BD"
"GO:0120254","GO:0120254","olefinic compound metabolic process","22/321","169/18860",0.130177514792899,7.64843591586942,11.4239229358835,1.35172025645983e-13,5.37585022647871e-11,4.68463593441104e-11,"3992/64577/9415/1109/126/1562/125/130/1576/1559/1548/1571/1557/1544/157506/6716/1558/1601/8630/1579/1555/1549",22,"Downres_DEq_MS_B2_vs_BD"
"GO:0006805","GO:0006805","xenobiotic metabolic process","20/321","135/18860",0.148148148148148,8.70428060459213,11.821069141578,1.48732407126678e-13,5.37585022647871e-11,4.68463593441104e-11,"57412/2944/1562/1576/2326/1559/10864/6580/1548/1571/23491/2329/7366/1557/1544/1558/2330/590/1555/1549",20,"Downres_DEq_MS_B2_vs_BD"
"GO:0044282","GO:0044282","small molecule catabolic process","31/321","373/18860",0.0831099195710456,4.88303141155738,9.96691588973403,3.35282464236718e-13,1.09067385616204e-10,9.50437553883664e-11,"10840/1806/64577/51733/80724/229/26007/5053/125061/130013/6470/10841/2752/10327/3176/1576/2326/32/3939/11057/6718/5264/27165/51302/9123/1036/51171/2645/8630/1579/2528",31,"Downres_DEq_MS_B2_vs_BD"
