"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031589","GO:0031589","cell-substrate adhesion","19/129","369/18860",0.0514905149051491,7.52799310938846,10.5096045416912,7.89696505596102e-12,1.9442327967776e-08,1.55196144836624e-08,"7057/3915/3491/3673/4241/3911/5054/960/3679/2243/2266/3675/2335/2244/29780/8829/1601/4811/10562",19,"Downres_DEq_MS_B2_vs_CM"
"GO:0042060","GO:0042060","wound healing","20/129","453/18860",0.0441501103752759,6.45481458664887,9.75239518759496,3.42256591620485e-11,4.21317864284817e-08,3.36312135029182e-08,"7057/2267/3673/5054/960/2243/2266/977/2335/1026/2244/26509/1606/10398/2131/1311/653145/57591/2125/2162",20,"Downres_DEq_MS_B2_vs_CM"
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","11/129","101/18860",0.108910891089109,15.9229411313224,12.47912038773,9.38865178900892e-11,7.70495356817999e-08,6.15039048774725e-08,"3915/4241/3911/2243/2266/2335/2244/29780/8829/1601/10562",11,"Downres_DEq_MS_B2_vs_CM"
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","6/129","18/18860",0.333333333333333,48.733850129199,16.8140727248872,1.58073893975585e-09,9.72944817419727e-07,7.76642000137941e-07,"7057/2243/2266/2335/2244/2162",6,"Downres_DEq_MS_B2_vs_CM"
"GO:0072376","GO:0072376","protein activation cascade","6/129","22/18860",0.272727272727273,39.8731501057082,15.1397039542664,6.2125695978952e-09,2.60600089181805e-06,2.08021021207589e-06,"7057/2243/2266/2335/2244/2162",6,"Downres_DEq_MS_B2_vs_CM"
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","13/129","230/18860",0.0565217391304348,8.26356589147287,9.19773885144111,6.35093637323653e-09,2.60600089181805e-06,2.08021021207589e-06,"7057/3491/4241/5054/2243/2266/3675/2335/2244/8829/1601/4811/10562",13,"Downres_DEq_MS_B2_vs_CM"
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","10/129","117/18860",0.0854700854700855,12.4958590074869,10.3511478166884,7.56935056370447e-09,2.66224872683434e-06,2.12510939886259e-06,"3915/3491/3673/3911/5054/3679/3675/2335/8829/4811",10,"Downres_DEq_MS_B2_vs_CM"
"GO:0007596","GO:0007596","blood coagulation","13/129","243/18860",0.0534979423868313,7.82148211950107,8.88179481505415,1.22727466613617e-08,3.77693778503407e-06,3.01489710746873e-06,"7057/2267/3673/5054/2243/2266/2335/2244/1606/10398/1311/653145/2162",13,"Downres_DEq_MS_B2_vs_CM"
"GO:0050817","GO:0050817","coagulation","13/129","248/18860",0.0524193548387097,7.66379094773693,8.76646263678423,1.56439443799007e-08,4.23755019272951e-06,3.38257565942366e-06,"7057/2267/3673/5054/2243/2266/2335/2244/1606/10398/1311/653145/2162",13,"Downres_DEq_MS_B2_vs_CM"
"GO:0007599","GO:0007599","hemostasis","13/129","250/18860",0.052,7.60248062015504,8.7212283197605,1.72118204416308e-08,4.23755019272951e-06,3.38257565942366e-06,"7057/2267/3673/5054/2243/2266/2335/2244/1606/10398/1311/653145/2162",13,"Downres_DEq_MS_B2_vs_CM"
"GO:0010811","GO:0010811","positive regulation of cell-substrate adhesion","10/129","133/18860",0.075187969924812,10.9925977735035,9.59718408305611,2.61163142184582e-08,5.84530596416765e-06,4.66594819577622e-06,"3491/2243/2266/3675/2335/2244/8829/1601/4811/10562",10,"Downres_DEq_MS_B2_vs_CM"
"GO:0031639","GO:0031639","plasminogen activation","6/129","28/18860",0.214285714285714,31.328903654485,13.3278841137886,3.03323538146214e-08,6.22318792429983e-06,4.96758812034195e-06,"7057/4241/5054/2243/2266/2244",6,"Downres_DEq_MS_B2_vs_CM"
"GO:0030198","GO:0030198","extracellular matrix organization","14/129","331/18860",0.0422960725075529,6.18375137591044,7.89597697696566,6.34140869850572e-08,1.08046277940787e-05,8.62466975567357e-06,"3915/3491/1291/3673/4241/6692/5768/2131/2331/1311/64856/4148/858/4811",14,"Downres_DEq_MS_B2_vs_CM"
"GO:0043062","GO:0043062","extracellular structure organization","14/129","332/18860",0.0421686746987952,6.16512561875409,7.87969418407833,6.58263471664864e-08,1.08046277940787e-05,8.62466975567357e-06,"3915/3491/1291/3673/4241/6692/5768/2131/2331/1311/64856/4148/858/4811",14,"Downres_DEq_MS_B2_vs_CM"
"GO:0045229","GO:0045229","external encapsulating structure organization","14/129","333/18860",0.042042042042042,6.14661172800708,7.86347797686139,6.83213299885978e-08,1.08046277940787e-05,8.62466975567357e-06,"3915/3491/1291/3673/4241/6692/5768/2131/2331/1311/64856/4148/858/4811",14,"Downres_DEq_MS_B2_vs_CM"
"GO:0050878","GO:0050878","regulation of body fluid levels","15/129","389/18860",0.038560411311054,5.63759191725952,7.67000823835083,7.02169149899508e-08,1.08046277940787e-05,8.62466975567357e-06,"7057/2267/3673/5054/2243/2266/2335/2244/1606/10398/2131/1311/653145/2132/2162",15,"Downres_DEq_MS_B2_vs_CM"
"GO:0007160","GO:0007160","cell-matrix adhesion","12/129","246/18860",0.0487804878048781,7.13178294573643,8.03356247506254,1.26080029386332e-07,1.82593548440677e-05,1.45753198058379e-05,"7057/3673/5054/960/3679/2243/2266/3675/2335/2244/8829/4811",12,"Downres_DEq_MS_B2_vs_CM"
"GO:1900024","GO:1900024","regulation of substrate adhesion-dependent cell spreading","7/129","62/18860",0.112903225806452,16.5066266566642,10.1491823695585,2.13904636109237e-07,2.92574007833857e-05,2.33543833693536e-05,"4241/2243/2266/2244/8829/1601/10562",7,"Downres_DEq_MS_B2_vs_CM"
