"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0030198","GO:0030198","extracellular matrix organization","32/357","331/18860",0.0966767371601208,5.10734807518173,10.4718130096147,3.94581349761237e-14,6.16616470636192e-11,4.89177922187005e-11,"4241/3491/649/102/3673/6624/11093/55959/3915/2331/1303/4811/5768/1291/3912/2131/7049/4148/1311/8751/7042/4324/7148/10631/7078/22795/1282/6692/57190/4239/10585/650",32,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0043062","GO:0043062","extracellular structure organization","32/357","332/18860",0.0963855421686747,5.09196449664203,10.4486213674071,4.29288135761841e-14,6.16616470636192e-11,4.89177922187005e-11,"4241/3491/649/102/3673/6624/11093/55959/3915/2331/1303/4811/5768/1291/3912/2131/7049/4148/1311/8751/7042/4324/7148/10631/7078/22795/1282/6692/57190/4239/10585/650",32,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0045229","GO:0045229","external encapsulating structure organization","32/357","333/18860",0.0960960960960961,5.07667331196743,10.4255227460316,4.66897882864355e-14,6.16616470636192e-11,4.89177922187005e-11,"4241/3491/649/102/3673/6624/11093/55959/3915/2331/1303/4811/5768/1291/3912/2131/7049/4148/1311/8751/7042/4324/7148/10631/7078/22795/1282/6692/57190/4239/10585/650",32,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0031589","GO:0031589","cell-substrate adhesion","33/357","369/18860",0.0894308943089431,4.72455648926237,10.0364450961868,1.42784932210492e-13,1.41428475354493e-10,1.12198896731719e-10,"4241/27329/3675/7057/3679/3655/3491/5054/3673/11093/1601/3915/4811/8829/8754/3912/960/967/83706/7059/1490/8751/29780/11151/7148/10631/5467/22795/79987/1029/683/4192/7016",33,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","19/357","117/18860",0.162393162393162,8.57908975556034,11.4225427578593,7.33137831464512e-13,5.80938417652479e-10,4.60873592579586e-10,"27329/3675/3679/3655/3491/102/5054/3673/11093/3915/4811/8829/8754/3912/967/83706/1490/8751/683",19,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0007160","GO:0007160","cell-matrix adhesion","23/357","246/18860",0.0934959349593496,4.93930905695612,8.63853539842014,3.313879518611e-10,2.18826510878947e-07,1.73600776185482e-07,"27329/3675/7057/3679/3655/5054/3673/11093/4811/8829/8754/960/967/83706/7059/1490/8751/7148/10631/22795/79987/1029/683",23,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0061448","GO:0061448","connective tissue development","24/357","307/18860",0.0781758957654723,4.12996468945884,7.68022454260608,5.03771110695733e-09,2.85134448653785e-06,2.2620459196052e-06,"3491/649/5019/4969/2132/55959/1291/2131/960/4148/7059/1311/1490/7042/57211/7048/5467/54795/4023/3265/633/650/4192/84649",24,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0006935","GO:0006935","chemotaxis","29/357","474/18860",0.0611814345991561,3.23216206313749,6.83665445051401,3.21426643709261e-08,1.46711386012353e-05,1.16389967489276e-05,"301/7057/3491/102/5054/3673/7060/1969/8828/3929/6809/23767/8829/10584/2950/23396/7042/11151/5355/10509/54795/566/9423/3265/6278/683/3576/4192/154796",29,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0042330","GO:0042330","taxis","29/357","476/18860",0.0609243697478992,3.21858155026717,6.80975099260043,3.5222291763447e-08,1.46711386012353e-05,1.16389967489276e-05,"301/7057/3491/102/5054/3673/7060/1969/8828/3929/6809/23767/8829/10584/2950/23396/7042/11151/5355/10509/54795/566/9423/3265/6278/683/3576/4192/154796",29,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","6/357","12/18860",0.5,26.4145658263305,12.2324386172529,3.70296279687919e-08,1.46711386012353e-05,1.16389967489276e-05,"4171/4174/4172/4173/4176/4175",6,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0051216","GO:0051216","cartilage development","18/357","216/18860",0.0833333333333333,4.40242763772175,6.98583928017491,1.66864061262178e-07,6.01014009746135e-05,4.76800083185515e-05,"3491/649/4969/2132/55959/1291/2131/960/4148/7059/1311/1490/7042/57211/7048/633/650/4192",18,"Downres_DEq_MS_BDM_vs_BM2"
"GO:1903053","GO:1903053","regulation of extracellular matrix organization","11/357","76/18860",0.144736842105263,7.64632168656937,8.06429632842383,1.82882798318491e-07,6.03818039114884e-05,4.79024592788609e-05,"4241/6624/3915/4811/1291/3912/7049/7042/7148/7078/650",11,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0030174","GO:0030174","regulation of DNA-templated DNA replication initiation","6/357","16/18860",0.375,19.8109243697479,10.4557681571093,3.00967606011059e-07,9.17256657704475e-05,7.27683620687468e-05,"4171/4174/4172/4173/4176/4175",6,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0042060","GO:0042060","wound healing","26/357","453/18860",0.0573951434878587,3.03213559154346,6.08110694325573,5.78813225846779e-07,0.000163804142914638,0.000129950097171314,"301/7057/5054/3673/653145/11093/10398/1606/51129/2131/960/26509/83706/1026/928/1311/3710/57591/10544/7042/2125/5467/2162/5270/79987/3265",26,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0050900","GO:0050900","leukocyte migration","24/357","397/18860",0.0604534005037783,3.19370065406515,6.136120041531,6.34048977231601e-07,0.000167473469852774,0.000132861069895688,"301/3675/7057/3679/3655/102/5054/3673/7060/9518/2629/3929/2131/928/23396/83483/7042/11151/54795/566/6278/683/3576/4192",24,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0032496","GO:0032496","response to lipopolysaccharide","21/357","350/18860",0.06,3.16974789915966,5.69131277026506,3.61982683253583e-06,0.000896359619406685,0.000711105455391578,"7431/5054/3606/1728/11093/3929/10417/8754/1291/54/2950/1604/8140/27063/3934/7097/57048/5467/6590/6278/3576",21,"Downres_DEq_MS_BDM_vs_BM2"
"GO:2001044","GO:2001044","regulation of integrin-mediated signaling pathway","6/357","24/18860",0.25,13.2072829131653,8.31194486274195,4.45007043677519e-06,0.00103712818061784,0.000822780825028528,"5054/3915/4811/3912/967/683",6,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0043588","GO:0043588","skin development","20/357","329/18860",0.060790273556231,3.21149736490341,5.6209187943861,5.08435401494255e-06,0.00111912281151124,0.00088782930342798,"301/3855/3675/3655/3606/3673/1969/2629/2810/8754/1291/2131/1026/1311/7042/2125/80144/64834/1029/6278",20,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0034372","GO:0034372","very-low-density lipoprotein particle remodeling","5/357","15/18860",0.333333333333333,17.609710550887,8.93885694118707,6.0706158902535e-06,0.00126359470949067,0.00100244262667423,"27329/51129/336/3931/4023",5,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0006909","GO:0006909","phagocytosis","17/357","251/18860",0.0677290836653386,3.57806867767027,5.71139489636684,6.37856996209322e-06,0.00126359470949067,0.00100244262667423,"301/306/7057/4240/3673/3929/2934/10417/10584/78989/23396/1201/336/11151/23210/7097/566",17,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0030199","GO:0030199","collagen fibril organization","9/357","71/18860",0.126760563380282,6.69665049118239,6.67988952354037,7.47372269868638e-06,0.00131208469659067,0.00104091099764068,"649/2331/1303/1291/2131/1311/7042/7148/57190",9,"Downres_DEq_MS_BDM_vs_BM2"
"GO:1903829","GO:1903829","positive regulation of protein localization","24/357","459/18860",0.0522875816993464,2.76230753739404,5.30932967078894,7.82754746607105e-06,0.00131208469659067,0.00104091099764068,"3675/7037/1969/2182/9531/5019/493/2810/23171/6809/8878/51768/8754/1201/27063/7042/5213/7097/114899/57192/5467/54795/1029/7016",24,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0007369","GO:0007369","gastrulation","15/357","203/18860",0.0738916256157636,3.90363041768432,5.77751144408028,7.90919593617208e-06,0.00131208469659067,0.00104091099764068,"3675/3679/3673/1969/2132/1303/1291/3912/2131/3909/4324/7048/3914/90/154796",15,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","16/357","229/18860",0.0698689956331878,3.69111836874488,5.6912127758266,8.06742488350499e-06,0.00131208469659067,0.00104091099764068,"7431/5054/3606/11093/3929/10417/8754/2950/1604/8140/27063/3934/7097/57048/5467/3576",16,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0001667","GO:0001667","ameboidal-type cell migration","17/357","256/18860",0.06640625,3.50818452380952,5.61240063300127,8.27918157868927e-06,0.00131208469659067,0.00104091099764068,"3675/7057/3673/8828/8829/8754/967/1201/7042/11151/7048/152007/10509/5467/90/7016/154796",17,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0034370","GO:0034370","triglyceride-rich lipoprotein particle remodeling","5/357","16/18860",0.3125,16.5091036414566,8.62050098188893,8.69318329218186e-06,0.00131321182599364,0.00104180517878185,"27329/51129/336/3931/4023",5,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0008544","GO:0008544","epidermis development","22/357","402/18860",0.054726368159204,2.89114650835459,5.32375725402295,9.2535637111006e-06,0.00131321182599364,0.00104180517878185,"301/3855/3606/1969/2629/2810/8754/1291/2131/1026/1490/3909/7042/3918/2125/5467/3914/79987/6692/64834/1029/6278",22,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0001704","GO:0001704","formation of primary germ layer","12/357","135/18860",0.0888888888888889,4.69592281356987,5.98620007035732,1.00971527447807e-05,0.00131321182599364,0.00104180517878185,"3675/3679/3673/1969/2132/1303/1291/3912/3909/4324/3914/90",12,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0002237","GO:0002237","response to molecule of bacterial origin","21/357","375/18860",0.056,2.95843137254902,5.32091875681466,1.04560847827861e-05,0.00131321182599364,0.00104180517878185,"7431/5054/3606/1728/11093/3929/10417/8754/1291/54/2950/1604/8140/27063/3934/7097/57048/5467/6590/6278/3576",21,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0034368","GO:0034368","protein-lipid complex remodeling","7/357","41/18860",0.170731707317073,9.01960784313726,7.1403442922595,1.06064559393732e-05,0.00131321182599364,0.00104180517878185,"27329/51129/336/5360/55937/3931/4023",7,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0034369","GO:0034369","plasma lipoprotein particle remodeling","7/357","41/18860",0.170731707317073,9.01960784313726,7.1403442922595,1.06064559393732e-05,0.00131321182599364,0.00104180517878185,"27329/51129/336/5360/55937/3931/4023",7,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0071711","GO:0071711","basement membrane organization","7/357","41/18860",0.170731707317073,9.01960784313726,7.1403442922595,1.06064559393732e-05,0.00131321182599364,0.00104180517878185,"3915/4811/1291/3912/2131/22795/1282",7,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0034367","GO:0034367","protein-containing complex remodeling","7/357","43/18860",0.162790697674419,8.60009119927041,6.93027076802698,1.47165323556348e-05,0.00176687579372804,0.00140170863202314,"27329/51129/336/5360/55937/3931/4023",7,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0006644","GO:0006644","phospholipid metabolic process","21/357","385/18860",0.0545454545454545,2.88158899923606,5.18125861979376,1.55352820151644e-05,0.00181031727482593,0.00143617189155669,"27329/27293/55361/1606/8611/23396/1201/336/79888/255738/3931/84803/132671/1040/90809/5467/4023/51365/84302/26279/21",21,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0042063","GO:0042063","gliogenesis","20/357","357/18860",0.0560224089635854,2.95961521863647,5.19225724660775,1.6878028850601e-05,0.00186438982257992,0.00147906905343491,"7431/1272/2629/5649/1291/3912/2950/8140/928/7042/57211/7097/566/5270/6692/9423/3265/650/4192/23512",20,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0007596","GO:0007596","blood coagulation","16/357","243/18860",0.065843621399177,3.47846134338509,5.40135598276887,1.69404426079953e-05,0.00186438982257992,0.00147906905343491,"7057/5054/3673/653145/11093/10398/1606/51129/83706/928/1311/3710/10544/2162/5270/79987",16,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0031099","GO:0031099","regeneration","14/357","194/18860",0.0721649484536082,3.81241156256317,5.46923359595131,2.06665050247042e-05,0.00210387743437,0.00166906081963624,"301/4131/55959/1291/2950/1026/7049/8140/928/8751/10631/5467/57190/4192",14,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","16/357","247/18860",0.0647773279352227,3.42212998559748,5.32243171211248,2.07176611061251e-05,0.00210387743437,0.00166906081963624,"7431/5054/3606/11093/3929/10417/8754/2950/1604/8140/27063/3934/7097/57048/5467/3576",16,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0050921","GO:0050921","positive regulation of chemotaxis","12/357","145/18860",0.0827586206896552,4.37206606780643,5.66183911353535,2.08338451906903e-05,0.00210387743437,0.00166906081963624,"7057/102/5054/3673/7060/3929/6809/8829/566/6278/3576/4192",12,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","10/357","101/18860",0.099009900990099,5.23060709432288,5.92148866688275,2.17195685779173e-05,0.00210387743437,0.00166906081963624,"4241/1601/3915/8829/3912/83706/29780/10631/4192/7016",10,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0050817","GO:0050817","coagulation","16/357","248/18860",0.0645161290322581,3.40833107436523,5.30295414462952,2.17715736519864e-05,0.00210387743437,0.00166906081963624,"7057/5054/3673/653145/11093/10398/1606/51129/83706/928/1311/3710/10544/2162/5270/79987",16,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0010631","GO:0010631","epithelial cell migration","10/357","102/18860",0.0980392156862745,5.17932663261383,5.87875685944382,2.368149179684e-05,0.00216317194373194,0.00171610069980169,"3675/3673/8754/967/7042/11151/7048/152007/5467/7016",10,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0010718","GO:0010718","positive regulation of epithelial to mesenchymal transition","8/357","63/18860",0.126984126984127,6.70846116224267,6.30401762318484,2.38187497159363e-05,0.00216317194373194,0.00171610069980169,"1601/7042/7148/7048/152007/90/650/4192",8,"Downres_DEq_MS_BDM_vs_BM2"
