"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","18/301","117/18860",0.153846153846154,9.63966266291848,11.9381066990312,4.35329746605247e-13,1.67776084341662e-09,1.26474747434788e-09,"2335/3915/27329/3679/3675/3655/4811/5054/8754/102/3491/3911/8829/83706/3689/1490/6714/967",18,"Downres_DEq_MS_BDM_vs_DM"
"GO:0031589","GO:0031589","cell-substrate adhesion","27/301","369/18860",0.0731707317073171,4.58471760797342,8.85631846625642,5.09925163519758e-11,9.82625790102573e-08,7.40733395428701e-08,"7057/2244/2243/2266/4241/2335/3915/27329/3679/3675/3655/4811/5054/8754/4059/3491/3911/1601/8829/83706/960/11151/3689/1490/5880/6714/967",27,"Downres_DEq_MS_BDM_vs_DM"
"GO:0042060","GO:0042060","wound healing","28/301","453/18860",0.0618101545253863,3.87288875198932,7.88209556308267,1.06626169257589e-09,1.36979085439583e-06,1.03259027070508e-06,"7057/301/2267/2244/2243/2266/2335/348/26509/2153/5054/2131/2162/83706/960/7035/1026/653145/1606/10398/10544/6714/977/7042/7046/2247/3265/5270",28,"Downres_DEq_MS_BDM_vs_DM"
"GO:0007160","GO:0007160","cell-matrix adhesion","20/301","246/18860",0.0813008130081301,5.09413067552602,8.23141866370351,2.92451526955718e-09,2.81777046221835e-06,2.12412161683627e-06,"7057/2244/2243/2266/2335/27329/3679/3675/3655/4811/5054/8754/4059/8829/83706/960/3689/1490/6714/967",20,"Downres_DEq_MS_BDM_vs_DM"
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","6/301","12/18860",0.5,31.328903654485,13.3838170104047,1.34038163570958e-08,1.03316616480495e-05,7.78832276749146e-06,"4176/4174/4171/4172/4175/4173",6,"Downres_DEq_MS_BDM_vs_DM"
"GO:1903829","GO:1903829","positive regulation of protein localization","26/301","459/18860",0.0566448801742919,3.54924398700048,7.04145366545749,2.58447155924526e-08,1.66009223155521e-05,1.25142833395034e-05,"2244/2243/2266/7037/348/2182/3675/8754/23171/1969/5019/27063/27032/43/1201/6809/6714/51768/7042/4193/324/26229/322/51304/57192/114899",26,"Downres_DEq_MS_BDM_vs_DM"
"GO:0007596","GO:0007596","blood coagulation","18/301","243/18860",0.0740740740740741,4.64131905992371,7.27565862954834,7.68904335284707e-08,3.79123725600428e-05,2.85795068051561e-05,"7057/2267/2244/2243/2266/2335/348/2153/5054/2162/83706/7035/653145/1606/10398/10544/6714/5270",18,"Downres_DEq_MS_BDM_vs_DM"
"GO:0050878","GO:0050878","regulation of body fluid levels","23/301","389/18860",0.0591259640102828,3.7047032599134,6.86458857458689,7.86971926518791e-08,3.79123725600428e-05,2.85795068051561e-05,"7057/2267/2244/2243/2266/2335/5243/348/2153/5054/2131/231/2162/83706/57493/7035/653145/1606/2132/10398/10544/6714/5270",23,"Downres_DEq_MS_BDM_vs_DM"
"GO:0050817","GO:0050817","coagulation","18/301","248/18860",0.0725806451612903,4.54774407887686,7.16220742610285,1.04650593266188e-07,3.79364534605083e-05,2.85976597249619e-05,"7057/2267/2244/2243/2266/2335/348/2153/5054/2162/83706/7035/653145/1606/10398/10544/6714/5270",18,"Downres_DEq_MS_BDM_vs_DM"
"GO:1904951","GO:1904951","positive regulation of establishment of protein localization","21/301","334/18860",0.062874251497006,3.93956273499513,6.90288167253035,1.05297121232118e-07,3.79364534605083e-05,2.85976597249619e-05,"2244/2243/2266/348/2182/8754/2040/5019/27063/27032/43/1201/3689/5880/51768/7042/4193/26229/3265/322/114899",21,"Downres_DEq_MS_BDM_vs_DM"
"GO:0030174","GO:0030174","regulation of DNA-templated DNA replication initiation","6/301","16/18860",0.375,23.4966777408638,11.4645529091224,1.10069623428562e-07,3.79364534605083e-05,2.85976597249619e-05,"4176/4174/4171/4172/4175/4173",6,"Downres_DEq_MS_BDM_vs_DM"
"GO:0007599","GO:0007599","hemostasis","18/301","250/18860",0.072,4.51136212624585,7.11766806137583,1.1812076842919e-07,3.79364534605083e-05,2.85976597249619e-05,"7057/2267/2244/2243/2266/2335/348/2153/5054/2162/83706/7035/653145/1606/10398/10544/6714/5270",18,"Downres_DEq_MS_BDM_vs_DM"
"GO:0031639","GO:0031639","plasminogen activation","7/301","28/18860",0.25,15.6644518272425,9.88921726331111,2.18486049037971e-07,6.38171652590712e-05,4.81073323997041e-05,"7057/2244/2243/2266/4241/5054/5270",7,"Downres_DEq_MS_BDM_vs_DM"
