"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051607","GO:0051607","defense response to virus","62/683","334/18860",0.18562874251497,5.12585370985701,14.747038266838,7.50439865470753e-27,3.69141369825063e-23,3.01202863898945e-23,"3434/3437/4939/4599/9636/23586/6772/4940/3433/3669/25939/6773/5371/6737/64135/4938/51251/5359/55601/103/2633/11277/5610/197259/834/7098/10379/24138/56829/79132/8638/57169/151636/684/83666/10410/91351/10475/64343/4615/2634/958/2635/10581/7726/55337/148022/54726/7128/81622/64108/85363/23515/3459/10346/60489/10417/7097/3665/1755/22900/3455",62,"Downres_DEq_MS_BD_vs_BT"
"GO:0009615","GO:0009615","response to virus","70/683","445/18860",0.157303370786517,4.34369190780924,13.8365869487059,1.07886134337137e-25,2.65345947402189e-22,2.16510436961844e-22,"3434/3437/4939/4599/9636/23586/6772/4940/3433/3669/25939/6773/5371/6737/64135/4938/51251/5359/55601/103/10561/2633/11277/5610/197259/834/7098/10379/24138/56829/79132/8638/57169/151636/684/23607/83666/10410/91351/10475/64343/4615/2634/958/9111/2635/10581/7726/3965/55337/148022/54726/7128/2962/81622/64108/85363/23515/2332/3459/10346/2131/60489/10417/7097/3665/1755/3717/22900/3455",70,"Downres_DEq_MS_BD_vs_BT"
"GO:0050792","GO:0050792","regulation of viral process","38/683","141/18860",0.269503546099291,7.4419280811605,14.8830754916573,6.93331004179665e-23,1.13683173651992e-19,9.27603901381425e-20,"3434/4939/4599/9636/6772/4940/3669/6737/64135/4938/6672/5359/103/5610/24138/56829/8638/972/57169/684/10410/10475/9830/10581/9683/3965/10614/55337/85363/6780/2332/128637/51773/60489/3838/7113/6590/4851",38,"Downres_DEq_MS_BD_vs_BT"
"GO:1903900","GO:1903900","regulation of viral life cycle","32/683","115/18860",0.278260869565217,7.68374816983895,13.9358946467436,6.23525856056172e-20,7.66780921485077e-17,6.2565897082689e-17,"3434/4939/4599/9636/4940/3669/6737/64135/4938/5359/103/5610/24138/56829/8638/972/57169/684/10410/10475/10581/9683/3965/55337/85363/6780/2332/60489/3838/7113/6590/4851",32,"Downres_DEq_MS_BD_vs_BT"
"GO:0048525","GO:0048525","negative regulation of viral process","26/683","76/18860",0.342105263157895,9.44671341604377,14.3024057435068,5.9402210099602e-19,5.84398942959885e-16,4.76843425494279e-16,"3434/4939/4599/9636/6772/4940/3669/6737/64135/4938/6672/5359/5610/24138/56829/8638/57169/684/10410/9830/10581/9683/10614/55337/60489/6590",26,"Downres_DEq_MS_BD_vs_BT"
"GO:0034341","GO:0034341","response to type II interferon","32/683","129/18860",0.248062015503876,6.84985301962387,12.923135741351,2.69627561020541e-18,2.21049662110007e-15,1.80366647398478e-15,"6772/115361/6737/54625/7431/6672/51667/2633/834/7098/972/684/83666/10410/2634/958/2635/11093/10581/2934/3965/55337/2643/961/10241/1613/140885/55647/3459/7097/6584/3717",32,"Downres_DEq_MS_BD_vs_BT"
"GO:0045071","GO:0045071","negative regulation of viral genome replication","21/683","50/18860",0.42,11.5976573938507,14.5448436852605,1.01167649560009e-17,7.10919525979551e-15,5.8007856807867e-15,"3434/4939/4599/9636/4940/3669/64135/4938/5359/5610/24138/56829/8638/57169/684/10410/10581/9683/55337/60489/6590",21,"Downres_DEq_MS_BD_vs_BT"
"GO:0045069","GO:0045069","regulation of viral genome replication","25/683","80/18860",0.3125,8.6292093704246,13.2551702907411,3.38935251983527e-17,2.08402813063371e-14,1.7004738365963e-14,"3434/4939/4599/9636/4940/3669/64135/4938/5359/103/5610/24138/56829/8638/57169/684/10410/10475/10581/9683/55337/6780/60489/6590/4851",25,"Downres_DEq_MS_BD_vs_BT"
"GO:0016032","GO:0016032","viral process","53/683","396/18860",0.133838383838384,3.69574219501013,10.5092477925973,1.59725068596846e-16,8.72986236030983e-14,7.12317762058214e-14,"3434/4939/4599/9636/6772/4940/3669/6737/64135/4938/6672/5359/103/84875/3678/5610/24138/56829/290/8638/972/57169/684/83666/10410/950/90678/6520/10475/2634/9830/10581/9683/3965/10614/55337/10241/2959/85363/6780/2332/2621/79643/137492/1604/128637/51773/60489/3838/7113/3665/6590/4851",53,"Downres_DEq_MS_BD_vs_BT"
"GO:0060759","GO:0060759","regulation of response to cytokine stimulus","36/683","210/18860",0.171428571428571,4.73373771177578,10.5468462278096,6.26544457007541e-15,3.0819721840201e-12,2.51475159428395e-12,"9636/23586/4940/25939/6773/64135/4938/54625/103/11277/834/841/972/83666/8737/837/958/29761/8767/7186/54726/7128/3557/2621/114769/2950/2131/56928/58509/7097/3665/1435/5598/6880/22900/1893",36,"Downres_DEq_MS_BD_vs_BT"
"GO:0019079","GO:0019079","viral genome replication","27/683","117/18860",0.230769230769231,6.37233922739047,11.2991398622858,8.43210484551696e-15,3.52119158428989e-12,2.87313499981754e-12,"3434/4939/4599/9636/4940/3669/64135/4938/5359/103/5610/24138/56829/8638/57169/684/10410/10475/10581/9683/55337/6780/2332/2621/60489/6590/4851",27,"Downres_DEq_MS_BD_vs_BT"
"GO:0019058","GO:0019058","viral life cycle","43/683","298/18860",0.144295302013423,3.98449399117592,10.0664197391763,8.5900180954419e-15,3.52119158428989e-12,2.87313499981754e-12,"3434/4939/4599/9636/4940/3669/6737/64135/4938/5359/103/3678/5610/24138/56829/290/8638/972/57169/684/10410/950/90678/6520/10475/2634/10581/9683/3965/55337/85363/6780/2332/2621/79643/137492/1604/128637/60489/3838/7113/6590/4851",43,"Downres_DEq_MS_BD_vs_BT"
"GO:0034340","GO:0034340","response to type I interferon","23/683","99/18860",0.232323232323232,6.41525060265909,10.471689189381,7.12448938017017e-13,2.69579717392746e-10,2.19965004101934e-10,"3434/4939/4599/9636/6772/4940/25939/6773/64135/4938/6672/103/11277/8638/10410/64343/4615/10581/55337/23515/58509/3665/3455",23,"Downres_DEq_MS_BD_vs_BT"
"GO:0007249","GO:0007249","canonical NF-kappaB signal transduction","44/683","359/18860",0.122562674094708,3.38438072243951,8.84165985221876,1.44679501664923e-12,4.85761786231009e-10,3.963599128832e-10,"6772/6737/10616/834/7098/24138/80833/56829/10133/841/972/684/8737/840/10475/64343/4615/958/8743/56957/7726/3965/55072/5587/8767/148022/7186/7128/85363/140885/114769/2950/10346/153090/58509/7097/9618/7185/79753/5581/22900/7049/1893/80762",44,"Downres_DEq_MS_BD_vs_BT"
"GO:0002474","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","15/683","38/18860",0.394736842105263,10.900053941589,11.8414545706372,1.48128212918584e-12,4.85761786231009e-10,3.963599128832e-10,"6891/3105/6890/3106/3107/6892/5641/3134/567/4012/55080/3133/3136/10437/1636",15,"Downres_DEq_MS_BD_vs_BT"
"GO:0043122","GO:0043122","regulation of canonical NF-kappaB signal transduction","42/683","332/18860",0.126506024096386,3.49327029935261,8.88449429699075,1.64896953499227e-12,5.06955071414187e-10,4.13652686639838e-10,"6772/10616/834/7098/24138/80833/56829/10133/841/972/684/8737/840/10475/64343/4615/958/8743/56957/3965/55072/5587/8767/148022/7186/7128/85363/140885/114769/2950/10346/153090/58509/7097/9618/7185/79753/5581/22900/7049/1893/80762",42,"Downres_DEq_MS_BD_vs_BT"
"GO:0001959","GO:0001959","regulation of cytokine-mediated signaling pathway","31/683","198/18860",0.156565656565657,4.32332105831374,9.11243368003781,5.79735703836018e-12,1.67748231009963e-09,1.3687506122147e-09,"9636/4940/25939/6773/4938/54625/103/11277/834/841/972/83666/8737/837/958/29761/8767/7186/54726/7128/3557/2621/114769/2950/2131/56928/58509/3665/1435/22900/1893",31,"Downres_DEq_MS_BD_vs_BT"
"GO:0019882","GO:0019882","antigen processing and presentation","24/683","120/18860",0.2,5.52269399707174,9.63411027013886,7.1538097113278e-12,1.95497722055675e-09,1.59517406019257e-09,"6891/3105/6890/11277/3106/7057/3107/6892/972/2629/5641/3134/567/4012/5696/55080/3133/3136/81622/968/10437/2131/1636/1515",24,"Downres_DEq_MS_BD_vs_BT"
"GO:0140888","GO:0140888","interferon-mediated signaling pathway","24/683","121/18860",0.198347107438017,5.47705189792239,9.5767949061248,8.6244674736757e-12,2.23282923700057e-09,1.82188889069947e-09,"4939/9636/6772/4940/25939/6773/64135/4938/54625/6672/103/11277/8638/83666/10410/64343/4615/10581/23515/3459/58509/3665/3717/3455",24,"Downres_DEq_MS_BD_vs_BT"
"GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","26/683","144/18860",0.180555555555556,4.9857654140231,9.30668555349318,1.11232652135325e-11,2.73576707926832e-09,2.2322636978526e-09,"9636/4940/25939/6773/6737/4938/3105/54625/103/11277/3106/79132/3134/634/10475/9111/3133/3965/7128/140885/10906/114769/2896/58509/55646/22900",26,"Downres_DEq_MS_BD_vs_BT"
"GO:0071357","GO:0071357","cellular response to type I interferon","21/683","93/18860",0.225806451612903,6.23529967411326,9.81056844329832,1.28379183360163e-11,3.00712953785066e-09,2.45368333910927e-09,"3434/4939/9636/6772/4940/25939/6773/64135/4938/6672/103/11277/8638/10410/64343/4615/10581/23515/58509/3665/3455",21,"Downres_DEq_MS_BD_vs_BT"
"GO:0045824","GO:0045824","negative regulation of innate immune response","22/683","104/18860",0.211538461538462,5.84131095844127,9.5966159386278,1.66902914061498e-11,3.73179742849321e-09,3.04497995845211e-09,"9636/4940/25939/6773/6737/4938/3105/54625/103/11277/3106/79132/3134/634/9111/3133/3965/7128/10906/2896/58509/55646",22,"Downres_DEq_MS_BD_vs_BT"
"GO:0032479","GO:0032479","regulation of type I interferon production","25/683","136/18860",0.183823529411765,5.07600551201447,9.24726873991267,1.84361701387495e-11,3.77864670468787e-09,3.08320687451982e-09,"4939/9636/23586/6772/4940/6737/64135/4938/11277/7098/56829/79132/54739/10475/4615/9111/9444/8767/148022/23515/140885/58509/3838/7097/3665",25,"Downres_DEq_MS_BD_vs_BT"
"GO:0032606","GO:0032606","type I interferon production","25/683","136/18860",0.183823529411765,5.07600551201447,9.24726873991267,1.84361701387495e-11,3.77864670468787e-09,3.08320687451982e-09,"4939/9636/23586/6772/4940/6737/64135/4938/11277/7098/56829/79132/54739/10475/4615/9111/9444/8767/148022/23515/140885/58509/3838/7097/3665",25,"Downres_DEq_MS_BD_vs_BT"
"GO:0032608","GO:0032608","interferon-beta production","17/683","62/18860",0.274193548387097,7.5714353185661,10.0463623507979,4.2007141051795e-11,7.94742795514538e-09,6.48474610649775e-09,"4939/9636/23586/4940/64135/4938/7098/56829/10475/9111/8767/148022/23515/140885/58509/7097/3665",17,"Downres_DEq_MS_BD_vs_BT"
"GO:0032648","GO:0032648","regulation of interferon-beta production","17/683","62/18860",0.274193548387097,7.5714353185661,10.0463623507979,4.2007141051795e-11,7.94742795514538e-09,6.48474610649775e-09,"4939/9636/23586/4940/64135/4938/7098/56829/10475/9111/8767/148022/23515/140885/58509/7097/3665",17,"Downres_DEq_MS_BD_vs_BT"
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","32/683","229/18860",0.139737991266376,3.85865082764838,8.43663670437635,5.76438529437014e-11,1.05018560233358e-08,8.56904527385315e-09,"129607/7431/834/5054/3929/840/567/4615/3606/2634/958/2635/11093/8767/148022/7128/968/85363/140885/114769/2950/1604/153090/58509/10417/7097/28964/5581/3717/8140/22900/5467",32,"Downres_DEq_MS_BD_vs_BT"
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","18/683","72/18860",0.25,6.90336749633968,9.72824211470471,6.11110909997886e-11,1.07359091652843e-08,8.76002217978173e-09,"6891/3105/6890/3106/3107/6892/972/5641/3134/567/4012/55080/3133/3136/81622/10437/1636/1515",18,"Downres_DEq_MS_BD_vs_BT"
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","20/683","92/18860",0.217391304347826,6.00292825768668,9.32433288844309,8.26002819423651e-11,1.40107167887756e-08,1.14321188764515e-08,"4939/9636/6772/4940/25939/6773/64135/4938/6672/103/11277/8638/10410/64343/4615/10581/23515/58509/3665/3455",20,"Downres_DEq_MS_BD_vs_BT"
"GO:0071346","GO:0071346","cellular response to type II interferon","21/683","103/18860",0.203883495145631,5.62993077371391,9.13313756607075,1.00728631148633e-10,1.65161378873375e-08,1.34764305463066e-08,"6772/115361/54625/7431/6672/2633/834/7098/83666/2634/2635/11093/2934/3965/961/1613/140885/55647/3459/7097/3717",21,"Downres_DEq_MS_BD_vs_BT"
"GO:0032496","GO:0032496","response to lipopolysaccharide","40/683","350/18860",0.114285714285714,3.15582514118385,7.89137939707502,1.34416171934924e-10,2.132881128219e-08,1.74033569978901e-08,"129607/7431/834/841/5054/3929/840/567/4615/3606/2634/958/2635/11093/3965/2643/8767/1728/148022/7128/968/85363/140885/114769/3066/2950/1604/153090/58509/54/10417/7097/28964/6590/5581/3717/8140/22900/5467/4851",40,"Downres_DEq_MS_BD_vs_BT"
"GO:0031348","GO:0031348","negative regulation of defense response","37/683","313/18860",0.118210862619808,3.26421210689544,7.82998661307316,2.56886872078956e-10,3.9488328867387e-08,3.22207119485874e-08,"9636/4940/25939/6773/6737/4938/3105/54625/103/11277/3106/79132/2629/3134/634/10475/4907/27293/4192/9111/3133/3965/5580/7128/140885/10906/2950/2896/58509/54/28964/55646/5598/5925/114899/5467/80762",37,"Downres_DEq_MS_BD_vs_BT"
