"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0006805","GO:0006805","xenobiotic metabolic process","15/135","135/18860",0.111111111111111,15.522633744856,14.3786018193452,4.45796086116688e-14,9.33051208242228e-11,7.66300009082686e-11,"2944/1576/1559/10599/8647/1548/1557/2329/1558/2939/10864/590/1555/1549/2940",15,"Downres_DEq_MS_CM_vs_D"
"GO:0006959","GO:0006959","humoral immune response","18/135","307/18860",0.0586319218241042,8.19109663409338,10.7863011533957,7.45127607203143e-12,7.79776040938089e-09,6.40417569769860e-09,"3273/718/3827/7018/4153/10878/731/728358/3493/283/735/6038/116842/3123/10877/6360/5648/732",18,"Downres_DEq_MS_CM_vs_D"
"GO:0071466","GO:0071466","cellular response to xenobiotic stimulus","15/135","202/18860",0.0742574257425743,10.3740374037404,11.3732640917575,1.65472224789994e-11,1.02673032088053e-08,8.432371634762e-09,"2944/1576/1559/10599/8647/1548/1557/2329/1558/2939/10864/590/1555/1549/2940",15,"Downres_DEq_MS_CM_vs_D"
"GO:0042178","GO:0042178","xenobiotic catabolic process","8/135","29/18860",0.275862068965517,38.5389527458493,17.1774922462279,2.1139870413787e-11,1.02673032088053e-08,8.432371634762e-09,"2944/1576/1559/1548/1557/2329/1558/1555",8,"Downres_DEq_MS_CM_vs_D"
"GO:0019373","GO:0019373","epoxygenase P450 pathway","7/135","18/18860",0.388888888888889,54.3292181069959,19.2199950024005,2.45277190845802e-11,1.02673032088053e-08,8.432371634762e-09,"1559/1548/1557/1558/1579/1555/1549",7,"Downres_DEq_MS_CM_vs_D"
"GO:0006631","GO:0006631","fatty acid metabolic process","19/135","421/18860",0.0451306413301663,6.30491774434767,9.34687256115859,1.71315575466432e-10,5.97605832418736e-08,4.90804096029268e-08,"116519/2194/718/2944/6342/134526/1576/1559/5166/8647/1548/1557/2329/1558/1579/344/6916/1555/1549",19,"Downres_DEq_MS_CM_vs_D"
"GO:0006956","GO:0006956","complement activation","9/135","65/18860",0.138461538461538,19.3435897435897,12.5786821587229,8.58317159421268e-10,2.56636830666959e-07,2.10771717493975e-07,"718/4153/10878/731/3493/735/10877/5648/732",9,"Downres_DEq_MS_CM_vs_D"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","16/135","339/18860",0.0471976401179941,6.59368513055829,8.82431394596611,2.78084793324663e-09,6.60275498601367e-07,5.42273688845541e-07,"116519/2194/51733/2944/6342/635/1576/6718/1559/5166/8647/51302/1558/1579/344/6916",16,"Downres_DEq_MS_CM_vs_D"
"GO:0009410","GO:0009410","response to xenobiotic stimulus","18/135","443/18860",0.0406320541760722,5.67644845748683,8.45714686290649,2.85220336167697e-09,6.60275498601367e-07,5.42273688845541e-07,"80781/2944/1576/1559/10599/8647/1536/1548/1557/2329/1558/2939/10864/590/1555/1549/1535/2940",18,"Downres_DEq_MS_CM_vs_D"
"GO:0016053","GO:0016053","organic acid biosynthetic process","16/135","342/18860",0.0467836257309941,6.53584578730778,8.77233681041308,3.15468465648049e-09,6.60275498601367e-07,5.42273688845541e-07,"116519/2194/51733/2944/6342/635/1576/6718/1559/5166/8647/51302/1558/1579/344/6916",16,"Downres_DEq_MS_CM_vs_D"
"GO:0001676","GO:0001676","long-chain fatty acid metabolic process","10/135","110/18860",0.0909090909090909,12.7003367003367,10.4498334206468,6.44564329420559e-09,1.22643012861566e-06,1.00724741621414e-06,"2944/6342/1576/1559/1548/1557/1558/1579/1555/1549",10,"Downres_DEq_MS_CM_vs_D"
