"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","5/22","360/18860",0.0138888888888889,11.9065656565657,7.14013920130149,4.96676074247154e-05,0.0137005379616215,0.00904153309711594,"116519/2645/27232/8647/1581",5,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0055088","GO:0055088","lipid homeostasis","4/22","194/18860",0.0206185567010309,17.6757263355201,7.97835337286942,6.86703023938718e-05,0.0137005379616215,0.00904153309711594,"116519/8647/5244/1581",4,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0032782","GO:0032782","bile acid secretion","2/22","11/18860",0.181818181818182,155.867768595041,17.5576545775338,7.0987243324464e-05,0.0137005379616215,0.00904153309711594,"8647/5244",2,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:1904251","GO:1904251","regulation of bile acid metabolic process","2/22","15/18860",0.133333333333333,114.30303030303,15.0017650091268,0.000135138428612713,0.0195612875416902,0.0129092762069512,"8647/1581",2,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0042632","GO:0042632","cholesterol homeostasis","3/22","112/18860",0.0267857142857143,22.9626623376623,7.96654104265033,0.000289153619044292,0.0245406456659832,0.0161953538346549,"116519/8647/1581",3,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0055092","GO:0055092","sterol homeostasis","3/22","113/18860",0.0265486725663717,22.7594529364441,7.92819966251195,0.000296815374058312,0.0245406456659832,0.0161953538346549,"116519/8647/1581",3,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0019217","GO:0019217","regulation of fatty acid metabolic process","3/22","115/18860",0.0260869565217391,22.3636363636364,7.85298285529908,0.000312530275793733,0.0245406456659832,0.0161953538346549,"116519/8647/1581",3,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0015850","GO:0015850","organic hydroxy compound transport","4/22","294/18860",0.0136054421768707,11.6635745207174,6.29753478189235,0.000339076278631892,0.0245406456659832,0.0161953538346549,"116519/8647/5244/28234",4,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0015721","GO:0015721","bile acid and bile salt transport","2/22","27/18860",0.0740740740740741,63.5016835016835,11.1062416495964,0.000447933929987155,0.0272124505536607,0.0179585847668009,"8647/28234",2,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0006805","GO:0006805","xenobiotic metabolic process","3/22","135/18860",0.0222222222222222,19.0505050505051,7.19281024691963,0.000499967767010201,0.0272124505536607,0.0179585847668009,"8647/1549/28234",3,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","4/22","339/18860",0.0117994100294985,10.1153124161974,5.78751947963946,0.00058064478623257,0.0272124505536607,0.0179585847668009,"116519/27165/8647/1581",4,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0016053","GO:0016053","organic acid biosynthetic process","4/22","342/18860",0.0116959064327485,10.026581605529,5.75695189236346,0.000600184880695231,0.0272124505536607,0.0179585847668009,"116519/27165/8647/1581",4,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0010565","GO:0010565","regulation of ketone metabolic process","3/22","149/18860",0.0201342281879195,17.2605247101891,6.80977033019759,0.000666540415484273,0.0272124505536607,0.0179585847668009,"116519/8647/1581",3,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0046942","GO:0046942","carboxylic acid transport","4/22","356/18860",0.0112359550561798,9.63227783452503,5.61915320748519,0.00069762154978535,0.0272124505536607,0.0179585847668009,"8647/5244/10991/28234",4,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0015849","GO:0015849","organic acid transport","4/22","357/18860",0.0112044817927171,9.60529666412019,5.60960336688987,0.000704985765638879,0.0272124505536607,0.0179585847668009,"8647/5244/10991/28234",4,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0044282","GO:0044282","small molecule catabolic process","4/22","373/18860",0.0107238605898123,9.19327321472094,5.46175112569351,0.000830479108752172,0.0298451983206715,0.0196960403425212,"2645/27165/8647/1581",4,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0006699","GO:0006699","bile acid biosynthetic process","2/22","38/18860",0.0526315789473684,45.1196172248804,9.3034477751964,0.000890201368008777,0.0298451983206715,0.0196960403425212,"8647/1581",2,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0062013","GO:0062013","positive regulation of small molecule metabolic process","3/22","167/18860",0.0179640718562874,15.4001088731628,6.38760103511879,0.000927829999606369,0.0298451983206715,0.0196960403425212,"116519/2645/1581",3,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0032892","GO:0032892","positive regulation of organic acid transport","2/22","42/18860",0.0476190476190476,40.8225108225108,8.82916893250786,0.00108720054997463,0.0303179619790215,0.0200080359937911,"8647/10991",2,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0046717","GO:0046717","acid secretion","2/22","42/18860",0.0476190476190476,40.8225108225108,8.82916893250786,0.00108720054997463,0.0303179619790215,0.0200080359937911,"8647/5244",2,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0032965","GO:0032965","regulation of collagen biosynthetic process","2/22","43/18860",0.0465116279069767,39.8731501057082,8.72091482882301,0.00113943011952407,0.0303179619790215,0.0200080359937911,"51430/1581",2,"Downres_DEq_MS_CTRL_vs_HDV.myr"
"GO:0015718","GO:0015718","monocarboxylic acid transport","3/22","180/18860",0.0166666666666667,14.2878787878788,6.12148442454605,0.00115197782994555,0.0303179619790215,0.0200080359937911,"8647/5244/28234",3,"Downres_DEq_MS_CTRL_vs_HDV.myr"
