"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0036315","GO:0036315","cellular response to sterol","3/25","28/18860",0.107142857142857,80.8285714285714,15.4005301983663,6.5942349433928e-06,0.00192505141870549,0.00135589819612324,"5105/2822/1581",3,"Downres_DEq_MS_C_vs_BM2"
"GO:0009749","GO:0009749","response to glucose","5/25","209/18860",0.0239234449760766,18.0478468899522,9.02896855617019,7.06573771578884e-06,0.00192505141870549,0.00135589819612324,"5105/2645/2822/1293/1581",5,"Downres_DEq_MS_C_vs_BM2"
"GO:0009746","GO:0009746","response to hexose","5/25","215/18860",0.0232558139534884,17.5441860465116,8.88853043271859,8.10761232166086e-06,0.00192505141870549,0.00135589819612324,"5105/2645/2822/1293/1581",5,"Downres_DEq_MS_C_vs_BM2"
"GO:0034284","GO:0034284","response to monosaccharide","5/25","222/18860",0.0225225225225225,16.990990990991,8.73169856171902,9.47134769350794e-06,0.00192505141870549,0.00135589819612324,"5105/2645/2822/1293/1581",5,"Downres_DEq_MS_C_vs_BM2"
"GO:0009743","GO:0009743","response to carbohydrate","5/25","247/18860",0.0202429149797571,15.2712550607287,8.22524756601839,1.58669430028169e-05,0.00228084852935155,0.00160650171550106,"5105/2645/2822/1293/1581",5,"Downres_DEq_MS_C_vs_BM2"
"GO:0036314","GO:0036314","response to sterol","3/25","38/18860",0.0789473684210526,59.5578947368421,13.1640914529254,1.68328304749192e-05,0.00228084852935155,0.00160650171550106,"5105/2822/1581",3,"Downres_DEq_MS_C_vs_BM2"
"GO:0062013","GO:0062013","positive regulation of small molecule metabolic process","4/25","167/18860",0.0239520958083832,18.0694610778443,8.07207269823082,6.48757175278037e-05,0.00753485119287205,0.00530712636618424,"5105/2645/2822/1581",4,"Downres_DEq_MS_C_vs_BM2"
"GO:0001678","GO:0001678","intracellular glucose homeostasis","4/25","173/18860",0.023121387283237,17.442774566474,7.91543676349429,7.44088165465752e-05,0.0075617959815457,0.0053261047633338,"5105/2645/2822/1581",4,"Downres_DEq_MS_C_vs_BM2"
"GO:0050918","GO:0050918","positive chemotaxis","3/25","72/18860",0.0416666666666667,31.4333333333333,9.42588241131815,0.000115516277492499,0.0104349704001557,0.00734980759718354,"10584/6275/10457",3,"Downres_DEq_MS_C_vs_BM2"
"GO:0071397","GO:0071397","cellular response to cholesterol","2/25","21/18860",0.0952380952380952,71.847619047619,11.8345706395996,0.000348820417365421,0.0245495909469562,0.0172913542760979,"2822/1581",2,"Downres_DEq_MS_C_vs_BM2"
"GO:0046889","GO:0046889","positive regulation of lipid biosynthetic process","3/25","106/18860",0.0283018867924528,21.3509433962264,7.6548563547738,0.00036272325670412,0.0245495909469562,0.0172913542760979,"5105/2822/1581",3,"Downres_DEq_MS_C_vs_BM2"
"GO:0097306","GO:0097306","cellular response to alcohol","3/25","114/18860",0.0263157894736842,19.8526315789474,7.35557490087358,0.000448964830212631,0.0245495909469562,0.0172913542760979,"2822/1536/1581",3,"Downres_DEq_MS_C_vs_BM2"
"GO:0045542","GO:0045542","positive regulation of cholesterol biosynthetic process","2/25","24/18860",0.0833333333333333,62.8666666666667,11.0487849186399,0.000457333702375089,0.0245495909469562,0.0172913542760979,"5105/1581",2,"Downres_DEq_MS_C_vs_BM2"
"GO:0106120","GO:0106120","positive regulation of sterol biosynthetic process","2/25","24/18860",0.0833333333333333,62.8666666666667,11.0487849186399,0.000457333702375089,0.0245495909469562,0.0172913542760979,"5105/1581",2,"Downres_DEq_MS_C_vs_BM2"
"GO:0042593","GO:0042593","glucose homeostasis","4/25","281/18860",0.0142348754448399,10.7387900355872,5.99229958285006,0.000476713086705022,0.0245495909469562,0.0172913542760979,"5105/2645/2822/1581",4,"Downres_DEq_MS_C_vs_BM2"
"GO:0033500","GO:0033500","carbohydrate homeostasis","4/25","282/18860",0.0141843971631206,10.7007092198582,5.97964062742484,0.000483140781243911,0.0245495909469562,0.0172913542760979,"5105/2645/2822/1581",4,"Downres_DEq_MS_C_vs_BM2"
"GO:0070723","GO:0070723","response to cholesterol","2/25","31/18860",0.0645161290322581,48.6709677419355,9.67760094189638,0.000766139885179246,0.0336461571402361,0.0236984650537819,"2822/1581",2,"Downres_DEq_MS_C_vs_BM2"
"GO:0090205","GO:0090205","positive regulation of cholesterol metabolic process","2/25","31/18860",0.0645161290322581,48.6709677419355,9.67760094189638,0.000766139885179246,0.0336461571402361,0.0236984650537819,"5105/1581",2,"Downres_DEq_MS_C_vs_BM2"
"GO:0045834","GO:0045834","positive regulation of lipid metabolic process","3/25","145/18860",0.0206896551724138,15.608275862069,6.43331133403756,0.000904310698580289,0.0336461571402361,0.0236984650537819,"5105/2822/1581",3,"Downres_DEq_MS_C_vs_BM2"
"GO:0071333","GO:0071333","cellular response to glucose stimulus","3/25","151/18860",0.0198675496688742,14.9880794701987,6.28735235151325,0.00101678773068836,0.0336461571402361,0.0236984650537819,"5105/2822/1581",3,"Downres_DEq_MS_C_vs_BM2"
"GO:0071331","GO:0071331","cellular response to hexose stimulus","3/25","154/18860",0.0194805194805195,14.6961038961039,6.21746658030635,0.00107620251308414,0.0336461571402361,0.0236984650537819,"5105/2822/1581",3,"Downres_DEq_MS_C_vs_BM2"
