"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051607","GO:0051607","defense response to virus","50/336","334/18860",0.149700598802395,8.4028371827773,18.3840919702416,1.15443848346881e-31,4.18022174864055e-28,3.62736723489935e-28,"4599/3434/23586/3433/3437/6772/64135/9636/55601/4938/25939/5610/5371/51251/4940/10379/4939/6737/8638/3669/5359/684/24138/6773/151636/197259/11277/2633/10410/7098/834/103/2635/10346/2634/83666/10581/57169/64108/64343/81622/3665/10206/79132/10475/91351/3455/22900/60489/80149",50,"Downres_DEq_MS_D_vs_CM"
"GO:0009615","GO:0009615","response to virus","53/336","445/18860",0.119101123595506,6.68525949705725,16.3457939120456,1.64666262003069e-28,2.98128267356557e-25,2.5869936425219e-25,"4599/3434/23586/3433/3437/6772/64135/9636/55601/4938/25939/5610/5371/51251/4940/10379/4939/6737/8638/3669/5359/684/24138/6773/151636/197259/11277/2633/10410/7098/834/103/2635/10346/3965/2634/83666/10581/57169/64108/64343/81622/9213/3665/10206/10561/79132/10475/91351/3455/22900/60489/80149",53,"Downres_DEq_MS_D_vs_CM"
"GO:0050792","GO:0050792","regulation of viral process","31/336","141/18860",0.219858156028369,12.3408476865924,18.2043566195144,3.7210841892425e-25,4.4913486164157e-22,3.89734607189083e-22,"4599/3434/6772/64135/9636/4938/5610/4940/4939/6737/8638/3669/5359/684/24138/10410/6672/103/3965/10581/57169/9830/10206/10475/128637/7113/60489/79720/6733/29969/9683",31,"Downres_DEq_MS_D_vs_CM"
"GO:0048525","GO:0048525","negative regulation of viral process","24/336","76/18860",0.315789473684211,17.7255639097744,19.6768288563248,7.48147189263481e-24,6.77260243080766e-21,5.87689305250392e-21,"4599/3434/6772/64135/9636/4938/5610/4940/4939/6737/8638/3669/5359/684/24138/10410/6672/10581/57169/9830/10206/60489/6733/9683",24,"Downres_DEq_MS_D_vs_CM"
"GO:0016032","GO:0016032","viral process","44/336","396/18860",0.111111111111111,6.23677248677249,14.1843678748313,1.6531490490074e-22,1.19721054129116e-19,1.03887366553413e-19,"4599/3434/6772/64135/9636/4938/5610/4940/4939/84875/6737/8638/3669/5359/684/24138/3673/10410/6672/3678/6520/290/103/3965/2634/83666/10581/57169/1969/9830/9213/3665/10206/10475/128637/7113/60489/79720/6733/80149/29969/9683/867/905",44,"Downres_DEq_MS_D_vs_CM"
"GO:0045071","GO:0045071","negative regulation of viral genome replication","19/336","50/18860",0.38,21.3297619047619,19.385833552198,6.45498155922642e-21,3.89558137099314e-18,3.38037192180541e-18,"4599/3434/64135/9636/4938/5610/4940/4939/8638/3669/5359/684/24138/10410/10581/57169/60489/6733/9683",19,"Downres_DEq_MS_D_vs_CM"
"GO:1903900","GO:1903900","regulation of viral life cycle","25/336","115/18860",0.217391304347826,12.202380952381,16.2284902136097,2.27288805065758e-20,1.17573251877587e-17,1.02023621521998e-17,"4599/3434/64135/9636/4938/5610/4940/4939/6737/8638/3669/5359/684/24138/10410/103/3965/10581/57169/10475/7113/60489/79720/6733/9683",25,"Downres_DEq_MS_D_vs_CM"
"GO:0045069","GO:0045069","regulation of viral genome replication","21/336","80/18860",0.2625,14.734375,16.5793570071012,3.85797365941372e-19,1.74621532759214e-16,1.51526991754605e-16,"4599/3434/64135/9636/4938/5610/4940/4939/8638/3669/5359/684/24138/10410/103/10581/57169/10475/60489/6733/9683",21,"Downres_DEq_MS_D_vs_CM"
"GO:0019058","GO:0019058","viral life cycle","35/336","298/18860",0.11744966442953,6.5925615212528,13.1059377530419,7.53033563029504e-19,3.02970503525537e-16,2.62901191303283e-16,"4599/3434/64135/9636/4938/5610/4940/4939/6737/8638/3669/5359/684/24138/3673/10410/3678/6520/290/103/3965/2634/10581/57169/1969/9213/10475/128637/7113/60489/79720/6733/80149/9683/867",35,"Downres_DEq_MS_D_vs_CM"
"GO:0019079","GO:0019079","viral genome replication","22/336","117/18860",0.188034188034188,10.5545380545381,13.9619042585887,1.2244239615405e-16,4.43363916473817e-14,3.84726897389306e-14,"4599/3434/64135/9636/4938/5610/4940/4939/8638/3669/5359/684/24138/10410/103/10581/57169/10475/60489/6733/80149/9683",22,"Downres_DEq_MS_D_vs_CM"
"GO:0034340","GO:0034340","response to type I interferon","19/336","99/18860",0.191919191919192,10.772607022607,13.1299062022204,1.03294960056223e-14,3.40028227603259e-12,2.95057852409404e-12,"4599/3434/6772/64135/9636/4938/25939/4940/4939/8638/6773/11277/10410/6672/103/10581/64343/3665/3455",19,"Downres_DEq_MS_D_vs_CM"
"GO:0071357","GO:0071357","cellular response to type I interferon","18/336","93/18860",0.193548387096774,10.8640552995392,12.8428416671046,4.5063489671585e-14,1.35979080084008e-11,1.17995190061124e-11,"3434/6772/64135/9636/4938/25939/4940/4939/8638/6773/11277/10410/6672/103/10581/64343/3665/3455",18,"Downres_DEq_MS_D_vs_CM"
"GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","21/336","144/18860",0.145833333333333,8.18576388888889,11.6576027914493,1.21821479281993e-13,3.39319674215459e-11,2.94443008628946e-11,"9636/3134/4938/25939/54625/4940/3105/6737/6773/11277/3106/2896/634/103/3965/10906/140885/79132/10475/22900/114769",21,"Downres_DEq_MS_D_vs_CM"
"GO:0034341","GO:0034341","response to type II interferon","20/336","129/18860",0.155038759689922,8.70247323735696,11.8224137419038,1.43939303700306e-13,3.72288727642005e-11,3.23051745522866e-11,"6772/54625/6737/115361/51667/684/2633/10410/6672/7098/834/2635/3965/2634/83666/10581/961/140885/965/6584",20,"Downres_DEq_MS_D_vs_CM"
"GO:0140888","GO:0140888","interferon-mediated signaling pathway","19/336","121/18860",0.15702479338843,8.81395120031484,11.613196030687,4.67748624961737e-13,1.12914518065763e-10,9.79810277551428e-11,"6772/64135/9636/4938/25939/54625/4940/4939/8638/6773/11277/10410/6672/103/83666/10581/64343/3665/3455",19,"Downres_DEq_MS_D_vs_CM"
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","17/336","92/18860",0.184782608695652,10.3720238095238,12.1361205669888,5.15331196837804e-13,1.16625891484356e-10,1.01201554115845e-10,"6772/64135/9636/4938/25939/4940/4939/8638/6773/11277/10410/6672/103/10581/64343/3665/3455",17,"Downres_DEq_MS_D_vs_CM"
"GO:0140374","GO:0140374","antiviral innate immune response","16/336","79/18860",0.20253164556962,11.3682941531043,12.4372132803953,5.63703909234854e-13,1.20068932667024e-10,1.04189236474677e-10,"4599/3434/23586/3433/3437/64135/4938/5610/4940/4939/6737/8638/10346/79132/22900/60489",16,"Downres_DEq_MS_D_vs_CM"
"GO:0045824","GO:0045824","negative regulation of innate immune response","17/336","104/18860",0.163461538461538,9.17525183150183,11.2592452739962,4.139368016626e-12,8.32702866011263e-10,7.22573890621556e-10,"9636/3134/4938/25939/54625/4940/3105/6737/6773/11277/3106/2896/634/103/3965/10906/79132",17,"Downres_DEq_MS_D_vs_CM"
"GO:0035456","GO:0035456","response to interferon-beta","11/336","37/18860",0.297297297297297,16.6875804375804,12.8639395140632,2.75685353043415e-11,5.25398243879056e-09,4.5591178882803e-09,"6772/4938/5359/684/11277/10410/7098/54739/87178/10581/3455",11,"Downres_DEq_MS_D_vs_CM"
"GO:0019885","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I","9/336","23/18860",0.391304347826087,21.9642857142857,13.5487647412648,1.06610927840714e-10,1.93019084855612e-08,1.67491378739227e-08,"3134/6890/3105/3106/6891/3107/6892/3136/567",9,"Downres_DEq_MS_D_vs_CM"
"GO:0002483","GO:0002483","antigen processing and presentation of endogenous peptide antigen","9/336","25/18860",0.36,20.2071428571429,12.9423023523742,2.58283929848174e-10,4.4535529046678e-08,3.86454902554787e-08,"3134/6890/3105/3106/6891/3107/6892/3136/567",9,"Downres_DEq_MS_D_vs_CM"
"GO:0002474","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","10/336","38/18860",0.263157894736842,14.7713032581454,11.4444661397601,8.55919436684339e-10,1.40876558192454e-07,1.22244953038409e-07,"3134/6890/3105/3106/6891/3107/6892/3136/4012/567",10,"Downres_DEq_MS_D_vs_CM"
"GO:0042742","GO:0042742","defense response to bacterium","26/336","361/18860",0.07202216066482,4.04267247065031,7.86133426027193,1.78484352345542e-09,2.80996452105743e-07,2.4383331430272e-07,"9636/4938/4940/4939/3105/115361/10616/57674/2633/7098/306/834/2896/2635/3606/2634/567/5054/57169/57402/1969/3929/54/5587/25921/2197",26,"Downres_DEq_MS_D_vs_CM"
"GO:0019883","GO:0019883","antigen processing and presentation of endogenous antigen","9/336","32/18860",0.28125,15.7868303571429,11.2748187116487,3.17701489359943e-09,4.79332122071815e-07,4.15938134096242e-07,"3134/6890/3105/3106/6891/3107/6892/3136/567",9,"Downres_DEq_MS_D_vs_CM"
"GO:0071346","GO:0071346","cellular response to type II interferon","14/336","103/18860",0.135922330097087,7.6294498381877,9.08606825223563,4.08406919442933e-09,5.91536582121144e-07,5.13303012436696e-07,"6772/54625/115361/2633/6672/7098/834/2635/3965/2634/83666/961/140885/965",14,"Downres_DEq_MS_D_vs_CM"
"GO:0002428","GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","7/336","16/18860",0.4375,24.5572916666667,12.6958091535544,5.33430687118956e-09,7.42904814637592e-07,6.44652065202463e-07,"3134/3105/3106/6891/3107/3136/567",7,"Downres_DEq_MS_D_vs_CM"
"GO:0031348","GO:0031348","negative regulation of defense response","23/336","313/18860",0.073482428115016,4.12463867336072,7.50752382783915,1.09063583869193e-08,1.46266384144574e-06,1.26921948479354e-06,"9636/3134/4938/25939/54625/4940/3105/6737/6773/4907/11277/3106/2896/634/103/3965/27293/10906/140885/79132/10475/54/80762",23,"Downres_DEq_MS_D_vs_CM"
"GO:0032479","GO:0032479","regulation of type I interferon production","15/336","136/18860",0.110294117647059,6.19091386554622,8.18230272535506,2.09113666275192e-08,2.61103650200852e-06,2.26571431517767e-06,"23586/6772/64135/9636/4938/4940/4939/6737/11277/7098/54739/140885/3665/79132/10475",15,"Downres_DEq_MS_D_vs_CM"
"GO:0032606","GO:0032606","type I interferon production","15/336","136/18860",0.110294117647059,6.19091386554622,8.18230272535506,2.09113666275192e-08,2.61103650200852e-06,2.26571431517767e-06,"23586/6772/64135/9636/4938/4940/4939/6737/11277/7098/54739/140885/3665/79132/10475",15,"Downres_DEq_MS_D_vs_CM"
"GO:0050777","GO:0050777","negative regulation of immune response","19/336","226/18860",0.084070796460177,4.71897387273494,7.57505663276271,2.50979988821713e-08,3.02932846507808e-06,2.62868514608005e-06,"9636/3134/4938/25939/54625/4940/3105/6737/6773/11277/3106/2896/634/103/3965/10906/79132/80762/80149",19,"Downres_DEq_MS_D_vs_CM"
"GO:0019882","GO:0019882","antigen processing and presentation","14/336","120/18860",0.116666666666667,6.54861111111111,8.21205217072142,3.02546885525183e-08,3.53394281447318e-06,3.06656181084098e-06,"3134/6890/7057/3105/11277/3106/6891/3107/6892/3136/4012/567/968/81622",14,"Downres_DEq_MS_D_vs_CM"
"GO:0032102","GO:0032102","negative regulation of response to external stimulus","27/336","452/18860",0.0597345132743363,3.35295512010114,6.81932110772817,4.57910047921481e-08,5.18153838601151e-06,4.49625491133428e-06,"9636/3134/4938/25939/54625/7057/4940/3105/6737/6773/4907/11277/3106/2896/634/103/3965/5054/27293/10906/140885/79132/10475/54/22900/114769/80762",27,"Downres_DEq_MS_D_vs_CM"
"GO:0035455","GO:0035455","response to interferon-alpha","7/336","21/18860",0.333333333333333,18.7103174603175,10.9362556310328,5.02133429760044e-08,5.50977317927612e-06,4.78107906805018e-06,"4938/5610/684/10410/103/10581/3455",7,"Downres_DEq_MS_D_vs_CM"
"GO:0048002","GO:0048002","antigen processing and presentation of peptide antigen","11/336","72/18860",0.152777777777778,8.57556216931217,8.67366055287176,5.58919621062436e-08,5.95249396431494e-06,5.16524789124263e-06,"3134/6890/3105/3106/6891/3107/6892/3136/4012/567/81622",11,"Downres_DEq_MS_D_vs_CM"
"GO:0002230","GO:0002230","positive regulation of defense response to virus by host","8/336","32/18860",0.25,14.0327380952381,9.93733990254552,6.76608868862282e-08,7.00000204042949e-06,6.07421796557567e-06,"23586/6772/5371/151636/10346/83666/60489/80149",8,"Downres_DEq_MS_D_vs_CM"
"GO:0045089","GO:0045089","positive regulation of innate immune response","26/336","432/18860",0.0601851851851852,3.37825176366843,6.73476090067108,7.06792555084479e-08,7.10915511655805e-06,6.16893502025488e-06,"23586/64135/55601/3134/4938/5610/4940/8638/5359/11277/7098/3107/834/2634/83666/57169/27293/57402/7105/3929/81622/3665/79132/5587/22900/25921",26,"Downres_DEq_MS_D_vs_CM"
"GO:0002833","GO:0002833","positive regulation of response to biotic stimulus","27/336","465/18860",0.0580645161290323,3.25921658986175,6.6434861147572,8.16756523449521e-08,7.99317667948842e-06,6.93604046229536e-06,"23586/64135/55601/3134/4938/5610/4940/8638/5359/11277/7098/3107/834/2896/2634/83666/57169/27293/57402/7105/3929/81622/3665/79132/5587/22900/25921",27,"Downres_DEq_MS_D_vs_CM"
"GO:0002475","GO:0002475","antigen processing and presentation via MHC class Ib","7/336","23/18860",0.304347826086957,17.0833333333333,10.3943107129181,1.02667517459475e-07,9.53228412104508e-06,8.27159351191719e-06,"3134/3105/3106/6891/3107/3136/567",7,"Downres_DEq_MS_D_vs_CM"
"GO:0060339","GO:0060339","negative regulation of type I interferon-mediated signaling pathway","7/336","23/18860",0.304347826086957,17.0833333333333,10.3943107129181,1.02667517459475e-07,9.53228412104508e-06,8.27159351191719e-06,"9636/4938/25939/4940/6773/11277/103",7,"Downres_DEq_MS_D_vs_CM"
"GO:0032608","GO:0032608","interferon-beta production","10/336","62/18860",0.161290322580645,9.05337941628264,8.55420719465589,1.33268005799776e-07,1.12559344348581e-05,9.76728274772932e-06,"23586/64135/9636/4938/4940/4939/7098/140885/3665/10475",10,"Downres_DEq_MS_D_vs_CM"
"GO:0032648","GO:0032648","regulation of interferon-beta production","10/336","62/18860",0.161290322580645,9.05337941628264,8.55420719465589,1.33268005799776e-07,1.12559344348581e-05,9.76728274772932e-06,"23586/64135/9636/4938/4940/4939/7098/140885/3665/10475",10,"Downres_DEq_MS_D_vs_CM"
"GO:0002476","GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","6/336","15/18860",0.4,22.452380952381,11.193982973869,1.33666164236095e-07,1.12559344348581e-05,9.76728274772932e-06,"3134/3105/3106/6891/3107/3136",6,"Downres_DEq_MS_D_vs_CM"
"GO:0002484","GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","6/336","15/18860",0.4,22.452380952381,11.193982973869,1.33666164236095e-07,1.12559344348581e-05,9.76728274772932e-06,"3134/3105/3106/6891/3107/3136",6,"Downres_DEq_MS_D_vs_CM"
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","13/336","117/18860",0.111111111111111,6.23677248677249,7.65241769586149,1.69324488954611e-07,1.39346357841965e-05,1.20917129074046e-05,"9636/65979/3673/3655/3491/3678/3675/3679/634/5054/961/967/5587",13,"Downres_DEq_MS_D_vs_CM"
"GO:0048524","GO:0048524","positive regulation of viral process","10/336","64/18860",0.15625,8.77046130952381,8.38620846571756,1.81919880297013e-07,1.46384863678996e-05,1.27024758523177e-05,"3434/6737/103/3965/10475/128637/7113/79720/6733/29969",10,"Downres_DEq_MS_D_vs_CM"
"GO:0019083","GO:0019083","viral transcription","7/336","25/18860",0.28,15.7166666666667,9.91649570348638,1.95228487887135e-07,1.53678772747678e-05,1.33354012893158e-05,"6737/10410/6672/9830/10206/29969/905",7,"Downres_DEq_MS_D_vs_CM"
