"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051607","GO:0051607","defense response to virus","72/953","334/18860",0.215568862275449,4.26613719046692,13.893484796356,2.71530645315637e-26,7.36865221831005e-23,5.79904270575849e-23,"4599/3434/3437/3433/6772/23586/64135/9636/25939/51251/5371/4938/55601/6737/5610/3669/4940/4939/5359/197259/8638/11277/10379/834/6773/684/24138/7098/2633/10346/10410/7128/2635/10581/151636/958/64343/57169/56829/3459/103/2634/7726/1525/1755/85363/8673/10475/64108/79132/81622/83666/54726/55337/23515/7706/10417/91351/9188/8467/3455/3665/148022/60489/89870/7097/10868/23087/58515/566/22900/80149",72,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
"GO:0009615","GO:0009615","response to virus","84/953","445/18860",0.18876404494382,3.73566619899313,13.4726060897299,2.78377492191539e-26,7.36865221831005e-23,5.79904270575849e-23,"4599/3434/3437/3433/6772/23586/64135/9636/25939/51251/5371/4938/55601/6737/5610/3669/4940/4939/5359/197259/8638/11277/10379/834/6773/684/24138/338/7098/2633/10346/10410/7128/3716/2635/9111/10581/151636/958/64343/57169/56829/3459/103/2634/2131/7726/1525/1755/85363/8673/10475/64108/79132/2332/81622/83666/54726/55337/23515/7706/10417/3934/10561/3965/91351/3717/9188/8467/3455/3665/148022/3373/60489/9213/81576/89870/7097/10868/23087/58515/566/22900/80149",84,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
"GO:0050792","GO:0050792","regulation of viral process","46/953","141/18860",0.326241134751773,6.45635655972554,15.0025589049335,2.72096648524139e-25,4.80159885762263e-22,3.77880187669663e-22,"4599/3434/6772/64135/9636/4938/6737/5610/3669/4940/4939/6672/5359/8638/684/24138/2040/972/10410/4057/10581/57169/5819/56829/103/10614/85363/10475/2332/55337/3838/6732/7706/3965/9830/128637/51574/60489/79720/51773/89870/7113/9683/4851/6733/6590",46,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
"GO:0016032","GO:0016032","viral process","72/953","396/18860",0.181818181818182,3.5982066202423,12.0545983894512,1.16977573905654e-21,1.54819819064133e-18,1.21841378294363e-18,"4599/3434/6772/64135/9636/4938/6737/5610/84875/3669/4940/4939/6672/5359/8638/10241/684/24138/6520/3678/2040/972/290/10410/950/3673/4057/348/10581/57169/5819/56829/103/2634/10614/1525/85363/4245/1969/8673/10475/1604/2332/83666/55337/3838/6732/6714/7706/2959/3965/9830/8812/128637/8829/89853/3665/51574/60489/79720/9213/51773/89870/858/7113/9076/9683/4851/6733/867/80149/6590",72,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
"GO:1903900","GO:1903900","regulation of viral life cycle","38/953","115/18860",0.330434782608696,6.53934942287513,13.7454614110892,2.44574580476237e-21,2.5895556580824e-18,2.0379498726841e-18,"4599/3434/64135/9636/4938/6737/5610/3669/4940/4939/5359/8638/684/24138/972/10410/4057/10581/57169/5819/56829/103/85363/10475/2332/55337/3838/6732/7706/3965/60489/79720/89870/7113/9683/4851/6733/6590",38,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
"GO:0048525","GO:0048525","negative regulation of viral process","31/953","76/18860",0.407894736842105,8.07229248356989,14.2517217067856,8.69757937572102e-21,7.67416420251118e-18,6.03947704721119e-18,"4599/3434/6772/64135/9636/4938/6737/5610/3669/4940/4939/6672/5359/8638/684/24138/10410/4057/10581/57169/56829/10614/55337/6732/9830/51574/60489/89870/9683/6733/6590",31,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
"GO:0019058","GO:0019058","viral life cycle","59/953","298/18860",0.197986577181208,3.91818137002894,11.7139237355168,8.35393078320115e-20,6.3179585094667e-17,4.97215910374589e-17,"4599/3434/64135/9636/4938/6737/5610/3669/4940/4939/5359/8638/684/24138/6520/3678/972/290/10410/950/3673/4057/348/10581/57169/5819/56829/103/2634/1525/85363/1969/8673/10475/1604/2332/55337/3838/6732/6714/7706/3965/8812/128637/8829/89853/60489/79720/9213/89870/858/7113/9076/9683/4851/6733/867/80149/6590",59,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
"GO:0045071","GO:0045071","negative regulation of viral genome replication","24/953","50/18860",0.48,9.49926547743966,13.8824578311551,2.00460255350778e-18,1.32654573978377e-15,1.04397590878734e-15,"4599/3434/64135/9636/4938/5610/3669/4940/4939/5359/8638/684/24138/10410/4057/10581/57169/56829/55337/6732/60489/9683/6733/6590",24,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
"GO:0034341","GO:0034341","response to type II interferon","36/953","129/18860",0.27906976744186,5.52282876595329,11.8910137877424,1.41988677808901e-17,8.3520895591147e-15,6.57299633646352e-15,"6772/115361/6737/51667/54625/7431/6672/10241/834/684/7098/2633/972/10410/3716/2635/10581/958/2934/6813/3459/140885/961/2634/83666/55337/3965/965/3717/65010/6584/11093/55647/5771/9076/7097",36,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
"GO:0045069","GO:0045069","regulation of viral genome replication","27/953","80/18860",0.3375,6.67917103882476,11.7429310740897,8.16138397626884e-16,4.32063667703672e-13,3.40029029242864e-13,"4599/3434/64135/9636/4938/5610/3669/4940/4939/5359/8638/684/24138/10410/4057/10581/57169/56829/103/10475/55337/6732/60489/9683/4851/6733/6590",27,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
"GO:0007249","GO:0007249","canonical NF-kappaB signal transduction","56/953","359/18860",0.155988857938719,3.08704077725523,9.21032427517039,4.31789877580215e-14,2.07808691991787e-11,1.63542998608851e-11,"6772/6737/834/684/24138/10616/7098/8878/10346/972/7128/10133/8737/8887/4057/958/64343/841/56829/140885/2950/7726/840/55072/85363/80833/10475/8767/124583/7706/8743/7105/3965/5587/7049/54503/9188/10892/10562/56674/3656/114769/148022/58509/79753/89870/80762/6283/54602/7097/10868/6376/5581/22900/80149/1893",56,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV"
