"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031589","GO:0031589","cell-substrate adhesion","52/707","369/18860",0.140921409214092,3.75923306616376,10.5637034999103,1.45157282863282e-16,7.21867167679099e-13,5.79253957194422e-13,"7057/2244/4241/5054/2335/3673/2266/2243/3915/3655/27329/3685/3491/22998/3675/8754/1601/3911/3688/3679/83706/3693/6237/9448/8829/960/3678/4323/10631/4811/4059/967/29780/1613/6714/8751/11093/10562/59277/29984/5467/91663/23122/1490/1029/683/50488/7016/4192/3912/79987/3717",52,"Upres_DEq_MS_C_vs_BDM"
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","27/707","117/18860",0.230769230769231,6.15602219562616,11.0403537693566,1.9456212946184e-14,4.83778734906866e-11,3.88202648836756e-11,"5054/2335/3673/3915/3655/27329/3685/3491/3675/8754/3911/3688/3679/102/83706/3693/8829/3678/4811/634/967/6714/8751/11093/1490/683/3912",27,"Upres_DEq_MS_C_vs_BDM"
"GO:0007160","GO:0007160","cell-matrix adhesion","38/707","246/18860",0.154471544715447,4.12069778406412,9.72286475283735,1.04528936203141e-13,1.73274133246074e-10,1.39041823560038e-10,"7057/2244/5054/2335/3673/2266/2243/3655/27329/3685/22998/3675/8754/3688/3679/83706/3693/6237/9448/8829/960/3678/4323/10631/4811/4059/967/1613/6714/8751/11093/29984/23122/1490/1029/683/50488/79987",38,"Upres_DEq_MS_C_vs_BDM"
"GO:0042060","GO:0042060","wound healing","52/707","453/18860",0.114790286975717,3.06215673601419,8.7674661803485,6.68499429237509e-13,8.31111915399533e-10,6.6691614111563e-10,"7057/2267/2244/5054/2335/3673/301/2266/2243/3685/2153/4162/3688/10672/83706/348/653145/3693/960/3678/26509/51129/1606/977/22875/1311/634/10544/2162/2131/6714/7042/57591/928/1026/11093/7035/10398/966/5467/51652/3710/2125/23122/7046/1511/3265/5270/6707/79987/7040/3717",52,"Upres_DEq_MS_C_vs_BDM"
"GO:0030198","GO:0030198","extracellular matrix organization","43/707","331/18860",0.129909365558912,3.4654747304683,8.9306567014766,1.13520759404449e-12,9.91172359373861e-10,7.95354792592908e-10,"4241/3673/3915/7045/3491/649/3688/6624/55959/102/4323/10585/1311/1303/10631/4811/7078/4148/2131/4324/7042/8751/351/2331/11093/5768/4239/59277/6692/1291/51124/1290/23122/7046/1511/3549/57190/3912/64116/650/4147/64856/7040",43,"Upres_DEq_MS_C_vs_BDM"
"GO:0043062","GO:0043062","extracellular structure organization","43/707","332/18860",0.129518072289157,3.4550365535693,8.90651014588059,1.25877813217082e-12,9.91172359373861e-10,7.95354792592908e-10,"4241/3673/3915/7045/3491/649/3688/6624/55959/102/4323/10585/1311/1303/10631/4811/7078/4148/2131/4324/7042/8751/351/2331/11093/5768/4239/59277/6692/1291/51124/1290/23122/7046/1511/3549/57190/3912/64116/650/4147/64856/7040",43,"Upres_DEq_MS_C_vs_BDM"
"GO:0045229","GO:0045229","external encapsulating structure organization","43/707","333/18860",0.129129129129129,3.44466106842344,8.88245581284877,1.39517524947055e-12,9.91172359373861e-10,7.95354792592908e-10,"4241/3673/3915/7045/3491/649/3688/6624/55959/102/4323/10585/1311/1303/10631/4811/7078/4148/2131/4324/7042/8751/351/2331/11093/5768/4239/59277/6692/1291/51124/1290/23122/7046/1511/3549/57190/3912/64116/650/4147/64856/7040",43,"Upres_DEq_MS_C_vs_BDM"
"GO:1903829","GO:1903829","positive regulation of protein localization","49/707","459/18860",0.106753812636166,2.84777497357579,7.90914511834222,4.39090308659246e-11,2.72949513120304e-08,2.19025178964106e-08,"2244/2266/7037/2243/9531/1969/3675/8754/2037/3688/27063/8878/5019/348/2182/3716/493/5213/23171/51768/6809/6714/2810/54795/7042/3958/5621/351/26354/83667/43/27032/9451/25921/1201/5467/1981/51574/9854/51124/57192/1029/114899/9746/324/7016/3455/7040/3717",49,"Upres_DEq_MS_C_vs_BDM"
"GO:0042254","GO:0042254","ribosome biogenesis","38/707","318/18860",0.119496855345912,3.18770960654017,7.76461235802421,2.86534807022944e-10,1.58326399480567e-07,1.27047187534968e-07,"55661/10514/23560/57050/4839/23076/51096/117246/27340/55226/56902/10969/8886/6129/6125/10412/6194/55153/9188/22907/11056/79039/23481/23378/6155/1029/84154/55794/6193/55720/9790/8602/56342/9277/10171/64794/317781/29889",38,"Upres_DEq_MS_C_vs_BDM"
"GO:0035987","GO:0035987","endodermal cell differentiation","15/707","53/18860",0.283018867924528,7.54983854180566,9.4233126450329,5.81376176194398e-10,2.78558183422132e-07,2.23525791559326e-07,"2335/3685/3679/3693/3678/4323/1303/4324/3909/9555/3914/1291/1290/22943/3912",15,"Upres_DEq_MS_C_vs_BDM"
"GO:0016072","GO:0016072","rRNA metabolic process","34/707","270/18860",0.125925925925926,3.35921211168736,7.70555650790847,6.29275081916633e-10,2.78558183422132e-07,2.23525791559326e-07,"55661/23560/57050/4839/284119/23076/51096/117246/27340/55226/9555/10969/8886/6129/6125/10412/84365/6194/9188/55506/11056/79039/23481/23378/6155/1029/84154/55720/9790/8602/56342/9277/10171/317781",34,"Upres_DEq_MS_C_vs_BDM"
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","31/707","230/18860",0.134782608695652,3.5954738330976,7.81571975511172,6.72169354728651e-10,2.78558183422132e-07,2.23525791559326e-07,"7057/2244/4241/5054/2335/2266/2243/3491/22998/3675/1601/6237/9448/8829/3678/4323/10631/4811/1613/6714/8751/10562/29984/91663/23122/1029/683/50488/7016/4192/3717",31,"Upres_DEq_MS_C_vs_BDM"
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","20/707","101/18860",0.198019801980198,5.28239528337558,8.51603486057222,8.86510712060664e-10,3.39124443929052e-07,2.72126486592873e-07,"2244/4241/2335/2266/2243/3915/3685/1601/3911/83706/8829/10631/29780/6714/10562/59277/91663/7016/4192/3912",20,"Upres_DEq_MS_C_vs_BDM"
