"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0007596","GO:0007596","blood coagulation","17/157","243/18860",0.0699588477366255,8.40397368352075,10.6430639923951,2.09558980439249e-11,2.27828333668718e-08,1.80200167256097e-08,"2243/2335/7057/2266/2267/2244/348/3273/350/3053/2162/83706/6288/2207/1311/3043/11093",17,"Upres_DEq_MS_D_vs_BT"
"GO:0050817","GO:0050817","coagulation","17/157","248/18860",0.0685483870967742,8.23453873022396,10.5073617376343,2.89352050088203e-11,2.27828333668718e-08,1.80200167256097e-08,"2243/2335/7057/2266/2267/2244/348/3273/350/3053/2162/83706/6288/2207/1311/3043/11093",17,"Upres_DEq_MS_D_vs_BT"
"GO:0007599","GO:0007599","hemostasis","17/157","250/18860",0.068,8.16866242038217,10.4541437311693,3.28524792763758e-11,2.27828333668718e-08,1.80200167256097e-08,"2243/2335/7057/2266/2267/2244/348/3273/350/3053/2162/83706/6288/2207/1311/3043/11093",17,"Upres_DEq_MS_D_vs_BT"
"GO:0034368","GO:0034368","protein-lipid complex remodeling","9/157","41/18860",0.219512195121951,26.3694267515924,14.8990243783105,4.25211522338033e-11,2.27828333668718e-08,1.80200167256097e-08,"348/116519/4353/55937/350/3990/341/3931/344",9,"Upres_DEq_MS_D_vs_BT"
"GO:0034369","GO:0034369","plasma lipoprotein particle remodeling","9/157","41/18860",0.219512195121951,26.3694267515924,14.8990243783105,4.25211522338033e-11,2.27828333668718e-08,1.80200167256097e-08,"348/116519/4353/55937/350/3990/341/3931/344",9,"Upres_DEq_MS_D_vs_BT"
"GO:0034367","GO:0034367","protein-containing complex remodeling","9/157","43/18860",0.209302325581395,25.142941786402,14.5212078604829,6.74801098253833e-11,2.73115548711295e-08,2.16019960140601e-08,"348/116519/4353/55937/350/3990/341/3931/344",9,"Upres_DEq_MS_D_vs_BT"
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","7/157","18/18860",0.388888888888889,46.7162066525124,17.7785549976883,7.13627786852955e-11,2.73115548711295e-08,2.16019960140601e-08,"2243/2335/7057/2266/2244/350/2162",7,"Upres_DEq_MS_D_vs_BT"
"GO:0006959","GO:0006959","humoral immune response","18/157","307/18860",0.0586319218241042,7.04329965351978,9.78114650620993,9.71717284879696e-11,3.25403825774088e-08,2.57377222955635e-08,"2243/2244/4057/718/3273/727/1755/728358/5648/732/1672/6280/3512/6278/6360/3151/4069/117159",18,"Upres_DEq_MS_D_vs_BT"
"GO:0072376","GO:0072376","protein activation cascade","7/157","22/18860",0.318181818181818,38.2223508975101,16.0048372625586,3.71900906374718e-10,1.05398395396829e-07,8.33645586270666e-08,"2243/2335/7057/2266/2244/350/2162",7,"Upres_DEq_MS_D_vs_BT"
"GO:0006935","GO:0006935","chemotaxis","21/157","474/18860",0.0443037974683544,5.32209949205837,8.731599801687,4.37430773152553e-10,1.05398395396829e-07,8.33645586270666e-08,"7057/7060/718/3273/727/3053/728358/6288/3689/1672/5288/2207/8829/11151/6279/6280/4282/6278/6360/1954/5880",21,"Upres_DEq_MS_D_vs_BT"
"GO:0019730","GO:0019730","antimicrobial humoral response","14/157","184/18860",0.0760869565217391,9.14012738853503,10.1660373231384,4.45860903249285e-10,1.05398395396829e-07,8.33645586270666e-08,"2243/2244/4057/3273/1755/728358/1672/6280/3512/6278/6360/3151/4069/117159",14,"Upres_DEq_MS_D_vs_BT"
"GO:0042330","GO:0042330","taxis","21/157","476/18860",0.0441176470588235,5.2997377294867,8.70520406140534,4.72109273893969e-10,1.05398395396829e-07,8.33645586270666e-08,"7057/7060/718/3273/727/3053/728358/6288/3689/1672/5288/2207/8829/11151/6279/6280/4282/6278/6360/1954/5880",21,"Upres_DEq_MS_D_vs_BT"
"GO:0071827","GO:0071827","plasma lipoprotein particle organization","9/157","58/18860",0.155172413793103,18.6404568416429,12.3275087700611,1.14581666948516e-09,2.3612637365775e-07,1.86763478192197e-07,"348/116519/4353/55937/350/3990/341/3931/344",9,"Upres_DEq_MS_D_vs_BT"
"GO:0042060","GO:0042060","wound healing","20/157","453/18860",0.0441501103752759,5.30363746291531,8.49467550873203,1.25152634088677e-09,2.38149608834056e-07,1.88363750253612e-07,"2243/2335/7057/2266/2267/2244/348/3273/2131/350/3053/2162/6385/83706/1026/6288/2207/1311/3043/11093",20,"Upres_DEq_MS_D_vs_BT"
"GO:0030595","GO:0030595","leukocyte chemotaxis","15/157","237/18860",0.0632911392405063,7.6029992743691,9.37225551994244,1.35268506401129e-09,2.38149608834056e-07,1.88363750253612e-07,"7057/7060/718/727/728358/6288/3689/2207/11151/6279/6280/4282/6278/6360/5880",15,"Upres_DEq_MS_D_vs_BT"
"GO:0034372","GO:0034372","very-low-density lipoprotein particle remodeling","6/157","15/18860",0.4,48.0509554140127,16.7020402049143,1.42231942566066e-09,2.38149608834056e-07,1.88363750253612e-07,"348/116519/350/3990/3931/344",6,"Upres_DEq_MS_D_vs_BT"
"GO:0071825","GO:0071825","protein-lipid complex organization","9/157","61/18860",0.147540983606557,17.7237130625457,11.9862621157494,1.82674517378099e-09,2.78831262252047e-07,2.20540787376818e-07,"348/116519/4353/55937/350/3990/341/3931/344",9,"Upres_DEq_MS_D_vs_BT"
"GO:0031589","GO:0031589","cell-substrate adhesion","18/157","369/18860",0.0487804878048781,5.85987261146497,8.63796398266643,1.87344633092081e-09,2.78831262252047e-07,2.20540787376818e-07,"2243/2335/7057/2266/2244/3273/10562/4059/4811/6385/83706/3911/3689/8829/11151/29780/5880/11093",18,"Upres_DEq_MS_D_vs_BT"
"GO:0034370","GO:0034370","triglyceride-rich lipoprotein particle remodeling","6/157","16/18860",0.375,45.0477707006369,16.1491956579199,2.26010267476025e-09,3.18674477141195e-07,2.52054663949716e-07,"348/116519/350/3990/3931/344",6,"Upres_DEq_MS_D_vs_BT"
"GO:0060326","GO:0060326","cell chemotaxis","17/157","330/18860",0.0515151515151515,6.18838062150164,8.71173403985479,2.39620743416525e-09,3.20971985806436e-07,2.53871871840771e-07,"7057/7060/718/3273/727/728358/6288/3689/2207/8829/11151/6279/6280/4282/6278/6360/5880",17,"Upres_DEq_MS_D_vs_BT"
