"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005765","GO:0005765","lysosomal membrane","52/733","462/19944",0.112554112554113,3.0624545986074,8.7611448624482,7.1022744758779e-13,1.85724477544207e-10,1.43914509116473e-10,"2028/1889/3134/215/290/2040/6520/684/2629/7098/10410/5025/10312/4012/23385/567/55361/64121/151636/10581/950/972/3136/64837/83667/1291/83547/968/2896/255738/23207/527/57665/967/23503/51510/91056/84888/11342/56928/90809/566/245972/81618/25798/8140/1318/59345/6272/1088/64747/55317",52,"Downres_DEq_MS_BD_vs_BM1"
"GO:0098852","GO:0098852","lytic vacuole membrane","52/733","462/19944",0.112554112554113,3.0624545986074,8.7611448624482,7.1022744758779e-13,1.85724477544207e-10,1.43914509116473e-10,"2028/1889/3134/215/290/2040/6520/684/2629/7098/10410/5025/10312/4012/23385/567/55361/64121/151636/10581/950/972/3136/64837/83667/1291/83547/968/2896/255738/23207/527/57665/967/23503/51510/91056/84888/11342/56928/90809/566/245972/81618/25798/8140/1318/59345/6272/1088/64747/55317",52,"Downres_DEq_MS_BD_vs_BM1"
"GO:0031012","GO:0031012","extracellular matrix","50/733","496/19944",0.100806451612903,2.74281564934208,7.67762793956554,1.11878184057825e-10,1.57094930772457e-08,1.21729995667497e-08,"301/7057/7060/3959/3958/3912/653145/4811/4240/43/5649/51129/27329/2331/11093/3371/9518/4969/3491/4148/1291/59277/1293/7148/6277/3965/1755/1311/9423/4192/1292/89797/1303/54507/633/80144/3549/10631/10417/22795/5118/4958/1306/7040/1893/6590/4147/4317/4318/8482",50,"Downres_DEq_MS_BD_vs_BM1"
"GO:0030312","GO:0030312","external encapsulating structure","50/733","497/19944",0.100603621730382,2.73729690558083,7.6612243320531,1.20149086632855e-10,1.57094930772457e-08,1.21729995667497e-08,"301/7057/7060/3959/3958/3912/653145/4811/4240/43/5649/51129/27329/2331/11093/3371/9518/4969/3491/4148/1291/59277/1293/7148/6277/3965/1755/1311/9423/4192/1292/89797/1303/54507/633/80144/3549/10631/10417/22795/5118/4958/1306/7040/1893/6590/4147/4317/4318/8482",50,"Downres_DEq_MS_BD_vs_BM1"
"GO:0030670","GO:0030670","phagocytic vesicle membrane","18/733","82/19944",0.219512195121951,5.97264832129904,8.81364247177561,7.85137882399451e-10,8.21254224989825e-08,6.36374915207976e-08,"6890/6891/3105/3134/3106/3107/6892/10312/567/3136/83547/3133/1755/527/7097/51762/90809/245972",18,"Downres_DEq_MS_BD_vs_BM1"
"GO:0045335","GO:0045335","phagocytic vesicle","24/733","148/19944",0.162162162162162,4.4122266878065,8.1386478308534,9.42613898332576e-10,8.21645114713228e-08,6.3667780852288e-08,"6890/6891/3105/7431/3134/3106/3107/6892/10312/567/3136/2934/83547/3133/81622/1755/527/3732/7097/51762/9830/90809/245972/25921",24,"Downres_DEq_MS_BD_vs_BM1"
"GO:0030684","GO:0030684","preribosome","17/733","104/19944",0.163461538461538,4.44758106831777,6.88545380453551,2.34086705140845e-07,1.74896209698088e-05,1.35523881923647e-05,"6194/90441/10969/117246/6193/65095/27292/6229/9790/23076/56342/57050/23481/51096/51406/8602/10412",17,"Downres_DEq_MS_BD_vs_BM1"
"GO:0098553","GO:0098553","lumenal side of endoplasmic reticulum membrane","10/733","35/19944",0.285714285714286,7.77392321184954,7.83468994436498,3.37304706906256e-07,2.20512952139965e-05,1.70871463366985e-05,"3105/3134/3106/3107/6892/972/3136/3133/84888/56928",10,"Downres_DEq_MS_BD_vs_BM1"
"GO:0030667","GO:0030667","secretory granule membrane","32/733","325/19944",0.0984615384615385,2.679013537622,5.96114506623476,4.48529694222867e-07,2.51228147375195e-05,1.94672107757774e-05,"290/3106/2040/3107/3958/684/634/3710/4240/10312/23385/102/140885/3136/961/968/51365/6809/9522/1604/1755/527/967/7097/84418/566/3684/25798/23218/10184/94103/1088",32,"Downres_DEq_MS_BD_vs_BM1"
"GO:0005770","GO:0005770","late endosome","32/733","326/19944",0.098159509202454,2.67079570468451,5.94123910616224,4.80359746415287e-07,2.51228147375195e-05,1.94672107757774e-05,"684/56829/653145/26509/5641/10410/284996/10312/567/10581/950/972/83547/968/2896/255738/10791/967/9907/23503/51510/54887/91056/84888/11342/9570/90809/4851/1318/84315/55317/23555",32,"Downres_DEq_MS_BD_vs_BM1"
"GO:0030055","GO:0030055","cell-substrate junction","38/733","433/19944",0.0877598152424942,2.38783322673439,5.70313576959294,7.15928028134862e-07,3.4039123519503e-05,2.63762957733897e-05,"301/7431/3675/51056/3678/3655/2037/23385/567/10544/102/950/3371/5819/83706/30845/6522/2934/6125/6141/9902/6132/6128/6143/6129/527/6124/6868/6193/4736/5754/29780/28964/23396/7106/3717/10298/9181",38,"Downres_DEq_MS_BD_vs_BM1"
"GO:0042555","GO:0042555","MCM complex","6/733","11/19944",0.545454545454545,14.8411261317128,8.96919944663568,9.52680838044005e-07,3.83270829459242e-05,2.96989572993475e-05,"4174/4172/4171/4173/4175/4176",6,"Downres_DEq_MS_BD_vs_BM1"
"GO:0071162","GO:0071162","CMG complex","6/733","11/19944",0.545454545454545,14.8411261317128,8.96919944663568,9.52680838044005e-07,3.83270829459242e-05,2.96989572993475e-05,"4174/4172/4171/4173/4175/4176",6,"Downres_DEq_MS_BD_vs_BM1"
"GO:0005925","GO:0005925","focal adhesion","37/733","423/19944",0.0874704491725768,2.3799599431076,5.60348068113532,1.08453448977811e-06,4.05151098681395e-05,3.13944194409454e-05,"301/7431/3675/51056/3678/3655/2037/23385/567/10544/102/950/3371/5819/30845/6522/2934/6125/6141/9902/6132/6128/6143/6129/527/6124/6868/6193/4736/5754/29780/28964/23396/7106/3717/10298/9181",37,"Downres_DEq_MS_BD_vs_BM1"
"GO:0042611","GO:0042611","MHC protein complex","8/733","25/19944",0.32,8.70679399727149,7.53151308432309,1.98842278016602e-06,6.93296742684551e-05,5.37222996746608e-05,"3105/3134/3106/3107/567/972/3136/3133",8,"Downres_DEq_MS_BD_vs_BM1"
"GO:0031261","GO:0031261","DNA replication preinitiation complex","6/733","13/19944",0.461538461538462,12.5578759576031,8.14249324056288,3.32155062272982e-06,0.000108573185980481,8.41313809046697e-05,"4174/4172/4171/4173/4175/4176",6,"Downres_DEq_MS_BD_vs_BM1"
"GO:0098576","GO:0098576","lumenal side of membrane","10/733","46/19944",0.217391304347826,5.91494157423335,6.51875723973293,5.1947929075376e-06,0.000159816275920127,0.000123838716371639,"3105/3134/3106/3107/6892/972/3136/3133/84888/56928",10,"Downres_DEq_MS_BD_vs_BM1"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","29/733","319/19944",0.0909090909090909,2.47352102195213,5.18225871835844,7.487409899509e-06,0.0002175508543024,0.000168576187795963,"7057/4241/174/3912/11098/4240/567/5768/102/11093/3371/3491/4148/1291/1293/255738/27433/8729/1292/3487/6868/1435/56034/1303/54507/64222/1306/57104/23555",29,"Downres_DEq_MS_BD_vs_BM1"
"GO:0030687","GO:0030687","preribosome, large subunit precursor","6/733","16/19944",0.375,10.2032742155525,7.19354131450828,1.4099174957227e-05,0.000388098342243671,0.000300730324572433,"90441/10969/117246/56342/23481/10412",6,"Downres_DEq_MS_BD_vs_BM1"
"GO:0030666","GO:0030666","endocytic vesicle membrane","21/733","208/19944",0.100961538461538,2.74703536572568,4.94738880269312,2.88289073852762e-05,0.000753875928124973,0.000584164702280597,"6890/6891/3105/3134/3106/3107/6892/10312/567/950/972/3136/83547/3133/1755/527/7097/51762/4193/90809/245972",21,"Downres_DEq_MS_BD_vs_BM1"
"GO:0070820","GO:0070820","tertiary granule","18/733","164/19944",0.109756097560976,2.98632416064952,4.98920273232902,3.51445387570295e-05,0.000875266369996498,0.000678227940925132,"2040/3958/634/2495/10312/567/5768/102/140885/961/1604/527/84418/3684/23218/1088/4317/4318",18,"Downres_DEq_MS_BD_vs_BM1"
"GO:0035577","GO:0035577","azurophil granule membrane","10/733","58/19944",0.172413793103448,4.69116055887472,5.49889544073435,4.46733397877403e-05,0.00100188250621756,0.000776340474778626,"2040/684/23385/3136/968/527/967/566/25798/1088",10,"Downres_DEq_MS_BD_vs_BM1"
"GO:0016605","GO:0016605","PML body","14/733","109/19944",0.128440366972477,3.49469942551034,5.10137934647171,4.59754878570199e-05,0.00100188250621756,0.000776340474778626,"3669/5371/6672/4683/10241/7329/219988/23515/9683/7290/29855/11200/6612/7750",14,"Downres_DEq_MS_BD_vs_BM1"
"GO:0055038","GO:0055038","recycling endosome membrane","14/733","109/19944",0.128440366972477,3.49469942551034,5.10137934647171,4.59754878570199e-05,0.00100188250621756,0.000776340474778626,"3105/3134/30844/3106/3107/567/3136/30845/3133/8216/9522/10067/51762/55041",14,"Downres_DEq_MS_BD_vs_BM1"
"GO:0009897","GO:0009897","external side of plasma membrane","31/733","393/19944",0.0788804071246819,2.14623579767347,4.48288915886545,5.93748317489594e-05,0.00124212148018823,0.000962497272562079,"2028/3105/1889/3675/3134/7057/4907/3678/290/3106/3107/4240/10384/567/958/972/3136/3133/7048/10584/255738/11120/78989/9429/11118/3684/1636/8140/7049/4217/8482",31,"Downres_DEq_MS_BD_vs_BM1"
"GO:0030139","GO:0030139","endocytic vesicle","29/733","361/19944",0.0803324099722992,2.18574295291615,4.44095924032019,7.38564319575309e-05,0.00148565053514572,0.00115120349407487,"6890/6891/3105/7431/3134/30844/3106/3107/6892/10312/567/950/972/3136/30845/2934/83547/3133/81622/1755/527/3732/7097/51762/9830/4193/90809/245972/25921",29,"Downres_DEq_MS_BD_vs_BM1"
"GO:0031902","GO:0031902","late endosome membrane","18/733","182/19944",0.0989010989010989,2.69097341948638,4.47640398213707,0.00013680714510118,0.00265000506992286,0.0020534405794914,"653145/26509/10410/567/10581/950/83547/968/967/51510/84888/11342/9570/90809/4851/1318/55317/23555",18,"Downres_DEq_MS_BD_vs_BM1"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","9/733","58/19944",0.155172413793103,4.22204450298725,4.80003119472027,0.000247015468935485,0.00461389608047353,0.00357522389248729,"6125/6137/6141/6132/6128/6143/6129/6124/4736",9,"Downres_DEq_MS_BD_vs_BM1"
"GO:0043202","GO:0043202","lysosomal lumen","12/733","99/19944",0.121212121212121,3.2980280292695,4.47733523778847,0.000274718533127749,0.00495440664916596,0.00383907931957109,"5641/2629/950/2331/972/4969/6625/3988/10437/633/4958/1515",12,"Downres_DEq_MS_BD_vs_BM1"
"GO:0000781","GO:0000781","chromosome, telomeric region","17/733","177/19944",0.096045197740113,2.6132679723449,4.21109471888727,0.000294653599506145,0.00509406362725602,0.00394729696385945,"5371/6672/4174/23347/4683/4172/4171/4173/4175/4176/9555/9219/2237/55506/11200/222229/7014",17,"Downres_DEq_MS_BD_vs_BM1"
"GO:0005604","GO:0005604","basement membrane","12/733","100/19944",0.12,3.26504774897681,4.43542253311454,0.000301942585936781,0.00509406362725602,0.00394729696385945,"7060/3912/4811/43/3371/1291/59277/9423/80144/22795/1306/4147",12,"Downres_DEq_MS_BD_vs_BM1"
"GO:0070821","GO:0070821","tertiary granule membrane","10/733","73/19944",0.136986301369863,3.72722345773608,4.55978681109635,0.00032424954530076,0.00517338525250708,0.00400876184404795,"2040/634/102/140885/961/527/84418/3684/23218/1088",10,"Downres_DEq_MS_BD_vs_BM1"
"GO:0098687","GO:0098687","chromosomal region","30/733","413/19944",0.0726392251815981,1.97642115555497,3.91671717335419,0.000327197208790052,0.00517338525250708,0.00400876184404795,"5371/6672/4174/23347/4683/4172/4171/4173/2332/4175/8467/4176/9555/8899/2959/51490/9219/2237/9793/51510/1786/55506/9031/11200/6597/6612/222229/4085/7014/6602",30,"Downres_DEq_MS_BD_vs_BM1"
"GO:0005775","GO:0005775","vacuolar lumen","17/733","179/19944",0.0949720670391061,2.58406944751423,4.15838379522264,0.000336319500162984,0.00517338525250708,0.00400876184404795,"2512/5641/2629/950/2331/972/4969/2896/6625/3988/5580/10437/1727/633/4958/1515/566",17,"Downres_DEq_MS_BD_vs_BM1"
"GO:0022626","GO:0022626","cytosolic ribosome","13/733","118/19944",0.110169491525424,2.99757208592503,4.251069049746,0.000401580257357336,0.00600075641708248,0.00464987666413757,"6125/6137/6141/6132/6128/6143/6129/6194/6124/6193/6229/4736/26046",13,"Downres_DEq_MS_BD_vs_BM1"
"GO:0012507","GO:0012507","ER to Golgi transport vesicle membrane","9/733","64/19944",0.140625,3.8262278308322,4.42345090648243,0.000525248836404282,0.00745818434442309,0.00577921097434415,"3105/3134/3106/3107/567/972/3136/3133/9570",9,"Downres_DEq_MS_BD_vs_BM1"
"GO:0000228","GO:0000228","nuclear chromosome","20/733","238/19944",0.0840336134453782,2.28644800348516,3.89990225768172,0.000527634456488823,0.00745818434442309,0.00577921097434415,"4174/11277/23347/7150/4172/4171/4173/7329/4175/8467/4176/9555/10592/84365/2073/55506/9031/222229/5810/7507",20,"Downres_DEq_MS_BD_vs_BM1"
"GO:0005766","GO:0005766","primary lysosome","15/733","155/19944",0.0967741935483871,2.63310302336839,3.98694049246308,0.000605555593253772,0.00812065577619802,0.00629254800007294,"2040/684/2512/23385/3136/968/2896/5580/6809/1727/527/967/566/25798/1088",15,"Downres_DEq_MS_BD_vs_BM1"
"GO:0042582","GO:0042582","azurophil granule","15/733","155/19944",0.0967741935483871,2.63310302336839,3.98694049246308,0.000605555593253772,0.00812065577619802,0.00629254800007294,"2040/684/2512/23385/3136/968/2896/5580/6809/1727/527/967/566/25798/1088",15,"Downres_DEq_MS_BD_vs_BM1"
"GO:0005778","GO:0005778","peroxisomal membrane","9/733","66/19944",0.136363636363636,3.71028153292819,4.30796609421734,0.000661400109312071,0.00843688432122471,0.0065375877300423,"215/2182/8504/54332/51762/5193/4358/5194/5192",9,"Downres_DEq_MS_BD_vs_BM1"
"GO:0031903","GO:0031903","microbody membrane","9/733","66/19944",0.136363636363636,3.71028153292819,4.30796609421734,0.000661400109312071,0.00843688432122471,0.0065375877300423,"215/2182/8504/54332/51762/5193/4358/5194/5192",9,"Downres_DEq_MS_BD_vs_BM1"
"GO:0030134","GO:0030134","COPII-coated ER to Golgi transport vesicle","11/733","95/19944",0.115789473684211,3.15048467006534,4.10394076535624,0.000723229139877715,0.0089875989049325,0.00696432641320119,"3105/3134/3106/3107/567/972/3136/3133/255738/51124/9570",11,"Downres_DEq_MS_BD_vs_BM1"
"GO:0005681","GO:0005681","spliceosomal complex","18/733","209/19944",0.0861244019138756,2.34333570500728,3.81339139123811,0.000738942166179918,0.0089875989049325,0.00696432641320119,"3958/103/5411/6625/8899/10713/79753/9129/9416/58509/11017/55702/55131/6936/55094/57703/55119/54883",18,"Downres_DEq_MS_BD_vs_BM1"
"GO:0035145","GO:0035145","exon-exon junction complex","5/733","21/19944",0.238095238095238,6.47826934320795,4.90623003362264,0.000824172040083831,0.00979640856736008,0.00759105826393002,"5411/26019/10921/27291/65109",5,"Downres_DEq_MS_BD_vs_BM1"
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","21/733","267/19944",0.0786516853932584,2.14001256955409,3.6631784330996,0.000916713771514043,0.0106542511667077,0.00825578484287501,"3669/6737/85441/23424/64761/7706/57169/7150/55337/2332/10642/85363/219988/26019/6128/1981/6194/60489/79752/10644/25819",21,"Downres_DEq_MS_BD_vs_BM1"
