"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0106068","GO:0106068","SUMO ligase complex","5/254","13/19944",0.384615384615385,30.1998788612962,11.961273647262,3.8140856716175e-07,0.000103361721700834,9.51514004392997e-05,"56160/197370/286053/23137/79677",5,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","5/254","21/19944",0.238095238095238,18.6951631046119,9.21459166856172,5.54777227091351e-06,0.000363996497749244,0.000335083200491632,"7436/116519/345/344/341",5,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","5/254","21/19944",0.238095238095238,18.6951631046119,9.21459166856172,5.54777227091351e-06,0.000363996497749244,0.000335083200491632,"7436/116519/345/344/341",5,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0034358","GO:0034358","plasma lipoprotein particle","6/254","37/19944",0.162162162162162,12.7329218982762,8.11322235104697,6.71580254149896e-06,0.000363996497749244,0.000335083200491632,"7436/116519/345/344/4018/341",6,"Downres_DEq_MS_BM2_vs_BDM"
"GO:1990777","GO:1990777","lipoprotein particle","6/254","37/19944",0.162162162162162,12.7329218982762,8.11322235104697,6.71580254149896e-06,0.000363996497749244,0.000335083200491632,"7436/116519/345/344/4018/341",6,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0032994","GO:0032994","protein-lipid complex","6/254","40/19944",0.15,11.7779527559055,7.74970791971389,1.07394629436443e-05,0.0004850657429546,0.000446535564498894,"7436/116519/345/344/4018/341",6,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0042627","GO:0042627","chylomicron","4/254","13/19944",0.307692307692308,24.1599030890369,9.48709204609839,1.67831984107768e-05,0.000649749538474361,0.000598138048624678,"116519/345/344/341",4,"Downres_DEq_MS_BM2_vs_BDM"
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","8/254","125/19944",0.064,5.02525984251968,5.12740122903906,0.000202260515851612,0.00685157497447337,0.00630733450747791,"230/178/210/5836/2821/5211/3043/4282",8,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0034774","GO:0034774","secretory granule lumen","13/254","327/19944",0.0397553516819572,3.12157769269667,4.39345078176719,0.00030676780965635,0.0082415876635084,0.00758693445815301,"230/178/210/7018/383/5836/2821/5211/6694/197/6036/79980/4282",13,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","13/254","332/19944",0.0391566265060241,3.07456598045726,4.32936893241525,0.000354639697799118,0.0082415876635084,0.00758693445815301,"230/178/210/7018/383/5836/2821/5211/6694/197/6036/79980/4282",13,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0034364","GO:0034364","high-density lipoprotein particle","4/254","27/19944",0.148148148148148,11.6325459317585,6.27908602114267,0.000358034176602341,0.0082415876635084,0.00758693445815301,"116519/345/344/341",4,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0031983","GO:0031983","vesicle lumen","13/254","333/19944",0.039039039039039,3.06533304958502,4.31669720866748,0.000364941151151664,0.0082415876635084,0.00758693445815301,"230/178/210/7018/383/5836/2821/5211/6694/197/6036/79980/4282",13,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0009925","GO:0009925","basal plasma membrane","12/254","300/19944",0.04,3.1407874015748,4.24334604356344,0.000492488495243661,0.0102664909393102,0.00945099379536419,"3248/7018/10998/6580/10991/10864/11309/8671/9123/29015/366/486",12,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0101002","GO:0101002","ficolin-1-rich granule","9/254","186/19944",0.0483870967741935,3.7993395986792,4.35642071060177,0.000653648783638811,0.0123191964596302,0.0113406469641963,"230/178/210/5836/2821/5211/3043/4282/2207",9,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0098803","GO:0098803","respiratory chain complex","7/254","115/19944",0.0608695652173913,4.77945908935296,4.6165485517928,0.000681874342783957,0.0123191964596302,0.0113406469641963,"4706/1337/6392/4707/4717/1350/10975",7,"Downres_DEq_MS_BM2_vs_BDM"
"GO:1990204","GO:1990204","oxidoreductase complex","7/254","117/19944",0.0598290598290598,4.69775893397941,4.55608971690015,0.000755470124689739,0.0127957752369325,0.0117793697073334,"32/3939/5163/4706/6392/4707/4717",7,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0045178","GO:0045178","basal part of cell","12/254","319/19944",0.0376175548589342,2.95371855947474,3.99522972127326,0.00084408192378882,0.0134556589027512,0.0123868369001827,"3248/7018/10998/6580/10991/10864/11309/8671/9123/29015/366/486",12,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0000164","GO:0000164","protein phosphatase type 1 complex","3/254","20/19944",0.15,11.7779527559055,5.47711994469691,0.00198243143698185,0.02984660663456,0.0274758041265905,"648791/5507/90673",3,"Downres_DEq_MS_BM2_vs_BDM"
"GO:0016323","GO:0016323","basolateral plasma membrane","10/254","267/19944",0.0374531835205993,2.94081217375918,3.62617651105329,0.00232207422291962,0.0331201112848009,0.0304892848106343,"3248/6580/10991/10864/11309/8671/9123/29015/366/486",10,"Downres_DEq_MS_BM2_vs_BDM"
