"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0072562","GO:0072562","blood microparticle","8/48","145/19944",0.0551724137931034,22.9241379310345,13.0142119729555,1.89705264163935e-09,1.82117053597378e-07,1.21810748568422e-07,"10878/1/731/3493/3507/3514/3310/3043",8,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0031012","GO:0031012","extracellular matrix","8/48","496/19944",0.0161290322580645,6.70161290322581,6.31588292613991,2.17655376060774e-05,0.00070661658524227,0.000472627321269501,"1293/3912/6275/7059/5118/8482/1277/7148",8,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0030312","GO:0030312","external encapsulating structure","8/48","497/19944",0.0160965794768612,6.68812877263581,6.30745679281863,2.20817682888209e-05,0.00070661658524227,0.000472627321269501,"1293/3912/6275/7059/5118/8482/1277/7148",8,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005581","GO:0005581","collagen trimer","4/48","86/19944",0.0465116279069767,19.3255813953488,8.36512069564505,5.42521764782034e-05,0.00130205223547688,0.000870890201360634,"4153/1293/10584/1277",4,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0071745","GO:0071745","IgA immunoglobulin complex","2/48","10/19944",0.2,83.1,12.7549543127798,0.000252118553850041,0.00403389686160066,0.00269811083944781,"3493/3514",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0071753","GO:0071753","IgM immunoglobulin complex","2/48","10/19944",0.2,83.1,12.7549543127798,0.000252118553850041,0.00403389686160066,0.00269811083944781,"3507/3514",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0042571","GO:0042571","immunoglobulin complex, circulating","2/48","12/19944",0.166666666666667,69.25,11.6158452255548,0.000368638980867646,0.005055620309042,0.00338150042600397,"3493/3507",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0071735","GO:0071735","IgG immunoglobulin complex","2/48","13/19944",0.153846153846154,63.9230769230769,11.1467961808864,0.000434995329478263,0.00521994395373916,0.00349140988133869,"3493/3514",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0098637","GO:0098637","protein complex involved in cell-matrix adhesion","2/48","17/19944",0.117647058823529,48.8823529411765,9.70089850835779,0.000753807793039319,0.00804061645908607,0.00537804390355538,"3912/7148",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:1905370","GO:1905370","serine-type endopeptidase complex","2/48","19/19944",0.105263157894737,43.7368421052632,9.15404495546604,0.000944896658840143,0.00907100792486538,0.00606723117781566,"4153/10584",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:1905286","GO:1905286","serine-type peptidase complex","2/48","21/19944",0.0952380952380952,39.5714285714286,8.6862231294998,0.00115684295043739,0.01009608393109,0.00675286315566326,"4153/10584",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","3/48","125/19944",0.024,9.972,4.94238280222602,0.00338430910750016,0.0250460202247489,0.0167522722994482,"1/3310/3043",3,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0044217","GO:0044217","other organism part","2/48","36/19944",0.0555555555555556,23.0833333333333,6.51380929288235,0.00339164857210141,0.0250460202247489,0.0167522722994482,"4153/731",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","4/48","319/19944",0.0125391849529781,5.21003134796238,3.72313527172002,0.00718803771193982,0.0492894014533016,0.0329676917615285,"1293/3912/6694/1277",4,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0019814","GO:0019814","immunoglobulin complex","3/48","172/19944",0.0174418604651163,7.24709302325581,4.04156783617518,0.00820388073653019,0.0499247239646871,0.0333926333535736,"3493/3507/3514",3,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","2/48","57/19944",0.0350877192982456,14.5789473684211,5.04256927363694,0.00832078732744785,0.0499247239646871,0.0333926333535736,"3912/7148",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
