"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0030055","GO:0030055","cell-substrate junction","68/746","433/19944",0.157043879907621,4.19850286980911,13.264399486309,4.48024554804788e-24,2.39693136820561e-21,1.76851797949258e-21,"2318/301/7431/3675/2195/3673/102/23767/3655/3339/8754/8826/960/1969/3693/10672/2037/4162/3685/30845/9260/6237/3716/977/23385/54751/3688/2934/4323/3678/23022/9448/6522/6386/22800/1601/83706/9019/9902/4082/7106/928/3371/3909/8829/6714/527/857/91624/11135/1264/28964/966/858/83692/29780/10544/6129/23545/6143/23396/59341/157285/2768/23092/390/867/3717",68,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0005925","GO:0005925","focal adhesion","66/746","423/19944",0.156028368794326,4.17135360219041,12.9957241907166,3.13118395079934e-23,8.37591706838824e-21,6.17996832394607e-21,"2318/301/7431/3675/2195/3673/102/23767/3655/3339/8754/8826/960/1969/3693/10672/2037/4162/3685/30845/9260/6237/3716/977/23385/54751/3688/2934/4323/3678/23022/9448/6522/6386/22800/1601/9019/9902/4082/7106/928/3371/8829/6714/527/857/91624/11135/1264/28964/966/858/83692/29780/10544/6129/23545/6143/23396/59341/157285/2768/23092/390/867/3717",66,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0031012","GO:0031012","extracellular matrix","65/746","496/19944",0.131048387096774,3.5035241719277,11.1299142658151,8.73958302518059e-19,1.29865202323609e-16,9.58179062889391e-17,"7057/2335/301/2243/2267/3491/2244/27329/2266/23767/3915/3339/4969/4148/5054/375790/7045/4240/3698/3911/2331/1291/4059/7042/3959/977/653145/4323/5352/6277/1311/1755/10417/7078/51129/43/2162/3371/3909/4324/3958/9423/7060/4811/10631/1490/9518/4192/1303/11093/4147/1306/3918/4239/64856/59277/633/3914/4052/5270/3549/1290/4318/1292/1893",65,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0030312","GO:0030312","external encapsulating structure","65/746","497/19944",0.130784708249497,3.49647482751738,11.1100430886562,9.70954783727916e-19,1.29865202323609e-16,9.58179062889391e-17,"7057/2335/301/2243/2267/3491/2244/27329/2266/23767/3915/3339/4969/4148/5054/375790/7045/4240/3698/3911/2331/1291/4059/7042/3959/977/653145/4323/5352/6277/1311/1755/10417/7078/51129/43/2162/3371/3909/4324/3958/9423/7060/4811/10631/1490/9518/4192/1303/11093/4147/1306/3918/4239/64856/59277/633/3914/4052/5270/3549/1290/4318/1292/1893",65,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0005765","GO:0005765","lysosomal membrane","59/746","462/19944",0.127705627705628,3.41415688868772,10.3491903078655,1.29203813588656e-16,1.15206733783218e-14,8.50025089399053e-15,"8876/6520/6560/2629/1291/23385/2896/2040/1601/290/8140/64837/8417/8673/727957/4758/967/79888/10312/23250/5025/527/221955/55315/1186/537/55361/83930/5663/64114/90809/1201/11182/26503/255738/83985/114790/153129/11342/58986/54978/28962/57192/53373/81618/83667/26001/23545/9516/64747/6272/9842/245972/10581/566/84925/7030/57231/7311",59,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0098852","GO:0098852","lytic vacuole membrane","59/746","462/19944",0.127705627705628,3.41415688868772,10.3491903078655,1.29203813588656e-16,1.15206733783218e-14,8.50025089399053e-15,"8876/6520/6560/2629/1291/23385/2896/2040/1601/290/8140/64837/8417/8673/727957/4758/967/79888/10312/23250/5025/527/221955/55315/1186/537/55361/83930/5663/64114/90809/1201/11182/26503/255738/83985/114790/153129/11342/58986/54978/28962/57192/53373/81618/83667/26001/23545/9516/64747/6272/9842/245972/10581/566/84925/7030/57231/7311",59,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0030667","GO:0030667","secretory granule membrane","41/746","325/19944",0.126153846153846,3.37267065374304,8.5011439535348,9.64161619973137e-12,7.3689495240804e-10,5.43700161638987e-10,"102/8876/8826/960/4240/3685/23385/2040/290/23218/1755/6809/634/8673/81619/967/79888/10312/928/23250/5874/3958/527/1604/51365/857/5663/64114/334/84418/140885/965/966/858/3710/3106/5066/10257/116843/566/683",41,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0005604","GO:0005604","basement membrane","21/746","100/19944",0.21,5.61426273458445,9.11852041967677,1.02634392371129e-10,6.86367498981928e-09,5.06419699199652e-09,"2335/3915/3339/375790/7045/3911/1291/977/7078/43/3371/3909/9423/7060/4811/4147/1306/3918/64856/59277/3914",21,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","38/746","319/19944",0.119122257053292,3.18468404111373,7.7538216927511,3.03422886679995e-10,1.80368049304219e-08,1.33080213456138e-08,"7057/4241/2335/2243/3491/2266/338/102/3915/4148/11098/11167/4240/3698/64374/1291/2719/174/2153/51280/351/5768/81619/3371/57104/334/23555/255738/1303/11093/1306/336/64856/54982/4052/3990/1290/1292",38,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0045335","GO:0045335","phagocytic vesicle","22/746","148/19944",0.148648648648649,3.97405985073545,7.15860672285612,3.33380268220152e-08,1.78358443497782e-06,1.31597474297429e-06,"306/7431/3693/4353/3685/4057/2934/23673/1755/3105/8673/10312/527/90809/26056/80223/57192/25921/3106/23545/245972/10228",22,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0031091","GO:0031091","platelet alpha granule","17/746","91/19944",0.186813186813187,4.9943729193059,7.52823033254367,3.9479488074267e-08,1.92013873815753e-06,1.41672804094259e-06,"7057/2335/2243/2244/2266/5054/7042/2153/351/83706/5768/2162/928/334/10916/5270/3481",17,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0005770","GO:0005770","late endosome","34/746","326/19944",0.104294478527607,2.78826954390697,6.41728134210922,7.46857657283971e-08,3.31084993375843e-06,2.44283074305836e-06,"8878/26509/653145/51150/2896/57498/8417/8673/967/10312/5874/6714/55315/10079/83930/79720/2674/90809/1201/89853/23555/255738/153129/11342/57192/3140/54887/9516/9842/10581/84079/54602/8218/57231",34,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0034774","GO:0034774","secretory granule lumen","34/746","327/19944",0.103975535168196,2.77974272572989,6.39663354897039,8.04505591380552e-08,3.31084993375843e-06,2.44283074305836e-06,"7057/2335/2243/2244/2266/23406/5054/4353/2950/7042/4057/2153/3959/6282/2934/6386/351/2896/83706/7078/5768/2162/4758/2512/3934/3614/10562/114790/10916/3481/1727/566/6283/1893",34,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0016324","GO:0016324","apical plasma membrane","40/746","425/19944",0.0941176470588235,2.51619618356726,6.22813111552199,9.1082646835602e-08,3.48065828978908e-06,2.56811974160532e-06,"2335/301/2195/5243/6520/8826/960/54825/10672/10149/5205/6522/8140/6809/4363/6564/634/771/8611/10312/928/9429/5874/6584/483/4072/857/5420/5213/6513/26503/29985/27347/113235/10257/245972/59341/23043/2768/10158",40,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","34/746","332/19944",0.102409638554217,2.73787913046287,6.29454484848395,1.16065399154434e-07,4.13966590317483e-06,3.05435260932722e-06,"7057/2335/2243/2244/2266/23406/5054/4353/2950/7042/4057/2153/3959/6282/2934/6386/351/2896/83706/7078/5768/2162/4758/2512/3934/3614/10562/114790/10916/3481/1727/566/6283/1893",34,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
"GO:0031983","GO:0031983","vesicle lumen","34/746","333/19944",0.102102102102102,2.72965727121223,6.27435328480532,1.247635779249e-07,4.17178213686386e-06,3.07804879748932e-06,"7057/2335/2243/2244/2266/23406/5054/4353/2950/7042/4057/2153/3959/6282/2934/6386/351/2896/83706/7078/5768/2162/4758/2512/3934/3614/10562/114790/10916/3481/1727/566/6283/1893",34,"Upres_DEq_MS_CTRL.myr_vs_HBVHDV.myr"
