"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","GO:0031012","extracellular matrix","16/34","496/19944",0.032258064516129,18.9222011385199,16.7029732469348,2.46116887646991e-17,1.19418935264959e-15,6.55266274130232e-16,"7057/2335/2243/2266/2244/7060/2267/375790/3915/3959/3339/1755/4811/3911/1291/2162",16,"Upres_DEq_MS_DM_vs_BM2"
"GO:0030312","GO:0030312","external encapsulating structure","16/34","497/19944",0.0321931589537223,18.884128299207,16.6847128696391,2.54082840989273e-17,1.19418935264959e-15,6.55266274130232e-16,"7057/2335/2243/2266/2244/7060/2267/375790/3915/3959/3339/1755/4811/3911/1291/2162",16,"Upres_DEq_MS_DM_vs_BM2"
"GO:0005604","GO:0005604","basement membrane","8/34","100/19944",0.08,46.9270588235294,19.0262455754385,4.89739867412789e-12,1.53451825122674e-10,8.42008894850058e-11,"2335/7060/375790/3915/3339/4811/3911/1291",8,"Upres_DEq_MS_DM_vs_BM2"
"GO:0034774","GO:0034774","secretory granule lumen","10/34","327/19944",0.0305810397553517,17.938478143551,12.7623614835184,1.13248386671853e-10,2.11925931764956e-09,1.16286345537322e-09,"7057/2335/2243/2266/2244/3959/4057/6286/4353/2162",10,"Upres_DEq_MS_DM_vs_BM2"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","10/34","332/19944",0.0301204819277108,17.6683203401843,12.6560741625046,1.31355133239204e-10,2.11925931764956e-09,1.16286345537322e-09,"7057/2335/2243/2266/2244/3959/4057/6286/4353/2162",10,"Upres_DEq_MS_DM_vs_BM2"
"GO:0031983","GO:0031983","vesicle lumen","10/34","333/19944",0.03003003003003,17.6152623211447,12.6350953119675,1.35271871339334e-10,2.11925931764956e-09,1.16286345537322e-09,"7057/2335/2243/2266/2244/3959/4057/6286/4353/2162",10,"Upres_DEq_MS_DM_vs_BM2"
"GO:0031093","GO:0031093","platelet alpha granule lumen","6/34","67/19944",0.0895522388059701,52.5302897278314,17.4591718565103,1.42778366338369e-09,1.91730949082953e-08,1.05205112038799e-08,"7057/2335/2243/2266/2244/2162",6,"Upres_DEq_MS_DM_vs_BM2"
"GO:0072562","GO:0072562","blood microparticle","7/34","145/19944",0.0482758620689655,28.3180527383367,13.643041039842,4.23695552264523e-09,4.97842273910815e-08,2.73172132381074e-08,"2335/2243/2266/2244/3959/6513/2162",7,"Upres_DEq_MS_DM_vs_BM2"
"GO:0031091","GO:0031091","platelet alpha granule","6/34","91/19944",0.0659340659340659,38.6761473820297,14.8858344620298,9.26448769616644e-09,9.67624270488495e-08,5.30947248084393e-08,"7057/2335/2243/2266/2244/2162",6,"Upres_DEq_MS_DM_vs_BM2"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","7/34","319/19944",0.0219435736677116,12.8718421537894,8.83298912238761,9.31063774950526e-07,8.75199948453494e-06,4.80232894448166e-06,"7057/2335/2243/2266/3915/116519/1291",7,"Upres_DEq_MS_DM_vs_BM2"
"GO:0044217","GO:0044217","other organism part","3/34","36/19944",0.0833333333333333,48.8823529411765,11.8826140396886,3.10999793231775e-05,0.00026576345967079,0.000145827654242651,"5648/727/732",3,"Upres_DEq_MS_DM_vs_BM2"
"GO:0043256","GO:0043256","laminin complex","2/34","10/19944",0.2,117.317647058824,15.2036356947633,0.00012585924533352,0.000985897421779241,0.000540973949240569,"3915/3911",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0016529","GO:0016529","sarcoplasmic reticulum","3/34","78/19944",0.0384615384615385,22.5610859728507,7.88427547802305,0.00031555420593497,0.0022816996429144,0.00125199644460029,"7057/7060/1291",3,"Upres_DEq_MS_DM_vs_BM2"
"GO:0098637","GO:0098637","protein complex involved in cell-matrix adhesion","2/34","17/19944",0.117647058823529,69.0103806228374,11.5925179976883,0.00037753834766121,0.0025349003342967,0.0013909307545413,"3915/4811",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","2/34","21/19944",0.0952380952380952,55.8655462184874,10.395157174399,0.000580477045277352,0.00341030264100444,0.00187127468543357,"116519/55937",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","2/34","21/19944",0.0952380952380952,55.8655462184874,10.395157174399,0.000580477045277352,0.00341030264100444,0.00187127468543357,"116519/55937",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0016528","GO:0016528","sarcoplasm","3/34","99/19944",0.0303030303030303,17.7754010695187,6.91455174435512,0.000634897546958766,0.0035106099655367,0.00192631453876034,"7057/7060/1291",3,"Upres_DEq_MS_DM_vs_BM2"
"GO:0071682","GO:0071682","endocytic vesicle lumen","2/34","23/19944",0.0869565217391304,51.0076726342711,9.91617234502072,0.000697843993176747,0.0036442964088119,0.00199966992196846,"4057/4353",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0046930","GO:0046930","pore complex","2/34","26/19944",0.0769230769230769,45.1221719457014,9.30293027289447,0.000893572151364112,0.00442083064359087,0.00242576373500507,"727/732",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0034364","GO:0034364","high-density lipoprotein particle","2/34","27/19944",0.0740740740740741,43.4509803921569,9.12129954200938,0.000964027934014914,0.0045309312898701,0.00248617730351215,"116519/55937",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0034358","GO:0034358","plasma lipoprotein particle","2/34","37/19944",0.0540540540540541,31.7074721780604,7.72575788800159,0.00180976257817464,0.00773262192492801,0.0042429840349549,"116519/55937",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:1990777","GO:1990777","lipoprotein particle","2/34","37/19944",0.0540540540540541,31.7074721780604,7.72575788800159,0.00180976257817464,0.00773262192492801,0.0042429840349549,"116519/55937",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0045335","GO:0045335","phagocytic vesicle","3/34","148/19944",0.0202702702702703,11.8903020667727,5.49517002398576,0.00202439245464426,0.00827360394506786,0.00453982747265762,"4057/1755/4353",3,"Upres_DEq_MS_DM_vs_BM2"
"GO:0032994","GO:0032994","protein-lipid complex","2/34","40/19944",0.05,29.3294117647059,7.41133499820186,0.00211277051056496,0.00827501783304608,0.00454060329024925,"116519/55937",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0005775","GO:0005775","vacuolar lumen","3/34","179/19944",0.0167597765363128,9.83108774235951,4.90446205769619,0.0034674019823458,0.0130374314536202,0.00715379777410292,"375790/3339/4353",3,"Upres_DEq_MS_DM_vs_BM2"
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","2/34","57/19944",0.0350877192982456,20.5820433436533,6.11800562037944,0.00424544969264376,0.0150258061263715,0.00824484322723634,"3915/4811",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0009897","GO:0009897","external side of plasma membrane","4/34","393/19944",0.0101781170483461,5.97036371800629,4.11243485040094,0.00431592303629821,0.0150258061263715,0.00824484322723634,"7057/2243/2266/2244",4,"Upres_DEq_MS_DM_vs_BM2"
"GO:0043202","GO:0043202","lysosomal lumen","2/34","99/19944",0.0202020202020202,11.8502673796791,4.47230649961637,0.0123408038957882,0.041429841650146,0.0227330598080308,"375790/3339",2,"Upres_DEq_MS_DM_vs_BM2"
"GO:0005796","GO:0005796","Golgi lumen","2/34","109/19944",0.018348623853211,10.7630868861306,4.22360576514025,0.0148159883646883,0.0480242381476104,0.0263514856577034,"375790/3339",2,"Upres_DEq_MS_DM_vs_BM2"
