"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0072562","GO:0072562","blood microparticle","6/34","145/19944",0.0413793103448276,24.27261663286,11.622690199329,1.51371657946788e-07,2.01324305069227e-05,1.17910554611182e-05,"3043/731/1/713/10878/3310",6,"Upres_DEq_MS_DM_vs_CM"
"GO:0030139","GO:0030139","endocytic vesicle","7/34","361/19944",0.0193905817174515,11.3742871109663,8.21999068062511,2.12108213688534e-06,0.000141051962102875,8.26105674365868e-05,"3043/9332/283/3123/1536/11151/3122",7,"Upres_DEq_MS_DM_vs_CM"
"GO:0030666","GO:0030666","endocytic vesicle membrane","5/34","208/19944",0.0240384615384615,14.1006787330317,7.84865011275102,2.55791356151884e-05,0.00113400834560669,0.000664160012464542,"9332/3123/1536/11151/3122",5,"Upres_DEq_MS_DM_vs_CM"
"GO:0001772","GO:0001772","immunological synapse","3/34","48/19944",0.0625,36.6617647058824,10.2220884832138,7.42910787113682e-05,0.00247017836715299,0.00144672100648454,"3123/11151/3122",3,"Upres_DEq_MS_DM_vs_CM"
"GO:0101002","GO:0101002","ficolin-1-rich granule","4/34","186/19944",0.021505376344086,12.6148007590133,6.57651506015603,0.000272909810257654,0.00725940095285361,0.00425164757032977,"3043/3689/1/3310",4,"Upres_DEq_MS_DM_vs_CM"
"GO:0042613","GO:0042613","MHC class II protein complex","2/34","17/19944",0.117647058823529,69.0103806228374,11.5925179976883,0.00037753834766121,0.00836876670649016,0.0049013750398122,"3123/3122",2,"Upres_DEq_MS_DM_vs_CM"
"GO:0044754","GO:0044754","autolysosome","2/34","20/19944",0.1,58.6588235294118,10.6608438248167,0.000525754974583647,0.00998934451708929,0.0058505064840887,"3123/3122",2,"Upres_DEq_MS_DM_vs_CM"
"GO:0042611","GO:0042611","MHC protein complex","2/34","25/19944",0.08,46.9270588235294,9.49519625807601,0.00082571719161089,0.0137275483105311,0.00803987791831657,"3123/3122",2,"Upres_DEq_MS_DM_vs_CM"
"GO:0005767","GO:0005767","secondary lysosome","2/34","28/19944",0.0714285714285714,41.8991596638655,8.94934838493775,0.00103707600162299,0.0153256786906509,0.0089758624701873,"3123/3122",2,"Upres_DEq_MS_DM_vs_CM"
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","3/34","125/19944",0.024,14.0781176470588,6.06119771227481,0.00124793180699351,0.0165974930330136,0.00972073197026521,"3043/1/3310",3,"Upres_DEq_MS_DM_vs_CM"
"GO:0098553","GO:0098553","lumenal side of endoplasmic reticulum membrane","2/34","35/19944",0.0571428571428571,33.5193277310924,7.95701049533194,0.00162028347226874,0.0189942271341245,0.0111244385273068,"3123/3122",2,"Upres_DEq_MS_DM_vs_CM"
"GO:0044217","GO:0044217","other organism part","2/34","36/19944",0.0555555555555556,32.5882352941176,7.83902179276751,0.00171376485420672,0.0189942271341245,0.0111244385273068,"731/713",2,"Upres_DEq_MS_DM_vs_CM"
"GO:0070820","GO:0070820","tertiary granule","3/34","164/19944",0.0182926829268293,10.7302725968436,5.17050379081285,0.00270927136466658,0.0264632762267537,0.0154988717117513,"3043/3689/1536",3,"Upres_DEq_MS_DM_vs_CM"
"GO:0098576","GO:0098576","lumenal side of membrane","2/34","46/19944",0.0434782608695652,25.5038363171355,6.87554863546588,0.00278560802386881,0.0264632762267537,0.0154988717117513,"3123/3122",2,"Upres_DEq_MS_DM_vs_CM"
"GO:0012507","GO:0012507","ER to Golgi transport vesicle membrane","2/34","64/19944",0.03125,18.3308823529412,5.73854173162333,0.00532287028460425,0.047196116523491,0.0276415720042606,"3123/3122",2,"Upres_DEq_MS_DM_vs_CM"
