"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","13/71","175/18662",0.0742857142857143,19.5256338028169,15.2161273421581,1.00152840352973e-13,2.38363760040075e-11,1.96088719006873e-11,"7057/3915/3911/3339/375790/1311/4969/2243/4148/2266/2244/2335/4811",13,"Downres_DEq_MS_B1_vs_C"
"GO:0005539","GO:0005539","glycosaminoglycan binding","12/71","240/18662",0.05,13.1422535211268,11.6998901344743,1.01827238001823e-10,1.21174413222169e-08,9.96835066754684e-09,"7057/3698/375790/5792/1311/5621/4353/1755/4057/8829/2335/1511",12,"Downres_DEq_MS_B1_vs_C"
"GO:0043394","GO:0043394","proteoglycan binding","6/71","37/18662",0.162162162162162,42.6235249333841,15.661625423922,5.17677089569845e-09,4.10690491058743e-07,3.37852416350846e-07,"7057/375790/5792/1311/2335/4811",6,"Downres_DEq_MS_B1_vs_C"
"GO:1901681","GO:1901681","sulfur compound binding","10/71","266/18662",0.037593984962406,9.88139362490734,9.01582538185769,6.28484251702529e-08,3.73948129763005e-06,3.07626502149133e-06,"7057/375790/5792/1311/4353/1755/4057/8829/2335/1511",10,"Downres_DEq_MS_B1_vs_C"
"GO:0008201","GO:0008201","heparin binding","8/71","170/18662",0.0470588235294118,12.3691797845899,9.20252292137771,2.62536778135556e-07,1.24967506392525e-05,1.02803875227818e-05,"7057/5792/1311/4353/4057/8829/2335/1511",8,"Downres_DEq_MS_B1_vs_C"
"GO:0005518","GO:0005518","collagen binding","5/71","72/18662",0.0694444444444444,18.2531298904538,9.06441332637635,7.93057612657143e-06,0.000314579519687333,0.000258787220972331,"7057/3339/1311/2335/4811",5,"Downres_DEq_MS_B1_vs_C"
"GO:0005178","GO:0005178","integrin binding","6/71","152/18662",0.0394736842105263,10.3754633061527,7.17226914386792,2.44839022574556e-05,0.00083245267675349,0.000684812905246126,"7057/3911/3339/1311/7106/2335",6,"Downres_DEq_MS_B1_vs_C"
"GO:0061134","GO:0061134","peptidase regulator activity","7/71","237/18662",0.029535864978903,7.76335651037024,6.47556937796754,3.24930384603053e-05,0.000966667894194081,0.000795224362317997,"7057/3698/727/5621/4057/2335/7078",7,"Downres_DEq_MS_B1_vs_C"
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","6/71","170/18662",0.0352941176470588,9.27688483844242,6.6995354006637,4.59035034571913e-05,0.00121389264697906,0.000998602531349425,"7057/3698/727/5621/4057/7078",6,"Downres_DEq_MS_B1_vs_C"
"GO:0030414","GO:0030414","peptidase inhibitor activity","6/71","178/18662",0.0337078651685393,8.85994619401804,6.51143709967309,5.93026940500133e-05,0.00141140411839032,0.00116108432561079,"7057/3698/727/5621/4057/7078",6,"Downres_DEq_MS_B1_vs_C"
"GO:0061135","GO:0061135","endopeptidase regulator activity","6/71","199/18662",0.0301507537688442,7.92497699766438,6.06930543747794,0.000109757333580975,0.00237474958111565,0.00195357550680013,"7057/3698/727/5621/4057/7078",6,"Downres_DEq_MS_B1_vs_C"
"GO:0043236","GO:0043236","laminin binding","3/71","28/18662",0.107142857142857,28.1619718309859,8.8885827503742,0.000161464965201423,0.00320238847649489,0.00263442837960217,"7057/375790/4811",3,"Downres_DEq_MS_B1_vs_C"
"GO:0002020","GO:0002020","protease binding","5/71","139/18662",0.0359712230215827,9.45485864829263,6.18305832754567,0.00018715489150811,0.00342637416761002,0.00281868905429219,"7057/1311/5621/2335/1511",5,"Downres_DEq_MS_B1_vs_C"
"GO:0015020","GO:0015020","glucuronosyltransferase activity","3/71","34/18662",0.0882352941176471,23.1922120961061,8.00390994636028,0.000290149513762729,0.00486815874000001,0.00400476570384786,"11041/2131/2132",3,"Downres_DEq_MS_B1_vs_C"
"GO:0004857","GO:0004857","enzyme inhibitor activity","8/71","451/18662",0.0177383592017738,4.66244027357047,4.86560870888401,0.000306816727310925,0.00486815874000001,0.00400476570384786,"7057/3698/727/5621/4057/1026/653145/7078",8,"Downres_DEq_MS_B1_vs_C"
"GO:0001530","GO:0001530","lipopolysaccharide binding","3/71","41/18662",0.0731707317073171,19.2325661284782,7.22243232369467,0.000507115764822076,0.00754334700172838,0.00620549554321751,"1755/3929/4057",3,"Downres_DEq_MS_B1_vs_C"
"GO:0008375","GO:0008375","acetylglucosaminyltransferase activity","3/71","44/18662",0.0681818181818182,17.9212548015365,6.94444664904667,0.000624917874289343,0.0087488502400508,0.00719719657076271,"11041/2131/2132",3,"Downres_DEq_MS_B1_vs_C"
"GO:0050840","GO:0050840","extracellular matrix binding","3/71","66/18662",0.0454545454545455,11.9475032010243,5.50582667082527,0.0020339152167698,0.0268928789772895,0.0221232883227592,"7057/375790/4811",3,"Downres_DEq_MS_B1_vs_C"
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","2/71","19/18662",0.105263157894737,27.6679021497405,7.18708876983924,0.00234032393821193,0.0293156366997074,0.0241163574796355,"375790/1311",2,"Downres_DEq_MS_B1_vs_C"
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","2/71","22/18662",0.0909090909090909,23.8950064020487,6.64009680711709,0.00313828032222848,0.0373455358345189,0.0307221126281314,"3339/4969",2,"Downres_DEq_MS_B1_vs_C"
"GO:0005044","GO:0005044","scavenger receptor activity","2/71","26/18662",0.0769230769230769,20.2188515709642,6.06014493826568,0.00437220381723481,0.0495516432619946,0.0407634040103095,"3959/1755",2,"Downres_DEq_MS_B1_vs_C"
