"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","27/473","175/18662",0.154285714285714,6.08727272727273,10.9034626372212,4.88119535602222e-14,3.6901836891528e-11,3.22672703534943e-11,"7057/4240/3491/3912/7045/2331/4811/4969/3915/3909/1291/1293/1303/7148/1311/1306/1292/10631/4148/22795/5118/633/3914/4239/80144/4052/1893",27,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0005178","GO:0005178","integrin binding","22/473","152/18662",0.144736842105263,5.71052631578947,9.40332906469793,4.07307877912965e-11,1.53962377851101e-08,1.34625972278601e-08,"3675/7057/7060/4240/27329/3491/3912/3673/7045/102/11093/83706/8754/79987/7148/1311/3964/928/977/8751/1490/7106",22,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0005518","GO:0005518","collagen binding","15/473","72/18662",0.208333333333333,8.21969696969697,9.8978105771668,2.8210834001874e-10,7.10913016847226e-08,6.21628201865856e-08,"3675/7057/3673/7045/4811/960/8754/1291/9902/7148/1311/1292/22795/5118/4318",15,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0003735","GO:0003735","structural constituent of ribosome","20/473","175/18662",0.114285714285714,4.50909090909091,7.52097315576728,2.0658746852795e-08,3.90450315517825e-06,3.41412974304085e-06,"6132/6137/6125/6134/55052/6128/6143/6129/6141/6130/6194/6124/64969/6155/51069/6193/6187/4736/29088/65993",20,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0005539","GO:0005539","glycosaminoglycan binding","23/473","240/18662",0.0958333333333333,3.78106060606061,6.99264209856849,5.15394663995582e-08,7.7927673196132e-06,6.81405997872054e-06,"7057/7060/55959/27329/3491/338/3698/960/7148/1311/1755/3098/7048/8829/10631/5118/633/5270/26279/3512/1490/1809/7049",23,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0004386","GO:0004386","helicase activity","17/473","148/18662",0.114864864864865,4.53194103194103,6.95645191433648,2.21273747395816e-07,2.78804921718729e-05,2.43789321692233e-05,"4174/4171/4173/4172/4175/55661/22907/4176/9188/8886/79039/57062/6597/64794/55794/317781/2074",17,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0120545","GO:0120545","nucleic acid conformation isomerase activity","17/473","161/18662",0.105590062111801,4.16600790513834,6.50610318334259,7.41269846501305e-07,7.12887908393381e-05,6.23355063312508e-05,"4174/4171/4173/4172/4175/55661/22907/4176/9188/8886/79039/57062/6597/64794/55794/317781/2074",17,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0050840","GO:0050840","extracellular matrix binding","11/473","66/18662",0.166666666666667,6.57575757575758,7.317448886046,7.54378739040615e-07,7.12887908393381e-05,6.23355063312508e-05,"3675/7057/3491/3673/7045/4811/8754/7148/59277/633/4052",11,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0019838","GO:0019838","growth factor binding","15/473","136/18662",0.110294117647059,4.35160427807487,6.32593865014334,1.91433921703666e-06,0.00016080449423108,0.000140608775239652,"7057/3655/3491/1969/1291/7048/8829/6187/3483/90/79651/4052/1490/7049/6272",15,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0019843","GO:0019843","rRNA binding","10/473","67/18662",0.149253731343284,5.8887381275441,6.46442199984568,6.76697549021847e-06,0.000511583347060517,0.000447332695563916,"6132/6125/55052/9188/6193/84154/55794/56342/4193/80135",10,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0017116","GO:0017116","single-stranded DNA helicase activity","6/473","23/18662",0.260869565217391,10.2924901185771,7.19081866636222,1.79656512830396e-05,0.00123473021545254,0.00107965827806209,"4174/4171/4173/4172/4175/4176",6,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0043236","GO:0043236","laminin binding","6/473","28/18662",0.214285714285714,8.45454545454546,6.36562063164257,6.02115922200366e-05,0.00379333030986231,0.00331691929071781,"3675/7057/3673/4811/8754/59277",6,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0008201","GO:0008201","heparin binding","14/473","170/18662",0.0823529411764706,3.24919786096257,4.75065831477582,0.000113169498877452,0.00597687381409337,0.00522622772939381,"7057/7060/27329/3491/338/7148/1311/8829/10631/5118/5270/26279/1490/7049",14,"Downres_DEq_MS_BDM_vs_BM1"
"GO:0055102","GO:0055102","lipase inhibitor activity","5/473","20/18662",0.25,9.86363636363636,6.39549688703812,0.000115857071280677,0.00597687381409337,0.00522622772939381,"301/306/27329/653145/336",5,"Downres_DEq_MS_BDM_vs_BM1"
