"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0008392","GO:0008392","arachidonate epoxygenase activity","6/97","15/18662",0.4,76.9567010309278,21.2722331820973,8.12448401888128e-11,2.75420008240075e-08,2.36037640969603e-08,"1559/1548/1549/1558/1579/1555",6,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0008391","GO:0008391","arachidonate monooxygenase activity","6/97","17/18662",0.352941176470588,67.9029714978775,19.9477777587152,1.99220615563904e-10,3.37678943380817e-08,2.8939415734546e-08,"1559/1548/1549/1558/1579/1555",6,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0020037","GO:0020037","heme binding","10/97","142/18662",0.0704225352112676,13.5487149702338,10.8499761295071,3.38299351629974e-09,3.16270498079021e-07,2.71046910323893e-07,"3273/1559/1536/1548/1549/1558/1579/1557/1555/3043",10,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0016712","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","7/97","46/18662",0.152173913043478,29.2770058269834,13.8795376346441,3.73180528706809e-09,3.16270498079021e-07,2.71046910323893e-07,"1559/1548/1549/1558/1579/1557/1555",7,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0046906","GO:0046906","tetrapyrrole binding","10/97","152/18662",0.0657894736842105,12.6573521432447,10.4309616127032,6.54386077233456e-09,4.43673760364283e-07,3.80232752245124e-07,"3273/1559/1536/1548/1549/1558/1579/1557/1555/3043",10,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:1901681","GO:1901681","sulfur compound binding","10/97","266/18662",0.037593984962406,7.23277265328269,7.4005883976818,1.23695908571607e-06,6.73858963469064e-05,5.77503722768084e-05,"3273/116519/2944/27232/6342/3827/283/6288/10457/3990",10,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0005506","GO:0005506","iron ion binding","8/97","154/18662",0.051948051948052,9.99437675726336,8.10135264723294,1.39144918710426e-06,6.73858963469064e-05,5.77503722768084e-05,"8424/1559/1548/1549/1558/1579/1557/1555",8,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0004497","GO:0004497","monooxygenase activity","7/97","109/18662",0.0642201834862385,12.3554336517545,8.59440365821697,1.59209420778134e-06,6.74649920547344e-05,5.78181580720593e-05,"1559/1548/1549/1558/1579/1557/1555",7,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0016705","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","8/97","183/18662",0.0437158469945355,8.41056841868064,7.28188272310411,5.03917930990788e-06,0.000177836908440724,0.000152407969972488,"8424/1559/1548/1549/1558/1579/1557/1555",8,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0005319","GO:0005319","lipid transporter activity","8/97","184/18662",0.0434782608695652,8.36485880770955,7.25690941960049,5.24592650267622e-06,0.000177836908440724,0.000152407969972488,"116519/6342/5244/8647/7274/346/10864/6554",8,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0008395","GO:0008395","steroid hydroxylase activity","4/97","27/18662",0.148148148148148,28.5024818633066,10.3370095446427,1.09805028709782e-05,0.000338399133932874,0.000290011367692822,"1559/1558/1557/1555",4,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","7/97","170/18662",0.0411764705882353,7.92201334141904,6.5534621746927,2.96791933069875e-05,0.000773942040851443,0.000663275899006361,"3273/6653/3827/3697/6694/26998/197",7,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0008201","GO:0008201","heparin binding","7/97","170/18662",0.0411764705882353,7.92201334141904,6.5534621746927,2.96791933069875e-05,0.000773942040851443,0.000663275899006361,"3273/116519/3827/283/6288/10457/3990",7,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0005539","GO:0005539","glycosaminoglycan binding","8/97","240/18662",0.0333333333333333,6.41305841924399,6.10078602089915,3.59434063210437e-05,0.000870343910202416,0.000745893243955494,"3273/116519/3827/3697/283/6288/10457/3990",8,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0030414","GO:0030414","peptidase inhibitor activity","7/97","178/18662",0.0393258426966292,7.56596779798448,6.3623362294261,3.98186422313595e-05,0.000899901314428725,0.000771224228481068,"3273/6653/3827/3697/6694/26998/197",7,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0004869","GO:0004869","cysteine-type endopeptidase inhibitor activity","4/97","38/18662",0.105263157894737,20.2517634291915,8.58680657029605,4.4204739871812e-05,0.000936587926034018,0.00080266501346185,"3273/3827/26998/197",4,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0061135","GO:0061135","endopeptidase regulator activity","7/97","199/18662",0.0351758793969849,6.76754908563436,5.91251900173275,8.0584321112189e-05,0.00160694616806071,0.00137716858371295,"3273/6653/3827/3697/6694/26998/197",7,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0004857","GO:0004857","enzyme inhibitor activity","10/97","451/18662",0.0221729490022173,4.26589251834412,5.07491892362133,0.000118470140437951,0.00220889740201389,0.00189304667894995,"3273/6653/3827/3697/6694/5502/26998/7009/197/341",10,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0072341","GO:0072341","modified amino acid binding","5/97","93/18662",0.0537634408602151,10.3436426116838,6.52933996242639,0.000123802509257415,0.00220889740201389,0.00189304667894995,"2194/2944/27232/1719/713",5,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0061134","GO:0061134","peptidase regulator activity","7/97","237/18662",0.029535864978903,5.68245682717822,5.24384750201501,0.000237462298995468,0.00402498596797319,0.0034494523433026,"3273/6653/3827/3697/6694/26998/197",7,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0033218","GO:0033218","amide binding","7/97","245/18662",0.0285714285714286,5.49690721649484,5.12145512718635,0.00029053279088154,0.0046900293385163,0.00401940101670703,"2194/2944/27232/6653/6342/1719/590",7,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0019865","GO:0019865","immunoglobulin binding","3/97","30/18662",0.1,19.239175257732,7.22673172393696,0.000499139626992508,0.00769128788865728,0.00659150894975753,"3273/2207/713",3,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0019825","GO:0019825","oxygen binding","3/97","33/18662",0.0909090909090909,17.4901593252109,6.85319196653615,0.000663235666501935,0.009775516997572,0.00837771368212971,"1549/1557/3043",3,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0016725","GO:0016725","oxidoreductase activity, acting on CH or CH2 groups","2/97","12/18662",0.166666666666667,32.0652920962199,7.78094764689095,0.00170590249967669,0.023132037895616,0.019824382733085,"1559/1558",2,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0050308","GO:0050308","sugar-phosphatase activity","2/97","12/18662",0.166666666666667,32.0652920962199,7.78094764689095,0.00170590249967669,0.023132037895616,0.019824382733085,"5207/3613",2,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0005542","GO:0005542","folic acid binding","2/97","13/18662",0.153846153846154,29.5987311657415,7.4558388693947,0.00200925041746517,0.0252272552415071,0.0216200044920229,"27232/1719",2,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0019203","GO:0019203","carbohydrate phosphatase activity","2/97","13/18662",0.153846153846154,29.5987311657415,7.4558388693947,0.00200925041746517,0.0252272552415071,0.0216200044920229,"5207/3613",2,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0140359","GO:0140359","ABC-type transporter activity","3/97","49/18662",0.0612244897959184,11.779086892489,5.46106909023212,0.00210904347089058,0.0255344905939967,0.0218833081942031,"5244/8647/10060",3,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0019864","GO:0019864","IgG binding","2/97","14/18662",0.142857142857143,27.4845360824742,7.16549346688115,0.00233620326778071,0.0273094106130228,0.0234044320111607,"2207/713",2,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0170055","GO:0170055","lipid transmembrane transporter activity","3/97","56/18662",0.0535714285714286,10.3067010309278,5.04160846258211,0.0030910707586017,0.0349290995721992,0.0299345799780375,"8647/10864/6554",3,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0030169","GO:0030169","low-density lipoprotein particle binding","2/97","17/18662",0.117647058823529,22.6343238326258,6.45048604137092,0.00345621629374678,0.0377953975348438,0.032391025367542,"6653/3990",2,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0016646","GO:0016646","oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor","2/97","18/18662",0.111111111111111,21.37686139748,6.25186862961122,0.00387512319728917,0.0398080837539706,0.0341159171435984,"10840/1719",2,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0070402","GO:0070402","NADPH binding","2/97","18/18662",0.111111111111111,21.37686139748,6.25186862961122,0.00387512319728917,0.0398080837539706,0.0341159171435984,"1536/1719",2,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0008525","GO:0008525","phosphatidylcholine transporter activity","2/97","19/18662",0.105263157894737,20.2517634291915,6.06869433610381,0.00431641159402473,0.0430371626580701,0.0368832693483227,"6342/5244",2,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0120013","GO:0120013","lipid transfer activity","3/97","67/18662",0.0447761194029851,8.61455608555162,4.51325369771444,0.00512673671188776,0.0482404177071772,0.041342509818913,"116519/6342/7274",3,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0015125","GO:0015125","bile acid transmembrane transporter activity","2/97","21/18662",0.0952380952380952,18.3230240549828,5.7412254240188,0.0052651783338217,0.0482404177071772,0.041342509818913,"8647/6554",2,"Downres_DEq_MS_CTRL_vs_HDV"
"GO:0019200","GO:0019200","carbohydrate kinase activity","2/97","21/18662",0.0952380952380952,18.3230240549828,5.7412254240188,0.0052651783338217,0.0482404177071772,0.041342509818913,"2645/5207",2,"Downres_DEq_MS_CTRL_vs_HDV"
