"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0003725","GO:0003725","double-stranded RNA binding","11/149","77/18662",0.142857142857143,17.8926174496644,13.325490901296,2.46255539492461e-11,8.86519942172859e-09,7.59503927066222e-09,"4939/23586/64135/4940/55601/4938/103/5610/7098/79132/8638",11,"Downres_DEq_MS_D_vs_DM"
"GO:0042605","GO:0042605","peptide antigen binding","9/149","45/18662",0.2,25.0496644295302,14.4904748861149,7.16951632502034e-11,1.29051293850366e-08,1.10561488591103e-08,"6890/6891/3134/3105/3106/6892/3107/567/3136",9,"Downres_DEq_MS_D_vs_DM"
"GO:0016779","GO:0016779","nucleotidyltransferase activity","9/149","147/18662",0.0612244897959184,7.66826462128475,7.28168395031916,2.79243792556031e-06,0.000259097000404206,0.000221974915550972,"4939/4940/4938/54625/83666/84875/64761/87178/8638",9,"Downres_DEq_MS_D_vs_DM"
"GO:0042277","GO:0042277","peptide binding","11/149","234/18662",0.047008547008547,5.88774163941949,6.74992983675507,2.87885556004673e-06,0.000259097000404206,0.000221974915550972,"6890/6891/3134/3105/3106/6892/3107/567/3136/43/9445",11,"Downres_DEq_MS_D_vs_DM"
"GO:0003823","GO:0003823","antigen binding","9/149","178/18662",0.050561797752809,6.3327803333082,6.41339377618993,1.32505374274669e-05,0.00095403869477762,0.000817348940262698,"6890/6891/3134/3105/3106/6892/3107/567/3136",9,"Downres_DEq_MS_D_vs_DM"
"GO:0003950","GO:0003950","NAD+ poly-ADP-ribosyltransferase activity","4/149","23/18662",0.173913043478261,21.7823168952436,8.94682137614845,3.07081297529898e-05,0.00148944220076598,0.00127604258720594,"54625/83666/84875/64761",4,"Downres_DEq_MS_D_vs_DM"
"GO:1990404","GO:1990404","NAD+-protein mono-ADP-ribosyltransferase activity","4/149","23/18662",0.173913043478261,21.7823168952436,8.94682137614845,3.07081297529898e-05,0.00148944220076598,0.00127604258720594,"54625/83666/84875/64761",4,"Downres_DEq_MS_D_vs_DM"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","13/149","420/18662",0.030952380952381,3.87673378076063,5.34946416692132,3.30987155725774e-05,0.00148944220076598,0.00127604258720594,"23586/85441/64135/55601/162394/103/51251/25939/3669/23070/87178/79132/80149",13,"Downres_DEq_MS_D_vs_DM"
"GO:0003727","GO:0003727","single-stranded RNA binding","6/149","90/18662",0.0666666666666667,8.34988814317673,6.27039409247337,8.39773462982815e-05,0.00335909385193126,0.0028778201713914,"23586/64135/55601/24138/87178/79132",6,"Downres_DEq_MS_D_vs_DM"
"GO:0019787","GO:0019787","ubiquitin-like protein transferase activity","13/149","484/18662",0.0268595041322314,3.36410782627988,4.72758234436199,0.00013868910863275,0.004992807910779,0.00427746408730482,"57674/5371/9246/151636/7318/6737/10616/10346/26270/284996/10475/81858/9830",13,"Downres_DEq_MS_D_vs_DM"
