"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0003725","GO:0003725","double-stranded RNA binding","14/350","77/18662",0.181818181818182,9.69454545454545,10.5692592556552,1.48568968189898e-10,9.3301312023256e-08,8.33550105739112e-08,"23586/64135/55601/4938/5610/4940/4939/8638/7098/6520/103/79132/91351/79693",14,"Upres_DEq_MS_CM_vs_D"
"GO:0042605","GO:0042605","peptide antigen binding","9/350","45/18662",0.2,10.664,8.97308780633141,1.26619757827447e-07,3.97586039578183e-05,3.5520174169489e-05,"3134/6890/3105/3106/6891/3107/6892/3136/567",9,"Upres_DEq_MS_CM_vs_D"
"GO:0043236","GO:0043236","laminin binding","6/350","28/18662",0.214285714285714,11.4257142857143,7.63247477921457,1.10815442377023e-05,0.00208417170414078,0.00186199047654549,"7057/3673/3675/43/57211/79147",6,"Upres_DEq_MS_CM_vs_D"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","22/350","420/18662",0.0523809523809524,2.79295238095238,5.13796052867291,1.57817515437264e-05,0.00208417170414078,0.00186199047654549,"23586/64135/162394/55601/25939/51251/85441/3669/23070/103/87178/79132/55218/10775/27292/91351/57062/79670/80149/10940/79009/9683",22,"Upres_DEq_MS_CM_vs_D"
"GO:0004518","GO:0004518","nuclease activity","15/350","218/18662",0.0688073394495413,3.66880733944954,5.47963337415573,1.65937237590827e-05,0.00208417170414078,0.00186199047654549,"162394/25939/85441/3669/5359/11277/87178/55218/10775/2073/2072/80149/10940/9683/3159",15,"Upres_DEq_MS_CM_vs_D"
"GO:0016779","GO:0016779","nucleotidyltransferase activity","12/350","147/18662",0.0816326530612245,4.35265306122449,5.64181722081151,2.17929908688458e-05,0.0022809997109392,0.00203783581282365,"4938/54625/4940/4939/84875/8638/64761/83666/87178/64282/79693/79670",12,"Upres_DEq_MS_CM_vs_D"
"GO:0003724","GO:0003724","RNA helicase activity","8/350","77/18662",0.103896103896104,5.53974025974026,5.51859691911157,9.64197691974032e-05,0.00807527893681794,0.00721442117553463,"23586/64135/55601/85441/79132/91351/57062/79009",8,"Upres_DEq_MS_CM_vs_D"
"GO:0004540","GO:0004540","RNA nuclease activity","10/350","123/18662",0.0813008130081301,4.3349593495935,5.13019102857333,0.000108837968034135,0.00807527893681794,0.00721442117553463,"162394/25939/85441/3669/87178/55218/10775/80149/10940/9683",10,"Upres_DEq_MS_CM_vs_D"
"GO:0008186","GO:0008186","ATP-dependent activity, acting on RNA","8/350","79/18662",0.10126582278481,5.39949367088608,5.4174126590353,0.000115728519795162,0.00807527893681794,0.00721442117553463,"23586/64135/55601/85441/79132/91351/57062/79009",8,"Upres_DEq_MS_CM_vs_D"
"GO:0042277","GO:0042277","peptide binding","14/350","234/18662",0.0598290598290598,3.19008547008547,4.66083232799571,0.000142660680596768,0.00895909074147705,0.00800401502716606,"3134/6890/3105/3673/3106/6891/3107/6892/3136/567/43/9445/1410/100101267",14,"Upres_DEq_MS_CM_vs_D"
"GO:0050840","GO:0050840","extracellular matrix binding","7/350","66/18662",0.106060606060606,5.65515151515152,5.23756720622969,0.000231546253407239,0.0132191861036133,0.0118099668005797,"7057/3673/3491/3675/43/57211/79147",7,"Upres_DEq_MS_CM_vs_D"
"GO:0003727","GO:0003727","single-stranded RNA binding","8/350","90/18662",0.0888888888888889,4.73955555555556,4.91638059196328,0.000287727614259041,0.0150577451462232,0.0134525279298306,"23586/64135/55601/24138/87178/7555/79132/91351",8,"Upres_DEq_MS_CM_vs_D"
"GO:0003823","GO:0003823","antigen binding","11/350","178/18662",0.0617977528089888,3.29505617977528,4.25342648453322,0.000553861592368144,0.0267557753851688,0.0239035003022041,"3134/6890/3105/3106/6891/3107/6892/3136/567/140885/7106",11,"Upres_DEq_MS_CM_vs_D"
"GO:0008199","GO:0008199","ferric iron binding","3/350","10/18662",0.3,15.996,6.55762106463304,0.000711648793337616,0.026895647372745,0.0240284613638503,"2495/2512/54",3,"Upres_DEq_MS_CM_vs_D"
"GO:0003950","GO:0003950","NAD+ poly-ADP-ribosyltransferase activity","4/350","23/18662",0.173913043478261,9.27304347826087,5.48847271278609,0.000812138293929017,0.026895647372745,0.0240284613638503,"54625/84875/64761/83666",4,"Upres_DEq_MS_CM_vs_D"
