"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005539","GO:0005539","glycosaminoglycan binding","18/102","240/18662",0.075,13.7220588235294,14.7052762527827,8.4779389248882e-16,2.33798445164187e-13,1.96528795253501e-13,"2335/7057/375790/338/5792/3698/11167/4057/1755/1311/5621/4353/960/3918/8829/7060/26279/1511",18,"Upres_DEq_MS_C_vs_BM2"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","16/102","175/18662",0.0914285714285714,16.7278431372549,15.4964967369542,1.68200320262005e-15,2.33798445164187e-13,1.96528795253501e-13,"2335/2244/7057/2266/2243/3339/375790/3915/3911/1311/4969/3371/4148/3918/4811/1291",16,"Upres_DEq_MS_C_vs_BM2"
"GO:0043394","GO:0043394","proteoglycan binding","9/102","37/18662",0.243243243243243,44.5039745627981,19.636325114405,3.32685576613684e-13,3.0828863432868e-11,2.5914455441487e-11,"2335/7057/375790/5792/6386/1311/3371/4811/26279",9,"Upres_DEq_MS_C_vs_BM2"
"GO:0008201","GO:0008201","heparin binding","13/102","170/18662",0.0764705882352941,13.9911188004614,12.6141394834597,8.67669291565049e-12,6.03030157637709e-10,5.06901533493266e-10,"2335/7057/338/5792/11167/4057/1311/4353/3918/8829/7060/26279/1511",13,"Upres_DEq_MS_C_vs_BM2"
"GO:1901681","GO:1901681","sulfur compound binding","15/102","266/18662",0.056390977443609,10.3173374613003,11.3461755711836,1.58295489747342e-11,8.80122922995222e-10,7.39823131029683e-10,"2335/7057/375790/338/5792/11167/4057/1755/1311/4353/3918/8829/7060/26279/1511",15,"Upres_DEq_MS_C_vs_BM2"
"GO:0005518","GO:0005518","collagen binding","8/102","72/18662",0.111111111111111,20.3289760348584,12.1818699084396,5.40568389565126e-09,2.50463353831842e-07,2.10537162251681e-07,"2335/7057/3339/1311/960/4811/43/1291",8,"Upres_DEq_MS_C_vs_BM2"
"GO:0005178","GO:0005178","integrin binding","10/102","152/18662",0.0657894736842105,12.0368937048504,10.1284736107328,1.07055163088696e-08,4.25161933409391e-07,3.57387160987826e-07,"2335/7057/3339/3911/1311/3371/977/7106/7060/11093",10,"Upres_DEq_MS_C_vs_BM2"
"GO:0043236","GO:0043236","laminin binding","4/102","28/18662",0.142857142857143,26.1372549019608,9.86784628154283,1.55691585735669e-05,0.00054102826043145,0.000454783316227875,"7057/375790/4811/43",4,"Upres_DEq_MS_C_vs_BM2"
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","3/102","19/18662",0.157894736842105,28.8885448916409,9.01619533820639,0.000144138881132515,0.00445228988387103,0.00374255340484426,"375790/1311/26279",3,"Upres_DEq_MS_C_vs_BM2"
"GO:0050840","GO:0050840","extracellular matrix binding","4/102","66/18662",0.0606060606060606,11.08853238265,6.08651571599898,0.000467430842191664,0.0129945774129283,0.010923120733321,"7057/375790/4811/43",4,"Upres_DEq_MS_C_vs_BM2"
"GO:0015020","GO:0015020","glucuronosyltransferase activity","3/102","34/18662",0.0882352941176471,16.143598615917,6.55185066855064,0.000838706714072963,0.0211964060465713,0.0178175014855692,"11041/2131/2132",3,"Upres_DEq_MS_C_vs_BM2"
"GO:0002020","GO:0002020","protease binding","5/102","139/18662",0.0359712230215827,6.58132317675271,4.89629373094384,0.000996019902466573,0.0230744610738089,0.0193961770480333,"2335/7057/1311/5621/1511",5,"Upres_DEq_MS_C_vs_BM2"
"GO:0001530","GO:0001530","lipopolysaccharide binding","3/102","41/18662",0.0731707317073171,13.3873744619799,5.88637940373772,0.00145327747244571,0.0310777797953774,0.0261236922172427,"3929/4057/1755",3,"Upres_DEq_MS_C_vs_BM2"
"GO:0002162","GO:0002162","dystroglycan binding","2/102","11/18662",0.181818181818182,33.2655971479501,7.93530355934811,0.00157552249110549,0.0312853751805232,0.0262981949643171,"375790/4133",2,"Upres_DEq_MS_C_vs_BM2"
"GO:0008375","GO:0008375","acetylglucosaminyltransferase activity","3/102","44/18662",0.0681818181818182,12.4745989304813,5.64905621212465,0.00178427620243227,0.0330685856184114,0.0277971450484185,"11041/2131/2132",3,"Upres_DEq_MS_C_vs_BM2"
"GO:0061134","GO:0061134","peptidase regulator activity","6/102","237/18662",0.0253164556962025,4.6319185902209,4.1714312117757,0.00192245033400147,0.0334025745532756,0.0280778930360742,"2335/7057/3698/4057/5621/9166",6,"Upres_DEq_MS_C_vs_BM2"
