"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005319","GO:0005319","lipid transporter activity","4/18","184/18662",0.0217391304347826,22.5386473429952,9.12292317192668,2.51203829093173e-05,0.003642455521851,0.00171876304116381,"116519/8647/5244/28234",4,"Upres_DEq_MS_DM_vs_C"
"GO:0015125","GO:0015125","bile acid transmembrane transporter activity","2/18","21/18662",0.0952380952380952,98.7407407407407,13.9246674482522,0.000182528517804433,0.0132333175408214,0.00624439666173059,"8647/28234",2,"Upres_DEq_MS_DM_vs_C"
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","3/18","189/18662",0.0158730158730159,16.4567901234568,6.6361418219826,0.000745794662210321,0.0243102526420539,0.0114712625897169,"8647/10991/28234",3,"Upres_DEq_MS_DM_vs_C"
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","3/18","190/18662",0.0157894736842105,16.3701754385965,6.6165687136249,0.000757302266091672,0.0243102526420539,0.0114712625897169,"8647/10991/28234",3,"Upres_DEq_MS_DM_vs_C"
"GO:0022804","GO:0022804","active transmembrane transporter activity","4/18","459/18662",0.00871459694989107,9.03510045993706,5.41577148195235,0.000840284557495428,0.0243102526420539,0.0114712625897169,"8647/5244/10991/28234",4,"Upres_DEq_MS_DM_vs_C"
"GO:0140359","GO:0140359","ABC-type transporter activity","2/18","49/18662",0.0408163265306122,42.3174603174603,8.99824123114377,0.00100594148863671,0.0243102526420539,0.0114712625897169,"8647/5244",2,"Upres_DEq_MS_DM_vs_C"
"GO:0170055","GO:0170055","lipid transmembrane transporter activity","2/18","56/18662",0.0357142857142857,37.0277777777778,8.38955918884057,0.00131205060499809,0.0271781911035319,0.0128245547856956,"8647/28234",2,"Upres_DEq_MS_DM_vs_C"
"GO:1901681","GO:1901681","sulfur compound binding","3/18","266/18662",0.0112781954887218,11.6929824561403,5.45773109549495,0.0019939508461812,0.0300240154139708,0.0141674119920733,"116519/27232/283",3,"Upres_DEq_MS_DM_vs_C"
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","3/18","270/18662",0.0111111111111111,11.5197530864198,5.41012265447189,0.00208058657192421,0.0300240154139708,0.0141674119920733,"8647/10991/28234",3,"Upres_DEq_MS_DM_vs_C"
"GO:0008028","GO:0008028","monocarboxylic acid transmembrane transporter activity","2/18","71/18662",0.028169014084507,29.2050078247261,7.39840642679689,0.00209912636388048,0.0300240154139708,0.0141674119920733,"8647/28234",2,"Upres_DEq_MS_DM_vs_C"
"GO:0004521","GO:0004521","RNA endonuclease activity","2/18","74/18662",0.027027027027027,28.021021021021,7.23661461833545,0.0022776839279564,0.0300240154139708,0.0141674119920733,"283/6038",2,"Upres_DEq_MS_DM_vs_C"
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity","2/18","99/18662",0.0202020202020202,20.9450056116723,6.18246746611634,0.00403281860934547,0.0487298915295911,0.0229941411936364,"8647/5244",2,"Upres_DEq_MS_DM_vs_C"
