"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","25/219","183/9521",0.136612021857924,5.93919205529356,10.3515858358363,4.95497150915392e-13,1.38243705105394e-10,1.1266040483971e-10,"6890/6891/5371/6772/64135/727/23586/4939/3105/3134/6773/4940/972/7098/3133/3106/6892/3459/3107/684/3717/148022/567/3122/8764",25,"Downres_DEq_MS_BD_vs_D"
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","21/219","205/9521",0.102439024390244,4.4535248914133,7.66967824801021,8.72402919811336e-09,1.21700207313681e-06,9.91784371996045e-07,"7431/6890/6891/6772/23586/4939/3105/3134/9636/6773/4940/3133/3106/6892/3107/958/4193/567/3122/5600/1026",21,"Downres_DEq_MS_BD_vs_D"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","22/219","238/9521",0.092436974789916,4.01868692682552,7.23626963941818,2.53082976331361e-08,2.35367167988165e-06,1.91810255745873e-06,"2266/2244/2243/4599/100293534/6772/64135/727/23586/4939/9636/6773/4940/834/2162/8829/7098/5648/6868/732/6167/5600",22,"Downres_DEq_MS_BD_vs_D"
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","9/219","36/9521",0.25,10.8687214611872,9.10218877324134,8.39408750784751e-08,5.85487603672364e-06,4.77137605709227e-06,"4174/4176/4173/4171/4172/4175/2237/246243/57804",9,"Downres_DEq_MS_BD_vs_D"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","25/219","333/9521",0.0750750750750751,3.26388031867484,6.45234308066698,1.68796659368754e-07,8.79620734944814e-06,7.16838629496623e-06,"7057/7060/4599/2335/6772/3675/3105/3134/8638/1291/9636/6773/3911/3915/7098/3133/3106/3107/4193/1311/148022/3996/4854/527/1026",25,"Downres_DEq_MS_BD_vs_D"
"hsa04979","Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","10/219","51/9521",0.196078431372549,8.52448742053899,8.26683716116001,1.89165749450498e-07,8.79620734944814e-06,7.16838629496623e-06,"348/338/27329/51129/255738/5360/9388/3931/4023/6272",10,"Downres_DEq_MS_BD_vs_D"
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","17/219","173/9521",0.0982658959537572,4.27209860902156,6.66411444839762,4.42073133980316e-07,1.76197720543583e-05,1.43590672089847e-05,"4599/5371/6772/64135/23586/4939/6773/4940/10241/834/7098/3606/3459/8743/3717/148022/3122",17,"Downres_DEq_MS_BD_vs_D"
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","16/219","159/9521",0.10062893081761,4.37483127997473,6.58443740723194,7.07665609082131e-07,2.46798381167393e-05,2.01126015212816e-05,"7057/7060/6890/6891/3105/3134/4353/11151/3133/3106/3107/1311/78989/527/3122/9902",16,"Downres_DEq_MS_BD_vs_D"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","15/219","154/9521",0.0974025974025974,4.23456680305995,6.20909906976289,2.4048269935781e-06,6.91206610491661e-05,5.63292314152797e-05,"7057/2266/7060/2244/2243/2335/3675/83706/1291/3911/29780/3915/1311/5880/56034",15,"Downres_DEq_MS_BD_vs_D"
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","11/219","82/9521",0.134146341463415,5.83199688161265,6.74253085454302,2.47744304835721e-06,6.91206610491661e-05,5.63292314152797e-05,"6890/6891/3105/3134/972/3133/3106/6892/3107/567/3122",11,"Downres_DEq_MS_BD_vs_D"
