"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","16/165","67/9521",0.238805970149254,13.7798281320669,13.9402305185045,1.66399733683481e-14,3.02847515303935e-12,2.22450170292653e-12,"230/5313/126/2203/229/130/3939/7167/125/127/2821/5105/5211/124/2027/2645",16,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","16/165","73/9521",0.219178082191781,12.6472395184724,13.2656896887196,7.13836253530614e-14,6.49590990712859e-12,4.77143179991516e-12,"1558/2944/126/316/1559/1571/130/125/127/1548/1557/1555/124/2326/2938/1549",16,"Downres_DEq_MS_BM2_vs_BDM"
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","16/165","117/9521",0.136752136752137,7.89101269101269,9.95944207650757,1.41407492872711e-10,8.57872123427782e-09,6.30131634906468e-09,"48/26007/230/5313/26227/2203/229/7167/6470/9104/2821/5211/2027/414328/6392/2645",16,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","10/165","35/9521",0.285714285714286,16.4865800865801,12.1888666150469,2.35022047434056e-10,1.06935031582495e-08,7.85468421687503e-09,"26007/230/3795/2203/229/6652/7167/5211/5207/51171",10,"Downres_DEq_MS_BM2_vs_BDM"
"hsa01230","Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","13/165","75/9521",0.173333333333333,10.0018585858586,10.393317318523,3.95181132397645e-10,1.43845932192743e-08,1.05658955398949e-08,"48/230/5313/875/26227/229/1491/383/7167/6470/5211/2027/162417",13,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","12/165","68/9521",0.176470588235294,10.1828877005348,10.0916978811592,1.54530221793153e-09,4.68741672772564e-08,3.44304178381235e-08,"1558/126/316/1559/130/125/127/1548/1555/124/8630/1549",12,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","10/165","47/9521",0.212765957446809,12.2772404900064,10.2920152364442,5.54299731658771e-09,1.4411793023128e-07,1.05858745745359e-07,"5313/134526/32/126/130/3939/125/127/5105/124",10,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00120","Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","7/165","17/9521",0.411764705882353,23.7600713012478,12.4726921959928,6.94861631327836e-09,1.58081021127083e-07,1.16115035761362e-07,"6718/1109/10998/1582/80270/570/51302",7,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00980","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","12/165","79/9521",0.151898734177215,8.76501726121979,9.20320959486313,9.21766336707217e-09,1.6929862746456e-07,1.24354688768069e-07,"2944/126/1559/1571/130/125/127/1548/1555/124/2938/1549",12,"Downres_DEq_MS_BM2_vs_BDM"
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","9/165","37/9521",0.243243243243243,14.0358722358722,10.550195913807,9.30212238816265e-09,1.6929862746456e-07,1.24354688768069e-07,"6898/126/316/130/1644/125/127/124/4282",9,"Downres_DEq_MS_BM2_vs_BDM"
