"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","24/309","73/9521",0.328767123287671,10.1300704880968,14.3412288960814,2.16636417697714e-18,5.84918327783829e-16,4.78880502279158e-16,"126/316/125/1576/2944/127/130/1559/1548/2326/1571/2938/7366/1558/2329/2948/124/1557/2941/7367/2330/1544/1555/1549",24,"Downres_DEq_MS_CM_vs_BD"
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","20/309","67/9521",0.298507462686567,9.19770081630682,12.332252716902,1.33056850242446e-14,1.79626747827303e-12,1.47062834478493e-12,"230/229/5313/126/125/55902/5211/127/10327/3939/130/2821/5236/5230/7167/2645/2203/124/2026/5232",20,"Downres_DEq_MS_CM_vs_BD"
"hsa00120","Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","11/309","17/9521",0.647058823529412,19.9373691224062,14.3123728197098,3.67290496256853e-13,2.88566271119285e-11,2.36253087466081e-11,"570/6342/1109/80270/6718/9420/1582/51302/1593/10998/1581",11,"Downres_DEq_MS_CM_vs_BD"
"hsa00980","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","20/309","79/9521",0.253164556962025,7.80058170496907,11.1159954318044,4.27505586843385e-13,2.88566271119285e-11,2.36253087466081e-11,"126/125/1576/2944/127/130/1559/1548/22977/3290/1571/2938/7366/2948/124/2941/7367/1544/1555/1549",20,"Downres_DEq_MS_CM_vs_BD"
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","14/309","35/9521",0.4,12.3249190938511,12.2927293360107,1.34823259764152e-12,7.28045602726419e-11,5.96060727378354e-11,"230/26007/229/6652/3795/5207/5211/4351/197258/55556/7167/5372/2203/51171",14,"Downres_DEq_MS_CM_vs_BD"
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","18/309","68/9521",0.264705882352941,8.15619645916619,10.846075703888,2.85961000940017e-12,1.28682450423008e-10,1.05354052977901e-10,"126/316/125/1576/127/130/1559/1548/7366/1558/124/7367/1544/8608/1555/8630/157506/1549",18,"Downres_DEq_MS_CM_vs_BD"
"hsa01230","Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","17/309","75/9521",0.226666666666667,6.98412081984898,9.52857076630033,1.71346835116361e-10,6.60909221163105e-09,5.41095268788507e-09,"230/48/229/5053/5313/6470/5211/2752/26227/383/1491/875/5230/7167/2026/162417/5232",17,"Downres_DEq_MS_CM_vs_BD"
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","17/309","90/9521",0.188888888888889,5.82010068320748,8.41432420669212,3.46952463879681e-09,1.17096456559392e-07,9.58684439667541e-08,"570/1576/6580/5244/10599/10864/8671/7366/64241/64240/8647/7367/28234/6554/10998/1581/486",17,"Downres_DEq_MS_CM_vs_BD"
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","19/309","117/9521",0.162393162393162,5.00370646972589,7.98030701633547,5.79098853777417e-09,1.59065936008217e-07,1.30229421293277e-07,"230/48/26007/229/5313/55753/6470/55902/5211/26227/2821/5230/414328/7167/9104/2645/2203/2026/5232",19,"Downres_DEq_MS_CM_vs_BD"
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","15/309","71/9521",0.211267605633803,6.50964036647067,8.53409103414731,5.8913309632673e-09,1.59065936008217e-07,1.30229421293277e-07,"1576/2944/1559/1548/3290/1571/2938/7366/1558/2948/1557/2941/7367/1544/1549",15,"Downres_DEq_MS_CM_vs_BD"
