"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","4/21","88/9521",0.0454545454545455,20.6082251082251,8.6880241984616,3.61658904084915e-05,0.00154111124031293,0.000998290681984086,"3689/731/10878/3080",4,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","4/21","90/9521",0.0444444444444444,20.1502645502646,8.58190058197133,3.95156728285367e-05,0.00154111124031293,0.000998290681984086,"5244/8647/28234/1581",4,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","4/21","159/9521",0.0251572327044025,11.4058101227913,6.22094640265856,0.00035910892518919,0.00815927569514416,0.00528536077418245,"3689/3123/3122/11151",4,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","3/21","70/9521",0.0428571428571429,19.430612244898,7.27639420964296,0.000460375851895563,0.00815927569514416,0.00528536077418245,"3689/3123/3122",3,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","4/21","182/9521",0.021978021978022,9.96441653584511,5.74081898480842,0.000599347448039025,0.00815927569514416,0.00528536077418245,"3689/3123/3122/11151",4,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","3/21","79/9521",0.0379746835443038,17.2169981916817,6.80484652697824,0.000656638071525791,0.00815927569514416,0.00528536077418245,"3689/3123/3122",3,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","3/21","82/9521",0.0365853658536585,16.5871080139373,6.66462621413491,0.00073224269058986,0.00815927569514416,0.00528536077418245,"3123/3310/3122",3,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","3/21","95/9521",0.0315789473684211,14.3172932330827,6.13310452626783,0.0011235591539206,0.0109547017507258,0.00709616307739325,"3689/3123/3122",3,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","3/21","102/9521",0.0294117647058824,13.3347338935574,5.88835236748229,0.0013799824435218,0.0119598478438556,0.007747269858368,"3689/3123/3122",3,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","3/21","112/9521",0.0267857142857143,12.1441326530612,5.57763215333018,0.00180605137429102,0.01408720071947,0.00912531220694412,"3123/3310/3122",3,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05310","Human Diseases","Immune disease","hsa05310","Asthma","2/21","32/9521",0.0625,28.3363095238095,7.28234027619134,0.0022084375776657,0.015659830096175,0.010144019495498,"3123/3122",2,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","2/21","39/9521",0.0512820512820513,23.2503052503052,6.54612991875552,0.00326877916950758,0.0211212564975008,0.0136817855854256,"3123/3122",2,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","3/21","144/9521",0.0208333333333333,9.44543650793651,4.80106635384197,0.00369056200816966,0.0211212564975008,0.0136817855854256,"731/3123/3122",3,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","2/21","44/9521",0.0454545454545455,20.6082251082251,6.12908297660679,0.00414550248307012,0.0211212564975008,0.0136817855854256,"3123/3122",2,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","2/21","45/9521",0.0444444444444444,20.1502645502646,6.05389421195314,0.00433256543538479,0.0211212564975008,0.0136817855854256,"5244/8647",2,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","2/21","45/9521",0.0444444444444444,20.1502645502646,6.05389421195314,0.00433256543538479,0.0211212564975008,0.0136817855854256,"3123/3122",2,"Downres_DEq_MS_CTRL.myr_vs_HDV.myr"
