"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","7/45","89/9521",0.0786516853932584,16.6409488139825,10.2157065015854,1.67049770791976e-07,2.15494204321649e-05,1.811171199113e-05,"7057/3679/3673/3675/960/3371/3911",7,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","8/45","233/9521",0.0343347639484979,7.26447305674773,6.67134819030516,1.1250890315249e-05,0.000725682425333562,0.000609916685510868,"7057/2318/3679/3673/10398/3675/27063/633",8,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","7/45","203/9521",0.0344827586206897,7.29578544061303,6.24811177013005,4.12174151959316e-05,0.00177234885342506,0.00148961184743191,"7057/3679/3673/10398/3675/3371/3911",7,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","6/45","154/9521",0.038961038961039,8.24329004329004,6.24465114037264,7.85830529579215e-05,0.00253430345789297,0.00213001433017524,"7057/3679/3673/3675/3371/3911",6,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","4/45","61/9521",0.0655737704918033,13.8739526411658,6.95093874851492,0.000186704605953492,0.0048169788336001,0.00404854198172836,"493/4493/4495/4502",4,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa04382","Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","6/45","217/9521",0.0276497695852535,5.85007680491552,4.98030381746397,0.000506990081837245,0.0109002867595008,0.00916139972442741,"3855/3880/57402/137075/121214/3911",6,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","7/45","333/9521",0.021021021021021,4.44758091424758,4.41304439394144,0.000867561570899486,0.0159879203780048,0.0134374198199469,"7057/3679/3673/3675/3371/3911/4854",7,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","4/45","99/9521",0.0404040404040404,8.54859708193042,5.20264864442691,0.00118193176714517,0.0189669838598891,0.0159412430646151,"3679/3673/7042/3675",4,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","7/45","362/9521",0.0193370165745856,4.09128299570289,4.13219897625976,0.00141203009759924,0.0189669838598891,0.0159412430646151,"7057/3679/3673/3675/1969/3371/3911",7,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","4/45","105/9521",0.0380952380952381,8.06010582010582,5.01285150983147,0.00147030882634799,0.0189669838598891,0.0159412430646151,"3679/3673/7042/3675",4,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","3/45","50/9521",0.06,12.6946666666667,5.71330141393788,0.00165589712353108,0.0194191571759554,0.0163212826529858,"7057/3606/7042",3,"Upres_DEq_MS_CTRL.myr_vs_HDV.myr"
