"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","25/171","183/9521",0.136612021857924,7.60633368484965,12.2030907246552,1.46771486645051e-15,3.34638989550717e-13,2.87363121220837e-13,"6772/23586/4938/4939/64135/4940/10379/5371/6890/5610/3105/6891/6773/684/3106/3134/7098/6672/3107/3678/6892/972/567/3665/9451",25,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","23/171","238/9521",0.0966386554621849,5.38068209740036,9.25543350858446,3.49941878876123e-11,3.9893374191878e-09,3.42574681426099e-09,"4599/6772/23586/4938/4939/64135/4940/9636/10379/5610/6773/103/7098/834/6143/6124/7113/6137/6129/6194/25873/6193/1636",23,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","18/171","173/9521",0.104046242774566,5.79312442957104,8.60385588028238,1.67452330897173e-09,1.27263771481851e-07,1.09284679111839e-07,"4599/6772/23586/4938/4939/64135/4940/10379/5371/5610/6773/103/7098/834/3606/7113/3665/8743",18,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","19/171","205/9521",0.0926829268292683,5.16043360433604,8.14350767680975,4.07183867592976e-09,2.32094804527996e-07,1.99305787821825e-07,"6772/23586/4938/4939/4940/9636/10379/6890/5610/3105/6891/6773/3106/3134/3107/6892/567/958/3665",19,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","13/171","139/9521",0.0935251798561151,5.20732887374311,6.75735710398473,1.17107550479126e-06,4.63230362056311e-05,3.9778784553312e-05,"4599/6772/23586/4938/4939/64135/4940/10379/5610/6773/103/3665/9451",13,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","9/171","61/9521",0.147540983606557,8.21484037963762,7.64463581052355,1.22562252800432e-06,4.63230362056311e-05,3.9778784553312e-05,"2495/2512/493/4496/4502/4495/30061/4501/4493",9,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","15/171","189/9521",0.0793650793650794,4.4189176645317,6.42011641419242,1.42219847999745e-06,4.63230362056311e-05,3.9778784553312e-05,"6772/4938/4939/4940/10379/10616/6773/115361/2633/834/2634/3606/2635/3665/114769",15,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","20/171","333/9521",0.0600600600600601,3.34404580018615,5.88827982510105,2.04275161066748e-06,5.82184209040232e-05,4.99936578400199e-05,"4599/6772/9636/10379/5610/3105/6773/3673/8638/3655/3106/3134/7057/7098/3107/3678/3371/3675/3679/5526",20,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","13/171","159/9521",0.0817610062893082,4.55231895251756,6.10853294695634,5.30752743310188e-06,0.000134457361638581,0.000115462000299058,"4599/3434/6772/23586/4938/4939/4940/10379/5610/6773/7098/3665/9451",13,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","9/171","82/9521",0.109756097560976,6.11103979460847,6.2858486438916,1.49968253091573e-05,0.000341927617048786,0.000293622053421395,"6890/3105/6891/3106/3134/3107/6892/972/567",9,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","8/171","72/9521",0.111111111111111,6.18648473034438,5.97388903454971,4.13601530728219e-05,0.000857283172782127,0.00073617114560238,"23586/64135/9636/103/57169/79132/64343/3665",8,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","12/171","168/9521",0.0714285714285714,3.97702589807853,5.26468644323302,4.77295816636256e-05,0.000906862051608887,0.000778745806090734,"6772/10379/5610/10616/6773/197259/7098/834/2495/2512/9555/8743",12,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04623","Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","8/171","83/9521",0.0963855421686747,5.36658916367223,5.40321334977173,0.000115288046397068,0.00202197496757935,0.00173632199432021,"23586/25939/11277/197259/103/834/3606/3665",8,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","8/171","89/9521",0.0898876404494382,5.00479663578422,5.13315405817388,0.000188434418474065,0.00306878910086335,0.00263524825835911,"3673/3655/7057/3678/3371/3675/3679/961",8,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","7/171","70/9521",0.1,5.56783625730994,5.18718084932967,0.0002467148576839,0.00375006583679527,0.00322027814240037,"3105/3106/3134/3107/958/1981/25",7,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05320","Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","6/171","54/9521",0.111111111111111,6.18648473034438,5.16861899038938,0.000388792537884472,0.00554029366485373,0.00475759289779683,"3105/3106/3134/3107/958/7038",6,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","5/171","39/9521",0.128205128205128,7.13825161193582,5.19442809127139,0.000618956237262282,0.00830129541740001,0.00712853623100832,"3105/3106/3134/3107/958",5,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04614","Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","4/171","23/9521",0.173913043478261,9.68319349097381,5.63816833309939,0.000681182533537988,0.00862831209148118,0.0074093538735711,"290/2028/4012/1636",4,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/171","100/9521",0.07,3.89748538011696,3.93897727602946,0.00210170464747955,0.0252204557697546,0.021657455093141,"3673/290/3655/3678/3675/912/952",7,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","9/171","159/9521",0.0566037735849057,3.151605428666,3.69987966326665,0.00224058971850549,0.0255427227909626,0.0219341940864222,"6890/3105/6891/3673/3106/3134/7057/3107/3678",9,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","10/171","196/9521",0.0510204081632653,2.84073278434181,3.52131670315157,0.0027805921036834,0.0301892856971341,0.0259243173576497,"6772/10379/5610/3105/6773/3106/3134/7098/3107/3665",10,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","7/171","109/9521",0.0642201834862385,3.57567466065776,3.65741312523532,0.00342067349452263,0.0354506162159618,0.0304423574153689,"6772/10379/6773/7098/3929/958/3665",7,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa01232","Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","6/171","85/9521",0.0705882352941176,3.93023735810113,3.66968698530981,0.00417009430939765,0.0413383261975071,0.035498285654369,"129607/51251/4907/1890/2766/954",6,"Upres_DEq_MS_CTRL_vs_HDV"
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","10/171","214/9521",0.0467289719626168,2.60179264360278,3.20493369040064,0.00518665158547514,0.0492731900620138,0.0423121576709814,"25939/6890/3105/6891/684/3106/3134/3107/6892/567",10,"Upres_DEq_MS_CTRL_vs_HDV"
