"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-913531","R-HSA-913531","Interferon Signaling","45/406","229/10173",0.196506550218341,4.92379589992901,12.244165497479,1.723053578246e-19,1.81092931073655e-16,1.60878791989916e-16,"IFIT1/MX1/IFIT3/STAT1/OAS2/IFIH1/ISG15/IFIT2/OAS3/STAT2/UBA7/XAF1/SAMHD1/TRIM21/UBE2L6/ISG20/HLA-A/HLA-F/EIF2AK2/IRF9/GBP4/IFIT5/GBP1/BST2/HLA-B/TRIM22/HLA-C/IFITM3/GBP3/TRIM38/HLA-E/IFI44/TRIM26/OASL/IFITM2/PRKCD/IFI30/IFNGR1/IRF7/JAK2/TRIM14/KPNA2/HLA-DRB1/HLA-DRB3/HLA-DRA",45,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-909733","R-HSA-909733","Interferon alpha/beta signaling","25/406","67/10173",0.373134328358209,9.34949636056172,13.979564197842,1.83916324967773e-18,9.66480287705648e-16,8.58598843402184e-16,"IFIT1/MX1/IFIT3/STAT1/OAS2/ISG15/IFIT2/OAS3/STAT2/XAF1/SAMHD1/ISG20/HLA-A/HLA-F/EIF2AK2/IRF9/IFIT5/BST2/HLA-B/HLA-C/IFITM3/HLA-E/OASL/IFITM2/IRF7",25,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling","25/406","81/10173",0.308641975308642,7.73353402663748,12.4045937663625,3.44944646858741e-16,1.20845607949512e-13,1.07356456759194e-13,"OAS2/OAS3/TRIM21/HLA-A/HLA-F/IRF9/GBP4/GBP1/HLA-B/TRIM22/HLA-C/GBP3/TRIM38/HLA-E/TRIM26/OASL/PRKCD/IFI30/IFNGR1/IRF7/JAK2/TRIM14/HLA-DRB1/HLA-DRB3/HLA-DRA",25,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","17/406","108/10173",0.157407407407407,3.94410235358511,6.27109660811703,1.15635874874351e-06,0.000303833261232359,0.000269918476351447,"FGG/APOB/PRSS23/MFGE8/LAMC1/ADAM10/TNC/AFP/CCN1/ITIH2/IGFBP4/C4A/CSF1/IGFALS/IGF2/MATN3/PNPLA2",17,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","15/406","91/10173",0.164835164835165,4.13021707356683,6.11515408080537,2.73047852891407e-06,0.000573946586777738,0.000509880937925638,"FGG/APOB/PRSS23/MFGE8/LAMC1/ADAM10/TNC/AFP/CCN1/ITIH2/IGFBP4/C4A/CSF1/MATN3/PNPLA2",15,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-983170","R-HSA-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","8/406","25/10173",0.32,8.01812807881773,7.16286330855827,3.57273288419807e-06,0.000625823710215362,0.000555967380400647,"TAP1/TAP2/HLA-A/HLA-F/HLA-B/HLA-C/TAPBP/HLA-E",8,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","36/406","430/10173",0.0837209302325581,2.09776606713255,4.74223724872063,1.9492749872159e-05,0.00275764986085433,0.00244983266721197,"ANPEP/BST2/HLA-B/MPO/HLA-C/MME/FTH1/STOM/NCSTN/LTF/CEACAM1/ADAM10/LGALS3/COTL1/TCIRG1/FTL/VNN1/SIRPA/GSTP1/S100A11/CD55/CD68/PRKCD/S100A12/LCN2/ITGB2/AZU1/CD63/HSPA6/ATP6V0C/DEGS1/S100P/TSPAN14/NBEAL2/CYSTM1/SLPI",36,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-1236974","R-HSA-1236974","ER-Phagosome pathway","12/406","71/10173",0.169014084507042,4.23492680219247,5.5766777468852,2.09906744879492e-05,0.00275764986085433,0.00244983266721197,"TAP1/TAP2/HLA-A/HLA-F/FGG/FGB/PSMB9/HLA-B/HLA-C/TAPBP/HLA-E/PSMB10",12,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-168898","R-HSA-168898","Toll-like Receptor Cascades","17/406","136/10173",0.125,3.13208128078818,5.10336755171523,2.77684277746186e-05,0.00305096109121509,0.00271040361350873,"FGG/FGB/APOB/TLR3/LBP/LGMN/RIPK1/UNC93B1/RIPK2/S100A12/IRF7/ITGB2/MAPK11/VRK3/TICAM1/N4BP1/CTSV",17,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-1236975","R-HSA-1236975","Antigen processing-Cross presentation","13/406","85/10173",0.152941176470588,3.83219356708201,5.34583385161898,2.90291255110856e-05,0.00305096109121509,0.00271040361350873,"TAP1/TAP2/HLA-A/HLA-F/FGG/FGB/PSMB9/HLA-B/HLA-C/TAPBP/HLA-E/PSMB10/CTSV",13,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-176974","R-HSA-176974","Unwinding of DNA","5/406","11/10173",0.454545454545455,11.3893864755934,7.02881718746809,3.73972375509221e-05,0.0035731360605472,0.00317429183805435,"MCM5/MCM3/MCM2/MCM6/MCM4",5,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-167172","R-HSA-167172","Transcription of the HIV genome","10/406","63/10173",0.158730158730159,3.97724607084213,4.83275775490196,0.000176207863818162,0.0154328720727407,0.0137102083514658,"GTF2F1/SSRP1/RNGTT/CCNH/GTF2B/ERCC3/GTF2E2/GTF2H4/POLR2K/ELL",10,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","8/406","42/10173",0.19047619047619,4.77269528501056,4.99500371424791,0.000214813278815874,0.0173668273873449,0.0154282897416745,"C4B_2/SERPING1/C5/C1R/C8B/CD55/C4A/C8G",8,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-114608","R-HSA-114608","Platelet degranulation","13/406","104/10173",0.125,3.13208128078818,4.45566832601854,0.000241851625732819,0.0181561470460852,0.0161295031597752,"FGG/LGALS3BP/FGB/SERPING1/F13A1/FAM3C/TIMP3/ECM1/SERPINF2/CD63/GTPBP2/PLEK/IGF2",13,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-9705671","R-HSA-9705671","SARS-CoV-2 activates/modulates innate and adaptive immune responses","13/406","107/10173",0.121495327102804,3.04426591777542,4.33397510746246,0.000321392522788313,0.0225189027633678,0.0200052749272445,"STAT1/IFIH1/ISG15/STAT2/HLA-A/HLA-F/HLA-B/HLA-C/HLA-E/LARP1/RIPK2/IRF7/KPNA2",13,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","13/406","109/10173",0.119266055045872,2.98840782754101,4.25519040189685,0.000385992765608623,0.0253548997909165,0.0225247094141348,"FGG/LGALS3BP/FGB/SERPING1/F13A1/FAM3C/TIMP3/ECM1/SERPINF2/CD63/GTPBP2/PLEK/IGF2",13,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-9909505","R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","5/406","17/10173",0.294117647058824,7.36960301361924,5.35872017018886,0.00041054441507129,0.0253813047199957,0.0225481669454015,"IFIH1/ISG15/UBA7/UBE2L6/IFI44",5,"Downres_DEq_MS_BD_vs_DM"
"R-HSA-1834949","R-HSA-1834949","Cytosolic sensors of pathogen-associated DNA","9/406","58/10173",0.155172413793103,3.88810090028877,4.49706343614232,0.000440627882718343,0.0257260123991994,0.0228543973139265,"TRIM21/TLR3/RIPK1/IRF7/POLR3D/TICAM1/POLR3B/POLR1D/POLR2K",9,"Downres_DEq_MS_BD_vs_DM"
