"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-909733","R-HSA-909733","Interferon alpha/beta signaling","25/137","67/10173",0.373134328358209,27.7072665867742,25.6247908224201,1.81938686716954e-30,6.69534367118389e-28,5.95609805989185e-28,"MX1/IFIT1/IFIT2/IFIT3/ISG15/STAT1/OASL/ISG20/EIF2AK2/IFIT5/HLA-A/HLA-B/OAS2/BST2/IRF9/OAS3/IFITM3/SAMHD1/HLA-F/IRF7/STAT2/HLA-C/XAF1/IFITM2/GBP2",25,"Downres_DEq_MS_D_vs_B1"
"R-HSA-913531","R-HSA-913531","Interferon Signaling","36/137","229/10173",0.157205240174672,11.6733496955981,19.0862696399838,6.06295784886052e-29,1.11558424419033e-26,9.92410468945064e-27,"MX1/IFIT1/IFIT2/IFIT3/ISG15/STAT1/OASL/IFIH1/ISG20/UBE2L6/GBP4/UBA7/TRIM21/EIF2AK2/IFIT5/HLA-A/HLA-B/OAS2/BST2/IRF9/GBP1/OAS3/IFITM3/SAMHD1/HLA-F/IRF7/IFI44/GBP3/STAT2/HLA-C/XAF1/IFITM2/GBP2/TRIM38/MT2A/IFI30",36,"Downres_DEq_MS_D_vs_B1"
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling","17/137","81/10173",0.209876543209877,15.5844822925115,15.3967138718035,3.54908051949655e-16,4.35353877058243e-14,3.87285628618746e-14,"OASL/GBP4/TRIM21/HLA-A/HLA-B/OAS2/IRF9/GBP1/OAS3/HLA-F/IRF7/GBP3/HLA-C/GBP2/TRIM38/MT2A/IFI30",17,"Downres_DEq_MS_D_vs_B1"
"R-HSA-983170","R-HSA-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","7/137","25/10173",0.28,20.7915328467153,11.5755687721888,2.704772127537e-08,2.48839035733404e-06,2.21364245174738e-06,"TAP2/HLA-A/HLA-B/TAP1/HLA-F/HLA-C/TAPBP",7,"Downres_DEq_MS_D_vs_B1"
"R-HSA-1236975","R-HSA-1236975","Antigen processing-Cross presentation","10/137","85/10173",0.117647058823529,8.73593817088879,8.3676411901414,1.87065856435633e-07,1.37680470336626e-05,1.22478908108383e-05,"TAP2/HLA-A/HLA-B/TAP1/HLA-F/PSMB10/PSMB9/HLA-C/TAPBP/CTSV",10,"Downres_DEq_MS_D_vs_B1"
"R-HSA-1236974","R-HSA-1236974","ER-Phagosome pathway","9/137","71/10173",0.126760563380282,9.41266577567595,8.31078908220947,4.10955958178229e-07,2.52052987682647e-05,2.24223338584964e-05,"TAP2/HLA-A/HLA-B/TAP1/HLA-F/PSMB10/PSMB9/HLA-C/TAPBP",9,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9705671","R-HSA-9705671","SARS-CoV-2 activates/modulates innate and adaptive immune responses","10/137","107/10173",0.0934579439252336,6.93976396752848,7.21631938522998,1.63419791253406e-06,8.59121188303621e-05,7.64263986162546e-05,"ISG15/STAT1/IFIH1/HLA-A/HLA-B/HLA-F/IRF7/STAT2/HLA-C/CNBP",10,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9909505","R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","5/137","17/10173",0.294117647058824,21.839845427222,10.0471003731997,2.23700673739849e-06,0.00010290230992033,9.15406704382802e-05,"ISG15/IFIH1/UBE2L6/UBA7/IFI44",5,"Downres_DEq_MS_D_vs_B1"
"R-HSA-983169","R-HSA-983169","Class I MHC mediated antigen processing & presentation","16/137","312/10173",0.0512820512820513,3.80797304884896,5.88562903770222,4.30566623383657e-06,0.000176053908227984,0.000156615461838967,"UBE2L6/UBA7/TRIM21/TAP2/HLA-A/HLA-B/TAP1/RBCK1/HLA-F/PSMB10/PSMB9/HLA-C/TAPBP/FBXO6/DTX3L/CTSV",16,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9694631","R-HSA-9694631","Maturation of nucleoprotein","4/137","11/10173",0.363636363636364,27.0019907100199,10.0808343660237,9.65451596274138e-06,0.000355286187428883,0.000316058364675007,"PARP10/PARP14/PARP9/SRPK2",4,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9694516","R-HSA-9694516","SARS-CoV-2 Infection","14/137","263/10173",0.0532319391634981,3.95276289861508,5.6682990565589,1.16709396966375e-05,0.000390445982578417,0.000347336100062608,"ISG15/STAT1/IFIH1/PARP10/HLA-A/HLA-B/PARP14/HLA-F/IRF7/STAT2/HLA-C/PARP9/CNBP/SRPK2",14,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9686114","R-HSA-9686114","Non-canonical inflammasome activation","4/137","12/10173",0.333333333333333,24.7518248175182,9.61839286185393,1.43306329808958e-05,0.000439472744747471,0.000390949724303385,"GBP4/GBP1/GBP3/GBP2",4,"Downres_DEq_MS_D_vs_B1"
"R-HSA-1169410","R-HSA-1169410","Antiviral mechanism by IFN-stimulated genes","9/137","117/10173",0.0769230769230769,5.71195957327344,5.98914720070801,2.70219269242989e-05,0.000764928392933999,0.000680471196231332,"MX1/IFIT1/ISG15/OASL/UBE2L6/UBA7/EIF2AK2/OAS2/OAS3",9,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9640148","R-HSA-9640148","Infection with Enterobacteria","5/137","31/10173",0.161290322580645,11.9766894278314,7.1511115618627,5.27829838531991e-05,0.00138743843271266,0.00123424872017631,"GBP4/GBP1/GBP3/GBP2/LAMB1",5,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9679506","R-HSA-9679506","SARS-CoV Infections","15/137","343/10173",0.043731778425656,3.24732395565108,4.94674035134678,5.65864452056957e-05,0.00138825412237973,0.00123497434799799,"ISG15/STAT1/IFIH1/PARP10/HLA-A/HLA-B/PARP14/BST2/HLA-F/IRF7/STAT2/HLA-C/PARP9/CNBP/SRPK2",15,"Downres_DEq_MS_D_vs_B1"
"R-HSA-8956319","R-HSA-8956319","Nucleotide catabolism","5/137","35/10173",0.142857142857143,10.6079249217935,6.65228140519022,9.65813215898255e-05,0.00222137039656599,0.00197610467200235,"NT5C3A/SAMHD1/TYMP/NT5E/ENTPD2",5,"Downres_DEq_MS_D_vs_B1"
"R-HSA-1169408","R-HSA-1169408","ISG15 antiviral mechanism","6/137","58/10173",0.103448275862069,7.6816008054367,5.96203760859268,0.000121749390909899,0.00263551622675545,0.00234452387448783,"MX1/IFIT1/ISG15/UBE2L6/UBA7/EIF2AK2",6,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9705683","R-HSA-9705683","SARS-CoV-2-host interactions","10/137","177/10173",0.0564971751412429,4.19522454534208,5.01023418914006,0.000134467459704669,0.00274762801087783,0.00244425718358983,"ISG15/STAT1/IFIH1/HLA-A/HLA-B/HLA-F/IRF7/STAT2/HLA-C/CNBP",10,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9833110","R-HSA-9833110","RSV-host interactions","7/137","85/10173",0.0823529411764706,6.11515671962216,5.53285136406685,0.000141861228822497,0.00274762801087783,0.00244425718358983,"ISG15/IFIH1/UBE2L6/EIF2AK2/TLR3/OAS2/STAT2",7,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9683610","R-HSA-9683610","Maturation of nucleoprotein","3/137","10/10173",0.3,22.2766423357664,7.86457508841965,0.000267557914272025,0.00492306562260526,0.00437950059676841,"PARP10/PARP14/PARP9",3,"Downres_DEq_MS_D_vs_B1"
"R-HSA-5661231","R-HSA-5661231","Metallothioneins bind metals","3/137","11/10173",0.272727272727273,20.2514930325149,7.46370209588058,0.000364271688638007,0.00638342768660888,0.00567862131160001,"MT2A/MT1G/MT1H",3,"Downres_DEq_MS_D_vs_B1"
"R-HSA-168928","R-HSA-168928","DDX58/IFIH1-mediated induction of interferon-alpha/beta","6/137","72/10173",0.0833333333333333,6.18795620437956,5.16135221709189,0.000402896693058384,0.00673936286570388,0.00599525701153863,"ISG15/IFIH1/UBE2L6/UBA7/IRF7/DHX58",6,"Downres_DEq_MS_D_vs_B1"
"R-HSA-73621","R-HSA-73621","Pyrimidine catabolism","3/137","12/10173",0.25,18.5638686131387,7.11255618433805,0.000480918707190376,0.00769469931504602,0.00684511294902549,"NT5C3A/TYMP/NT5E",3,"Downres_DEq_MS_D_vs_B1"
"R-HSA-9820952","R-HSA-9820952","Respiratory Syncytial Virus Infection Pathway","7/137","105/10173",0.0666666666666667,4.95036496350365,4.75382729470781,0.000523495762401941,0.00802693502349643,0.00714066588188612,"ISG15/IFIH1/UBE2L6/EIF2AK2/TLR3/OAS2/STAT2",7,"Downres_DEq_MS_D_vs_B1"
