"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","11/87","64/10173",0.171875,20.0975215517241,14.2336478758158,4.80426028718098e-12,1.39410959405779e-09,1.21658198330459e-09,"LAMC1/COL6A1/ITGA2/LAMA5/SERPINE1/ITGA7/TNC/FMOD/COMP/LAMA3/MATN3",11,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","13/87","108/10173",0.12037037037037,14.0750319284802,12.6867699936696,5.54317930042859e-12,1.39410959405779e-09,1.21658198330459e-09,"LAMC1/CCN1/APOB/ITIH2/PRSS23/GPC3/FSTL1/FGG/IGFALS/TNC/QSOX1/VWA1/MATN3",13,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","12/87","91/10173",0.131868131868132,15.4194770746495,12.8321722502026,1.27827754007214e-11,2.14324534218761e-09,1.87032187442134e-09,"LAMC1/CCN1/APOB/ITIH2/PRSS23/GPC3/FSTL1/FGG/TNC/QSOX1/VWA1/MATN3",12,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","16/87","280/10173",0.0571428571428571,6.68177339901478,8.95369384580156,1.44764038675625e-09,1.82040778634598e-07,1.58859484546673e-07,"LAMC1/COL6A1/ITGA2/LAMA5/SERPINE1/CD44/ITGA7/FGG/CD151/TNC/FGB/FMOD/COMP/LAMA3/MATN3/NID1",16,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-3000157","R-HSA-3000157","Laminin interactions","6/87","24/10173",0.25,29.2327586206897,12.860286085238,3.90883151786448e-08,3.93228450697166e-06,3.43154261673576e-06,"LAMC1/ITGA2/LAMA5/ITGA7/LAMA3/NID1",6,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","8/87","69/10173",0.115942028985507,13.5572213893053,9.72018985960786,1.12830212012522e-07,9.45893277371642e-06,8.25442077354766e-06,"COL6A1/ITGA2/CD44/ITGA7/FGG/TNC/FGB/COMP",8,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-9925563","R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells","6/87","42/10173",0.142857142857143,16.7044334975369,9.47161599984662,1.34693116726745e-06,9.67866253050753e-05,8.44616987594776e-05,"KRT19/LAMC1/KRT7/ANXA3/LAMA5/LAMA3",6,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-9734767","R-HSA-9734767","Developmental Cell Lineages","9/87","138/10173",0.0652173913043478,7.62593703148426,7.27832558598329,2.506685326243e-06,0.000157607839887528,0.000137537865926754,"KRT19/LAMC1/KRT7/ANXA3/LAMA5/CD44/EPCAM/LAMA3/CNN1",9,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-5686938","R-HSA-5686938","Regulation of TLR by endogenous ligand","4/87","19/10173",0.210526315789474,24.6170598911071,9.56945869082912,1.75364439146249e-05,0.00091285450291105,0.000796610500604599,"APOB/LBP/FGG/FGB",4,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-3560782","R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","5/87","39/10173",0.128205128205128,14.9911582670203,8.13015532930866,1.86565731540741e-05,0.00091285450291105,0.000796610500604599,"OGN/GPC3/EXT1/FMOD/EXT2",5,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-9638630","R-HSA-9638630","Attachment of bacteria to epithelial cells","4/87","20/10173",0.2,23.3862068965517,9.3068269366107,2.17778410237229e-05,0.00091285450291105,0.000796610500604599,"LAMC1/LAMA5/EPCAM/LAMA3",4,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-9931953","R-HSA-9931953","Biofilm formation","4/87","20/10173",0.2,23.3862068965517,9.3068269366107,2.17778410237229e-05,0.00091285450291105,0.000796610500604599,"LAMC1/LAMA5/EPCAM/LAMA3",4,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-8874081","R-HSA-8874081","MET activates PTK2 signaling","4/87","23/10173",0.173913043478261,20.335832083958,8.62178290019903,3.90303878303709e-05,0.00151017577528281,0.00131786815589188,"LAMC1/ITGA2/LAMA5/LAMA3",4,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-9820448","R-HSA-9820448","Developmental Cell Lineages of the Exocrine Pancreas","6/87","78/10173",0.0769230769230769,8.9946949602122,6.58262867992641,5.15765380034324e-05,0.00185307132969475,0.00161709897349108,"KRT19/LAMC1/KRT7/ANXA3/LAMA5/LAMA3",6,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-3656237","R-HSA-3656237","Defective EXT2 causes exostoses 2","3/87","12/10173",0.25,29.2327586206897,9.08822420749909,0.000125714417317023,0.00348495452453645,0.00304117617815569,"GPC3/EXT1/EXT2",3,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-3656253","R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","3/87","12/10173",0.25,29.2327586206897,9.08822420749909,0.000125714417317023,0.00348495452453645,0.00304117617815569,"GPC3/EXT1/EXT2",3,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-1630316","R-HSA-1630316","Glycosaminoglycan metabolism","7/87","132/10173",0.053030303030303,6.2008881922675,5.58572203257123,0.000130251144465687,0.00348495452453645,0.00304117617815569,"OGN/GPC3/CD44/B4GAT1/EXT1/FMOD/EXT2",7,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-8875878","R-HSA-8875878","MET promotes cell motility","4/87","31/10173",0.129032258064516,15.0878754171301,7.29571510068187,0.000131638441284677,0.00348495452453645,0.00304117617815569,"LAMC1/ITGA2/LAMA5/LAMA3",4,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-9640148","R-HSA-9640148","Infection with Enterobacteria","4/87","31/10173",0.129032258064516,15.0878754171301,7.29571510068187,0.000131638441284677,0.00348495452453645,0.00304117617815569,"LAMC1/LAMA5/EPCAM/LAMA3",4,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-9924644","R-HSA-9924644","Developmental Lineages of the Mammary Gland","4/87","33/10173",0.121212121212121,14.1734587251829,7.03948888673946,0.000168978563416018,0.00424981086991286,0.00370863478655156,"KRT19/CD44/EPCAM/CNN1",4,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-3000171","R-HSA-3000171","Non-integrin membrane-ECM interactions","5/87","64/10173",0.078125,9.13523706896552,6.06330510020998,0.000208923626548937,0.0050042182930531,0.00436697505117326,"LAMC1/ITGA2/LAMA5/TNC/LAMA3",5,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-114608","R-HSA-114608","Platelet degranulation","6/87","104/10173",0.0576923076923077,6.74602122015915,5.47008462177748,0.00025523184194057,0.0058355280225503,0.00509242478895778,"LGALS3BP/SERPINE1/FGG/FGB/QSOX1/F13A1",6,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","6/87","109/10173",0.055045871559633,6.43657070547295,5.29976113138673,0.000329226188057727,0.00720003359100161,0.00628317255927105,"LGALS3BP/SERPINE1/FGG/FGB/QSOX1/F13A1",6,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-9927432","R-HSA-9927432","Developmental Lineage of Mammary Gland Myoepithelial Cells","3/87","17/10173",0.176470588235294,20.6348884381339,7.52479846430188,0.000376728620384272,0.00789560400222037,0.00689016818860708,"CD44/EPCAM/CNN1",3,"Upres_DEq_MS_CM_vs_B2"
"R-HSA-140875","R-HSA-140875","Common Pathway of Fibrin Clot Formation","3/87","19/10173",0.157894736842105,18.4627949183303,7.07579585976775,0.000530240565888208,0.0102581155631449,0.00895183465487379,"FGG/FGB/F13A1",3,"Upres_DEq_MS_CM_vs_B2"
