"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","11/86","64/10173",0.171875,20.3312136627907,14.3240688781661,4.21707166104439e-12,1.78382131262178e-09,1.50926775237378e-09,"LAMC1/LAMA5/FMOD/COL6A1/ITGA7/COMP/MATN3/TGFB2/SERPINE1/LAMA3/TNC",11,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","12/86","108/10173",0.111111111111111,13.1434108527132,11.7143195828783,8.74338806841147e-11,1.84922657646903e-08,1.56460628592626e-08,"LAMC1/GPC3/ITIH2/CCN1/MATN3/QSOX1/PRSS23/FSTL1/FGG/IGFALS/TNC/VWA1",12,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","17/86","280/10173",0.0607142857142857,7.18193521594684,9.68525036169001,1.32829884452127e-10,1.87290137077499e-08,1.58463721802537e-08,"LAMC1/LAMA5/FMOD/COL6A1/ITGA7/COMP/MATN3/TGFB2/CD44/SERPINE1/CD151/FGG/LAMA3/FGB/TNC/NID1/COL12A1",17,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","11/86","91/10173",0.120879120879121,14.2988755430616,11.7661305372495,2.23330989983511e-10,2.36172521907563e-08,1.99822464722089e-08,"LAMC1/GPC3/ITIH2/CCN1/MATN3/QSOX1/PRSS23/FSTL1/FGG/TNC/VWA1",11,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9925563","R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells","6/86","42/10173",0.142857142857143,16.8986710963455,9.53302437458546,1.25786329833759e-06,0.000101387064072462,8.57822615021455e-05,"KRT19/LAMC1/LAMA5/KRT7/ANXA3/LAMA3",6,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-3000157","R-HSA-3000157","Laminin interactions","5/86","24/10173",0.208333333333333,24.6438953488372,10.7074095396277,1.43811438400656e-06,0.000101387064072462,8.57822615021455e-05,"LAMC1/LAMA5/ITGA7/LAMA3/NID1",5,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","7/86","69/10173",0.101449275362319,12.0005055611729,8.4656812518214,1.70146088375529e-06,0.000102816850546927,8.69919850341052e-05,"COL6A1/ITGA7/COMP/CD44/FGG/FGB/TNC",7,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9734767","R-HSA-9734767","Developmental Cell Lineages","9/86","138/10173",0.0652173913043478,7.71461071789687,7.33285479336057,2.27326554562122e-06,0.000117372224043443,9.93070951219876e-05,"KRT19/LAMC1/LAMA5/KRT7/ANXA3/CD44/LAMA3/EPCAM/CNN1",9,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-114608","R-HSA-114608","Platelet degranulation","8/86","104/10173",0.0769230769230769,9.09928443649374,7.66551859129244,2.49728136262645e-06,0.000117372224043443,9.93070951219876e-05,"LGALS3BP/TGFB2/QSOX1/SERPINE1/FGG/FGB/TIMP3/F13A1",8,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","8/86","109/10173",0.073394495412844,8.68188606784724,7.44504260889246,3.55947158398772e-06,0.000150565648002681,0.000127391614584824,"LGALS3BP/TGFB2/QSOX1/SERPINE1/FGG/FGB/TIMP3/F13A1",8,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-3560782","R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","5/86","39/10173",0.128205128205128,15.1654740608229,8.18359932153363,1.76334992884066e-05,0.000676891342149475,0.000572708862338737,"OGN/GPC3/FMOD/EXT1/EXT2",5,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9638630","R-HSA-9638630","Attachment of bacteria to epithelial cells","4/86","20/10173",0.2,23.6581395348837,9.36512207205727,2.08028072055394e-05,0.000676891342149475,0.000572708862338737,"LAMC1/LAMA5/LAMA3/EPCAM",4,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9931953","R-HSA-9931953","Biofilm formation","4/86","20/10173",0.2,23.6581395348837,9.36512207205727,2.08028072055394e-05,0.000676891342149475,0.000572708862338737,"LAMC1/LAMA5/LAMA3/EPCAM",4,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9820448","R-HSA-9820448","Developmental Cell Lineages of the Exocrine Pancreas","6/86","78/10173",0.0769230769230769,9.09928443649374,6.62997944203528,4.83116412600521e-05,0.00145970173235729,0.0012350344382269,"KRT19/LAMC1/LAMA5/KRT7/ANXA3/LAMA3",6,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","9/86","213/10173",0.0422535211267606,4.99819849328529,5.44497480627189,7.433108473897e-05,0.00209613658963896,0.00177351360078946,"LGALS3BP/TGFB2/QSOX1/SERPINE1/DGKA/FGG/FGB/TIMP3/F13A1",9,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","7/86","128/10173",0.0546875,6.46902252906977,5.74924899075088,9.97784062358042e-05,0.00263789161485907,0.00223188540264299,"LAMC1/LAMA5/COL6A1/CD44/LAMA3/NID1/COL12A1",7,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-1630316","R-HSA-1630316","Glycosaminoglycan metabolism","7/86","132/10173",0.053030303030303,6.27299154334038,5.63024051790964,0.000121063238304469,0.00266179555172573,0.00225211020924909,"OGN/GPC3/FMOD/CD44/B4GAT1/EXT1/EXT2",7,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-3656237","R-HSA-3656237","Defective EXT2 causes exostoses 2","3/86","12/10173",0.25,29.5726744186047,9.14417819746741,0.00012146027955388,0.00266179555172573,0.00225211020924909,"GPC3/EXT1/EXT2",3,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-3656253","R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","3/86","12/10173",0.25,29.5726744186047,9.14417819746741,0.00012146027955388,0.00266179555172573,0.00225211020924909,"GPC3/EXT1/EXT2",3,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9640148","R-HSA-9640148","Infection with Enterobacteria","4/86","31/10173",0.129032258064516,15.2633158289572,7.34363247246049,0.000125853217575684,0.00266179555172573,0.00225211020924909,"LAMC1/LAMA5/LAMA3/EPCAM",4,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-3781865","R-HSA-3781865","Diseases of glycosylation","7/86","134/10173",0.0522388059701493,6.17936480388754,5.57256399073555,0.000133012445384944,0.00267925068561102,0.00226687876846522,"OGN/GPC3/FMOD/B4GAT1/EXT1/ADAMTS13/EXT2",7,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9924644","R-HSA-9924644","Developmental Lineages of the Mammary Gland","4/86","33/10173",0.121212121212121,14.338266384778,7.08612436369758,0.000161577568654352,0.00310669597912686,0.00262853460968803,"KRT19/CD44/EPCAM/CNN1",4,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9927432","R-HSA-9927432","Developmental Lineage of Mammary Gland Myoepithelial Cells","3/86","17/10173",0.176470588235294,20.874829001368,7.57247601312602,0.000364114172301638,0.0066965345601562,0.00566584982071198,"CD44/EPCAM/CNN1",3,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-140875","R-HSA-140875","Common Pathway of Fibrin Clot Formation","3/86","19/10173",0.157894736842105,18.6774785801714,7.12114668339591,0.00051256111340636,0.00833897503734193,0.00705549710761791,"FGG/FGB/F13A1",3,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-5686938","R-HSA-5686938","Regulation of TLR by endogenous ligand","3/86","19/10173",0.157894736842105,18.6774785801714,7.12114668339591,0.00051256111340636,0.00833897503734193,0.00705549710761791,"LBP/FGG/FGB",3,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9927418","R-HSA-9927418","Developmental Lineage of Mammary Gland Luminal Epithelial Cells","3/86","19/10173",0.157894736842105,18.6774785801714,7.12114668339591,0.00051256111340636,0.00833897503734193,0.00705549710761791,"KRT19/CD44/EPCAM",3,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","5/86","87/10173",0.0574712643678161,6.79831595829992,5.01502857976509,0.000823758048793215,0.012905542764427,0.0109192100034968,"LAMA5/CDKN1A/LBP/F13A1/LCN2",5,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-8874081","R-HSA-8874081","MET activates PTK2 signaling","3/86","23/10173",0.130434782608696,15.4292214357937,6.39654097356268,0.000914192950667941,0.0138108435047335,0.0116851730536504,"LAMC1/LAMA5/LAMA3",3,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","4/86","53/10173",0.0754716981132075,8.92759982448442,5.34270000313074,0.00101687949489598,0.0148324147014138,0.0125495110077907,"COL6A1/CD151/LAMA3/COL12A1",4,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-2022854","R-HSA-2022854","Keratan sulfate biosynthesis","3/86","29/10173",0.103448275862069,12.2369687249399,5.59519132687869,0.00181849354554157,0.0248136377343252,0.0209944925461505,"OGN/FMOD/B4GAT1",3,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9913351","R-HSA-9913351","Formation of the dystrophin-glycoprotein complex (DGC)","3/86","29/10173",0.103448275862069,12.2369687249399,5.59519132687869,0.00181849354554157,0.0248136377343252,0.0209944925461505,"LAMC1/LAMA5/LAMA3",3,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-3000171","R-HSA-3000171","Non-integrin membrane-ECM interactions","4/86","64/10173",0.0625,7.39316860465116,4.73721873029735,0.00205642185900904,0.0263595892836613,0.0223025018201937,"LAMC1/LAMA5/LAMA3/TNC",4,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-9734779","R-HSA-9734779","Developmental Cell Lineages of the Integumentary System","4/86","64/10173",0.0625,7.39316860465116,4.73721873029735,0.00205642185900904,0.0263595892836613,0.0223025018201937,"KRT19/CD44/EPCAM/CNN1",4,"Upres_DEq_MS_CTRL.myr_vs_HBV"
"R-HSA-2022928","R-HSA-2022928","HS-GAG biosynthesis","3/86","31/10173",0.0967741935483871,11.4474868717179,5.37900897426608,0.00220998005874031,0.0267091875670615,0.0225982923299761,"GPC3/EXT1/EXT2",3,"Upres_DEq_MS_CTRL.myr_vs_HBV"
