"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-2.48058811823527,8.79668303898403,-28.8317955628581,1.83614759669002e-08,7.44925079977139e-05,8.09575238306491,"AMY1B_HUMAN",12,-27.8122148777088,7.68468444474111e-09,6.23535295846294e-05,0.108782450358081,"Non-significant",4.20513895781107,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
-2.39518324534098,7.82549408503941,-32.0301556993672,8.91389679183246e-09,7.23273585689286e-05,8.35663394795563,"CLC11_HUMAN",7,-25.328422569092,1.53976733300444e-08,6.24683606999901e-05,0.153886636098239,"Non-significant",4.204339890697,"CLEC11A","C-type lectin domain family 11 member A","CLC11_HUMAN"
-1.66095852851868,13.6003804888044,-23.1806234972304,8.18610954897476e-08,0.000221406976267937,7.43132848835017,"FGL1_HUMAN",17,-23.6808122261051,2.53582068815445e-08,6.85854968789506e-05,0.0830306212107157,"Non-significant",4.16376771069777,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-2.21864477793372,12.0593622752598,-18.6835401066075,3.56181834635228e-07,0.000546684440902594,6.60216538261563,"TSP1_HUMAN",50,-20.1512412707314,8.36601873102783e-08,0.000169704689958899,0.179135084152199,"Non-significant",3.77030615535395,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-2.609970331192,10.461385181972,-18.3385911002629,4.04252729284639e-07,0.000546684440902594,6.52250633939555,"TSP4_HUMAN",21,-19.1654683689658,1.21087685992577e-07,0.000196501096828754,-0.00406320889790024,"Non-significant",3.70663502113921,"THBS4","Thrombospondin-4","TSP4_HUMAN"
2.78576970100404,10.4946746826172,21.0210980115828,1.59625136060196e-07,0.000323799588498108,7.07673133284969,"NUA4L_HUMAN",5,18.6891908762676,1.45734426589149e-07,0.000197081522890726,0.0979845523834246,"Non-significant",3.70535409049859,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
-0.816320419311474,11.4566020965576,-15.2149553038547,1.42993507972119e-06,0.00165749903383682,5.65781996314129,"K1C19_HUMAN",26,-17.090506262803,2.81086531851505e-07,0.00032581944563473,0.158208290735903,"Non-significant",3.487022999586,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
0.786078055699701,11.4486257008144,11.8101861826887,7.77635830234086e-06,0.00630973712651937,4.31500505303712,"EHD2_HUMAN",32,13.2511445027696,1.79301519665816e-06,0.00181856566321054,0.436320583025614,"Non-significant",2.74027101319318,"EHD2","EH domain-containing protein 2","EHD2_HUMAN"
-0.704136133194,12.6620661871774,-12.0267161021632,6.8939129337538e-06,0.00630973712651937,4.41678231298221,"LG3BP_HUMAN",20,-12.6687812543921,2.47950824367891e-06,0.00223541443213452,-0.0813587506612077,"Non-significant",2.65064194953249,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
0.611220200856526,16.4365716661726,10.5179728775167,1.66890146968153e-05,0.00967247608928284,3.64992519784062,"ALDOC_HUMAN",31,12.045135253556,3.56359810507225e-06,0.00289150350245563,0.185708324114479,"Non-significant",2.53887627730255,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
-0.757183869679755,11.4826201030186,-9.93855339378622,2.41663251012755e-05,0.0115344448159853,3.31605609316146,"CO5_HUMAN",67,-11.5136540443308,4.92177206840585e-06,0.00343366715553885,0.135193109512318,"Non-significant",2.46424180571521,"C5","Complement C5","CO5_HUMAN"
-0.498228391011551,15.813780103411,-9.80796706914435,2.63385752307011e-05,0.0118728444123283,3.2374387977235,"APOE_HUMAN",29,-11.4310905985961,5.18120640179519e-06,0.00343366715553885,-0.103196382522583,"Non-significant",2.46424180571521,"APOE","Apolipoprotein E","APOE_HUMAN"
0.405467987060531,12.2562371662685,8.01606436949122,9.60900464231636e-05,0.0251507947315338,2.01539043983215,"TENS1_HUMAN",76,11.3354132991153,5.50131538353526e-06,0.00343366715553885,-0.108181715011597,"Non-significant",2.46424180571521,"TNS1","Tensin-1","TENS1_HUMAN"
0.631900469462064,9.78636986868722,10.2165431016077,2.01864526937219e-05,0.0106681972722665,3.47922046208112,"FMO1_HUMAN",22,10.9279721973995,7.13841335886455e-06,0.0041372204281305,-0.0356488227844327,"Non-significant",2.38329133959024,"FMO1","Flavin-containing monooxygenase 1","FMO1_HUMAN"
-0.55305918057757,10.7256328037807,-8.67306558157476,5.82316362546333e-05,0.0181727498680806,2.49660865128581,"LAMC1_HUMAN",52,-10.3639983409593,1.03893287137306e-05,0.005619934212214,-0.0789520740509069,"Non-significant",2.250268768317,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
-0.799042304356911,12.0555351802281,-9.59644573895952,3.03447146332468e-05,0.0125517983597398,3.10733559047319,"APOA5_HUMAN",23,-10.182136893265,1.17712483823236e-05,0.00596949433588588,-0.0168573061624926,"Non-significant",2.22406245554323,"APOA5","Apolipoprotein A-V","APOA5_HUMAN"
0.492894570032794,12.647027015686,8.83667830185989,5.16612974160646e-05,0.0172569174169509,2.61016440206445,"PURA1_HUMAN",29,10.0842372082936,1.26000550836941e-05,0.00601393217347613,-0.0215560595194475,"Non-significant",2.22084147428192,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN"
