"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-174490","Membrane binding and targetting of GAG proteins","1/2","12/10173",0.0833333333333333,423.875,20.5527885682914,0.00235791046898071,0.0102171095185026,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-174495","Synthesis And Processing Of GAG, GAGPOL Polyproteins","1/2","12/10173",0.0833333333333333,423.875,20.5527885682914,0.00235791046898071,0.0102171095185026,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-175474","Assembly Of The HIV Virion","1/2","13/10173",0.0769230769230769,391.269230769231,19.7435607786242,0.00255427737962566,0.0102171095185026,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-162588","Budding and maturation of HIV virion","1/2","21/10173",0.0476190476190476,242.214285714286,15.515765750438,0.00412451687651816,0.0117791155209139,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-917729","Endosomal Sorting Complex Required For Transport (ESCRT)","1/2","26/10173",0.0384615384615385,195.634615384615,13.9339507588488,0.00510528841989144,0.0117791155209139,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-9615710","Late endosomal microautophagy","1/2","30/10173",0.0333333333333333,169.55,12.9641043448301,0.00588955776045696,0.0117791155209139,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-9610379","HCMV Late Events","1/2","106/10173",0.00943396226415094,47.9858490566038,6.81877443028452,0.0207319197776229,0.030243870730004,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-162599","Late Phase of HIV Life Cycle","1/2","117/10173",0.00854700854700855,43.474358974359,6.47952959984254,0.0228709081996673,0.030243870730004,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-162587","HIV Life Cycle","1/2","128/10173",0.0078125,39.73828125,6.18453011516895,0.0250075580000401,0.030243870730004,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-9612973","Autophagy","1/2","135/10173",0.00740740740740741,37.6777777777778,6.01565123988124,0.0263660266071752,0.030243870730004,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-9609646","HCMV Infection","1/2","142/10173",0.00704225352112676,35.8204225352113,5.85925555255608,0.0277235481691703,0.030243870730004,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
"R-HSA-162906","HIV Infection","1/2","174/10173",0.00574712643678161,29.2327586206897,5.26727510164221,0.0339173006940603,0.0339173006940603,NA,"55048",1,"Up_res_limma_deqMS_MS_D3BM_vs_D3B"
