"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1BM_vs_D1C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-3.902647255,12.717139125,-180.163340855987,2.09109553751813e-14,1.76258442857403e-10,19.8288306389739,"TSP1_HUMAN",52,-231.613740456049,4.45370950233469e-16,3.75403173951791e-12,-3.902647255,"Up in D1BM",11.4255020598342,"THBS1","TSP1_HUMAN"
-2.724250795,11.73464155,-115.332640281031,5.16036899151476e-13,1.44989167431593e-09,18.775187347384,"AGRIN_HUMAN",69,-145.656849827275,1.58281508443773e-14,6.67077417336281e-11,-2.724250795,"Up in D1BM",10.1758237613295,"AGRN","AGRIN_HUMAN"
-3.03342080175,11.132084489125,-125.86726014638,2.75344037635105e-13,1.16043744661315e-09,19.035699990288,"CO6A1_HUMAN",24,-135.318896433191,2.78953529532164e-14,7.83766433475536e-11,-3.03342080175,"Up in D1BM",10.1058133400778,"COL6A1","CO6A1_HUMAN"
-3.0001240985,8.56050843075,-91.3186304826796,2.76197391950058e-12,5.8201695418676e-09,17.9321422340541,"ANGL2_HUMAN",23,-95.8611679619099,3.96020250178138e-13,8.34513672187881e-10,-3.0001240985,"Up in D1BM",9.0785665436976,"ANGPTL2","ANGL2_HUMAN"
-1.972611902,10.419646739,-70.0972973650757,1.84578799852521e-11,2.22259243422414e-08,16.7112459319375,"PTPRF_HUMAN",72,-82.8912696415658,1.21178344707002e-12,2.04282453507063e-09,-1.972611902,"Up in D1BM",8.68976893474943,"PTPRF","PTPRF_HUMAN"
-1.1296215075,16.65653562625,-55.6375681022362,9.69070471545997e-11,8.99443876615901e-08,15.4278630213715,"CO3_HUMAN",118,-80.4524754246071,1.52470536267692e-12,2.14195691700063e-09,-1.1296215075,"Up in D1BM",8.66918926875022,"C3","CO3_HUMAN"
-4.15073442225,10.923086403875,-87.5493734465067,3.73879490600415e-12,6.30286045254179e-09,17.7564023373495,"ANGL8_HUMAN",9,-77.8903579203739,1.95567081423569e-12,2.35490704188466e-09,-4.15073442225,"Up in D1BM",8.62802623163204,"ANGPTL8","ANGL8_HUMAN"
-2.1432745445,10.72423160025,-71.0874943808952,1.66893250344339e-11,2.22259243422414e-08,16.7829293087693,"VWA1_HUMAN",22,-74.2458470664598,2.82717938037453e-12,2.97878687464712e-09,-2.1432745445,"Up in D1BM",8.52596056844519,"VWA1","VWA1_HUMAN"
-3.4767205725,16.17894708875,-61.4171785291201,4.76802617393893e-11,5.02371157751641e-08,15.999808866886,"FINC_HUMAN",161,-65.6927792396843,7.24541347522172e-12,6.59953735546407e-09,-3.4767205725,"Up in D1BM",8.18048650855079,"FN1","FINC_HUMAN"
-0.88825941,13.48135376,-49.226009959926,2.33218823452237e-10,1.31053430858593e-07,14.6763318327537,"BGH3_HUMAN",36,-65.0335237526496,7.82956146098478e-12,6.59953735546407e-09,-0.88825941,"Up in D1BM",8.18048650855079,"TGFBI","BGH3_HUMAN"
-1.21772003,13.2433235625,-49.7198908639566,2.17106946084631e-10,1.30713889181954e-07,14.739266557497,"CO5_HUMAN",77,-62.1292546219248,1.11238084824124e-11,8.52387106347765e-09,-1.21772003,"Up in D1BM",8.06936312827314,"C5","CO5_HUMAN"
-2.95069456000001,16.2080476275,-54.1709602850797,1.17379079876319e-10,8.99443876615901e-08,15.267783834972,"FIBA_HUMAN",58,-57.7712264183244,1.9453028077319e-11,1.36641311386435e-08,-2.95069456000001,"Up in D1BM",7.86441797858452,"FGA","FIBA_HUMAN"
-1.5819737925,14.28883183125,-54.1998679690142,1.16930689620059e-10,8.99443876615901e-08,15.2710027215984,"LG3BP_HUMAN",20,-55.5339916654238,2.63499176771624e-11,1.70848812385232e-08,-1.5819737925,"Up in D1BM",7.76738803574923,"LGALS3BP","LG3BP_HUMAN"
-1.7614703175,11.27909874875,-50.2336911073873,2.01676034199319e-10,1.30713889181954e-07,14.8037831632962,"APOA5_HUMAN",27,-53.5959788983479,3.4617025311545e-11,2.08419218822152e-08,-1.7614703175,"Up in D1BM",7.68106223621912,"APOA5","APOA5_HUMAN"
-5.2863121045,10.96614337025,-50.5597676091162,1.92531664366401e-10,1.30713889181954e-07,14.8442306253792,"PGBM_HUMAN",175,-52.8210369411082,3.87147033832476e-11,2.17550823211596e-08,-5.2863121045,"Up in D1BM",7.66243926899927,"HSPG2","PGBM_HUMAN"
-2.5059874075,17.09733235875,-48.2584309860853,2.6889492674445e-10,1.41657208595561e-07,14.5503529546819,"FIBG_HUMAN",40,-51.2856948117595,4.85587336169308e-11,2.55813478535694e-08,-2.5059874075,"Up in D1BM",7.59207657674766,"FGG","FIBG_HUMAN"
-2.184310674,10.0798729655,-44.2965849974605,4.9689120924342e-10,2.38534413456681e-07,13.9946347538549,"LAMA5_HUMAN",106,-47.8391753527134,8.28420246942989e-11,4.10750250675439e-08,-2.184310674,"Up in D1BM",7.38642216284865,"LAMA5","LAMA5_HUMAN"
-1.9450457075,12.78971517125,-43.0281337938738,6.11892882538564e-10,2.57882255345878e-07,13.8019398500065,"A0AAG2UXZ5_HUMAN",37,-46.0118955713075,1.1170633351816e-10,5.23095936235872e-08,-1.9450457075,"Up in D1BM",7.28141865385364,"COL18A1","A0AAG2UXZ5_HUMAN"
-8.71218371325,10.918825268375,-44.1433317491901,5.09386575183327e-10,2.38534413456681e-07,13.9717566164975,"DKK1_HUMAN",5,-44.2531023189418,1.50650498169897e-10,6.68333183723189e-08,-8.71218371325,"Up in D1BM",7.17500697498271,"DKK1","DKK1_HUMAN"
-1.4530236725,11.02924168125,-38.3596173781817,1.39282561104336e-09,5.10440307629759e-07,13.0213369281343,"LAMC1_HUMAN",57,-42.3138829889708,2.12455717269741e-10,8.95394620433324e-08,-1.4530236725,"Up in D1BM",7.04798551920334,"LAMC1","LAMC1_HUMAN"
-1.39658999,16.0637470475,-38.1213584216369,1.45635268098096e-09,5.11483197832856e-07,12.9781874515701,"APOE_HUMAN",35,-41.3714401272148,2.52520001816361e-10,9.80668264690576e-08,-1.39658999,"Up in D1BM",7.00847787863366,"APOE","APOE_HUMAN"
-2.634057285,15.867637515,-39.2471943633338,1.18242650299084e-09,4.53030590623172e-07,13.1790789683618,"FIBB_HUMAN",43,-41.2985529096271,2.55958023765484e-10,9.80668264690576e-08,-2.634057285,"Up in D1BM",7.00847787863366,"FGB","FIBB_HUMAN"
-0.561025614999998,12.358136415,-28.7477661387084,1.09466973938311e-08,2.42815032454218e-06,10.953598959631,"AKA12_HUMAN",65,-40.9786645456019,2.71685375860433e-10,9.95667840490255e-08,-0.561025614999998,"Up in D1BM",7.00188552011205,"AKAP12","AKA12_HUMAN"
-0.904587265000002,15.0991294375,-32.3081823592547,4.75560211351395e-09,1.29306355531642e-06,11.8062929782088,"ITIH2_HUMAN",51,-37.5862920748609,5.26918397941211e-10,1.85058132343603e-07,-0.904587265000002,"Up in D1BM",6.73269182516305,"ITIH2","ITIH2_HUMAN"
-1.20277381,15.3049989925,-33.4377793142778,3.71990709864233e-09,1.11982489051629e-06,12.0535311512825,"APOA1_HUMAN",30,-35.9533980868114,7.4048751198763e-10,2.49662769541749e-07,-1.20277381,"Up in D1BM",6.60264621611121,"APOA1","APOA1_HUMAN"
-3.15341377225,11.047472953875,-37.670929893052,1.58567908540469e-09,5.34627560435044e-07,12.8956574788391,"F13A_HUMAN",7,-35.6321520193913,7.93177975833469e-10,2.57142198396166e-07,-3.15341377225,"Up in D1BM",6.5898266474848,"F13A1","F13A_HUMAN"
-0.844255445,11.1724491125,-30.6278830830684,6.96469721789481e-09,1.63070646804543e-06,11.4185456523521,"G6PD_HUMAN",38,-34.9004845685978,9.29756507884241e-10,2.76610389204629e-07,-0.844255445,"Up in D1BM",6.55813151226175,"G6PD","G6PD_HUMAN"
-1.37110519250001,15.32871842625,-34.0104652666392,3.29460834230817e-09,1.06808668143521e-06,12.1750106306818,"FGL1_HUMAN",19,-34.7934459097785,9.51881914702911e-10,2.76610389204629e-07,-1.37110519250001,"Up in D1BM",6.55813151226175,"FGL1","FGL1_HUMAN"
-0.990849258499999,10.12789619075,-33.2456240340825,3.87636304959863e-09,1.12668497051955e-06,12.0121981055919,"MFGM_HUMAN",22,-34.73021523484,9.65231046744885e-10,2.76610389204629e-07,-0.990849258499999,"Up in D1BM",6.55813151226175,"MFGE8","MFGM_HUMAN"
-3.8426241875,7.80408787725,-33.7482477967327,3.48206460682577e-09,1.08704898410868e-06,12.1197027036042,"TGFB1_HUMAN",14,-34.6406858343437,9.84495394013389e-10,2.76610389204629e-07,-3.8426241875,"Up in D1BM",6.55813151226175,"TGFB1","TGFB1_HUMAN"
-2.86609983625,9.501454354375,-32.6994115838902,4.36363407454126e-09,1.22603572047694e-06,11.8930963670183,"NID1_HUMAN",42,-34.1640661403625,1.09465024415488e-09,2.97638932515531e-07,-2.86609983625,"Up in D1BM",6.52631026173241,"NID1","NID1_HUMAN"
-2.493935583,9.9257609835,-31.329371187488,5.92464426706529e-09,1.4329243448563e-06,11.5834468425825,"QSOX1_HUMAN",23,-32.5000250704547,1.60407430574455e-09,4.22523197597524e-07,-2.493935583,"Up in D1BM",6.37414944218877,"QSOX1","QSOX1_HUMAN"
-3.414639355,9.4161902075,-32.0229140288816,5.06672854193987e-09,1.33460796500035e-06,11.742193925463,"MIME_HUMAN",10,-32.2951522677999,1.68357822683099e-09,4.23004012294468e-07,-3.414639355,"Up in D1BM",6.37365551321814,"OGN","MIME_HUMAN"
