"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1BM_vs_D5BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-2.49141264,13.2680180075,-93.5770892631007,2.61029391834164e-12,1.66461943000772e-08,18.9340331039478,"PLIN2_HUMAN",27,-101.5519382598,3.48706267330261e-13,1.97757121018434e-09,-2.49141264,"Up in D1BM",8.70386786907767,"PLIN2","PLIN2_HUMAN"
1.437914135,16.0646113175,73.825493433631,1.42020835029142e-11,1.66461943000772e-08,17.5041830757242,"TRFE_HUMAN",55,96.2890459654761,5.22376492009661e-13,1.97757121018434e-09,1.437914135,"Up in D5BM",8.70386786907767,"TF","TRFE_HUMAN"
1.3690371525,13.72224473875,67.6781911167337,2.64261374975667e-11,1.67653547933094e-08,16.9391282627029,"VILI_HUMAN",48,85.0454246926463,1.34115627245109e-12,1.97757121018434e-09,1.3690371525,"Up in D5BM",8.70386786907767,"VIL1","VILI_HUMAN"
1.7538647675,11.75714397375,73.3714737162113,1.48418971400475e-11,1.66461943000772e-08,17.4647459303219,"NEP_HUMAN",38,84.5717225488715,1.39925820954607e-12,1.97757121018434e-09,1.7538647675,"Up in D5BM",8.70386786907767,"MME","NEP_HUMAN"
-2.157440425,11.60672438,-76.4263843490226,1.10901050319857e-11,1.66461943000772e-08,17.723577764383,"APOA4_HUMAN",29,-83.1206050827027,1.59576098660538e-12,1.97757121018434e-09,-2.157440425,"Up in D1BM",8.70386786907767,"APOA4","APOA4_HUMAN"
-1.0735769275,13.68612074875,-60.4557537371943,5.91552912907347e-11,1.84221961460028e-08,16.1782436635533,"HS105_HUMAN",48,-82.1404592146273,1.74614687803496e-12,1.97757121018434e-09,-1.0735769275,"Up in D1BM",8.70386786907767,"HSPH1","HS105_HUMAN"
1.29472208250001,18.04299664375,66.1803481891052,3.10060150769955e-11,1.67653547933094e-08,16.7905788785168,"BHMT1_HUMAN",37,81.0670816246446,1.92953249032344e-12,1.97757121018434e-09,1.29472208250001,"Up in D5BM",8.70386786907767,"BHMT","BHMT1_HUMAN"
1.23901534,11.2976690525,64.1759459872539,3.86210990916857e-11,1.67653547933094e-08,16.5844986127204,"UBA7_HUMAN",41,80.5738732010401,2.02103293472279e-12,1.97757121018434e-09,1.23901534,"Up in D5BM",8.70386786907767,"UBA7","UBA7_HUMAN"
1.0759882925,14.96908187875,56.5352638492976,9.54655458261030e-11,2.17480833991411e-08,15.7131837600414,"FLNA_HUMAN",152,80.1102865834274,2.11153646834252e-12,1.97757121018434e-09,1.0759882925,"Up in D5BM",8.70386786907767,"FLNA","FLNA_HUMAN"
2.29366684,12.6112282275,73.1295789102636,1.51961581926485e-11,1.66461943000772e-08,17.4435921520497,"HTRA1_HUMAN",27,78.1884936652816,2.53896611180868e-12,2.05157679348522e-09,2.29366684,"Up in D5BM",8.68791222212252,"HTRA1","HTRA1_HUMAN"
