"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D2B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
3.70006752,12.4893548475,134.574143514311,1.57396838493055e-13,1.32669795165796e-09,20.2714186444812,"TSP1_HUMAN",52,151.996930897685,1.14023547842547e-14,9.61104484764831e-11,3.70006752,"Up in D2B",10.0172293962127,"THBS1","TSP1_HUMAN"
1.6713650225,12.67516052875,82.8303726384046,5.20274835339239e-12,1.700697805787e-08,18.1045757252304,"A0AAG2UXZ5_HUMAN",37,98.1322597688948,3.30729468891348e-13,1.39385934664259e-09,1.6713650225,"Up in D2B",8.85578104837496,"COL18A1","A0AAG2UXZ5_HUMAN"
1.271483185,16.0139504675,72.0712456836402,1.41769713947848e-11,1.70710988409487e-08,17.3164504008454,"APOE_HUMAN",35,88.7205789647068,7.18403525337082e-13,1.45211965252179e-09,1.271483185,"Up in D2B",8.83799759693551,"APOE","APOE_HUMAN"
2.28208947,11.457309365,78.0070284987441,8.01619653212853e-12,1.700697805787e-08,17.773035193099,"AGRIN_HUMAN",69,87.9761134808064,7.66518122463077e-13,1.45211965252179e-09,2.28208947,"Up in D2B",8.83799759693551,"AGRN","AGRIN_HUMAN"
1.7541153425,15.80034005625,73.8587037987071,1.18833755638023e-11,1.700697805787e-08,17.460052442324,"TRFE_HUMAN",55,86.6518384097258,8.61383113371568e-13,1.45211965252179e-09,1.7541153425,"Up in D2B",8.83799759693551,"TF","TRFE_HUMAN"
1.3790855425,14.53369498125,63.9263455581374,3.36271560137919e-11,2.72497558949716e-08,16.5858692579094,"APOB_HUMAN",250,81.6695028800996,1.35840973886506e-12,1.81504299648787e-09,1.3790855425,"Up in D2B",8.74111308251974,"APOB","APOB_HUMAN"
1.109588625,14.9019804,61.888481993952,4.24622191861165e-11,2.75318496553674e-08,16.3810785087776,"THRB_HUMAN",47,80.1460045187763,1.57012884341072e-12,1.81504299648787e-09,1.109588625,"Up in D2B",8.74111308251974,"F2","THRB_HUMAN"
1.80298662125,10.740785836875,76.7735904178522,8.99160909291811e-12,1.700697805787e-08,17.6828114471498,"ALDR_HUMAN",20,79.1857242281925,1.72266508149282e-12,1.81504299648787e-09,1.80298662125,"Up in D2B",8.74111308251974,"AKR1B1","ALDR_HUMAN"
1.7015335525,11.78638446375,73.6686095829717,1.21060467845794e-11,1.700697805787e-08,17.445040779961,"T23O_HUMAN",22,77.6426362982839,2.00417660497968e-12,1.87702273370819e-09,1.7015335525,"Up in D2B",8.72653046735509,"TDO2","T23O_HUMAN"
-1.32865882,12.4750508075,-64.5813359531785,3.12471157754893e-11,2.72497558949716e-08,16.6496786860464,"ABHD2_HUMAN",29,-72.9684527937721,3.23083370198639e-12,2.72326972740433e-09,-1.32865882,"Up in D1CM",8.56490934164866,"ABHD2","ABHD2_HUMAN"
1.7420318125,11.01608669875,68.2603908663038,2.09663383780018e-11,2.20906582735221e-08,16.9910398187012,"SMOC1_HUMAN",19,69.6868860777182,4.60238831914965e-12,3.52668464928295e-09,1.7420318125,"Up in D2B",8.45263337254097,"SMOC1","SMOC1_HUMAN"
0.596240755000002,11.330289485,38.409501768838,1.3121928116759e-09,2.24246288438213e-07,13.0807392661159,"FAT1_HUMAN",154,67.4312273066759,5.92727029609133e-12,4.16341344381282e-09,0.596240755000002,"Up in D2B",8.3805504597712,"FAT1","FAT1_HUMAN"
1.8806817545,10.45388376775,62.9051304912431,3.77616518625254e-11,2.72497558949716e-08,16.4844496421243,"MFGM_HUMAN",22,65.764563757205,7.18483555025098e-12,4.65853683485119e-09,1.8806817545,"Up in D2B",8.33175046621361,"MFGE8","MFGM_HUMAN"
1.9413867,11.6241142775,61.1045218868032,4.65442029040299e-11,2.80229347341477e-08,16.2996790171778,"ATTY_HUMAN",25,64.6170633109933,8.22594367339093e-12,4.95260565878658e-09,1.9413867,"Up in D2B",8.3051662504611,"TAT","ATTY_HUMAN"
4.5905487525,11.00004756375,62.6698786454755,3.87942900391101e-11,2.72497558949716e-08,16.4607458139726,"ANGL8_HUMAN",9,61.7077600328893,1.17213209939684e-11,6.58660097721066e-09,4.5905487525,"Up in D2B",8.18133864575002,"ANGPTL8","ANGL8_HUMAN"
2.79456543975,11.021367192625,57.5652454370568,7.15181614988556e-11,3.68386589067639e-08,15.9128163706369,"CO6A1_HUMAN",24,59.9687461339437,1.46013348211016e-11,7.69216570044158e-09,2.79456543975,"Up in D2B",8.11395136899774,"COL6A1","CO6A1_HUMAN"
4.255085349,8.704164803,58.614858574839,6.279521674132e-11,3.52867254608391e-08,16.0309728029992,"TSP3_HUMAN",12,59.2588731371717,1.60006084634584e-11,7.93347816108769e-09,4.255085349,"Up in D2B",8.10053636942948,"THBS3","TSP3_HUMAN"
-2.1668021675,13.48347270375,-54.2158246018268,1.10102432642985e-10,5.15585224859844e-08,15.5148951535865,"PLIN2_HUMAN",27,-57.0767031166669,2.13475748534307e-11,9.99659491330932e-09,-2.1668021675,"Up in D1CM",8.00014790621912,"PLIN2","PLIN2_HUMAN"
-1.0341517925,11.20103991125,-52.1892935854123,1.44827525837471e-10,5.79368614438855e-08,15.2575163544067,"HSP76_HUMAN",21,-54.6386478876203,2.98544962071795e-11,1.21446523722847e-08,-1.0341517925,"Up in D1CM",7.91561491189707,"HSPA6","HSP76_HUMAN"
-1.8252728,11.4009217025,-57.2611088503191,7.42979240022525e-11,3.68386589067639e-08,15.8780160057688,"HLAE_HUMAN",13,-54.5797986238457,3.01026781130676e-11,1.21446523722847e-08,-1.8252728,"Up in D1CM",7.91561491189707,"HLA-E","HLAE_HUMAN"
3.17193364875,10.512243508125,52.8022055824933,1.33157392015901e-10,5.61191828651014e-08,15.3367561463988,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",20,54.5434409796555,3.02571716476425e-11,1.21446523722847e-08,3.17193364875,"Up in D2B",7.91561491189707,"AMY1B;AMY1C;AMY1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN"
-3.3750542395,8.94240003775,-51.8770711116207,1.5121733915832e-10,5.79368614438855e-08,15.2166719099362,"CP1A1_HUMAN",18,-53.4029211976979,3.559000868441e-11,1.30730725341669e-08,-3.3750542395,"Up in D1CM",7.88362232918968,"CYP1A1","CP1A1_HUMAN"
1.09792996,15.89858818,53.5824810563655,1.19817908408681e-10,5.31550078935143e-08,15.4358672313528,"NDRG1_HUMAN",18,53.3868937225146,3.56721637544001e-11,1.30730725341669e-08,1.09792996,"Up in D2B",7.88362232918968,"NDRG1","NDRG1_HUMAN"
2.4825072325,11.71464872375,50.7035669979824,1.78276820222934e-10,6.2612304902463e-08,15.0601892441408,"APOA5_HUMAN",27,53.0428209568284,3.74885606304712e-11,1.30931318346905e-08,2.4825072325,"Up in D2B",7.88295645919096,"APOA5","APOA5_HUMAN"
1.77378964,11.9424024825,48.8178209250606,2.34154454127274e-10,7.87087896608265e-08,14.7984927180872,"PCSK6_HUMAN",46,52.7999565040656,3.88335859375087e-11,1.30931318346905e-08,1.77378964,"Up in D2B",7.88295645919096,"PCSK6","PCSK6_HUMAN"
1.8144805395,10.30378258025,47.7274713680172,2.75460935530938e-10,8.06136641646071e-08,14.6411076447671,"PTPRF_HUMAN",72,51.8758023357954,4.44742153181375e-11,1.44181984967916e-08,1.8144805395,"Up in D2B",7.8410889997954,"PTPRF","PTPRF_HUMAN"
1.0819411275,11.76132249875,47.2419745269079,2.96479248914797e-10,8.06136641646071e-08,14.5695325881234,"KNG1_HUMAN",26,51.4560232066734,4.73378445378842e-11,1.47781737633269e-08,1.0819411275,"Up in D2B",7.83037923126688,"KNG1","KNG1_HUMAN"
