"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D5B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
3.5924448975,12.56203794625,149.576308412404,6.85985375982759e-14,2.93938198306408e-10,21.529023544498,"TSP1_HUMAN",52,183.715989952256,1.82172038599474e-15,1.53552811335497e-11,3.5924448975,"Up in D5B",10.8137422278284,"THBS1","TSP1_HUMAN"
3.785330295,12.2910287375,149.233917451659,6.97445007252126e-14,2.93938198306408e-10,21.5198379510827,"APOA5_HUMAN",27,163.827554363343,4.45163239218513e-15,1.87614047168642e-11,3.785330295,"Up in D5B",10.7267346479429,"APOA5","APOA5_HUMAN"
1.2185773825,11.69666576375,64.8899495315112,2.8647284492853e-11,1.17497214663629e-08,16.8791909281746,"FAT1_HUMAN",154,104.135066284342,1.52345370667252e-13,4.28039709784757e-10,1.2185773825,"Up in D5B",9.36851593906996,"FAT1","FAT1_HUMAN"
4.91316080225,11.304299593875,115.672568207051,4.39813206514475e-13,1.2357285059035e-09,20.3651564977583,"ANGL8_HUMAN",9,98.9884750972483,2.2615649953467e-13,4.4823818347239e-10,4.91316080225,"Up in D5B",9.34849115055636,"ANGPTL8","ANGL8_HUMAN"
2.766456126,11.0156996245,89.0179015759207,2.91971119614115e-12,5.26847612747207e-09,18.917088910746,"MFGM_HUMAN",22,92.9513172392159,3.69329247139641e-13,4.4823818347239e-10,2.766456126,"Up in D5B",9.34849115055636,"MFGE8","MFGM_HUMAN"
2.082539085,11.413785695,77.2643743781813,8.12153944620519e-12,5.26847612747207e-09,18.0384731687311,"AGRIN_HUMAN",69,92.8197989043424,3.7342744153979e-13,4.4823818347239e-10,2.082539085,"Up in D5B",9.34849115055636,"AGRN","AGRIN_HUMAN"
1.9954330925,16.41781270375,80.5092206908042,6.03356224194668e-12,5.26847612747207e-09,18.2999164298935,"CLUS_HUMAN",30,90.5967226173331,4.51083921988629e-13,4.4823818347239e-10,1.9954330925,"Up in D5B",9.34849115055636,"CLU","CLUS_HUMAN"
2.75225138425,10.991499780375,84.6698635193878,4.192539972741e-12,5.26847612747207e-09,18.6133550778473,"CO6A1_HUMAN",24,89.4982422809223,4.96073396003033e-13,4.4823818347239e-10,2.75225138425,"Up in D5B",9.34849115055636,"COL6A1","CO6A1_HUMAN"
1.1806044575,16.88594794375,59.4083832402281,5.41747676369105e-11,1.58986596576159e-08,16.2658761983267,"FAS_HUMAN",166,89.0237085891109,5.17057622568233e-13,4.4823818347239e-10,1.1806044575,"Up in D5B",9.34849115055636,"FASN","FAS_HUMAN"
-1.94477319575,10.639104127125,-80.3366576764193,6.1278165121202e-12,5.26847612747207e-09,18.2864009699813,"ASNS_HUMAN",27,-88.7035460436446,5.31780974578704e-13,4.4823818347239e-10,-1.94477319575,"Up in D1C",9.34849115055636,"ASNS","ASNS_HUMAN"
1.6815700525,13.20969009375,67.9346193058909,2.0572641961776e-11,1.08379249434881e-08,17.1910548928338,"EPIPL_HUMAN",173,86.5207461933431,6.45739711957327e-13,4.94812730189846e-10,1.6815700525,"Up in D5B",9.30555913567977,"EPPK1","EPIPL_HUMAN"
1.914010045,11.3154101375,78.9526837554499,6.94743708515711e-12,5.26847612747207e-09,18.1764499982197,"MUC18_HUMAN",25,85.5495154789817,7.05119008843515e-13,4.95287343795166e-10,1.914010045,"Up in D5B",9.30514276951431,"MCAM","MUC18_HUMAN"
1.808908935,12.0806536675,77.2591050680799,8.12554154195479e-12,5.26847612747207e-09,18.0380357437849,"RIR2B_HUMAN",23,82.0718936445075,9.7432193455823e-13,6.31735352799333e-10,1.808908935,"Up in D5B",9.19946481869522,"RRM2B","RIR2B_HUMAN"
1.2877309325,15.42064535375,62.8473620308824,3.60887337709162e-11,1.36604827146309e-08,16.6588420506484,"DPYL2_HUMAN",35,77.0698456326051,1.59031977198905e-12,9.57486097006834e-10,1.2877309325,"Up in D5B",9.01886752340326,"DPYSL2","DPYL2_HUMAN"
2.41624987125,8.268571317125,70.4280572377951,1.58576278469252e-11,8.91092967478219e-09,17.4327040974045,"ANGL2_HUMAN",23,73.9086419374918,2.20387251934859e-12,1.14571265959739e-09,2.41624987125,"Up in D5B",8.94092428812644,"ANGPTL2","ANGL2_HUMAN"
1.306390525,14.50731051,55.7914936960099,8.5248015233834e-11,1.94204194704321e-08,15.8198556020514,"APOB_HUMAN",250,72.9237552667308,2.44664993155091e-12,1.14571265959739e-09,1.306390525,"Up in D5B",8.94092428812644,"APOB","APOB_HUMAN"
-2.11901164,12.87072575,-72.952558443094,1.22962899002607e-11,7.40324482637838e-09,17.6656581245039,"HMOX1_HUMAN",18,-72.8316177586475,2.47086448161438e-12,1.14571265959739e-09,-2.11901164,"Up in D1C",8.94092428812644,"HMOX1","HMOX1_HUMAN"
3.26455355,12.45968342,78.8345001832649,7.02302704338906e-12,5.26847612747207e-09,18.1669308311546,"TSK_HUMAN",11,72.0903213136333,2.67582759453226e-12,1.14571265959739e-09,3.26455355,"Up in D5B",8.94092428812644,"TSKU","TSK_HUMAN"
-2.0575451875,16.67482876875,-77.3844033546936,8.03098097875622e-12,5.26847612747207e-09,18.0484256220146,"A1AG1_HUMAN",15,-72.0089827457326,2.69946190038047e-12,1.14571265959739e-09,-2.0575451875,"Up in D1C",8.94092428812644,"ORM1","A1AG1_HUMAN"
2.2397475225,12.19251823625,64.6959810981037,2.92732412852795e-11,1.17497214663629e-08,16.8586623149158,"PCSK6_HUMAN",46,71.9440375120429,2.71850198029989e-12,1.14571265959739e-09,2.2397475225,"Up in D5B",8.94092428812644,"PCSK6","PCSK6_HUMAN"
