"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
2.0509407525,14.56592142625,85.3523813079324,4.48766046768651e-12,7.25007356252193e-09,18.5179938231342,"VILI_HUMAN",48,111.128994224514,1.27003821181574e-13,9.629755500241e-10,2.0509407525,"Up in D8C",9.01638473948441,"VIL1","VILI_HUMAN"
2.70045066250001,16.77032148875,87.2744599090997,3.82423164609974e-12,7.25007356252193e-09,18.6510800157762,"CLUS_HUMAN",30,97.3116225807295,3.52805348136297e-13,9.629755500241e-10,2.70045066250001,"Up in D8C",9.01638473948441,"CLU","CLUS_HUMAN"
2.7220599625,11.75939357125,88.4734315845072,3.46717195310888e-12,7.25007356252193e-09,18.7318294362971,"APOA5_HUMAN",27,97.0503685397098,3.60179121781652e-13,9.629755500241e-10,2.7220599625,"Up in D8C",9.01638473948441,"APOA5","APOA5_HUMAN"
2.5169663425,15.75024867125,78.2281152973152,8.39285208164859e-12,7.25007356252193e-09,17.9822982213004,"FLNA_HUMAN",152,94.0937926568696,4.56982109395705e-13,9.629755500241e-10,2.5169663425,"Up in D8C",9.01638473948441,"FLNA","FLNA_HUMAN"
1.33572483,11.7552394875,59.2742437738816,6.15229750215519e-11,1.92465966343813e-08,16.1403954991529,"FAT1_HUMAN",154,89.4411214990165,6.75060789504807e-13,1.00077653562715e-09,1.33572483,"Up in D8C",8.99966288573581,"FAT1","FAT1_HUMAN"
-2.3471250575,16.53003883375,-98.4674254508129,1.60710925316968e-12,7.25007356252193e-09,19.3434467459938,"A1AG1_HUMAN",15,-86.8335515314269,8.47612684650319e-13,1.00077653562715e-09,-2.3471250575,"Up in D1C",8.99966288573581,"ORM1","A1AG1_HUMAN"
3.8073348975,12.26207256375,82.1338194149672,5.91470141888145e-12,7.25007356252193e-09,18.2845954651488,"MUC18_HUMAN",25,86.6205844428401,8.63776959157411e-13,1.00077653562715e-09,3.8073348975,"Up in D8C",8.99966288573581,"MCAM","MUC18_HUMAN"
-2.935088875,13.1846328975,-79.4582211892056,7.5031288991853e-12,7.25007356252193e-09,18.0798728436681,"PLIN2_HUMAN",27,-85.5576896730502,9.49841296122581e-13,1.00077653562715e-09,-2.935088875,"Up in D1C",8.99966288573581,"PLIN2","PLIN2_HUMAN"
2.136862755,13.512984515,71.2155681979534,1.64750184796639e-11,1.06821485203913e-08,17.3804459898438,"PFKAP_HUMAN",36,81.8968031959619,1.32967708156848e-12,1.02351767175666e-09,2.136862755,"Up in D8C",8.98990465453528,"PFKP","PFKAP_HUMAN"
2.84359598025,11.283845662375,82.5571294298981,5.70028363019481e-12,7.25007356252193e-09,18.3160749721534,"SFXN3_HUMAN",17,81.7088317260328,1.35338845058614e-12,1.02351767175666e-09,2.84359598025,"Up in D8C",8.98990465453528,"SFXN3","SFXN3_HUMAN"
-3.52599334675,11.385771274125,-75.6259353383033,1.07010747990034e-11,7.51661329006666e-09,17.7683193810801,"PIGR_HUMAN",36,-81.540691420629,1.37500361712178e-12,1.02351767175666e-09,-3.52599334675,"Up in D1C",8.98990465453528,"PIGR","PIGR_HUMAN"
2.3358562,13.5368331675,68.5439850538284,2.16799825609778e-11,1.14212858129051e-08,17.1286922263176,"EPIPL_HUMAN",173,80.9279737954713,1.45713750872938e-12,1.02351767175666e-09,2.3358562,"Up in D8C",8.98990465453528,"EPPK1","EPIPL_HUMAN"
3.54148960175,11.237079859125,76.8930512189437,9.49732018792914e-12,7.27753744218679e-09,17.8738269843897,"FSTL1_HUMAN",17,77.5761528328167,2.01742489885831e-12,1.30806726711359e-09,3.54148960175,"Up in D8C",8.8833699219253,"FSTL1","FSTL1_HUMAN"
2.342998503,10.2846558085,67.6997150892263,2.36975964191215e-11,1.15318222545952e-08,17.0463019598796,"BMP1_HUMAN",34,75.283503142963,2.54095927649598e-12,1.52188090768285e-09,2.342998503,"Up in D8C",8.81761933124468,"BMP1","BMP1_HUMAN"
1.267599345,11.479488015,57.0675621206066,8.07748565734089e-11,2.1387339920245e-08,15.8748990815971,"S12A4_HUMAN",39,74.6617621149908,2.7082944139569e-12,1.52188090768285e-09,1.267599345,"Up in D8C",8.81761933124468,"SLC12A4","S12A4_HUMAN"
3.022743226,11.1438431745,69.5790313272205,1.94681028090753e-11,1.09397759051797e-08,17.2278163647085,"MFGM_HUMAN",22,72.6331521915924,3.34731398229973e-12,1.76340684730028e-09,3.022743226,"Up in D8C",8.75364747717709,"MFGE8","MFGM_HUMAN"
1.7740013625,10.95831191625,62.0345172432131,4.43774822637622e-11,1.77731074525507e-08,16.4550399148582,"MANBA_HUMAN",33,71.2751601508528,3.87014191615223e-12,1.89683054177702e-09,1.7740013625,"Up in D8C",8.72197146619012,"MANBA","MANBA_HUMAN"
-2.11030053925,10.556340455375,-64.7371830123486,3.2675211398648e-11,1.44957556252213e-08,16.7457605927071,"ASNS_HUMAN",27,-70.5388928152044,4.19182265167195e-12,1.89683054177702e-09,-2.11030053925,"Up in D1C",8.72197146619012,"ASNS","ASNS_HUMAN"
