"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1BM_vs_D2BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D2BM_vs_D1BM"
-1.4891703125,16.09023940625,-97.185802777746,2.3764388070953e-12,1.70815495116309e-08,18.2192822077993,"TRFE_HUMAN",55,136.156670565471,5.31585820074823e-14,4.48073687741068e-10,1.4891703125,"Up in D2BM",9.34865055843995,"TF","TRFE_HUMAN",-1.4891703125
2.16458893,13.4314298625,90.137166134825,4.05304294972854e-12,1.70815495116309e-08,17.8938990637417,"PLIN2_HUMAN",27,-97.280396663973,6.60861302591374e-13,2.78519995977135e-09,-2.16458893,"Up in D1BM",8.55514361976929,"PLIN2","PLIN2_HUMAN",2.16458893
-1.378659725,12.0716297625,-75.3092075792284,1.44918756177803e-11,4.07173398607567e-08,17.0268403853291,"T23O_HUMAN",22,80.1547533628701,2.82023325755018e-12,6.8359833135994e-09,1.378659725,"Up in D2BM",8.16519900604793,"TDO2","T23O_HUMAN",-1.378659725
1.05004406,12.5464501375,69.0896526223574,2.66950254479575e-11,5.07956123899533e-08,16.5678435119504,"4F2_HUMAN",25,-78.6708788951028,3.24403052015632e-12,6.8359833135994e-09,-1.05004406,"Up in D1BM",8.16519900604793,"SLC3A2","4F2_HUMAN",1.05004406
-1.2494423425,12.03161609125,-67.6075394341016,3.11291013495617e-11,5.07956123899533e-08,16.4482028945689,"PDCD4_HUMAN",21,70.9603762977822,7.02532736942325e-12,1.18432968793737e-08,1.2494423425,"Up in D2BM",7.92652738399739,"PDCD4","PDCD4_HUMAN",-1.2494423425
-2.3030126125,11.70863520875,-64.1502042007232,4.51536285647151e-11,5.07956123899533e-08,16.1519316983768,"ATTY_HUMAN",25,67.0725419016905,1.07137533666467e-11,1.41412761992882e-08,2.3030126125,"Up in D2BM",7.84951139525634,"TAT","ATTY_HUMAN",-2.3030126125
3.49455070525,9.319037437375,63.5598291090783,4.82103332684335e-11,5.07956123899533e-08,16.0987930019767,"CP1A1_HUMAN",18,-65.1096362448643,1.33825672371231e-11,1.41412761992882e-08,-3.49455070525,"Up in D1BM",7.84951139525634,"CYP1A1","CP1A1_HUMAN",3.49455070525
-1.019679305,13.13649118,-54.7508147811395,1.38691581324483e-10,1.16903133898407e-07,15.2042031391581,"PCKGC_HUMAN",38,65.0843524944283,1.34215458054699e-11,1.41412761992882e-08,1.019679305,"Up in D2BM",7.84951139525634,"PCK1","PCKGC_HUMAN",-1.019679305
0.933596845,12.1718508,49.1097319118269,2.99463633649219e-10,1.57761185501829e-07,14.5120003317045,"AKA12_HUMAN",65,-61.1037205402534,2.1528961656203e-11,2.01630686444595e-08,-0.933596845,"Up in D1BM",7.69544337133672,"AKAP12","AKA12_HUMAN",0.933596845
-0.582062720000001,14.9646210675,-40.5620690523474,1.15811363559412e-09,3.48633565515102e-07,13.2260899082721,"AMPN_HUMAN",49,58.9884655347469,2.8026186019522e-11,2.17213397019952e-08,0.582062720000001,"Up in D2BM",7.6631133923778,"ANPEP","AMPN_HUMAN",-0.582062720000001
1.494220495,11.2785223725,56.7150529475441,1.08056596420139e-10,1.01201005691706e-07,15.4216168432836,"HSP76_HUMAN",21,-58.8989106019252,2.83467477425492e-11,2.17213397019952e-08,-1.494220495,"Up in D1BM",7.6631133923778,"HSPA6","HSP76_HUMAN",1.494220495
1.95217252,13.51220286,65.6119110261398,3.84917575058358e-11,5.07956123899533e-08,16.2802330707597,"ISG20_HUMAN",10,-57.0183768710876,3.61397846156319e-11,2.53851870437635e-08,-1.95217252,"Up in D1BM",7.59541963226824,"ISG20","ISG20_HUMAN",1.95217252
-1.3240344545,10.49350869775,-49.283151294332,2.92085162437019e-10,1.57761185501829e-07,14.5349222281537,"SORL_HUMAN",72,55.3897217449459,4.48929284943246e-11,2.8313347892846e-08,1.3240344545,"Up in D2BM",7.54800877473862,"SORL1","SORL_HUMAN",-1.3240344545
-1.008974075,11.902638675,-50.0602559828526,2.61468958351353e-10,1.57422989281682e-07,14.6362809199502,"KNG1_HUMAN",26,54.8266140980163,4.84604838811984e-11,2.8313347892846e-08,1.008974075,"Up in D2BM",7.54800877473862,"KNG1","KNG1_HUMAN",-1.008974075
0.523211237500005,12.83516132875,35.7808760332444,2.80911674738907e-09,5.63762977708154e-07,12.3438692420259,"AGRIN_HUMAN",69,-54.5419348782828,5.03855995245806e-11,2.8313347892846e-08,-0.523211237500005,"Up in D1BM",7.54800877473862,"AGRN","AGRIN_HUMAN",0.523211237500005
0.8184726225,10.76279199125,42.3563740295898,8.52805271016608e-10,2.76472908823038e-07,13.5239673191856,"LAMA5_HUMAN",106,-53.5326820605578,5.79433348868437e-11,3.05252731100753e-08,-0.8184726225,"Up in D1BM",7.51534044172647,"LAMA5","LAMA5_HUMAN",0.8184726225
-1.0969784225,14.96734058875,-47.376191620233,3.86180108364043e-10,1.62755606670026e-07,14.2765818372291,"KLKB1_HUMAN",31,52.2092942177777,6.9878258370401e-11,3.46472846943594e-08,1.0969784225,"Up in D2BM",7.46033079535127,"KLKB1","KLKB1_HUMAN",-1.0969784225
-0.992906097500004,15.85922980375,-51.4581203547494,2.15157764388445e-10,1.55425575968277e-07,14.8131901091147,"NDRG1_HUMAN",18,51.4106944398453,7.84195828615022e-11,3.67221479966446e-08,0.992906097500004,"Up in D2BM",7.43507192344557,"NDRG1","NDRG1_HUMAN",-0.992906097500004
1.0563247225,14.99308311875,47.7300125492489,3.66374024693466e-10,1.62535087060065e-07,14.3255789321696,"SQSTM_HUMAN",24,-51.0154586895562,8.30802793973314e-11,3.68570355284267e-08,-1.0563247225,"Up in D1BM",7.43347959872684,"SQSTM1","SQSTM_HUMAN",1.0563247225
-1.590198275,12.5148166425,-48.5661770076211,3.24004947026515e-10,1.58827459501104e-07,14.4394259341422,"FADS2_HUMAN",18,49.4274137266334,1.05251646503674e-10,4.43583064189736e-08,1.590198275,"Up in D2BM",7.35302504338255,"FADS2","FADS2_HUMAN",-1.590198275
-0.529948947499998,10.56122052625,-33.635490480665,4.34627672799344e-09,7.79463117877802e-07,11.8997230661951,"MYO7A_HUMAN",98,49.0706358451092,1.11111834890254e-10,4.45981741090453e-08,0.529948947499998,"Up in D2BM",7.35068292134612,"MYO7A","MYO7A_HUMAN",-0.529948947499998
1.451981785,11.2715803375,51.2548064011116,2.21272619719933e-10,1.55425575968277e-07,14.7878812319265,"HLAE_HUMAN",13,-48.298293471994,1.25109042788011e-10,4.71579160198635e-08,-1.451981785,"Up in D1BM",7.32644539528754,"HLA-E","HLAE_HUMAN",1.451981785
-0.740261317500002,11.04829204125,-39.956317248654,1.28806912644372e-09,3.62982344881803e-07,13.1217041014021,"UBA7_HUMAN",41,48.0833435656433,1.293526415878e-10,4.71579160198635e-08,0.740261317500002,"Up in D2BM",7.32644539528754,"UBA7","UBA7_HUMAN",-0.740261317500002
-0.475770472500001,13.27503657375,-31.2207656400679,7.3505599417392e-09,1.08698017103368e-06,11.357681389692,"MPRI_HUMAN",109,47.6302572714161,1.38842755492571e-10,4.71579160198635e-08,0.475770472500001,"Non-significant",7.32644539528754,"IGF2R","MPRI_HUMAN",-0.475770472500001
-1.085249665,11.4228364225,-42.9254723245415,7.76002859756407e-10,2.6163712419547e-07,13.6150632891935,"NEP_HUMAN",38,47.498593128215,1.4174668938815e-10,4.71579160198635e-08,1.085249665,"Up in D2BM",7.32644539528754,"MME","NEP_HUMAN",-1.085249665
-0.704479695000002,15.836636305,-46.732261189551,4.2544382983134e-10,1.70765049602303e-07,14.1861233393126,"MTND_HUMAN",19,47.2171785051203,1.48187154361492e-10,4.71579160198635e-08,0.704479695000002,"Up in D2BM",7.32644539528754,"ADI1","MTND_HUMAN",-0.704479695000002
-0.731710912499999,12.31327509875,-39.8319694965383,1.31675954611564e-09,3.62982344881803e-07,13.1000277936795,"BAIP2_HUMAN",35,46.9663437434638,1.54208328175461e-10,4.71579160198635e-08,0.731710912499999,"Up in D2BM",7.32644539528754,"BAIAP2","BAIP2_HUMAN",-0.731710912499999
-0.757636545,15.090005635,-39.0175148928518,1.52374675690383e-09,3.77754747468894e-07,12.9559106426758,"THRB_HUMAN",47,46.8676822645647,1.56652230223773e-10,4.71579160198635e-08,0.757636545,"Up in D2BM",7.32644539528754,"F2","THRB_HUMAN",-0.757636545
-0.559049607499997,12.10446834625,-35.2783476549153,3.10413008025516e-09,5.94652555601608e-07,12.2427638980478,"KANK2_HUMAN",45,46.5138833586615,1.65783934793723e-10,4.81133315307903e-08,0.559049607499997,"Up in D2BM",7.31773457002854,"KANK2","KANK2_HUMAN",-0.559049607499997
-1.2816095375,10.92924404125,-46.1565239266104,4.64442418613845e-10,1.77944779386186e-07,14.1038075211267,"ASM3A_HUMAN",17,46.3127958537866,1.71242133814653e-10,4.81133315307903e-08,1.2816095375,"Up in D2BM",7.31773457002854,"SMPDL3A","ASM3A_HUMAN",-1.2816095375
-1.12493968,12.189246535,-41.3848815043533,1.00484034853628e-09,3.13696270289345e-07,13.3647437405524,"PCSK6_HUMAN",46,45.7446360306255,1.87797536144615e-10,5.10627558762244e-08,1.12493968,"Up in D2BM",7.29189574986199,"PCSK6","PCSK6_HUMAN",-1.12493968
-0.594440940000005,17.6928560725,-36.1213289949671,2.62741555968591e-09,5.43489207799176e-07,12.4113915534637,"BHMT1_HUMAN",37,44.879988929494,2.16592396084776e-10,5.64439393213585e-08,0.594440940000005,"Up in D2BM",7.2483826836876,"BHMT","BHMT1_HUMAN",-0.594440940000005
-0.670066117499999,12.53261172625,-37.4512074391662,2.03530226643017e-09,4.39886225736921e-07,12.6678805521211,"PFKAP_HUMAN",36,44.7597098359269,2.20981136268221e-10,5.64439393213585e-08,0.670066117499999,"Up in D2BM",7.2483826836876,"PFKP","PFKAP_HUMAN",-0.670066117499999
-2.0756640455,9.13811349975,-50.4916342572228,2.46062179877343e-10,1.57422989281682e-07,14.6916060090471,"SYUG_HUMAN",8,44.3467567825236,2.36833973410638e-10,5.87139282905374e-08,2.0756640455,"Up in D2BM",7.23125886191784,"SNCG","SYUG_HUMAN",-2.0756640455
