"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D2BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D2BM_vs_D1C"
-3.63790369,12.5847673425,-175.934989962331,2.89764051442762e-14,2.44242118961104e-10,21.0411296915324,"TSP1_HUMAN",52,221.745008495435,9.23977828577724e-16,7.78820911708163e-12,3.63790369,"Up in D2BM",11.1085623959841,"THBS1","TSP1_HUMAN",-3.63790369
-2.670408965,11.7335680725,-129.653184650574,2.56692779500604e-13,1.0818317192053e-09,20.0775163214887,"APOA5_HUMAN",27,146.33044327816,2.17425785266881e-14,9.1634097200727e-11,2.670408965,"Up in D2BM",10.037942894556,"APOA5","APOA5_HUMAN",-2.670408965
-2.2010395575,11.47303593125,-98.1897380231626,1.87022427802551e-12,3.57536584968849e-09,18.8772967128146,"AGRIN_HUMAN",69,121.876275098843,8.72242747526846e-14,2.45071137296793e-10,2.2010395575,"Up in D2BM",9.6107078337942,"AGRN","AGRIN_HUMAN",-2.2010395575
-1.8593719,11.831273675,-96.4761222218412,2.12087190039654e-12,3.57536584968849e-09,18.7908825606176,"T23O_HUMAN",22,103.338987429229,3.05435559988798e-13,6.43629083786395e-10,1.8593719,"Up in D2BM",9.19136433958457,"TDO2","T23O_HUMAN",-1.8593719
-1.120563505,14.414397,-63.0287848781854,4.43268399855286e-11,2.49087289492014e-08,16.3652055469344,"APOB_HUMAN",250,97.2865855367721,4.83047835471654e-13,7.70859132819089e-10,1.120563505,"Up in D2BM",9.11302497788788,"APOB","APOB_HUMAN",-1.120563505
-4.39439225225,11.044915318875,-109.333262340438,8.6769441887498e-13,2.43793208556574e-09,19.3784006972299,"ANGL8_HUMAN",9,95.2581999915339,5.66870130555747e-13,7.70859132819089e-10,4.39439225225,"Up in D2BM",9.11302497788788,"ANGPTL8","ANGL8_HUMAN",-4.39439225225
-2.2342870225,11.74299800375,-87.0089117231193,4.43520827253169e-12,6.23072842152827e-09,18.2600891937032,"ATTY_HUMAN",25,93.7449618590969,6.4017249136714e-13,7.70859132819089e-10,2.2342870225,"Up in D2BM",9.11302497788788,"TAT","ATTY_HUMAN",-2.2342870225
2.3030419375,13.50065636625,81.5735698385006,7.03052349491997e-12,8.46575464838292e-09,17.9086111613399,"PLIN2_HUMAN",27,-88.0759956653716,1.02804975283759e-12,1.0831789208335e-09,-2.3030419375,"Up in D1C",8.96529980014967,"PLIN2","PLIN2_HUMAN",2.3030419375
-1.4316201225,11.01693129375,-71.2069639226745,1.85551535471385e-11,1.9228505213135e-08,17.1212004545703,"CDHR2_HUMAN",33,84.7237571476148,1.38030563240418e-12,1.29273290839276e-09,1.4316201225,"Up in D2BM",8.88849119545478,"CDHR2","CDHR2_HUMAN",-1.4316201225
-1.7977364075,15.93595635875,-68.4805449156638,2.45192442960612e-11,1.9228505213135e-08,16.8840507895712,"TRFE_HUMAN",55,79.4451573355523,2.2495087531624e-12,1.89611092804059e-09,1.7977364075,"Up in D2BM",8.72213625875603,"TF","TRFE_HUMAN",-1.7977364075
1.09506917,12.5689626925,67.315215282407,2.77151024555947e-11,1.9467549883184e-08,16.7783378991168,"4F2_HUMAN",25,-78.070594420193,2.56821923332687e-12,1.96795635615565e-09,-1.09506917,"Up in D1C",8.7059845372517,"SLC3A2","4F2_HUMAN",1.09506917
-1.1881287125,11.81306135625,-64.7254354060276,3.6671833626971e-11,2.37774527416722e-08,16.5334709127057,"KNG1_HUMAN",26,74.0351428184243,3.84240052627585e-12,2.46256188582285e-09,1.1881287125,"Up in D2BM",8.60861284658318,"KNG1","KNG1_HUMAN",-1.1881287125
-2.79096532175,11.010856749125,-70.1879395766097,2.05662706713276e-11,1.9228505213135e-08,17.0341868774894,"CO6A1_HUMAN",24,73.4731799805826,4.07117920128272e-12,2.46256188582285e-09,2.79096532175,"Up in D2BM",8.60861284658318,"COL6A1","CO6A1_HUMAN",-2.79096532175
-1.743001937,10.3048417565,-63.3722964489309,4.26402833215016e-11,2.49087289492014e-08,16.399794956165,"PTPRF_HUMAN",72,73.428195379378,4.09014905700794e-12,2.46256188582285e-09,1.743001937,"Up in D2BM",8.60861284658318,"PTPRF","PTPRF_HUMAN",-1.743001937
-2.433177352,8.2770350575,-68.2587993553654,2.50935528941138e-11,1.9228505213135e-08,16.8641415648917,"ANGL2_HUMAN",23,71.451299103237,5.0315651934826e-12,2.82740420105766e-09,2.433177352,"Up in D2BM",8.54861210104684,"ANGPTL2","ANGL2_HUMAN",-2.433177352
-1.765980241,10.515461682,-62.4534323659806,4.73248911078143e-11,2.49313441967354e-08,16.3066639787075,"MFGM_HUMAN",22,65.5223200851043,9.70970429853078e-12,4.98104452757871e-09,1.765980241,"Up in D2BM",8.30267957591562,"MFGE8","MFGM_HUMAN",-1.765980241
-1.0984089375,13.09712636375,-53.723966398089,1.38552141922409e-10,6.21734185750436e-08,15.3148006066023,"PCKGC_HUMAN",38,65.2289627038345,1.00460027249778e-11,4.98104452757871e-09,1.0984089375,"Up in D2BM",8.30267957591562,"PCK1","PCKGC_HUMAN",-1.0984089375
-0.8555521975,16.51950097125,-45.3158923618135,4.66240924827564e-10,1.19089235011259e-07,14.1332393278099,"CO3_HUMAN",118,64.6834024971828,1.07070668659839e-11,5.01388147852102e-09,0.8555521975,"Up in D2BM",8.29982593639948,"C3","CO3_HUMAN",-0.8555521975
-0.936358690000002,15.8882755025,-48.8459482435938,2.73150951929901e-10,1.04654062446234e-07,14.6609918087775,"CLUS_HUMAN",30,57.6978327199318,2.54797857811818e-11,1.13036375973464e-08,0.936358690000002,"Up in D2BM",7.94678177472599,"CLU","CLUS_HUMAN",-0.936358690000002
-1.2013688125,13.23514795375,-46.3965432406078,3.94156030794715e-10,1.12532697676198e-07,14.3001457916719,"CO5_HUMAN",77,54.8184166204563,3.7566752252762e-11,1.51603933559648e-08,1.2013688125,"Up in D2BM",7.81928953022714,"C5","CO5_HUMAN",-1.2013688125
2.99645567025,9.069989919875,53.2534941056901,1.47522644619868e-10,6.21734185750436e-08,15.2551914756001,"CP1A1_HUMAN",18,-54.6241819730435,3.85916005081694e-11,1.51603933559648e-08,-2.99645567025,"Up in D1C",7.81928953022714,"CYP1A1","CP1A1_HUMAN",2.99645567025
0.858301879999999,11.4668034325,47.9421334488182,3.12051598207252e-10,1.10279318836731e-07,14.5305658025091,"GNL3_HUMAN",25,-54.3601397479583,4.00358923538007e-11,1.51603933559648e-08,-0.858301879999999,"Up in D1C",7.81928953022714,"GNL3","GNL3_HUMAN",0.858301879999999
1.7877054175,11.16314697125,53.2622096523839,1.47350559648133e-10,6.21734185750436e-08,15.2563020809992,"TRAF1_HUMAN",18,-54.1260258884689,4.13677835077933e-11,1.51603933559648e-08,-1.7877054175,"Up in D1C",7.81928953022714,"TRAF1","TRAF1_HUMAN",1.7877054175
-1.32610273,14.1608963,-49.5577573111384,2.46381044541947e-10,9.88926583068606e-08,14.7615586597302,"LG3BP_HUMAN",20,51.1464456277287,6.35466716278522e-11,2.23181206312986e-08,1.32610273,"Up in D2BM",7.65134237935009,"LGALS3BP","LG3BP_HUMAN",-1.32610273
1.3038122675,12.40419375875,46.5090252931692,3.87412011399398e-10,1.12532697676198e-07,14.3172390346636,"ABHD2_HUMAN",29,-50.6806279733811,6.81101905877752e-11,2.24643995310474e-08,-1.3038122675,"Up in D1C",7.64850518552134,"ABHD2","ABHD2_HUMAN",1.3038122675
-3.46536899,16.1732712975,-47.90029577631,3.13999721447567e-10,1.10279318836731e-07,14.524452747928,"FINC_HUMAN",161,50.233489826049,7.28423154699958e-11,2.24643995310474e-08,3.46536899,"Up in D2BM",7.64850518552134,"FN1","FINC_HUMAN",-3.46536899
1.582561735,11.3368703125,54.2680060122909,1.28944277062719e-10,6.21734185750436e-08,15.3828714972804,"HLAE_HUMAN",13,-50.1735869057999,7.35040824899879e-11,2.24643995310474e-08,-1.582561735,"Up in D1C",7.64850518552134,"HLA-E","HLAE_HUMAN",1.582561735
-1.66314292,12.2638984925,-47.2712015087242,3.45029575074274e-10,1.11855934165425e-07,14.4317099373664,"HEP2_HUMAN",25,49.8720262602185,7.69405554421385e-11,2.24643995310474e-08,1.66314292,"Up in D2BM",7.64850518552134,"SERPIND1","HEP2_HUMAN",-1.66314292
