"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D2B_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
3.21178484,12.3086640825,167.32902311205,5.26755377676019e-14,4.44002107843116e-10,21.5140631109769,"MUC18_HUMAN",25,184.656174555197,5.41259427526653e-15,4.56227571462216e-11,3.21178484,"Up in D8CM",10.340818472299,"MCAM","MUC18_HUMAN"
3.2914661195,9.54774695775,112.230873619632,8.91070966589674e-13,3.75541858869218e-09,19.787758316873,"ITA7_HUMAN",30,121.017200364007,1.28633887288779e-13,3.48530500618355e-10,3.2914661195,"Up in D8CM",9.45775920990277,"ITGA7","ITA7_HUMAN"
1.9461667575,14.47098576875,96.6014180532307,2.57628996569925e-12,4.65062481643377e-09,18.9810903922342,"VILI_HUMAN",48,118.880610168014,1.47010689515244e-13,3.48530500618355e-10,1.9461667575,"Up in D8CM",9.45775920990277,"VIL1","VILI_HUMAN"
1.9621686925,13.67827653875,91.2310489729271,3.8621869397362e-12,4.65062481643377e-09,18.6528656027013,"EPIPL_HUMAN",173,117.026520488361,1.65395895417419e-13,3.48530500618355e-10,1.9621686925,"Up in D8CM",9.45775920990277,"EPPK1","EPIPL_HUMAN"
1.65156865,13.7484019975,91.4915079059934,3.78503143648452e-12,4.65062481643377e-09,18.6694795710209,"PFKAP_HUMAN",36,112.60418733875,2.20766916137088e-13,3.72168867223903e-10,1.65156865,"Up in D8CM",9.42925995941152,"PFKP","PFKAP_HUMAN"
2.039299965,15.8383417125,88.129071701741,4.93368368275247e-12,5.19825247024007e-09,18.4491985087772,"FLNA_HUMAN",152,108.742471096765,2.86772033185573e-13,4.02866911286866e-10,2.039299965,"Up in D8CM",9.39483840110417,"FLNA","FLNA_HUMAN"
1.08474946,15.1589459175,72.7042602186853,1.9252767204706e-11,1.01425984230292e-08,17.2516713398316,"DPP4_HUMAN",42,106.192956976299,3.42584762063595e-13,4.12520994204864e-10,1.08474946,"Up in D8CM",9.38455394424058,"DPP4","DPP4_HUMAN"
2.77931153725,9.355578958875,95.1288396356722,2.87223310470059e-12,4.65062481643377e-09,18.8940095523944,"TRFM_HUMAN",35,103.845790181469,4.05065175751732e-13,4.26786795801418e-10,2.77931153725,"Up in D8CM",9.36978902551582,"MELTF","TRFM_HUMAN"
-2.761172295,14.8666625025,-96.45759147055,2.60360685039283e-12,4.65062481643377e-09,18.9726787955612,"FGL1_HUMAN",19,-98.2909445096874,6.11607230674371e-13,5.7280414970603e-10,-2.761172295,"Up in D2B",9.24199384442244,"FGL1","FGL1_HUMAN"
0.932679177499999,16.84697485125,57.2178724293866,1.04777812520921e-10,2.42567652539734e-08,15.6324307813292,"FAS_HUMAN",166,95.3392324643505,7.68626698573626e-13,6.4787544422771e-10,0.932679177499999,"Up in D8CM",9.18850848037031,"FASN","FAS_HUMAN"
2.39392256775,9.259553313625,82.0699082232779,8.16799692430286e-12,5.42546059371858e-09,18.01817788754,"FLNC_HUMAN",88,93.0970192231719,9.1870475785571e-13,6.86777937711206e-10,2.39392256775,"Up in D8CM",9.16318366471115,"FLNC","FLNC_HUMAN"
1.9121909125,17.29639554125,82.9783793730198,7.55578914623653e-12,5.42546059371858e-09,18.085783806552,"CLUS_HUMAN",30,92.3266092028301,9.7773582305546e-13,6.86777937711206e-10,1.9121909125,"Up in D8CM",9.16318366471115,"CLU","CLUS_HUMAN"
1.9553694725,13.36735081625,81.7903225791343,8.36765781449064e-12,5.42546059371858e-09,17.9971494654544,"HTRA1_HUMAN",27,89.0782055466191,1.27876899122089e-12,8.2913414053853e-10,1.9553694725,"Up in D8CM",9.08137520191903,"HTRA1","HTRA1_HUMAN"
0.861844542499997,12.96094369875,56.6415208019526,1.1255229983587e-10,2.42567652539734e-08,15.5614248397554,"DSG2_HUMAN",47,84.2268246326762,1.94552476207115e-12,1.17134487282127e-09,0.861844542499997,"Up in D8CM",8.93131521909319,"DSG2","DSG2_HUMAN"
2.010600805,11.6241983175,82.7512463709938,7.70379179192034e-12,5.42546059371858e-09,18.0689840285278,"SFXN3_HUMAN",17,81.4515819119276,2.5007017299571e-12,1.40522765878723e-09,2.010600805,"Up in D8CM",8.85225331067303,"SFXN3","SFXN3_HUMAN"
1.86589050575,10.154140712125,73.3368821046185,1.81080514935548e-11,1.01425984230292e-08,17.3077745439083,"EPHA2_HUMAN",28,79.7023758938654,2.94239379199973e-12,1.55008982954786e-09,1.86589050575,"Up in D8CM",8.80964313321905,"EPHA2","EPHA2_HUMAN"
-0.954164264999999,13.3989921825,-59.4216421423854,8.02085272529177e-11,2.35944698020561e-08,15.8958289372313,"TFR1_HUMAN",38,-78.992103361658,3.14649231931062e-12,1.5601049270276e-09,-0.954164264999999,"Up in D2B",8.80684619158359,"TFRC","TFR1_HUMAN"
0.706890582500002,11.98185515375,44.6790380790869,6.01676668723236e-10,6.11028028996163e-08,13.8510901482728,"FAT1_HUMAN",154,77.9698783965727,3.46901888450639e-12,1.6244644543058e-09,0.706890582500002,"Up in D8CM",8.78928978722312,"FAT1","FAT1_HUMAN"
1.5539817825,13.85333704875,82.5108919362914,7.86402380567582e-12,5.42546059371858e-09,18.051131932548,"CRYM_HUMAN",16,76.6918631406621,3.92625123899996e-12,1.74180903650161e-09,1.5539817825,"Up in D8CM",8.75899946065998,"CRYM","CRYM_HUMAN"
2.1972312925,13.02092981375,80.3459486293029,9.49214627863762e-12,5.71495007018832e-09,17.8868108451438,"IL18_HUMAN",13,73.4406515285021,5.43132640813649e-12,2.28903251470912e-09,2.1972312925,"Up in D8CM",8.64034803831783,"IL18","IL18_HUMAN"
1.02315377999999,16.892685175,52.7918400993484,1.85111365578047e-10,2.94396924614595e-08,15.062873725641,"FLNB_HUMAN",187,72.6950909935066,5.8627308808604e-12,2.35318850451297e-09,1.02315377999999,"Up in D8CM",8.6283432818377,"FLNB","FLNB_HUMAN"
1.07855892,17.9684872625,53.7337474589539,1.63361133302918e-10,2.81014488287816e-08,15.1889145388361,"MYH9_HUMAN",152,71.6667195702074,6.52299367525984e-12,2.49919607676206e-09,1.07855892,"Up in D8CM",8.60219966955773,"MYH9","MYH9_HUMAN"
0.968871355000001,15.64085853,63.0291129549232,5.2869807899772e-11,2.31656175982406e-08,16.3010848876657,"GBP1_HUMAN",23,69.7641782503186,7.97934627206122e-12,2.92425694466105e-09,0.968871355000001,"Up in D8CM",8.53398447003641,"GBP1","GBP1_HUMAN"
1.28868389000001,18.424599645,58.8722122452282,8.56538271830517e-11,2.35944698020561e-08,15.8313336151102,"ANXA2_HUMAN",42,69.2154174589092,8.4655255212381e-12,2.97316310910483e-09,1.28868389000001,"Up in D8CM",8.52678126454513,"ANXA2","ANXA2_HUMAN"
1.03893137,10.905730485,56.2490667979084,1.18222977556277e-10,2.42567652539734e-08,15.5125542503231,"BMP1_HUMAN",34,67.736470971708,9.95188731160824e-12,3.30054904078661e-09,1.03893137,"Up in D8CM",8.48141380995533,"BMP1","BMP1_HUMAN"
1.1778478625,16.11449575375,56.5243014933703,1.14212869611005e-10,2.42567652539734e-08,15.5468725499292,"CALD1_HUMAN",42,67.5310594746077,1.01808369985113e-11,3.30054904078661e-09,1.1778478625,"Up in D8CM",8.48141380995533,"CALD1","CALD1_HUMAN"
1.2921783925,15.83984029375,59.8138350357662,7.65628893826993e-11,2.35944698020561e-08,15.9414032184673,"ZYX_HUMAN",27,66.0420763046681,1.203083363316e-11,3.58496193425284e-09,1.2921783925,"Up in D8CM",8.44551545138578,"ZYX","ZYX_HUMAN"
1.248839615,15.8661774375,57.2057666595939,1.04934676794012e-10,2.42567652539734e-08,15.6309486176046,"DPYL2_HUMAN",35,65.7997879530975,1.23665611651646e-11,3.58496193425284e-09,1.248839615,"Up in D8CM",8.44551545138578,"DPYSL2","DPYL2_HUMAN"
1.11379552,14.3768457175,55.2428299181824,1.34313995166696e-10,2.52809009567724e-08,15.3852816379713,"CAN2_HUMAN",37,65.5494763507739,1.27246010085704e-11,3.58496193425284e-09,1.11379552,"Up in D8CM",8.44551545138578,"CAPN2","CAN2_HUMAN"
1.26467538,12.509358285,59.0603208891944,8.37433783521217e-11,2.35944698020561e-08,15.8535009327545,"CAP2_HUMAN",27,65.2983085615624,1.30957179801323e-11,3.58496193425284e-09,1.26467538,"Up in D8CM",8.44551545138578,"CAP2","CAP2_HUMAN"
2.1856315125,16.06343805875,65.6510619333458,3.96290324085225e-11,1.96490067159668e-08,16.5771196355915,"TPM1_HUMAN",16,65.2392857344448,1.31846980616726e-11,3.58496193425284e-09,2.1856315125,"Up in D8CM",8.44551545138578,"TPM1","TPM1_HUMAN"
0.8324501525,15.56354081625,49.973070694876,2.72797229144732e-10,3.76952105649335e-08,14.6686835149119,"AGM1_HUMAN",38,64.9121399016649,1.36904845756922e-11,3.60615920276594e-09,0.8324501525,"Up in D8CM",8.4429551041925,"PGM3","AGM1_HUMAN"
2.5713920595,10.11170387275,61.2294294662272,6.48906297344557e-11,2.35944698020561e-08,16.1027664959898,"FBLI1_HUMAN",20,62.9838944592673,1.71585658165445e-11,4.17422026675584e-09,2.5713920595,"Up in D8CM",8.37942463765853,"FBLIM1","FBLI1_HUMAN"
1.0702466975,18.01516151375,51.6988575157496,2.14608060895157e-10,3.11884714704358e-08,14.9131250477768,"GATM_HUMAN",48,62.9098046939108,1.73104479925752e-11,4.17422026675584e-09,1.0702466975,"Up in D8CM",8.37942463765853,"GATM","GATM_HUMAN"
