"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D5B","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D5B_vs_D1CM"
-3.7189393075,12.49879074125,-132.664099839991,1.59712997532751e-13,1.34622085620356e-09,21.176609665814,"TSP1_HUMAN",52,150.688455153725,8.54344888488669e-15,7.20127306507099e-11,3.7189393075,"Up in D5B",10.1425907207545,"THBS1","TSP1_HUMAN",-3.7189393075
-1.2737853475,11.66906178125,-73.5234763285261,1.14101908462649e-11,6.61001179181691e-09,17.7657730471191,"FAT1_HUMAN",154,112.705296168629,8.22394232716255e-14,2.60894668118437e-10,1.2737853475,"Up in D5B",9.58353479644751,"FAT1","FAT1_HUMAN",-1.2737853475
-2.0799601075,12.87945807125,-91.2096050622016,2.40095538571064e-12,3.44364109816469e-09,19.144709248509,"A0AAG2UXZ5_HUMAN",37,105.402084570822,1.38639890949524e-13,2.60894668118437e-10,2.0799601075,"Up in D5B",9.58353479644751,"COL18A1","A0AAG2UXZ5_HUMAN",-2.0799601075
-2.885384797,10.956235289,-100.502297553644,1.19022864040387e-12,3.44364109816469e-09,19.7192942544727,"MFGM_HUMAN",22,105.297019181542,1.39721885475833e-13,2.60894668118437e-10,2.885384797,"Up in D5B",9.58353479644751,"MFGE8","MFGM_HUMAN",-2.885384797
1.567519425,11.2095323825,90.9483651508607,2.45128088610608e-12,3.44364109816469e-09,19.1272556689766,"GBP4_HUMAN",26,-103.482309385996,1.59998656023863e-13,2.60894668118437e-10,-1.567519425,"Up in D1CM",9.58353479644751,"GBP4","GBP4_HUMAN",1.567519425
1.97781753575,10.655626297125,91.646786251516,2.31934394033403e-12,3.44364109816469e-09,19.1737481365361,"ASNS_HUMAN",27,-101.52257461292,1.85712185159642e-13,2.60894668118437e-10,-1.97781753575,"Up in D1CM",9.58353479644751,"ASNS","ASNS_HUMAN",1.97781753575
2.1698658475,15.37074982875,91.0086948958614,2.43955315415214e-12,3.44364109816469e-09,19.131293088942,"AACT_HUMAN",24,-97.4414601145659,2.55698979412694e-13,3.07898099638514e-10,-2.1698658475,"Up in D1CM",9.51159299157441,"SERPINA3","AACT_HUMAN",2.1698658475
2.3568935375,11.85502886625,84.2340803983401,4.26835458861256e-12,3.99755120304614e-09,18.6511888295644,"PIGR_HUMAN",36,-93.4468000654375,3.54338956938033e-13,3.73340383503835e-10,-2.3568935375,"Up in D1CM",9.4278950307426,"PIGR","PIGR_HUMAN",2.3568935375
1.0939662475,13.65872991125,65.1594997149077,2.73144429736135e-11,8.22262285087816e-09,16.9407969146471,"HS105_HUMAN",48,-90.3365446148728,4.61308349153949e-13,3.97085454598644e-10,-1.0939662475,"Up in D1CM",9.40111602102789,"HSPH1","HS105_HUMAN",1.0939662475
-1.31574106,15.40664029,-73.100385590007,1.1896296390077e-11,6.61001179181691e-09,17.7271282733045,"DPYL2_HUMAN",35,90.0935443566666,4.71094382012865e-13,3.97085454598644e-10,1.31574106,"Up in D5B",9.40111602102789,"DPYSL2","DPYL2_HUMAN",-1.31574106
-1.8589622975,11.49502646875,-88.982674938716,2.87092079803145e-12,3.45699877237244e-09,18.9934495562521,"GBA3_HUMAN",18,87.9713246636178,5.67265600145638e-13,4.23805918626615e-10,1.8589622975,"Up in D5B",9.37283298247909,"GBA3","GBA3_HUMAN",-1.8589622975
-1.187942505,16.88227892,-62.2440673435661,3.8023313523853e-11,9.7120760512896e-09,16.6197883724306,"FAS_HUMAN",166,86.8805527070496,6.25190679517331e-13,4.23805918626615e-10,1.187942505,"Up in D5B",9.37283298247909,"FASN","FAS_HUMAN",-1.187942505
-3.7102987775,12.32854449625,-81.2747810219001,5.52805878930384e-12,4.65960075350421e-09,18.423238119386,"APOA5_HUMAN",27,85.5443810199678,7.05448871648198e-13,4.23805918626615e-10,3.7102987775,"Up in D5B",9.37283298247909,"APOA5","APOA5_HUMAN",-3.7102987775
-1.245898485,14.97013533,-66.3552416469506,2.39506274008579e-11,8.22262285087816e-09,17.0671140716829,"THRB_HUMAN",47,85.2274070244852,7.26153998899676e-13,4.23805918626615e-10,1.245898485,"Up in D5B",9.37283298247909,"F2","THRB_HUMAN",-1.245898485
-2.1387906075,11.38565993375,-74.2375310201583,1.06401593108113e-11,6.61001179181691e-09,17.8303073736174,"AGRIN_HUMAN",69,84.814051597421,7.54192523359738e-13,4.23805918626615e-10,2.1387906075,"Up in D5B",9.37283298247909,"AGRN","AGRIN_HUMAN",-2.1387906075
-1.8874228025,16.32192027625,-72.563706771533,1.25471810023811e-11,6.61001179181691e-09,17.6776663184842,"APOE_HUMAN",35,81.1878201196114,1.06011219310803e-12,5.58480354731726e-10,1.8874228025,"Up in D5B",9.25299209914938,"APOE","APOE_HUMAN",-1.8874228025
