"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D5B_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names"
-3.3309216525,12.69279956875,-152.86449178916,6.6396949533091e-14,5.59659887614424e-10,19.7009845734357,"TSP1_HUMAN",52,-200.922036302848,1.33052819572213e-15,1.12150221617418e-11,-3.3309216525,"Up in D5B",10.950199863881,"THBS1","TSP1_HUMAN"
-1.19812965,13.195097685,-63.1856683073999,3.81426570272504e-11,4.59292080118133e-08,16.2280633025513,"CO5_HUMAN",77,-99.193841802109,3.04450706840535e-13,9.39215864786943e-10,-1.19812965,"Up in D5B",9.02723458013901,"C5","CO5_HUMAN"
-3.33385348375,11.088080525625,-87.4440269347259,3.69021272926831e-12,1.55524015475013e-08,17.8641954364579,"PGBM_HUMAN",175,-97.9961615644965,3.34280174915272e-13,9.39215864786943e-10,-3.33385348375,"Up in D5B",9.02723458013901,"HSPG2","PGBM_HUMAN"
-3.1019992825,14.84720945375,-80.7326398312348,6.55266982838103e-12,1.84108179944746e-08,17.5001123093138,"FGL1_HUMAN",19,-82.9245595679798,1.20804642225087e-12,2.54565582328814e-09,-3.1019992825,"Up in D5B",8.59420031401735,"FGL1","FGL1_HUMAN"
1.794412852,9.916317344,63.4414514580403,3.70513516671638e-11,4.59292080118133e-08,16.2508242227426,"FLNC_HUMAN",88,76.295396589375,2.29299313188547e-12,3.86552782173253e-09,1.794412852,"Up in D8C",8.41279119659302,"FLNC","FLNC_HUMAN"
1.2734193825,14.95468211125,56.744394970136,8.25792159159013e-11,8.70075263693915e-08,15.6020255500201,"VILI_HUMAN",48,72.5574159768374,3.37427628512820e-12,4.74029580122427e-09,1.2734193825,"Up in D8C",8.32419455688474,"VIL1","VILI_HUMAN"
1.41660547,11.058796405,68.1237718804316,2.22109743882259e-11,3.74432606236712e-08,16.6425086419351,"CCN1_HUMAN",20,70.5888644873434,4.16905850909141e-12,5.02014202473307e-09,1.41660547,"Up in D8C",8.29928399606507,"CCN1","CCN1_HUMAN"
-1.35461139625,10.668242216875,-52.5022743615028,1.44279621430292e-10,1.04167450708662e-07,15.1266415530445,"PTPRF_HUMAN",72,-64.9699339647168,7.88866528288282e-12,7.54672806398556e-09,-1.35461139625,"Up in D5B",8.12224129893377,"PTPRF","PTPRF_HUMAN"
1.094263075,12.1142041675,53.319369263197,1.2913587611056e-10,1.04167450708662e-07,15.2225765329111,"PALLD_HUMAN",30,64.4116616283979,8.42975577281177e-12,7.54672806398556e-09,1.094263075,"Up in D8C",8.12224129893377,"PALLD","PALLD_HUMAN"
1.60871768,16.2043730025,53.8073660169384,1.20957962291914e-10,1.04167450708662e-07,15.2788420508416,"FLNA_HUMAN",152,63.9087621020442,8.95328990863159e-12,7.54672806398556e-09,1.60871768,"Up in D8C",8.12224129893377,"FLNA","FLNA_HUMAN"
