"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1CM_vs_D8BM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8BM_vs_D1CM"
-3.580903055,12.429772615,-119.575597723534,4.0910981501129e-13,3.44838663073016e-09,20.4106563822421,"TSP1_HUMAN",52,143.046390283061,2.58348445685381e-14,2.17761904868207e-10,3.580903055,"Up in D8BM",9.66201809314123,"THBS1","TSP1_HUMAN",-3.580903055
-3.1063528025,17.40113258375,-93.7707239899229,2.3420628441677e-12,4.66087344935815e-09,19.099648368823,"FIBG_HUMAN",40,106.854333415989,2.36905594019808e-13,9.98438625996479e-10,3.1063528025,"Up in D8BM",9.00067862604643,"FGG","FIBG_HUMAN",-3.1063528025
-2.977895975,13.108145595,-91.6274048426154,2.76478434533049e-12,4.66087344935815e-09,18.9640851855291,"HRG_HUMAN",22,97.2419657590528,4.84733697877862e-13,1.14218211133564e-09,2.977895975,"Up in D8BM",8.9422646459652,"HRG","HRG_HUMAN",-2.977895975
-2.9029045115,10.78838801425,-93.2002856967316,2.44689841019946e-12,4.66087344935815e-09,19.0640454320678,"PRS23_HUMAN",17,92.8292924760046,6.89715037560381e-13,1.14218211133564e-09,2.9029045115,"Up in D8BM",8.9422646459652,"PRSS23","PRS23_HUMAN",-2.9029045115
-2.20698738,12.9429717075,-77.5099341829934,9.1845753650693e-12,7.84294370059594e-09,17.9333154695274,"A0AAG2UXZ5_HUMAN",37,91.2417816937987,7.86244680049326e-13,1.14218211133564e-09,2.20698738,"Up in D8BM",8.9422646459652,"COL18A1","A0AAG2UXZ5_HUMAN",-2.20698738
-3.281726837,11.154406309,-83.2343475684601,5.5086420552423e-12,7.73872398060622e-09,18.3825353745964,"MFGM_HUMAN",22,87.4382217180746,1.08637661383696e-12,1.14218211133564e-09,3.281726837,"Up in D8BM",8.9422646459652,"MFGE8","MFGM_HUMAN",-3.281726837
-2.8796553625,12.55068087625,-98.2503084327118,1.67553459990066e-12,4.66087344935815e-09,19.3677738965949,"IL18_HUMAN",13,86.7922901098165,1.14929563042578e-12,1.14218211133564e-09,2.8796553625,"Up in D8BM",8.9422646459652,"IL18","IL18_HUMAN",-2.8796553625
-1.6872391675,15.59238934375,-69.6355253971867,1.98059487018178e-11,9.29096955163496e-09,17.2319878426988,"DPYL2_HUMAN",35,86.3044789697252,1.19954968457814e-12,1.14218211133564e-09,1.6872391675,"Up in D8BM",8.9422646459652,"DPYSL2","DPYL2_HUMAN",-1.6872391675
-1.80914855,13.2499011775,-70.0896560813944,1.8903757138967e-11,9.29096955163496e-09,17.2753696354126,"PFKAP_HUMAN",36,85.0352721933912,1.34237254004107e-12,1.14218211133564e-09,1.80914855,"Up in D8BM",8.9422646459652,"PFKP","PFKAP_HUMAN",-1.80914855
-3.5085952275,16.48033344875,-77.3696501952164,9.30471432031787e-12,7.84294370059594e-09,17.9217078215219,"FIBA_HUMAN",58,84.7666315973816,1.37501354528022e-12,1.14218211133564e-09,3.5085952275,"Up in D8BM",8.9422646459652,"FGA","FIBA_HUMAN",-3.5085952275
-3.723127845,12.33495903,-78.8966980602733,8.08739019286185e-12,7.84294370059594e-09,18.0464647672534,"APOA5_HUMAN",27,83.6056728188775,1.52679615491291e-12,1.14218211133564e-09,3.723127845,"Up in D8BM",8.9422646459652,"APOA5","APOA5_HUMAN",-3.723127845
-2.1093430525,13.41953206125,-67.6899208794846,2.42693538186398e-11,9.29096955163496e-09,17.0416915173433,"EPIPL_HUMAN",173,82.9148421270021,1.62607490046597e-12,1.14218211133564e-09,2.1093430525,"Up in D8BM",8.9422646459652,"EPPK1","EPIPL_HUMAN",-2.1093430525
-4.1815588475,16.41165149125,-75.5727997807334,1.10131516283418e-11,8.43907773411755e-09,17.77032992705,"FINC_HUMAN",161,81.6433770210263,1.82850148939472e-12,1.18557223493139e-09,4.1815588475,"Up in D8BM",8.92607198004396,"FN1","FINC_HUMAN",-4.1815588475
-2.2792272575,14.31338191125,-79.8314566457259,7.43207998129442e-12,7.84294370059594e-09,18.1211305101065,"FBX2_HUMAN",16,77.2371730639693,2.78622784459809e-12,1.67629637488013e-09,2.2792272575,"Up in D8BM",8.77564919418079,"FBXO2","FBX2_HUMAN",-2.2792272575
2.117270705,15.3970474,70.3157265574661,1.84721503560643e-11,9.29096955163496e-09,17.2968228229109,"AACT_HUMAN",24,-76.4025616035783,3.02576731846232e-12,1.67629637488013e-09,-2.117270705,"Up in D1CM",8.77564919418079,"SERPINA3","AACT_HUMAN",2.117270705
-1.532698865,11.79851854,-57.0743390280228,8.24530420427974e-11,1.93054636494094e-08,15.8592360773934,"FAT1_HUMAN",154,75.4966202985626,3.31253310309845e-12,1.67629637488013e-09,1.532698865,"Up in D8BM",8.77564919418079,"FAT1","FAT1_HUMAN",-1.532698865
-2.1179637875,11.37524652375,-63.5333185180214,3.82312627519384e-11,1.10168968689173e-08,16.6094797930473,"AGRIN_HUMAN",69,74.5087761289579,3.66083614499591e-12,1.67629637488013e-09,2.1179637875,"Up in D8BM",8.77564919418079,"AGRN","AGRIN_HUMAN",-2.1179637875
-2.6502614,11.4702014925,-72.4319872582889,1.49330962427149e-11,9.29096955163496e-09,17.4931632382396,"SMOC1_HUMAN",19,74.4887861297043,3.66830007380362e-12,1.67629637488013e-09,2.6502614,"Up in D8BM",8.77564919418079,"SMOC1","SMOC1_HUMAN",-2.6502614
-3.4669823625,16.28321909875,-69.0212548640103,2.11054004237777e-11,9.29096955163496e-09,17.1726921653621,"FIBB_HUMAN",43,74.1986915398478,3.7785776631537e-12,1.67629637488013e-09,3.4669823625,"Up in D8BM",8.77564919418079,"FGB","FIBB_HUMAN",-3.4669823625
-2.0998623375,16.42814004375,-64.7906402451409,3.32195062100417e-11,1.08780012636096e-08,16.7440804991475,"APOE_HUMAN",35,73.3294883994371,4.13212496695682e-12,1.72197998028294e-09,2.0998623375,"Up in D8BM",8.76397190195506,"APOE","APOE_HUMAN",-2.0998623375
-2.8936758075,11.70408725625,-68.4204339298576,2.24711488557699e-11,9.29096955163496e-09,17.1139986940956,"MUC18_HUMAN",25,72.5813750625363,4.46659455905319e-12,1.72197998028294e-09,2.8936758075,"Up in D8BM",8.76397190195506,"MCAM","MUC18_HUMAN",-2.8936758075
-1.87932896575,10.692799687125,-61.6893617844369,4.72204512895829e-11,1.24381619974967e-08,16.4056514494394,"ERBB2_HUMAN",39,71.6225146230865,4.94098903194412e-12,1.72197998028294e-09,1.87932896575,"Up in D8BM",8.76397190195506,"ERBB2","ERBB2_HUMAN",-1.87932896575
