"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D1C_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8CM_vs_D1C"
-3.5561513875,12.13648080875,-154.003441233137,8.47272112232973e-14,7.14165663401173e-10,21.5121827495817,"MUC18_HUMAN",25,170.875886676492,9.682212379225e-15,8.16113681444876e-11,3.5561513875,"Up in D8CM",10.0882493415091,"MCAM","MUC18_HUMAN",-3.5561513875
-2.83239484,16.8362935775,-129.573057227589,2.89446032701125e-13,1.15920692725282e-09,20.7374038869762,"CLUS_HUMAN",30,152.485489186293,2.27389749727696e-14,9.58334100227374e-11,2.83239484,"Up in D8CM",10.0184830581555,"CLU","CLUS_HUMAN",-2.83239484
-2.9869506375,11.89183890875,-123.273422461958,4.12578097254535e-13,1.15920692725282e-09,20.4919392090504,"APOA5_HUMAN",27,138.08691592399,4.7834109664881e-14,1.34397903455094e-10,2.9869506375,"Up in D8CM",9.87160750602167,"APOA5","APOA5_HUMAN",-2.9869506375
-2.366226195,15.6748785975,-99.0360758386708,1.95699958751959e-12,3.29910990464052e-09,19.3049993662657,"FLNA_HUMAN",152,129.170852184469,7.88979854015195e-14,1.50907036747084e-10,2.366226195,"Up in D8CM",9.82129050873881,"FLNA","FLNA_HUMAN",-2.366226195
-1.9036180975,14.49226009875,-94.1825604807719,2.797364732669e-12,3.49436793216447e-09,19.0093032470875,"VILI_HUMAN",48,127.013494184922,8.95165718039413e-14,1.50907036747084e-10,1.9036180975,"Up in D8CM",9.82129050873881,"VIL1","VILI_HUMAN",-1.9036180975
-3.1614310735,11.21318709825,-116.355699907401,6.22124004776268e-13,1.31097080906479e-09,20.1956572861432,"MFGM_HUMAN",22,123.139313427117,1.12916831779359e-13,1.58629329178036e-10,3.1614310735,"Up in D8CM",9.79961651233632,"MFGE8","MFGM_HUMAN",-3.1614310735
-2.2904558175,13.51413297625,-91.9541329760703,3.31651957021186e-12,3.49436793216447e-09,18.865582079719,"EPIPL_HUMAN",173,117.279902694398,1.62735906163959e-13,1.95957279008001e-10,2.2904558175,"Up in D8CM",9.70783859963015,"EPPK1","EPIPL_HUMAN",-2.2904558175
-1.2479233725,11.71133875875,-66.8478182733081,3.19833878611107e-11,1.00464427406539e-08,16.8006986486438,"FAT1_HUMAN",154,111.844202584649,2.32263100129048e-13,2.36488824680393e-10,1.2479233725,"Up in D8CM",9.62618937710084,"FAT1","FAT1_HUMAN",-1.2479233725
-1.56964636,14.9164974675,-81.4158239862115,7.87888197731957e-12,5.53425801556889e-09,18.108690742407,"DPP4_HUMAN",42,110.604111389902,2.52509125889611e-13,2.36488824680393e-10,1.56964636,"Up in D8CM",9.62618937710084,"DPP4","DPP4_HUMAN",-1.56964636
0.915762425,12.570261955,54.4426738952528,1.37428057986994e-10,2.36404306280077e-08,15.3530593506797,"LARP1_HUMAN",63,-97.7690396993724,6.36504828411442e-13,5.36509919868005e-10,-0.915762425,"Up in D1C",9.27042224368105,"LARP1","LARP1_HUMAN",0.915762425
-1.7138173575,15.63368856625,-78.8077522949187,9.9303942266726e-12,6.31513383020303e-09,17.8992452973877,"DPYL2_HUMAN",35,96.1394510670889,7.21955585925546e-13,5.53214875796948e-10,1.7138173575,"Up in D8CM",9.25710615034569,"DPYSL2","DPYL2_HUMAN",-1.7138173575
-1.222316505,12.7807077175,-64.9256550081676,3.93498263428422e-11,1.10559895414606e-08,16.5997053260031,"DSG2_HUMAN",47,92.3961737162708,9.72232645363756e-13,6.82912413980925e-10,1.222316505,"Up in D8CM",9.16563499260534,"DSG2","DSG2_HUMAN",-1.222316505
-2.129633185,13.50936973,-78.203252380303,1.04890109885921e-11,6.31513383020303e-09,17.8493058616742,"PFKAP_HUMAN",36,89.2710597468076,1.25821195001253e-12,8.158052712812e-10,2.129633185,"Up in D8CM",9.08841349283978,"PFKP","PFKAP_HUMAN",-2.129633185
2.00093436,12.92976439,88.2565074110304,4.4401727009342e-12,4.15846841068604e-09,18.6151713896831,"HMOX1_HUMAN",18,-88.1664325638873,1.38125837245055e-12,8.31616201527551e-10,-2.00093436,"Up in D1C",9.08007705834313,"HMOX1","HMOX1_HUMAN",2.00093436
-1.5871338825,10.95488357625,-68.8569764578277,2.59149283039592e-11,9.92895139427599e-09,17.0028927483081,"MILK2_HUMAN",50,86.3359233977762,1.61641439056914e-12,9.08317126540484e-10,1.5871338825,"Up in D8CM",9.04176249700626,"MICALL2","MILK2_HUMAN",-1.5871338825
-2.312039613,10.2691763635,-76.5884442056697,1.21656925441815e-11,6.70245042531349e-09,17.713225708501,"BMP1_HUMAN",34,85.138715769186,1.79471110558204e-12,9.45476244309441e-10,2.312039613,"Up in D8CM",9.02434937860628,"BMP1","BMP1_HUMAN",-2.312039613
-3.48545337,12.57013333,-92.5964191075086,3.15639415898236e-12,3.49436793216447e-09,18.9075434191524,"TSK_HUMAN",11,83.4020631453231,2.09439421768217e-12,9.97989821622062e-10,3.48545337,"Up in D8CM",9.00087388800713,"TSKU","TSK_HUMAN",-3.48545337
-2.76745104775,11.245773196125,-83.0385086058786,6.84768101551105e-12,5.24719120724933e-09,18.2342629129808,"SFXN3_HUMAN",17,83.2084185313221,2.13119193133196e-12,9.97989821622062e-10,2.76745104775,"Up in D8CM",9.00087388800713,"SFXN3","SFXN3_HUMAN",-2.76745104775
-1.01766872499999,16.8044800775,-52.0358907360755,1.89439843546354e-10,2.74368928918623e-08,15.024820879395,"FAS_HUMAN",166,81.4776387833389,2.49471599773245e-12,1.10673479709931e-09,1.01766872499999,"Up in D8CM",8.95595643508774,"FASN","FAS_HUMAN",-1.01766872499999
-1.443113805,15.70339465,-72.8515094701217,1.73590656733071e-11,7.31597822801526e-09,17.3826074282083,"SCRB2_HUMAN",23,80.7573687436901,2.66632882044859e-12,1.11730692716811e-09,1.443113805,"Up in D8CM",8.95182750865226,"SCARB2","SCRB2_HUMAN",-1.443113805
