"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D5BM_vs_D8CM","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8CM_vs_D5BM"
-1.35091567,16.18253386,-63.4490571359814,4.91035176512567e-11,1.55966496980223e-07,15.8693532739682,"FLNA_HUMAN",152,83.9394431942318,2.69151504222454e-12,2.26121785047323e-08,1.35091567,"Up in D8CM",7.64565759479717,"FLNA","FLNA_HUMAN",-1.35091567
-1.0373058325,14.92541623125,-54.9490685729726,1.35957801411951e-10,1.71899284199937e-07,15.0728579964242,"VILI_HUMAN",48,73.7008356370052,7.04048192541674e-12,2.26121785047323e-08,1.0373058325,"Up in D8CM",7.64565759479717,"VIL1","VILI_HUMAN",-1.0373058325
3.93616950575,9.838399947125,74.7885815725283,1.53193396419747e-11,1.29126713842205e-07,16.68777386683,"TSP4_HUMAN",10,-71.164297011992,9.12045452894517e-12,2.26121785047323e-08,-3.93616950575,"Up in D5BM",7.64565759479717,"THBS4","TSP4_HUMAN",3.93616950575
-1.3123199925,13.91802632625,-58.7839903273492,8.43293811975434e-11,1.71899284199937e-07,15.4553231952559,"PFKAP_HUMAN",36,69.6157577705876,1.07306577315137e-11,2.26121785047323e-08,1.3123199925,"Up in D8CM",7.64565759479717,"PFKP","PFKAP_HUMAN",-1.3123199925
3.0046753875,14.98841404875,62.3597508080383,5.55106763484006e-11,1.55966496980223e-07,15.7772847207905,"FGL1_HUMAN",19,-63.9754716265734,2.00336178353735e-11,3.37726729468726e-08,-3.0046753875,"Up in D5BM",7.47143456565602,"FGL1","FGL1_HUMAN",3.0046753875
-1.2605144925,12.68518817375,-54.5715813467646,1.42756553493838e-10,1.71899284199937e-07,15.0329294243384,"PEG10_HUMAN",23,59.5577781986118,3.39872302131781e-11,4.77463939111463e-08,1.2605144925,"Up in D8CM",7.32105942331855,"PEG10","PEG10_HUMAN",-1.2605144925
1.0886936175,12.00158596125,45.8380900926583,4.90342744718226e-10,3.17930691940764e-07,13.9744202489139,"AGRIN_HUMAN",69,-55.8079267717838,5.49409065112769e-11,6.61567001405076e-08,-1.0886936175,"Up in D5BM",7.17942616528304,"AGRN","AGRIN_HUMAN",1.0886936175
3.15089798125,10.948536396875,52.1635783531856,1.96478598676622e-10,2.07014763530656e-07,14.7677874544575,"PGBM_HUMAN",175,-54.6747740351619,6.39262277787914e-11,6.73542717434291e-08,-3.15089798125,"Up in D5BM",7.17163485523768,"HSPG2","PGBM_HUMAN",3.15089798125
-1.45748400475,9.836346267625,-48.1404026324577,3.46703203187466e-10,2.53281178444166e-07,14.2808426383625,"FIL1L_HUMAN",33,52.7091532711371,8.37677361728433e-11,7.84531386889885e-08,1.45748400475,"Up in D8CM",7.10538967683115,"FILIP1L","FIL1L_HUMAN",-1.45748400475
-1.2600955975,16.52620601625,-49.7209138080764,2.75868450730432e-10,2.32529517120681e-07,14.4791198670273,"TPM1_HUMAN",16,49.1822677407537,1.39663713568495e-10,1.17722544166884e-07,1.2600955975,"Up in D8CM",6.92914036069323,"TPM1","TPM1_HUMAN",-1.2600955975
-1.3135082725,13.25780236625,-44.8523581417957,5.71829118537406e-10,3.32157172842816e-07,13.836404092372,"MUC18_HUMAN",25,48.1453389032903,1.63446166918515e-10,1.17730410387181e-07,1.3135082725,"Up in D8CM",6.92911134210583,"MCAM","MUC18_HUMAN",-1.3135082725
-1.021081685,12.1189578775,-47.8739756306171,3.60585376833549e-10,2.53281178444166e-07,14.246477438992,"SFXN3_HUMAN",17,47.9815717308387,1.67607655077254e-10,1.17730410387181e-07,1.021081685,"Up in D8CM",6.92911134210583,"SFXN3","SFXN3_HUMAN",-1.021081685
3.1489460475,12.82382547875,43.8569450304281,6.70169881206613e-10,3.32285995805326e-07,13.6926234329335,"TSP1_HUMAN",52,-45.4804957867369,2.48781830458692e-10,1.41704218781333e-07,-3.1489460475,"Up in D5BM",6.84861721985713,"THBS1","TSP1_HUMAN",3.1489460475
-1.72678756675,10.306303024125,-44.2370300540032,6.30503590637685e-10,3.32157172842816e-07,13.7480591537946,"TAGL_HUMAN",17,44.9249236809395,2.72390088813015e-10,1.41704218781333e-07,1.72678756675,"Up in D8CM",6.84861721985713,"TAGLN","TAGL_HUMAN",-1.72678756675
-1.4246976375,12.06172120625,-44.3456403801904,6.19665649691272e-10,3.32157172842816e-07,13.7637777488289,"FSTL1_HUMAN",17,44.9137467640022,2.72890457103831e-10,1.41704218781333e-07,1.4246976375,"Up in D8CM",6.84861721985713,"FSTL1","FSTL1_HUMAN",-1.4246976375
1.29444265325,10.662001133375,40.1816568920733,1.24408395947372e-09,5.5191493128442e-07,13.1200155620087,"PTPRF_HUMAN",72,-44.844676828981,2.76005816726701e-10,1.41704218781333e-07,-1.29444265325,"Up in D5BM",6.84861721985713,"PTPRF","PTPRF_HUMAN",1.29444265325
-1.3501341325,13.17357480625,-49.8405149731459,2.71218515077017e-10,2.32529517120681e-07,14.4937450557559,"CAV1_HUMAN",12,44.4343520015161,2.95366819212914e-10,1.41704218781333e-07,1.3501341325,"Up in D8CM",6.84861721985713,"CAV1","CAV1_HUMAN",-1.3501341325
-0.810432909999999,18.1025502675,-35.1224696567555,3.21783191927614e-09,8.74172027622525e-07,12.2065346178577,"MYH9_HUMAN",152,44.288685408251,3.02607182116977e-10,1.41704218781333e-07,0.810432909999999,"Up in D8CM",6.84861721985713,"MYH9","MYH9_HUMAN",-0.810432909999999
2.1574397075,11.53081250125,55.8327096641798,1.21439108449467e-10,1.71899284199937e-07,15.1646686384988,"F13A_HUMAN",7,-43.8929315346973,3.23316718508705e-10,1.43433506332099e-07,-2.1574397075,"Up in D5BM",6.84334938482328,"F13A1","F13A_HUMAN",2.1574397075
-0.879679207499999,10.64724636125,-37.9425661144817,1.86533865878842e-09,6.83606067605548e-07,12.7353664860522,"EPHA2_HUMAN",28,42.898450873926,3.82844586580311e-10,1.57264591419329e-07,0.879679207499999,"Up in D8CM",6.80336904903749,"EPHA2","EPHA2_HUMAN",-0.879679207499999
0.823238137500002,14.30247986375,37.0166985629243,2.22087258105606e-09,7.79988957738397e-07,12.5674910054494,"AK1D1_HUMAN",30,-42.7640057769959,3.91808805291957e-10,1.57264591419329e-07,-0.823238137500002,"Up in D5BM",6.80336904903749,"AKR1D1","AK1D1_HUMAN",0.823238137500002
-1.2105422,12.104454755,-40.5197473325504,1.17256483784796e-09,5.49086056567801e-07,13.1756171599959,"PRS23_HUMAN",17,40.9853446837845,5.35907067764612e-10,2.0532548519036e-07,1.2105422,"Up in D8CM",6.68755714224838,"PRSS23","PRS23_HUMAN",-1.2105422
-0.521594047500006,17.14346504125,-27.2942185950587,1.90227259053149e-08,2.54511994691904e-06,10.410083023842,"FLNB_HUMAN",187,39.5993417933188,6.90560215572617e-10,2.44366133988333e-07,0.521594047500006,"Up in D8CM",6.61195898190371,"FLNB","FLNB_HUMAN",-0.521594047500006
-0.484393119999995,15.4591240875,-28.1032258460199,1.54889523161014e-08,2.29046279074418e-06,10.622740894667,"DPP4_HUMAN",42,39.5530359404044,6.96539921851873e-10,2.44366133988333e-07,0.484393119999995,"Non-significant",6.61195898190371,"DPP4","DPP4_HUMAN",-0.484393119999995
