"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D3B_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8C_vs_D3B"
3.515307905,12.784992695,198.974467082225,1.11174526394746e-14,9.37090082981314e-11,21.6271376815892,"TSP1_HUMAN",52,-297.621724008703,9.87191268989735e-17,8.32103520631448e-13,-3.515307905,"Up in D3B",12.0798226404854,"THBS1","TSP1_HUMAN",3.515307905
3.73564696125,11.288977264375,141.87141862323,1.25554904716579e-13,5.29151145928023e-10,20.632603902061,"PGBM_HUMAN",175,-171.942451409235,6.383923123561e-15,2.69050440042478e-11,-3.73564696125,"Up in D3B",10.5701662933114,"HSPG2","PGBM_HUMAN",3.73564696125
-1.7824196825,14.70018196125,-87.4712719038899,4.01445405210842e-12,8.45945830130546e-09,18.426364682058,"VILI_HUMAN",48,114.601323206303,1.39213977144997e-13,3.91144871118393e-10,1.7824196825,"Up in D8C",9.40766236006089,"VIL1","VILI_HUMAN",-1.7824196825
1.39702892375,10.689450980625,73.8848265973493,1.34471367693995e-11,1.41682394786586e-08,17.449729319694,"PTPRF_HUMAN",72,-108.079538965475,2.17253744949561e-13,4.57807954044962e-10,-1.39702892375,"Up in D3B",9.33931666607863,"PTPRF","PTPRF_HUMAN",1.39702892375
1.2469758975,15.09110689125,64.4199505272019,3.58783416311932e-11,2.3262964739179e-08,16.5911103002781,"CO4B_HUMAN",87,-93.5491709891478,6.50417781766269e-13,1.09647429650158e-09,-1.2469758975,"Up in D3B",8.96000154457777,"C4B","CO4B_HUMAN",1.2469758975
1.3607933475,13.27642953375,66.1437598465877,2.96991102439068e-11,2.3262964739179e-08,16.7606549376238,"CO5_HUMAN",77,-90.3457016427805,8.47435067342903e-13,1.18897225551152e-09,-1.3607933475,"Up in D3B",8.92482827945939,"C5","CO5_HUMAN",1.3607933475
-1.6070451725,11.85781311875,-74.0439829095012,1.32415421149202e-11,1.41682394786586e-08,17.4627643111383,"PALLD_HUMAN",30,86.8851348240751,1.14000306492133e-12,1.18897225551152e-09,1.6070451725,"Up in D8C",8.92482827945939,"PALLD","PALLD_HUMAN",-1.6070451725
3.39352226249999,14.99297094375,83.2689051646984,5.71180518718254e-12,9.62896118455232e-09,18.1514503179098,"FGL1_HUMAN",19,-85.749415672198,1.25978121394157e-12,1.18897225551152e-09,-3.39352226249999,"Up in D3B",8.92482827945939,"FGL1","FGL1_HUMAN",3.39352226249999
-2.0905704525,11.26065874125,-81.0719181966608,6.91732716871568e-12,9.71769178418407e-09,17.9986306272075,"ANXA3_HUMAN",21,85.6625280098409,1.26951599236015e-12,1.18897225551152e-09,2.0905704525,"Up in D8C",8.92482827945939,"ANXA3","ANXA3_HUMAN",-2.0905704525
-1.91437936,16.0515421625,-64.6821947520391,3.48500882404026e-11,2.3262964739179e-08,16.6173160799167,"FLNA_HUMAN",152,75.4410594283618,3.33109705876011e-12,2.80778171082889e-09,1.91437936,"Up in D8C",8.55163665917312,"FLNA","FLNA_HUMAN",-1.91437936
-1.484286545,11.0249558675,-65.2576515778098,3.27092427170564e-11,2.3262964739179e-08,16.6742970437215,"CCN1_HUMAN",20,68.4272615000706,6.98618294087893e-12,5.3533214553335e-09,1.484286545,"Up in D8C",8.2713766773926,"CCN1","CCN1_HUMAN",-1.484286545
1.063498975,12.02837634,49.5629821518638,2.34105731569366e-10,6.88518975216227e-08,14.8164891243086,"AGRIN_HUMAN",69,-65.2446375429207,1.00277037239456e-11,6.64311505821312e-09,-1.063498975,"Up in D3B",8.17762822554817,"AGRN","AGRIN_HUMAN",1.063498975
-1.533667565,13.937927485,-54.2942779278767,1.21965262346347e-10,5.06534240784619e-08,15.4508404419736,"EPIPL_HUMAN",173,64.2040619559954,1.13287243642341e-11,6.64311505821312e-09,1.533667565,"Up in D8C",8.17762822554817,"EPPK1","EPIPL_HUMAN",-1.533667565
-2.929407595,12.701036215,-61.2725277850414,5.1348563955815e-11,2.88544697055709e-08,16.2644479579838,"MUC18_HUMAN",25,64.1558134992968,1.13935282168895e-11,6.64311505821312e-09,2.929407595,"Up in D8C",8.17762822554817,"MCAM","MUC18_HUMAN",-2.929407595
-2.3905861375,10.40960538375,-61.6234263822665,4.92924153255394e-11,2.88544697055709e-08,16.3020124287753,"FBLI1_HUMAN",20,63.844496367435,1.18218917870681e-11,6.64311505821312e-09,2.3905861375,"Up in D8C",8.17762822554817,"FBLIM1","FBLI1_HUMAN",-2.3905861375
-1.5548203,13.8040057425,-55.1812003806586,1.08617067016201e-10,4.81859609410293e-08,15.5617939145528,"PFKAP_HUMAN",36,62.2452250878692,1.43309902886877e-11,7.54974482145931e-09,1.5548203,"Up in D8C",8.12206772711319,"PFKP","PFKAP_HUMAN",-1.5548203
3.75370216,16.3385825175,57.6593770376609,7.9324173991517e-11,3.93307919161469e-08,15.8596993684774,"FIBA_HUMAN",58,-60.6018266109489,1.75562431569755e-11,8.47400809538233e-09,-3.75370216,"Up in D3B",8.07191112544499,"FGA","FIBA_HUMAN",3.75370216
-1.85187221,11.802556395,-60.0660875184049,5.92013402342504e-11,3.11880060521561e-08,16.1330011907306,"PRS23_HUMAN",17,60.3603485102007,1.80961140962015e-11,8.47400809538233e-09,1.85187221,"Up in D8C",8.07191112544499,"PRSS23","PRS23_HUMAN",-1.85187221
1.1845169075,15.94873475875,64.7689321154562,3.45174130525365e-11,2.3262964739179e-08,16.6259505981325,"A1AG1_HUMAN",15,-57.3679645245851,2.66122371464825e-11,1.18060287846159e-08,-1.1845169075,"Up in D3B",7.92789616224776,"ORM1","A1AG1_HUMAN",1.1845169075
2.465834615,11.532872915,92.4124227231593,2.70823160545848e-12,7.60922806746984e-09,18.7229491789265,"F13A_HUMAN",7,-56.3705775104591,3.03982551589906e-11,1.28113446367566e-08,-2.465834615,"Up in D3B",7.89240528573722,"F13A1","F13A_HUMAN",2.465834615
3.468045475,17.0633124125,53.4531653783564,1.36375532946756e-10,5.2250425782191e-08,15.3434025355772,"FIBG_HUMAN",40,-56.0009759698364,3.19531950142218e-11,1.28254038464226e-08,-3.468045475,"Up in D3B",7.89192895093259,"FGG","FIBG_HUMAN",3.468045475
-0.861257315000001,13.4308940175,-41.6855254847249,8.06521178738773e-10,1.21473909605206e-07,13.5714972445505,"ITAV_HUMAN",56,55.1908289357732,3.56867131364829e-11,1.33270302455558e-08,0.861257315000001,"Up in D8C",7.87526661665207,"ITGAV","ITAV_HUMAN",-0.861257315000001
-1.3325207225,15.91992509375,-49.8342590009949,2.25145036131803e-10,6.88518975216227e-08,14.8549223455698,"ZYX_HUMAN",27,54.9077829037635,3.71055936688843e-11,1.33270302455558e-08,1.3325207225,"Up in D8C",7.87526661665207,"ZYX","ZYX_HUMAN",-1.3325207225
-1.802208186,10.593048692,-54.0359461299909,1.26197877049199e-10,5.06534240784619e-08,15.418075447455,"TAGL_HUMAN",17,54.4893135630482,3.93218194159901e-11,1.33270302455558e-08,1.802208186,"Up in D8C",7.87526661665207,"TAGLN","TAGL_HUMAN",-1.802208186
-1.2290143975,14.37815475375,-46.541794064736,3.67006741432969e-10,7.46610204382544e-08,14.3697839391465,"VIME_HUMAN",47,54.451869348958,3.95273171359466e-11,1.33270302455558e-08,1.2290143975,"Up in D8C",7.87526661665207,"VIM","VIME_HUMAN",-1.2290143975
-2.969561099,11.5230441105,-52.9783363435408,1.45362617242422e-10,5.3272239162451e-08,15.2817739686748,"FSTL1_HUMAN",17,54.1425019610695,4.12724273585982e-11,1.33802034694471e-08,2.969561099,"Up in D8C",7.87353728230914,"FSTL1","FSTL1_HUMAN",-2.969561099
0.775015832499999,13.82856750375,39.1207942238495,1.26921357111471e-09,1.72551632111708e-07,13.1035993801639,"CERU_HUMAN",50,-52.523412139871,5.19552747289057e-11,1.62196670625906e-08,-0.775015832499999,"Up in D3B",7.78995806469723,"CP","CERU_HUMAN",0.775015832499999
-2.6447007665,9.49117338675,-48.736740041798,2.64004298412797e-10,6.88518975216227e-08,14.6977765229677,"FLNC_HUMAN",88,51.8519760611976,5.72782426286918e-11,1.72427966827587e-08,2.6447007665,"Up in D8C",7.76339229272331,"FLNC","FLNC_HUMAN",-2.6447007665
-1.66607856875,10.526709795625,-48.9391424081389,2.56296694028547e-10,6.88518975216227e-08,14.7270902578552,"SCMC1_HUMAN",22,51.424608926547,6.09869505119227e-11,1.74378324820169e-08,1.66607856875,"Up in D8C",7.75850749873839,"SLC25A24","SCMC1_HUMAN",-1.66607856875
3.073632003,10.327681661,48.6136628304037,2.68820141702308e-10,6.88518975216227e-08,14.6798765402387,"APOA4_HUMAN",29,-50.7130048418273,6.77812780096351e-11,1.74378324820169e-08,-3.073632003,"Up in D3B",7.75850749873839,"APOA4","APOA4_HUMAN",3.073632003
-2.398830653,9.631497026,-48.4608869307972,2.74937873534483e-10,6.88518975216227e-08,14.657578056043,"DREB_HUMAN",25,50.683331745908,6.80826543144404e-11,1.74378324820169e-08,2.398830653,"Up in D8C",7.75850749873839,"DBN1","DREB_HUMAN",-2.398830653
0.886861322500003,16.63931012125,38.9909529419212,1.29969533144053e-09,1.73890983312892e-07,13.0789599346013,"CO3_HUMAN",118,-50.6148405314163,6.87840939033106e-11,1.74378324820169e-08,-0.886861322500003,"Up in D3B",7.75850749873839,"C3","CO3_HUMAN",0.886861322500003
1.39633250249999,15.65522491875,49.6907958027446,2.29834194799377e-10,6.88518975216227e-08,14.8346302094901,"NDRG1_HUMAN",18,-50.4890254950815,7.00940124642145e-11,1.74378324820169e-08,-1.39633250249999,"Up in D3B",7.75850749873839,"NDRG1","NDRG1_HUMAN",1.39633250249999
0.728022097500002,14.17692875875,36.9655899241974,1.90184908407805e-09,2.14162444019615e-07,12.6818127815867,"PLMN_HUMAN",53,-50.2593212635383,7.25590290365664e-11,1.74378324820169e-08,-0.728022097500002,"Up in D3B",7.75850749873839,"PLG","PLMN_HUMAN",0.728022097500002
3.5210456825,16.00222682875,47.9938236146211,2.94647537973708e-10,7.09595456451538e-08,14.5888581745444,"FIBB_HUMAN",43,-50.1207788114796,7.40931153128087e-11,1.74378324820169e-08,-3.5210456825,"Up in D3B",7.75850749873839,"FGB","FIBB_HUMAN",3.5210456825
1.182465315,11.174806,46.4535178807616,3.72020744857834e-10,7.46610204382544e-08,14.3561930015623,"PACN3_HUMAN",23,-50.0866667601797,7.44764467140361e-11,1.74378324820169e-08,-1.182465315,"Up in D3B",7.75850749873839,"PACSIN3","PACN3_HUMAN",1.182465315
-1.1820056475,14.00790917875,-51.4920166625434,1.78171081141027e-10,6.00721617175086e-08,15.0841495234827,"CRYM_HUMAN",16,49.4400393531081,8.21846353369541e-11,1.82076620594922e-08,1.1820056475,"Up in D8C",7.73974581586607,"CRYM","CRYM_HUMAN",-1.1820056475
2.41216087325,10.735521793375,46.6091646300892,3.63231921534989e-10,7.46610204382544e-08,14.3801348721588,"TRFL_HUMAN",45,-49.4320726908843,8.2285072443174e-11,1.82076620594922e-08,-2.41216087325,"Up in D3B",7.73974581586607,"LTF","TRFL_HUMAN",2.41216087325
