"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D3BM_vs_D8C","Diff_Abund","negLog10_sca_adjPval","Genes","Protein.Names","D8C_vs_D3BM"
3.4321331975,12.74340534125,140.86618420158,1.41307231910442e-13,8.80610549958197e-10,20.3840149114948,"TSP1_HUMAN",52,-177.077991562759,5.10469937561485e-15,3.35357813502333e-11,-3.4321331975,"Up in D3BM",10.4744915705775,"THBS1","TSP1_HUMAN",3.4321331975
3.59924482875,11.220776198125,133.363921387375,2.08947811118329e-13,8.80610549958197e-10,20.1903775748194,"PGBM_HUMAN",175,-167.028795867603,7.95723842691501e-15,3.35357813502333e-11,-3.59924482875,"Up in D3BM",10.4744915705775,"HSPG2","PGBM_HUMAN",3.59924482875
-1.8153607875,14.68371140875,-82.1173350508722,6.68079902792346e-12,1.44444021573005e-08,17.9510018571988,"VILI_HUMAN",48,107.800170783351,2.21566932606046e-13,6.22529224978787e-10,1.8153607875,"Up in D8C",9.20584025555898,"VIL1","VILI_HUMAN",-1.8153607875
2.54194998675,10.893749594125,81.8225659927403,6.85462197522861e-12,1.44444021573005e-08,17.9310350400646,"PIGR_HUMAN",36,-92.0011462411246,7.38284638508679e-13,1.55575030449741e-09,-2.54194998675,"Up in D3BM",8.8080601053417,"PIGR","PIGR_HUMAN",2.54194998675
3.7287235225,16.32609319875,71.5600319415063,1.78503506332885e-11,2.50767675813314e-08,17.1556522897722,"FIBA_HUMAN",58,-76.6975789432562,2.93852844645407e-12,3.72684631098054e-09,-3.7287235225,"Up in D3BM",8.42865851646787,"FGA","FIBA_HUMAN",3.7287235225
-1.95465064,16.0314065225,-63.6549610261359,4.11722064376988e-11,3.44262840442354e-08,16.4322064608543,"FLNA_HUMAN",152,75.7147631929716,3.24077077478668e-12,3.72684631098054e-09,1.95465064,"Up in D8C",8.42865851646787,"FLNA","FLNA_HUMAN",-1.95465064
-1.4495139125,13.85665893625,-62.1054086280924,4.90908446784151e-11,3.44262840442354e-08,16.2749107704845,"PFKAP_HUMAN",36,75.5698183853803,3.28825463499575e-12,3.72684631098054e-09,1.4495139125,"Up in D8C",8.42865851646787,"PFKP","PFKAP_HUMAN",-1.4495139125
1.31062149875,10.646247268125,56.3278433654129,9.85441273820385e-11,3.77558386228728e-08,15.6361323869648,"PTPRF_HUMAN",72,-74.8468670376747,3.53716579521228e-12,3.72684631098054e-09,-1.31062149875,"Up in D3BM",8.42865851646787,"PTPRF","PTPRF_HUMAN",1.31062149875
-2.74095916725,10.234418868875,-68.4186869349164,2.45951754381248e-11,2.96161048239935e-08,16.8830155739867,"FBLI1_HUMAN",20,70.7003711508,5.45165400586669e-12,5.10577684616114e-09,2.74095916725,"Up in D8C",8.29193817045591,"FBLIM1","FBLI1_HUMAN",-2.74095916725
-1.65160966,13.8789564375,-57.0007247966887,9.05382645495703e-11,3.77558386228728e-08,15.7150840653277,"EPIPL_HUMAN",173,69.2423262124017,6.38576750379211e-12,5.38256342894637e-09,1.65160966,"Up in D8C",8.26901084368207,"EPPK1","EPIPL_HUMAN",-1.65160966
3.3780193325,14.98521947875,65.4949875084935,3.35937753869927e-11,3.14624369707735e-08,16.6119959207738,"FGL1_HUMAN",19,-67.322707111346,7.90449934061939e-12,5.69252621794103e-09,-3.3780193325,"Up in D3BM",8.2446949604878,"FGL1","FGL1_HUMAN",3.3780193325
-1.6856377125,11.81851684875,-59.8316419933536,6.4063817469143e-11,3.48701624692083e-08,16.0337646615295,"PALLD_HUMAN",30,67.1017197688878,8.10420152038111e-12,5.69252621794103e-09,1.6856377125,"Up in D8C",8.2446949604878,"PALLD","PALLD_HUMAN",-1.6856377125
-2.031630755,11.7126771225,-65.814170042632,3.24478638834904e-11,3.14624369707735e-08,16.6424393031873,"PRS23_HUMAN",17,65.2275360017086,1.00476701496411e-11,6.51475474548654e-09,2.031630755,"Up in D8C",8.18610192909748,"PRSS23","PRS23_HUMAN",-2.031630755
-3.0881233225,12.62167835125,-61.4268013552442,5.30954671461692e-11,3.44262840442354e-08,16.2042576192624,"MUC18_HUMAN",25,64.3646162821396,1.11160631231789e-11,6.55692806861109e-09,3.0881233225,"Up in D8C",8.18329958064287,"MCAM","MUC18_HUMAN",-3.0881233225
-3.325529099,11.3450601105,-62.7144072956872,4.57879596720392e-11,3.44262840442354e-08,16.3373910937963,"FSTL1_HUMAN",17,63.7777966779205,1.19160212807199e-11,6.55692806861109e-09,3.325529099,"Up in D8C",8.18329958064287,"FSTL1","FSTL1_HUMAN",-3.325529099
-2.066903829,10.1964505905,-58.3442604485422,7.66714939988174e-11,3.71124063709118e-08,15.8689836848284,"EPHA2_HUMAN",28,62.9351332864581,1.31812696049201e-11,6.55692806861109e-09,2.066903829,"Up in D8C",8.18329958064287,"EPHA2","EPHA2_HUMAN",-2.066903829
-2.8330472715,9.39700013425,-58.0741400542712,7.92529736239664e-11,3.71124063709118e-08,15.8384346815404,"FLNC_HUMAN",88,62.9080921639024,1.32243180883128e-11,6.55692806861109e-09,2.8330472715,"Up in D8C",8.18329958064287,"FLNC","FLNC_HUMAN",-2.8330472715
-1.65508342,10.93955743,-59.5590720111742,6.61858103936818e-11,3.48701624692083e-08,16.0039956030987,"CCN1_HUMAN",20,61.6954195998133,1.53287977081773e-11,6.86680065098329e-09,1.65508342,"Up in D8C",8.16324556035803,"CCN1","CCN1_HUMAN",-1.65508342
0.980128767499998,11.98669123625,44.6331033922956,5.1803161360489e-10,1.15169177565506e-07,14.0278895826377,"AGRIN_HUMAN",69,-61.6163760127303,1.54786110296218e-11,6.86680065098329e-09,-0.980128767499998,"Up in D3BM",8.16324556035803,"AGRN","AGRIN_HUMAN",0.980128767499998
1.3361391975,13.26410245875,49.5654245214337,2.45378322329588e-10,7.13204785833138e-08,14.7656964376637,"CO5_HUMAN",77,-61.115550214725,1.64672475458371e-11,6.94012147819304e-09,-1.3361391975,"Up in D3BM",8.15863292769397,"C5","CO5_HUMAN",1.3361391975
1.1948266025,15.06503224375,47.2886430837369,3.43120406886589e-10,9.50378524891412e-08,14.4371898469769,"CO4B_HUMAN",87,-60.4764538924021,1.78342286174611e-11,7.15831966745616e-09,-1.1948266025,"Up in D3BM",8.14518891132288,"C4B","CO4B_HUMAN",1.1948266025
3.4498050225,17.05419218625,56.6592618429344,9.45043318091946e-11,3.77558386228728e-08,15.6751782409753,"FIBG_HUMAN",40,-59.7849336636561,1.94599490981185e-11,7.45581413400185e-09,-3.4498050225,"Up in D3BM",8.12750492704671,"FGG","FIBG_HUMAN",3.4498050225
-2.1101121925,11.25088787125,-56.8855447463684,9.18544801870995e-11,3.77558386228728e-08,15.7016597501398,"ANXA3_HUMAN",21,59.224937833416,2.08999066745907e-11,7.65936145044021e-09,2.1101121925,"Up in D8C",8.11580743534256,"ANXA3","ANXA3_HUMAN",-2.1101121925
-1.7821671925,11.81456005625,-59.5584377066402,6.61908410852217e-11,3.48701624692083e-08,16.0039261057773,"SFXN3_HUMAN",17,58.8840333727573,2.18353878169154e-11,7.66877016286584e-09,1.7821671925,"Up in D8C",8.1152742780727,"SFXN3","SFXN3_HUMAN",-1.7821671925
-3.16999054,9.7236282825,-54.4611707380492,1.25329837108477e-10,4.59306607385806e-08,15.41026622567,"ITA7_HUMAN",30,57.1980397322069,2.72177464638574e-11,9.17673539775418e-09,3.16999054,"Up in D8C",8.0373117905744,"ITGA7","ITA7_HUMAN",-3.16999054
-1.6663074525,12.43225407375,-50.3586525769085,2.19111004350369e-10,7.07665670404205e-08,14.8756406197961,"PEG10_HUMAN",23,53.3237659308379,4.63270631099679e-11,1.49419362119876e-08,1.6663074525,"Up in D8C",7.82559312195184,"PEG10","PEG10_HUMAN",-1.6663074525
3.40605759749999,16.75743424875,50.0412917000816,2.29215611297128e-10,7.07665670404205e-08,14.8319230731626,"FINC_HUMAN",161,-52.952615879404,4.88464631601063e-11,1.49419362119876e-08,-3.40605759749999,"Up in D3BM",7.82559312195184,"FN1","FINC_HUMAN",3.40605759749999
