"","Genes","ProtDesc","ENTREZID"
"1","DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","1806"
"2","SERPINA7","Thyroxine-binding globulin","6906"
"3","FUCA1","Tissue alpha-L-fucosidase","2517"
"4","DPP7","Dipeptidyl peptidase 2","29952"
"5","SELENBP1","Methanethiol oxidase","8991"
"6","GSTM1","Glutathione S-transferase Mu 1","2944"
"7","GAA","Lysosomal alpha-glucosidase","2548"
"8","GPT","Alanine aminotransferase 1","2875"
"9","SIAE","Sialate O-acetylesterase","54414"
"10","CTSH","Pro-cathepsin H","1512"
"11","NAGA","Alpha-N-acetylgalactosaminidase","4668"
"12","FDPS","Farnesyl pyrophosphate synthase","2224"
"13","FBLN1","Fibulin-1","2192"
"14","BHMT2","S-methylmethionine--homocysteine S-methyltransferase BHMT2","23743"
"15","GSTM4","Glutathione S-transferase Mu 4","2948"
"16","RBP4","Retinol-binding protein 4","5950"
"17","NHLRC3","NHL repeat-containing protein 3","387921"
"18","VSNL1","Visinin-like protein 1","7447"
"19","APOC3","Apolipoprotein C-III","345"
"20","HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","3339"
"21","APBA1","Amyloid-beta A4 precursor protein-binding family A member 1","320"
"22","DBI","Acyl-CoA-binding protein","1622"
"23","GAMT","Guanidinoacetate N-methyltransferase","2593"
"24","RNASET2","Ribonuclease T2","8635"
"25","ALAD","Delta-aminolevulinic acid dehydratase","210"
"26","OGN","Mimecan","4969"
"27","IYD","Iodotyrosine deiodinase 1","389434"
"28","AGA","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","175"
"29","AGRN","Agrin","375790"
"30","RABEPK","Rab9 effector protein with kelch motifs","10244"
"31","GUSB","Beta-glucuronidase","2990"
"32","PPP6R2","Serine/threonine-protein phosphatase 6 regulatory subunit 2 (Fragment)","9701"
"33","NQO2","NQO2","4835"
"34","DMTN","Dematin","2039"
"35","ARSB","Arylsulfatase B","411"
"36","TTC39B","Tetratricopeptide repeat protein 39B","158219"
"37","MDP1","Magnesium-dependent phosphatase 1","145553"
"38","ABRACL","Costars family protein ABRACL","58527"
"39","HBE1;HBG1;HBG2","Hemoglobin subunit epsilon",NA
"40","C19orf12","Protein C19orf12","83636"
"41","CMC1","COX assembly mitochondrial protein homolog","152100"
"42","SLC39A1","Zinc transporter ZIP1","27173"
"43","CALML4","Calmodulin-like protein 4","91860"
"44","INHBC","Inhibin beta C chain","3626"
"45","C8B","Complement component C8 beta chain","732"
"46","SLC38A3","Sodium-coupled neutral amino acid transporter 3","10991"
"47","TTC12","Tetratricopeptide repeat protein 12","54970"
"48","LRATD2","Protein LRATD2","157638"
"49","PEMT","Phosphatidylethanolamine N-methyltransferase","10400"
"50","SRPK1","SRSF protein kinase 1","6732"
"51","PRODH","Proline dehydrogenase 1, mitochondrial","5625"
"52","DCXR","L-xylulose reductase (Fragment)","51181"
"53","MYLK2;MYLK3;MYLK4","Myosin light chain kinase 3",NA
"54","SMIM13","Small integral membrane protein 13","221710"
"55","TRAF4","TNF receptor-associated factor 4","9618"
