Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0010916~negative regulation of very-low-density lipoprotein particle clearance	2	40.0	8.307156715180269E-4	341, 344	5	4	19256	1925.6000000000001	0.06665283810454148	0.02154500915995423	0.02154500915995423
GOTERM_BP_DIRECT	GO:0032375~negative regulation of cholesterol transport	2	40.0	8.307156715180269E-4	341, 344	5	4	19256	1925.6000000000001	0.06665283810454148	0.02154500915995423	0.02154500915995423
GOTERM_BP_DIRECT	GO:0034382~chylomicron remnant clearance	2	40.0	0.0010383136944556255	341, 344	5	5	19256	1540.4800000000002	0.08261202865995076	0.02154500915995423	0.02154500915995423
GOTERM_BP_DIRECT	GO:0045833~negative regulation of lipid metabolic process	2	40.0	0.0010383136944556255	341, 344	5	5	19256	1540.4800000000002	0.08261202865995076	0.02154500915995423	0.02154500915995423
GOTERM_MF_DIRECT	GO:0055102~lipase inhibitor activity	2	40.0	0.0010588172119523705	341, 344	5	5	18883	1510.6399999999999	0.035377896824187016	0.03599978520638059	0.03599978520638059
GOTERM_BP_DIRECT	GO:0048261~negative regulation of receptor-mediated endocytosis	2	40.0	0.0016609136690997498	341, 344	5	8	19256	962.8000000000001	0.12887556235849984	0.027571166907055848	0.027571166907055848
UP_KW_CELLULAR_COMPONENT	KW-0850~VLDL	2	40.0	0.002677598709477783	341, 344	5	12	17910	597.0	0.023841891230896195	0.024098388385300047	0.024098388385300047
GOTERM_BP_DIRECT	GO:0033700~phospholipid efflux	2	40.0	0.0026979335148628585	341, 344	5	13	19256	592.4923076923077	0.20086956459825667	0.037321413622269546	0.037321413622269546
GOTERM_CC_DIRECT	GO:0042627~chylomicron	2	40.0	0.002726319593116403	341, 344	5	14	20521	586.3142857142858	0.10099948177775164	0.04742901181846416	0.044996754802132666
GOTERM_CC_DIRECT	GO:0034361~very-low-density lipoprotein particle	2	40.0	0.004087387007255103	341, 344	5	21	20521	390.87619047619046	0.14763016272261675	0.04742901181846416	0.044996754802132666
GOTERM_CC_DIRECT	GO:0005576~extracellular region	4	80.0	0.004361470819193782	341, 344, 7018, 383	5	2172	20521	7.558379373848988	0.15673109103990956	0.04742901181846416	0.044996754802132666
GOTERM_CC_DIRECT	GO:0034364~high-density lipoprotein particle	2	40.0	0.004864514032662991	341, 344	5	25	20521	328.336	0.17318886806823153	0.04742901181846416	0.044996754802132666
GOTERM_BP_DIRECT	GO:0033344~cholesterol efflux	2	40.0	0.0062177588449025155	341, 344	5	30	19256	256.74666666666667	0.40410158891751335	0.07372485487527268	0.07372485487527268
KEGG_PATHWAY	hsa04979:Cholesterol metabolism	2	40.0	0.023347969836545468	341, 344	5	51	8662	67.93725490196078	0.2468555396637233	0.2801756380385456	0.2801756380385456
UP_KW_DOMAIN	KW-0732~Signal	4	80.0	0.027583020825835886	341, 344, 7018, 8529	4	4412	14600	3.309156844968268	0.10585050941517182	0.11033208330334354	0.11033208330334354
GOTERM_CC_DIRECT	GO:0005615~extracellular space	3	60.0	0.04668079571267657	344, 7018, 383	5	1931	20521	6.376281719316416	0.8450129788877525	0.3641102065588772	0.3454378882738066
GOTERM_CC_DIRECT	GO:0005769~early endosome	2	40.0	0.05944704231683052	344, 7018	5	312	20521	26.30897435897436	0.9083891558914936	0.3864057750593984	0.3665900942871215
UP_KW_BIOLOGICAL_PROCESS	KW-0445~Lipid transport	2	40.0	0.05977097392875211	341, 344	5	175	11447	26.16457142857143	0.5226863531706258	0.7172516871450253	0.7172516871450253
UP_KW_CELLULAR_COMPONENT	KW-0964~Secreted	3	60.0	0.0747287076348299	341, 344, 7018	5	2174	17910	4.9429622815087395	0.5029251491254527	0.33627918435673454	0.33627918435673454
GOTERM_CC_DIRECT	GO:0016324~apical plasma membrane	2	40.0	0.07609154065773266	7018, 8529	5	402	20521	20.41890547263682	0.9543407473960185	0.42393858366451054	0.4021981434765869
