"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0042060","GO:0042060","wound healing","18/111","453/18860",0.0397350993377483,6.75138714873814,9.53371055698731,1.54551628222317e-10,1.36291135360593e-07,1.0983493810805e-07,"2267/7057/5054/2243/2266/2244/2335/1311/1026/653145/960/83706/26509/1606/1511/2131/11093/2162",18,"Downres_DEq_MS_B2_vs_C"
"GO:0007596","GO:0007596","blood coagulation","14/111","243/18860",0.0576131687242798,9.78904830756682,10.6101592910716,1.65789579937995e-10,1.36291135360593e-07,1.0983493810805e-07,"2267/7057/5054/2243/2266/2244/2335/1311/653145/83706/1606/1511/11093/2162",14,"Downres_DEq_MS_B2_vs_C"
"GO:0050817","GO:0050817","coagulation","14/111","248/18860",0.0564516129032258,9.5916884626562,10.4794768976252,2.16908369694878e-10,1.36291135360593e-07,1.0983493810805e-07,"2267/7057/5054/2243/2266/2244/2335/1311/653145/83706/1606/1511/11093/2162",14,"Downres_DEq_MS_B2_vs_C"
"GO:0007599","GO:0007599","hemostasis","14/111","250/18860",0.056,9.51495495495496,10.4282380807529,2.41116559682606e-10,1.36291135360593e-07,1.0983493810805e-07,"2267/7057/5054/2243/2266/2244/2335/1311/653145/83706/1606/1511/11093/2162",14,"Downres_DEq_MS_B2_vs_C"
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","10/111","101/18860",0.099009900990099,16.8227633574168,12.2678919765515,4.05587925362302e-10,1.83406859848833e-07,1.47804778695188e-07,"3915/3911/2243/2266/2244/2335/8829/29780/83706/10562",10,"Downres_DEq_MS_B2_vs_C"
"GO:0031589","GO:0031589","cell-substrate adhesion","16/111","369/18860",0.043360433604336,7.36736736736737,9.50439891898077,5.02866876450432e-10,1.89497001275738e-07,1.52712730374684e-07,"7057/3915/5054/3911/2243/2266/2244/2335/8829/29780/3675/960/83706/10562/4811/11093",16,"Downres_DEq_MS_B2_vs_C"
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","6/111","18/18860",0.333333333333333,56.6366366366366,18.1704375733216,6.35466854748566e-10,2.05255794083787e-07,1.65412500085679e-07,"7057/2243/2266/2244/2335/2162",6,"Downres_DEq_MS_B2_vs_C"
"GO:0050878","GO:0050878","regulation of body fluid levels","16/111","389/18860",0.0411311053984576,6.98858241274694,9.18301708153877,1.08118349925723e-09,3.05569486477575e-07,2.46253768054509e-07,"2267/7057/5054/2243/2266/2244/2335/1311/653145/83706/1606/1511/2131/2132/11093/2162",16,"Downres_DEq_MS_B2_vs_C"
"GO:0072376","GO:0072376","protein activation cascade","6/111","22/18860",0.272727272727273,46.3390663390663,16.3718697838901,2.5057032311352e-09,6.29488333955187e-07,5.07295005040355e-07,"7057/2243/2266/2244/2335/2162",6,"Downres_DEq_MS_B2_vs_C"
"GO:0007160","GO:0007160","cell-matrix adhesion","12/111","246/18860",0.0487804878048781,8.28828828828829,8.85329645033728,2.33757764108476e-08,5.28526304649265e-06,4.25931252286076e-06,"7057/5054/2243/2266/2244/2335/8829/3675/960/83706/4811/11093",12,"Downres_DEq_MS_B2_vs_C"
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","9/111","117/18860",0.0769230769230769,13.0699930699931,10.0765569590158,2.96659148550252e-08,6.09769395338291e-06,4.91403814488504e-06,"3915/5054/3911/2335/8829/3675/83706/4811/11093",9,"Downres_DEq_MS_B2_vs_C"
"GO:0030198","GO:0030198","extracellular matrix organization","13/111","331/18860",0.0392749244712991,6.67319887863695,8.01212617087052,7.59623510361621e-08,1.31576813650982e-05,1.06035738462185e-05,"3915/6624/4148/1311/1511/2131/5768/1291/4811/6692/11093/64116/4239",13,"Downres_DEq_MS_B2_vs_C"
