"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051607","GO:0051607","defense response to virus","63/598","334/18860",0.188622754491018,5.94887148779364,16.5129373344175,5.84274600592451e-31,2.75310191799163e-27,2.21224814561163e-27,"4599/3433/3437/3434/9636/23586/55601/6772/64135/3669/8638/51251/6737/5359/11277/7098/5610/5371/24138/834/4938/684/10410/25939/4939/57169/2633/4940/10379/3665/103/64343/10581/10475/6773/2635/55337/958/197259/54726/79132/64108/2634/7726/85363/7128/1755/81622/60489/56829/3459/151636/10346/91351/23515/148022/83666/7097/89870/566/9188/10868/3455",63,"Downres_DEq_MS_BD_vs_B1"
"GO:0009615","GO:0009615","response to virus","70/598","445/18860",0.157303370786517,4.96110630942092,15.3019364936594,3.24562030049232e-29,7.6466814279599e-26,6.1444716951952e-26,"4599/3433/3437/3434/9636/23586/55601/6772/64135/3669/8638/51251/6737/5359/11277/7098/5610/5371/24138/834/4938/684/10410/25939/4939/57169/2633/4940/10379/3665/103/10561/64343/10581/10475/6773/2635/55337/958/197259/9111/2332/54726/79132/64108/2634/7726/85363/7128/1755/81622/60489/56829/3459/3965/151636/10346/91351/23515/148022/3934/2131/83666/7097/89870/566/9188/10868/3717/3455",70,"Downres_DEq_MS_BD_vs_B1"
"GO:0050792","GO:0050792","regulation of viral process","40/598","141/18860",0.283687943262411,8.94708128750682,17.1400325552564,3.86941559272703e-27,6.07756209097659e-24,4.88360978492601e-24,"4599/3434/9636/6772/64135/3669/8638/6737/5359/6672/5610/24138/4938/684/10410/972/4939/57169/4940/2040/103/10581/10475/55337/9683/128637/2332/4057/5819/85363/60489/56829/3965/51773/51574/6733/7113/89870/4851/9830",40,"Downres_DEq_MS_BD_vs_B1"
"GO:0048525","GO:0048525","negative regulation of viral process","28/598","76/18860",0.368421052631579,11.6194331983806,16.7861015732472,6.9378754050494e-23,8.1728172271482e-20,6.56724679788492e-20,"4599/3434/9636/6772/64135/3669/8638/6737/5359/6672/5610/24138/4938/684/10410/4939/57169/4940/10581/55337/9683/4057/60489/56829/51574/6733/89870/9830",28,"Downres_DEq_MS_BD_vs_B1"
"GO:1903900","GO:1903900","regulation of viral life cycle","33/598","115/18860",0.28695652173913,9.05016722408027,15.6692010425523,9.04705437451704e-23,8.52594404254486e-20,6.85100096529217e-20,"4599/3434/9636/64135/3669/8638/6737/5359/5610/24138/4938/684/10410/972/4939/57169/4940/103/10581/10475/55337/9683/2332/4057/5819/85363/60489/56829/3965/6733/7113/89870/4851",33,"Downres_DEq_MS_BD_vs_B1"
"GO:0045071","GO:0045071","negative regulation of viral genome replication","22/598","50/18860",0.44,13.8769230769231,16.4982719777967,2.80716917489627e-20,2.20456352535187e-17,1.77147149510559e-17,"4599/3434/9636/64135/3669/8638/5359/5610/24138/4938/684/10410/4939/57169/4940/10581/55337/9683/4057/60489/56829/6733",22,"Downres_DEq_MS_BD_vs_B1"
"GO:0034341","GO:0034341","response to type II interferon","32/598","129/18860",0.248062015503876,7.82349433512224,14.0720367805339,5.34110316239812e-20,3.59532544303142e-17,2.88901474814226e-17,"115361/6772/51667/6737/6672/7098/834/684/10410/972/2633/54625/7431/140885/10241/10581/2635/55337/958/11093/961/2634/65010/2643/2934/3459/3965/83666/7097/965/6584/3717",32,"Downres_DEq_MS_BD_vs_B1"
"GO:0016032","GO:0016032","viral process","54/598","396/18860",0.136363636363636,4.3006993006993,12.0123066801397,9.56565228216406e-20,5.63416919419463e-17,4.52732253407159e-17,"4599/3434/9636/6772/64135/3669/8638/6737/5359/6672/84875/5610/24138/4938/3678/684/10410/972/4939/57169/4940/3665/2040/103/6520/10241/10581/10475/290/55337/9683/128637/2332/950/2634/4057/5819/85363/1604/60489/56829/4245/2959/3965/51773/51574/51510/83666/6733/2621/7113/89870/4851/9830",54,"Downres_DEq_MS_BD_vs_B1"
"GO:0045069","GO:0045069","regulation of viral genome replication","25/598","80/18860",0.3125,9.85576923076923,14.3634657603361,1.46607840545628e-18,7.67573494056665e-16,6.16781757242835e-16,"4599/3434/9636/64135/3669/8638/5359/5610/24138/4938/684/10410/4939/57169/4940/103/10581/10475/55337/9683/4057/60489/56829/6733/4851",25,"Downres_DEq_MS_BD_vs_B1"
"GO:0007249","GO:0007249","canonical NF-kappaB signal transduction","49/598","359/18860",0.136490250696379,4.30469252196272,11.439747360455,5.00367979738595e-18,2.35773392052826e-15,1.89455118223129e-15,"6772/6737/7098/80833/24138/834/684/972/10616/841/8767/140885/64343/10475/958/8737/8887/4057/7726/85363/114769/10133/7128/55072/2950/56674/56829/5587/3965/840/10346/6283/148022/6376/7097/79753/54503/58509/8743/89870/10892/9188/4793/7049/10868/4792/497661/5581/80762",49,"Downres_DEq_MS_BD_vs_B1"
"GO:0043122","GO:0043122","regulation of canonical NF-kappaB signal transduction","46/598","332/18860",0.13855421686747,4.36978683966636,11.2096732542293,3.01192668927486e-17,1.29019986907847e-14,1.03673687093987e-14,"6772/7098/80833/24138/834/684/972/10616/841/8767/140885/64343/10475/958/8737/8887/4057/85363/114769/10133/7128/55072/2950/56674/56829/5587/3965/840/10346/6283/148022/6376/7097/79753/54503/58509/8743/10892/9188/4793/7049/10868/4792/497661/5581/80762",46,"Downres_DEq_MS_BD_vs_B1"
"GO:0019079","GO:0019079","viral genome replication","27/598","117/18860",0.230769230769231,7.27810650887574,12.3264441016219,3.23725804057979e-16,1.27116332393433e-13,1.02144010280399e-13,"4599/3434/9636/64135/3669/8638/5359/5610/24138/4938/684/10410/4939/57169/4940/103/10581/10475/55337/9683/2332/4057/60489/56829/6733/2621/4851",27,"Downres_DEq_MS_BD_vs_B1"
"GO:0019058","GO:0019058","viral life cycle","42/598","298/18860",0.140939597315436,4.44501806917914,10.8473338080775,4.07586769342332e-16,1.4773452747239e-13,1.18711709257034e-13,"4599/3434/9636/64135/3669/8638/6737/5359/5610/24138/4938/3678/684/10410/972/4939/57169/4940/103/6520/10581/10475/290/55337/9683/128637/2332/950/2634/4057/5819/85363/1604/60489/56829/3965/51510/6733/2621/7113/89870/4851",42,"Downres_DEq_MS_BD_vs_B1"
"GO:0002237","GO:0002237","response to molecule of bacterial origin","46/598","375/18860",0.122666666666667,3.86871794871795,10.1538211654897,3.40284870828756e-15,1.14530165096078e-12,9.20304270955664e-13,"6891/834/129607/841/567/8767/7431/968/140885/3929/2635/958/5054/4353/1728/3066/11093/2634/4057/85363/114769/7128/1604/2950/6868/2643/3965/840/54/148022/51510/3934/6376/1291/7097/8140/58509/10892/4793/4792/3717/5581/4318/4851/7855/5467",46,"Downres_DEq_MS_BD_vs_B1"
"GO:0032496","GO:0032496","response to lipopolysaccharide","44/598","350/18860",0.125714285714286,3.96483516483516,10.1313453340549,5.67570203160942e-15,1.78292719819624e-12,1.43266668124204e-12,"834/129607/841/567/8767/7431/968/140885/3929/2635/958/5054/4353/1728/3066/11093/2634/4057/85363/114769/7128/1604/2950/6868/2643/3965/840/54/148022/51510/3934/6376/1291/7097/8140/58509/10892/4793/4792/3717/5581/4318/4851/5467",44,"Downres_DEq_MS_BD_vs_B1"
"GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","28/598","144/18860",0.194444444444444,6.13247863247863,11.1876180461959,9.92320052314801e-15,2.92238255406709e-12,2.3482731764318e-12,"9636/6737/11277/3105/3106/4938/25939/3134/4940/54625/10906/103/140885/10475/6773/3133/634/710/9111/79132/4057/5819/114769/7128/2896/3965/55646/58509",28,"Downres_DEq_MS_BD_vs_B1"
"GO:0045824","GO:0045824","negative regulation of innate immune response","24/598","104/18860",0.230769230769231,7.27810650887574,11.6174547594893,1.46174193802747e-14,4.05160471293262e-12,3.25565681181722e-12,"9636/6737/11277/3105/3106/4938/25939/3134/4940/54625/10906/103/6773/3133/634/710/9111/79132/5819/7128/2896/3965/55646/58509",24,"Downres_DEq_MS_BD_vs_B1"
"GO:0060759","GO:0060759","regulation of response to cytokine stimulus","33/598","210/18860",0.157142857142857,4.95604395604396,10.4319882871147,2.65718487012882e-14,6.95591950447057e-12,5.58941168295519e-12,"9636/23586/64135/11277/834/4938/972/25939/841/4940/54625/8767/3665/103/29761/6773/958/8737/102/54726/8887/3557/114769/7128/2950/6868/84888/1435/2131/83666/7097/2621/58509",33,"Downres_DEq_MS_BD_vs_B1"
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","34/598","229/18860",0.148471615720524,4.68256634195499,10.1457928453944,5.94610064165472e-14,1.47463295913037e-11,1.18493761817352e-11,"834/129607/567/8767/7431/968/140885/3929/2635/958/5054/11093/2634/4057/85363/114769/7128/1604/2950/840/148022/51510/3934/6376/7097/8140/58509/10892/4793/4792/3717/5581/4318/5467",34,"Downres_DEq_MS_BD_vs_B1"
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","35/598","247/18860",0.1417004048583,4.46901276860791,9.93074749405515,1.04955075322904e-13,2.47274157460762e-11,1.98696529440256e-11,"834/129607/567/8767/7431/968/140885/3929/2635/958/5054/11093/2634/4057/85363/114769/7128/1604/2950/840/148022/51510/3934/6376/7097/8140/58509/10892/4793/4792/3717/5581/4318/7855/5467",35,"Downres_DEq_MS_BD_vs_B1"
"GO:0032640","GO:0032640","tumor necrosis factor production","31/598","196/18860",0.158163265306122,4.98822605965463,10.156432644935,1.36382135173396e-13,2.92105736789565e-11,2.34720832640529e-11,"23586/64135/11277/7098/4938/4939/4940/8767/140885/3929/3133/8737/102/3066/961/7057/4057/7128/2950/6868/3459/3965/54/148022/6376/7097/2621/58509/566/3717/7855",31,"Downres_DEq_MS_BD_vs_B1"
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","31/598","196/18860",0.158163265306122,4.98822605965463,10.156432644935,1.36382135173396e-13,2.92105736789565e-11,2.34720832640529e-11,"23586/64135/11277/7098/4938/4939/4940/8767/140885/3929/3133/8737/102/3066/961/7057/4057/7128/2950/6868/3459/3965/54/148022/6376/7097/2621/58509/566/3717/7855",31,"Downres_DEq_MS_BD_vs_B1"
