"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0090207","GO:0090207","regulation of triglyceride metabolic process","3/24","47/18860",0.0638297872340425,50.1595744680851,12.0447731891403,2.82982956997322e-05,0.0090920094428711,0.00628294746554371,"7069/341/2822",3,"Upres_DEq_MS_B1_vs_C"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","5/24","339/18860",0.0147492625368732,11.5904621435595,7.02349302719925,5.84521469318396e-05,0.0090920094428711,0.00628294746554371,"570/5166/1036/341/4706",5,"Upres_DEq_MS_B1_vs_C"
"GO:0016053","GO:0016053","organic acid biosynthetic process","5/24","342/18860",0.0146198830409357,11.4887914230019,6.98734315871444,6.09458073729243e-05,0.0090920094428711,0.00628294746554371,"570/5166/1036/341/4706",5,"Upres_DEq_MS_B1_vs_C"
"GO:0019530","GO:0019530","taurine metabolic process","2/24","10/18860",0.2,157.166666666667,17.632068868033,6.94046522356572e-05,0.0090920094428711,0.00628294746554371,"570/1036",2,"Upres_DEq_MS_B1_vs_C"
"GO:0019694","GO:0019694","alkanesulfonate metabolic process","2/24","10/18860",0.2,157.166666666667,17.632068868033,6.94046522356572e-05,0.0090920094428711,0.00628294746554371,"570/1036",2,"Upres_DEq_MS_B1_vs_C"
"GO:0046890","GO:0046890","regulation of lipid biosynthetic process","4/24","205/18860",0.0195121951219512,15.3333333333333,7.36541318515004,0.0001214534314651,0.0114556018810351,0.0079162857514586,"5166/7069/341/2822",4,"Upres_DEq_MS_B1_vs_C"
"GO:0006006","GO:0006006","glucose metabolic process","4/24","206/18860",0.0194174757281553,15.2588996763754,7.34521052054833,0.000123753188337392,0.0114556018810351,0.0079162857514586,"230/648791/5166/2822",4,"Upres_DEq_MS_B1_vs_C"
"GO:0010896","GO:0010896","regulation of triglyceride catabolic process","2/24","14/18860",0.142857142857143,112.261904761905,14.8652263085594,0.000139915748165315,0.0114556018810351,0.0079162857514586,"341/2822",2,"Upres_DEq_MS_B1_vs_C"
"GO:0006631","GO:0006631","fatty acid metabolic process","5/24","421/18860",0.0118764845605701,9.33293745051465,6.1722157421393,0.000162025142854897,0.0115708560140855,0.00799593103424151,"570/5166/341/1549/4706",5,"Upres_DEq_MS_B1_vs_C"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","5/24","434/18860",0.0115207373271889,9.05337941628264,6.05868121170232,0.000186701723538835,0.0115708560140855,0.00799593103424151,"230/648791/5166/5502/4706",5,"Upres_DEq_MS_B1_vs_C"
"GO:0090209","GO:0090209","negative regulation of triglyceride metabolic process","2/24","17/18860",0.117647058823529,92.4509803921569,13.4650637065361,0.000208617710120318,0.0115708560140855,0.00799593103424151,"341/2822",2,"Upres_DEq_MS_B1_vs_C"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","4/24","237/18860",0.0168776371308017,13.2630098452883,6.7813637207128,0.000211985148349659,0.0115708560140855,0.00799593103424151,"570/5166/341/4706",4,"Upres_DEq_MS_B1_vs_C"
"GO:0019318","GO:0019318","hexose metabolic process","4/24","249/18860",0.0160642570281124,12.623828647925,6.59074681466976,0.000255983792374787,0.0128976449234989,0.00891279600981041,"230/648791/5166/2822",4,"Upres_DEq_MS_B1_vs_C"
"GO:0010906","GO:0010906","regulation of glucose metabolic process","3/24","105/18860",0.0285714285714286,22.452380952381,7.8683238406987,0.000311692086619903,0.0137098272806467,0.00947404697577833,"648791/5166/2822",3,"Upres_DEq_MS_B1_vs_C"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","5/24","494/18860",0.0101214574898785,7.95377867746289,5.59046147084112,0.000339989453723054,0.0137098272806467,0.00947404697577833,"230/648791/5166/5502/4706",5,"Upres_DEq_MS_B1_vs_C"
"GO:0010866","GO:0010866","regulation of triglyceride biosynthetic process","2/24","22/18860",0.0909090909090909,71.4393939393939,11.7999499436654,0.000352968868301981,0.0137098272806467,0.00947404697577833,"7069/2822",2,"Upres_DEq_MS_B1_vs_C"
"GO:0005996","GO:0005996","monosaccharide metabolic process","4/24","272/18860",0.0147058823529412,11.5563725490196,6.25969883446263,0.000358169069317946,0.0137098272806467,0.00947404697577833,"230/648791/5166/2822",4,"Upres_DEq_MS_B1_vs_C"
"GO:0006641","GO:0006641","triglyceride metabolic process","3/24","112/18860",0.0267857142857143,21.0491071428571,7.59621390756698,0.00037675861229258,0.0137098272806467,0.00947404697577833,"7069/341/2822",3,"Upres_DEq_MS_B1_vs_C"
"GO:0050995","GO:0050995","negative regulation of lipid catabolic process","2/24","27/18860",0.0740740740740741,58.2098765432099,10.6185141393161,0.000534249577098078,0.0184175512104864,0.0127272752438877,"341/2822",2,"Upres_DEq_MS_B1_vs_C"
"GO:0008286","GO:0008286","insulin receptor signaling pathway","3/24","137/18860",0.0218978102189781,17.2080291970803,6.79631321416887,0.000678682073581332,0.0205239971526478,0.014182914866434,"5166/2822/197",3,"Upres_DEq_MS_B1_vs_C"
"GO:0006639","GO:0006639","acylglycerol metabolic process","3/24","139/18860",0.0215827338129496,16.9604316546763,6.74152456745901,0.000707885851222349,0.0205239971526478,0.014182914866434,"7069/341/2822",3,"Upres_DEq_MS_B1_vs_C"
