"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","10/99","101/18860",0.099009900990099,18.8618861886189,13.0747110220377,1.29248334153314e-10,2.48803043245129e-07,1.98906383718047e-07,"2335/2266/2243/2244/3911/3915/10562/29780/8829/10631",10,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","6/99","18/18860",0.333333333333333,63.5016835016835,19.2714061335935,3.16553242296033e-10,2.77443161750662e-07,2.21802817487063e-07,"2335/7057/2266/2243/2244/2162",6,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0010038","GO:0010038","response to metal ion","15/99","351/18860",0.0427350427350427,8.14124147457481,9.8103552663286,4.32378953377654e-10,2.77443161750662e-07,2.21802817487063e-07,"7057/2266/2243/2244/3931/5621/4494/9451/4493/4495/4496/3934/4501/57817/11093",15,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0072376","GO:0072376","protein activation cascade","6/99","22/18860",0.272727272727273,51.9559228650138,17.3715092324117,1.25093180240461e-09,5.51588964006545e-07,4.40969550445697e-07,"2335/7057/2266/2243/2244/2162",6,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0046688","GO:0046688","response to copper ion","7/99","40/18860",0.175,33.3383838383838,14.8726183488849,1.43269860780921e-09,5.51588964006545e-07,4.40969550445697e-07,"3931/5621/4494/4493/4495/4496/4501",7,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0071280","GO:0071280","cellular response to copper ion","6/99","26/18860",0.230769230769231,43.962703962704,15.9241380419794,3.79512644655148e-09,1.2176030682686e-06,9.73416642957591e-07,"5621/4494/4493/4495/4496/4501",6,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0031589","GO:0031589","cell-substrate adhesion","14/99","369/18860",0.037940379403794,7.22783389450056,8.77645116031123,7.95134790903168e-09,2.18662067498371e-06,1.74810084857208e-06,"2335/7057/2266/2243/2244/3911/3915/10562/4811/29780/8829/10631/51330/11093",14,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0010273","GO:0010273","detoxification of copper ion","5/99","16/18860",0.3125,59.5328282828283,17.0146056926451,1.50158965462009e-08,3.21173342793741e-06,2.56763049713985e-06,"4494/4493/4495/4496/4501",5,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:1990169","GO:1990169","stress response to copper ion","5/99","16/18860",0.3125,59.5328282828283,17.0146056926451,1.50158965462009e-08,3.21173342793741e-06,2.56763049713985e-06,"4494/4493/4495/4496/4501",5,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0006882","GO:0006882","intracellular zinc ion homeostasis","6/99","35/18860",0.171428571428571,32.6580086580087,13.6175525253289,2.57562193944828e-08,4.95807223343795e-06,3.96374660576146e-06,"4494/4493/4495/4496/4501/55334",6,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0097501","GO:0097501","stress response to metal ion","5/99","21/18860",0.238095238095238,45.3583453583454,14.7742348412865,6.85141517300956e-08,1.19899765527667e-05,9.5854248640574e-06,"4494/4493/4495/4496/4501",5,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0061687","GO:0061687","detoxification of inorganic compound","5/99","23/18860",0.217391304347826,41.4141414141414,14.0877080137837,1.12356386502655e-07,1.80238370014676e-05,1.44092137777967e-05,"4494/4493/4495/4496/4501",5,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0009636","GO:0009636","response to toxic substance","11/99","270/18860",0.0407407407407407,7.76131687242798,8.12872465409799,1.74879566294651e-07,2.36523268231402e-05,1.89089278553279e-05,"4353/3040/1291/55937/4494/4493/4495/4496/3934/4501/11093",11,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0071294","GO:0071294","cellular response to zinc ion","5/99","25/18860",0.2,38.1010101010101,13.4840968017942,1.75935854662305e-07,2.36523268231402e-05,1.89089278553279e-05,"4494/4493/4495/4496/4501",5,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0046686","GO:0046686","response to cadmium ion","6/99","48/18860",0.125,23.8131313131313,11.4957409797191,1.84303845375118e-07,2.36523268231402e-05,1.89089278553279e-05,"5621/4494/4493/4495/4496/4501",6,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0071276","GO:0071276","cellular response to cadmium ion","5/99","26/18860",0.192307692307692,36.6355866355866,13.2083399891361,2.16921742332723e-07,2.60983971244057e-05,2.08644465322658e-05,"4494/4493/4495/4496/4501",5,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0007596","GO:0007596","blood coagulation","10/99","243/18860",0.0411522633744856,7.83971401255352,7.79534187130271,5.98317657293652e-07,6.77506758994282e-05,5.41634931865832e-05,"2335/7057/2266/2243/2267/2244/1311/653145/2162/11093",10,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0050817","GO:0050817","coagulation","10/99","248/18860",0.0403225806451613,7.68165526230042,7.69417958915091,7.20591827687993e-07,7.70632926832993e-05,6.16084942736752e-05,"2335/7057/2266/2243/2267/2244/1311/653145/2162/11093",10,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0007599","GO:0007599","hemostasis","10/99","250/18860",0.04,7.62020202020202,7.65450297266218,7.75309358855228e-07,7.85510797787533e-05,6.27979103959193e-05,"2335/7057/2266/2243/2267/2244/1311/653145/2162/11093",10,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:1900024","GO:1900024","regulation of substrate adhesion-dependent cell spreading","6/99","62/18860",0.0967741935483871,18.435972629521,9.98930185007249,8.702132155816e-07,8.3758021999729e-05,6.69606169042263e-05,"2266/2243/2244/10562/8829/10631",6,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0050878","GO:0050878","regulation of body fluid levels","12/99","389/18860",0.0308483290488432,5.87676248344629,7.06008836346882,9.20198665346407e-07,8.43515443234207e-05,6.74351102123532e-05,"2335/7057/2266/2243/2267/2244/1311/653145/2131/2132/2162/11093",12,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0034368","GO:0034368","protein-lipid complex remodeling","5/99","41/18860",0.121951219512195,23.2323232323232,10.3520757448748,2.32198062108233e-06,0.000194339682416673,0.000155365476797362,"338/3931/4353/55937/5360",5,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0034369","GO:0034369","plasma lipoprotein particle remodeling","5/99","41/18860",0.121951219512195,23.2323232323232,10.3520757448748,2.32198062108233e-06,0.000194339682416673,0.000155365476797362,"338/3931/4353/55937/5360",5,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0098754","GO:0098754","detoxification","8/99","166/18860",0.0481927710843374,9.18096628940003,7.69053342010569,2.63901949467564e-06,0.000211671355302109,0.000169221337772622,"4353/3040/55937/4494/4493/4495/4496/4501",8,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0034367","GO:0034367","protein-containing complex remodeling","5/99","43/18860",0.116279069767442,22.1517500587268,10.086820145007,2.9579102089096e-06,0.000227759086086039,0.000182082725281088,"338/3931/4353/55937/5360",5,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0045926","GO:0045926","negative regulation of growth","9/99","229/18860",0.0393013100436681,7.48709805478364,7.17462252329347,3.28950052941852e-06,0.000234351586787159,0.000187353120920206,"54825/4133/8829/2719/4494/4493/4495/4496/4501",9,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:1900026","GO:1900026","positive regulation of substrate adhesion-dependent cell spreading","5/99","44/18860",0.113636363636364,21.6483011937557,9.96083964040034,3.32330540475064e-06,0.000234351586787159,0.000187353120920206,"2266/2243/2244/10562/8829",5,"Upres_DEq_MS_CTRL_vs_HBV.myr"
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","9/99","230/18860",0.0391304347826087,7.45454545454546,7.15438142118175,3.40875035326777e-06,0.000234351586787159,0.000187353120920206,"2335/7057/2266/2243/2244/10562/4811/8829/10631",9,"Upres_DEq_MS_CTRL_vs_HBV.myr"
