"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051607","GO:0051607","defense response to virus","46/327","334/18860",0.137724550898204,7.94337929645297,17.0064488581238,4.58525188311628e-28,1.64793952679199e-24,1.40743099907022e-24,"4599/3434/3437/6772/3433/23586/4938/55601/4939/64135/4940/9636/10379/3669/25939/5371/5610/51251/11277/151636/6773/6737/83666/684/8638/5359/2633/24138/197259/103/7098/10410/834/2634/10346/81622/10475/91351/57169/64108/2635/10581/958/79132/64343/3665",46,"Upres_DEq_MS_CTRL_vs_HDV"
"GO:0009615","GO:0009615","response to virus","48/327","445/18860",0.107865168539326,6.22121430780332,14.8055998330752,1.82222598606646e-24,3.27454009696143e-21,2.79663735545779e-21,"4599/3434/3437/6772/3433/23586/4938/55601/4939/64135/4940/9636/10379/3669/25939/5371/5610/51251/11277/151636/6773/6737/83666/684/8638/5359/2633/24138/197259/103/7098/10410/834/2634/10346/81622/10561/10475/91351/57169/64108/2635/10581/958/3965/79132/64343/3665",48,"Upres_DEq_MS_CTRL_vs_HDV"
"GO:0048525","GO:0048525","negative regulation of viral process","21/327","76/18860",0.276315789473684,15.9367455335587,17.3312178931258,6.74559547617273e-20,8.08122338045493e-17,6.90180926614725e-17,"4599/3434/6772/4938/4939/64135/4940/9636/3669/5610/6737/684/8638/5359/24138/10410/6672/9830/57169/10581/9683",21,"Upres_DEq_MS_CTRL_vs_HDV"
"GO:0050792","GO:0050792","regulation of viral process","26/327","141/18860",0.184397163120567,10.6352614570456,15.2542929257653,1.61813624302275e-19,1.45389541435594e-16,1.24170665385641e-16,"4599/3434/6772/4938/4939/64135/4940/9636/3669/5610/6737/684/8638/5359/24138/103/10410/6672/9830/972/10475/57169/7113/10581/3965/9683",26,"Upres_DEq_MS_CTRL_vs_HDV"
"GO:1903900","GO:1903900","regulation of viral life cycle","23/327","115/18860",0.2,11.5351681957187,15.0524784839239,3.12200189018252e-18,2.2440949586632e-15,1.91658052879415e-15,"4599/3434/4938/4939/64135/4940/9636/3669/5610/6737/684/8638/5359/24138/103/10410/972/10475/57169/7113/10581/3965/9683",23,"Upres_DEq_MS_CTRL_vs_HDV"
"GO:0045071","GO:0045071","negative regulation of viral genome replication","17/327","50/18860",0.34,19.6097859327217,17.5021872380609,4.48108105224112e-18,2.68416755029243e-15,2.29242672777809e-15,"4599/3434/4938/4939/64135/4940/9636/3669/5610/684/8638/5359/24138/10410/57169/10581/9683",17,"Upres_DEq_MS_CTRL_vs_HDV"
"GO:0045069","GO:0045069","regulation of viral genome replication","19/327","80/18860",0.2375,13.6980122324159,15.1179632175552,9.1811419712259e-17,4.71386060636941e-14,4.02589623881124e-14,"4599/3434/4938/4939/64135/4940/9636/3669/5610/684/8638/5359/24138/103/10410/10475/57169/10581/9683",19,"Upres_DEq_MS_CTRL_vs_HDV"
"GO:0034341","GO:0034341","response to type II interferon","22/327","129/18860",0.170542635658915,9.83618993433374,13.3764157771425,6.03897694440398e-16,2.71301039227349e-13,2.31706010130026e-13,"6772/54625/6737/83666/51667/684/115361/2633/7098/10410/6672/834/2634/972/2635/961/10581/958/140885/3965/6584/10537",22,"Upres_DEq_MS_CTRL_vs_HDV"
"GO:0016032","GO:0016032","viral process","33/327","396/18860",0.0833333333333333,4.80632008154944,10.1683467390703,8.69850824574281e-14,3.19010145405114e-11,2.72452210995318e-11,"4599/3434/6772/4938/4939/64135/4940/9636/3669/5610/6737/3673/83666/684/8638/5359/290/84875/24138/103/10410/6672/2634/9830/3678/972/10475/57169/7113/10581/3965/3665/9683",33,"Upres_DEq_MS_CTRL_vs_HDV"
"GO:0034340","GO:0034340","response to type I interferon","18/327","99/18860",0.181818181818182,10.4865165415624,12.5706205618386,8.87618657220685e-14,3.19010145405114e-11,2.72452210995318e-11,"4599/3434/6772/4938/4939/64135/4940/9636/25939/11277/6773/8638/103/10410/6672/10581/64343/3665",18,"Upres_DEq_MS_CTRL_vs_HDV"
