"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0000313","GO:0000313","organellar ribosome","6/42","86/19944",0.0697674418604651,33.1295681063123,13.7169605312074,2.49459851402278e-08,1.18493429416082e-06,8.92803678702888e-07,"65008/84545/65003/118487/54460/51650",6,"Downres_DEq_MS_B1_vs_BT"
"GO:0005761","GO:0005761","mitochondrial ribosome","6/42","86/19944",0.0697674418604651,33.1295681063123,13.7169605312074,2.49459851402278e-08,1.18493429416082e-06,8.92803678702888e-07,"65008/84545/65003/118487/54460/51650",6,"Downres_DEq_MS_B1_vs_BT"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","7/42","176/19944",0.0397727272727273,18.8863636363636,10.9488511726061,7.68936156601659e-08,2.43496449590525e-06,1.83465468943554e-06,"65008/84545/65003/118487/54460/81689/51650",7,"Downres_DEq_MS_B1_vs_BT"
"GO:0044391","GO:0044391","ribosomal subunit","7/42","185/19944",0.0378378378378378,17.9675675675676,10.651100921958,1.08157845611135e-07,2.56874883326445e-06,1.93545618462031e-06,"65008/84545/65003/6224/118487/54460/51650",7,"Downres_DEq_MS_B1_vs_BT"
"GO:0005840","GO:0005840","ribosome","7/42","243/19944",0.0288065843621399,13.679012345679,9.13515572108304,6.85864763207936e-07,1.30314305009508e-05,9.81869555750309e-06,"65008/84545/65003/6224/118487/54460/51650",7,"Downres_DEq_MS_B1_vs_BT"
"GO:0015935","GO:0015935","small ribosomal subunit","4/42","74/19944",0.0540540540540541,25.6679536679537,9.7661092716356,1.75641159584777e-05,0.000278098502675897,0.000209536821960786,"6224/118487/54460/51650",4,"Downres_DEq_MS_B1_vs_BT"
"GO:0000314","GO:0000314","organellar small ribosomal subunit","3/42","32/19944",0.09375,44.5178571428571,11.3176583190002,4.12791613000099e-05,0.000490190040437618,0.000369339864263247,"118487/54460/51650",3,"Downres_DEq_MS_B1_vs_BT"
"GO:0005763","GO:0005763","mitochondrial small ribosomal subunit","3/42","32/19944",0.09375,44.5178571428571,11.3176583190002,4.12791613000099e-05,0.000490190040437618,0.000369339864263247,"118487/54460/51650",3,"Downres_DEq_MS_B1_vs_BT"
"GO:0000315","GO:0000315","organellar large ribosomal subunit","3/42","54/19944",0.0555555555555556,26.3809523809524,8.57943980547614,0.000199884190632904,0.00189889981101259,0.00143074999610921,"65008/84545/65003",3,"Downres_DEq_MS_B1_vs_BT"
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit","3/42","54/19944",0.0555555555555556,26.3809523809524,8.57943980547614,0.000199884190632904,0.00189889981101259,0.00143074999610921,"65008/84545/65003",3,"Downres_DEq_MS_B1_vs_BT"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","2/42","21/19944",0.0952380952380952,45.2244897959184,9.31465212813533,0.000886382399747781,0.00701719399800327,0.00528719326165343,"7436/8542",2,"Downres_DEq_MS_B1_vs_BT"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","2/42","21/19944",0.0952380952380952,45.2244897959184,9.31465212813533,0.000886382399747781,0.00701719399800327,0.00528719326165343,"7436/8542",2,"Downres_DEq_MS_B1_vs_BT"
"GO:0015934","GO:0015934","large ribosomal subunit","3/42","114/19944",0.0263157894736842,12.4962406015038,5.65481552791911,0.00177517460324963,0.012972429792978,0.00977424073044329,"65008/84545/65003",3,"Downres_DEq_MS_B1_vs_BT"
"GO:0034358","GO:0034358","plasma lipoprotein particle","2/42","37/19944",0.0540540540540541,25.6679536679537,6.89926150923809,0.00275175763053594,0.0174277983267276,0.0131311943071189,"7436/8542",2,"Downres_DEq_MS_B1_vs_BT"
"GO:1990777","GO:1990777","lipoprotein particle","2/42","37/19944",0.0540540540540541,25.6679536679537,6.89926150923809,0.00275175763053594,0.0174277983267276,0.0131311943071189,"7436/8542",2,"Downres_DEq_MS_B1_vs_BT"
"GO:0032994","GO:0032994","protein-lipid complex","2/42","40/19944",0.05,23.7428571428571,6.61418543213208,0.0032099287087724,0.0190589517083362,0.0143602073813502,"7436/8542",2,"Downres_DEq_MS_B1_vs_BT"
"GO:0005791","GO:0005791","rough endoplasmic reticulum","2/42","59/19944",0.0338983050847458,16.0968523002421,5.33483686012616,0.00686558507637127,0.0383665048385453,0.0289077266373527,"5352/54901",2,"Downres_DEq_MS_B1_vs_BT"
